drug_name	total_signals	female_signals	male_signals	mean_log_ratio	total_reports	pct_female
UNSPECIFIED	112	60	52	-0.035764251152544606	11509	53.6
CARVEDILOL	112	59	53	0.020403902616272597	7857	52.7
CLONIDINE	111	67	44	0.3294725694864721	21943	60.4
AZACITIDINE	111	88	23	0.5169249078467131	9011	79.3
LOPERAMIDE	111	53	58	-0.0034718684660422997	14418	47.7
FAMPRIDINE	110	12	98	-0.6554492280891792	28874	10.9
OXCARBAZEPINE	108	51	57	-0.020065571380749818	9762	47.2
DARATUMUMAB	108	83	25	0.4550537341981607	9550	76.9
MIDAZOLAM	107	67	40	0.3262668761255448	10136	62.6
METHADONE	107	79	28	0.4248744008549712	25861	73.8
PAMIDRONIC ACID	107	50	57	-0.06661382808303938	7413	46.7
BUSULFAN	106	88	18	0.6786163843743057	9068	83.0
ENOXAPARIN	105	55	50	0.10129600852292311	7828	52.4
ATOMOXETINE	105	72	33	1.0212576178264028	29711	68.6
AMPHOTERICIN B	105	87	18	0.6420700866032335	8126	82.9
PEGFILGRASTIM	104	48	56	-0.09063511748448617	30443	46.2
BOSENTAN	104	35	69	-0.3499818060844789	10687	33.7
NINTEDANIB	103	78	25	0.4122984452606436	11380	75.7
PAZOPANIB	103	48	55	-0.014630341966264162	8025	46.6
SARILUMAB	103	60	43	0.5469138359156113	73453	58.3
VALACICLOVIR	103	63	40	0.22811401320133814	9614	61.2
RITONAVIR	102	43	59	-0.11567744553639446	10573	42.2
DAUNORUBICIN	102	74	28	0.37160835727882047	8162	72.5
DARBEPOETIN ALFA	102	45	57	-0.3311511763531306	12052	44.1
TRASTUZUMAB	101	31	70	-0.8069315928496759	38844	30.7
VINCRISTINE SULFATE	101	82	19	0.5873487365065095	6922	81.2
LIRAGLUTIDE	101	14	87	-0.7928738132764735	8665	13.9
BASILIXIMAB	101	89	12	0.7849410934067942	7836	88.1
ANAKINRA	100	48	52	-0.15616590816969084	18802	48.0
FOLIC ACID	100	31	69	-0.4099023405335251	31678	31.0
MINOCYCLINE	100	55	45	0.2837626897384286	30684	55.0
METOCLOPRAMIDE	100	48	52	-0.11264179076943469	11846	48.0
HYDROXYCHLOROQUINE SULFATE	99	28	71	-0.7386828373991641	34800	28.3
LACOSAMIDE	98	48	50	-0.05146651679179117	8025	49.0
CLINDAMYCIN	98	42	56	-0.14535385335237064	9574	42.9
