adverse_event	n_total	n_drugs	n_female	n_male	pct_female
Drug withdrawal syndrome neonatal	36	36	17	19	47.2
Emphysema	36	36	15	21	41.7
Thirst	36	36	9	27	25.0
Sinus disorder	36	36	24	12	66.7
Gastric haemorrhage	36	36	29	7	80.6
Seasonal allergy	36	36	6	30	16.7
Choking	36	36	17	19	47.2
Peripheral coldness	36	36	18	18	50.0
Hip fracture	36	36	19	17	52.8
Quality of life decreased	36	36	15	21	41.7
Klebsiella infection	36	36	28	8	77.8
Platelet count increased	36	36	26	10	72.2
Hemiparesis	36	36	27	9	75.0
Aspergillus infection	36	36	30	6	83.3
Tendonitis	36	36	10	26	27.8
Glycosylated haemoglobin increased	35	35	20	15	57.1
Thyroid disorder	35	35	14	21	40.0
Hepatic encephalopathy	35	35	27	8	77.1
Paranoia	35	35	16	19	45.7
Atrial flutter	35	35	30	5	85.7
Vitamin D deficiency	35	35	11	24	31.4
Pruritus generalised	35	35	12	23	34.3
Oesophagitis	35	35	20	15	57.1
Cholecystitis	35	35	18	17	51.4
Laryngitis	35	35	12	23	34.3
Skin necrosis	35	35	23	12	65.7
Shock haemorrhagic	35	35	26	9	74.3
Hypertriglyceridaemia	35	35	24	11	68.6
Erythema multiforme	35	35	21	14	60.0
Urosepsis	35	35	26	9	74.3
Tricuspid valve incompetence	34	34	18	16	52.9
Bone disorder	34	34	9	25	26.5
Hypertensive crisis	34	34	26	8	76.5
Drug use disorder	34	34	27	7	79.4
Eructation	34	34	14	20	41.2
Blood triglycerides increased	34	34	20	14	58.8
Parkinsonism	34	34	24	10	70.6
Back injury	34	34	25	9	73.5
Miosis	34	34	26	8	76.5
Pneumocystis jirovecii pneumonia	34	34	29	5	85.3
Glomerular filtration rate decreased	33	33	19	14	57.6
Decreased activity	33	33	11	22	33.3
Hypovolaemia	33	33	22	11	66.7
Osteopenia	33	33	26	7	78.8
Immunodeficiency	33	33	19	14	57.6
Breath sounds abnormal	33	33	12	21	36.4
Nocturia	33	33	17	16	51.5
Endocarditis	33	33	27	6	81.8
Grip strength decreased	33	33	17	16	51.5
Exostosis	33	33	14	19	42.4
Oliguria	33	33	24	9	72.7
Exercise tolerance decreased	33	33	14	19	42.4
Aphonia	33	33	7	26	21.2
Cardiac failure acute	33	33	25	8	75.8
Drug prescribing error	33	33	14	19	42.4
Extra dose administered	33	33	9	24	27.3
Myositis	33	33	26	7	78.8
Blood lactic acid increased	33	33	19	14	57.6
Dyslipidaemia	33	33	22	11	66.7
Hypertransaminasaemia	33	33	22	11	66.7
Lymphoedema	32	32	6	26	18.8
Immune reconstitution inflammatory syndrome	32	32	21	11	65.6
Hand deformity	32	32	20	12	62.5
Renal cyst	32	32	18	14	56.2
Gallbladder disorder	32	32	6	26	18.8
Neurological symptom	32	32	11	21	34.4
Mania	31	31	19	12	61.3
Ageusia	31	31	23	8	74.2
Flank pain	31	31	19	12	61.3
Affect lability	31	31	12	19	38.7
Product dispensing error	31	31	12	19	38.7
Dermatitis	31	31	15	16	48.4
Pulmonary thrombosis	31	31	12	19	38.7
Metastases to lung	31	31	13	18	41.9
Foot fracture	31	31	7	24	22.6
Muscle atrophy	31	31	24	7	77.4
Blood albumin decreased	31	31	21	10	67.7
Carpal tunnel syndrome	31	31	12	19	38.7
Abnormal dreams	31	31	21	10	67.7
Ventricular extrasystoles	31	31	18	13	58.1
Pneumonia bacterial	31	31	23	8	74.2
Progressive multifocal leukoencephalopathy	30	30	11	19	36.7
Drug effect decreased	30	30	13	17	43.3
Atrial septal defect	30	30	11	19	36.7
Autoimmune disorder	30	30	18	12	60.0
Abasia	30	30	9	21	30.0
Nephropathy	30	30	24	6	80.0
Gastroenteritis viral	30	30	8	22	26.7
Sopor	30	30	17	13	56.7
Ankylosing spondylitis	30	30	7	23	23.3
End stage renal disease	30	30	9	21	30.0
Rash generalised	30	30	13	17	43.3
Suspected suicide	30	30	19	11	63.3
Anal incontinence	30	30	12	18	40.0
Affective disorder	30	30	11	19	36.7
Helicobacter infection	30	30	14	16	46.7
Chronic sinusitis	30	30	13	17	43.3
Acute pulmonary oedema	30	30	16	14	53.3
Gastrointestinal pain	29	29	12	17	41.4
Dermatitis allergic	29	29	10	19	34.5
Systemic inflammatory response syndrome	29	29	24	5	82.8
Product prescribing issue	29	29	9	20	31.0
Personality change	29	29	20	9	69.0
Hyperaesthesia	29	29	7	22	24.1
Nasal polyps	29	29	17	12	58.6
Paralysis	29	29	17	12	58.6
Supraventricular tachycardia	29	29	6	23	20.7
Large intestine perforation	29	29	21	8	72.4
Nephrotic syndrome	29	29	24	5	82.8
Escherichia infection	29	29	15	14	51.7
Scab	29	29	6	23	20.7
Staphylococcal bacteraemia	28	28	22	6	78.6
Euphoric mood	28	28	10	18	35.7
Febrile bone marrow aplasia	28	28	23	5	82.1
Product availability issue	28	28	19	9	67.9
Cardiotoxicity	28	28	14	14	50.0
Terminal state	28	28	13	15	46.4
Lung infiltration	28	28	13	15	46.4
Intestinal ischaemia	28	28	15	13	53.6
Sleep disorder due to general medical condition, insomnia type	28	28	14	14	50.0
Weight fluctuation	28	28	21	7	75.0
Hyperammonaemia	28	28	22	6	78.6
Embolism	28	28	22	6	78.6
Product storage error	28	28	7	21	25.0
Hemiplegia	28	28	20	8	71.4
Electrocardiogram QRS complex prolonged	28	28	15	13	53.6
Renal pain	28	28	12	16	42.9
Neutropenic sepsis	28	28	18	10	64.3
Behaviour disorder	28	28	22	6	78.6
Hydronephrosis	28	28	21	7	75.0
Enterocolitis	27	27	21	6	77.8
Hepatomegaly	27	27	9	18	33.3
Hypogammaglobulinaemia	27	27	19	8	70.4
Dependence	27	27	22	5	81.5
Cytomegalovirus viraemia	27	27	22	5	81.5
Eyelid oedema	27	27	8	19	29.6
Tooth infection	27	27	5	22	18.5
Product physical issue	27	27	6	21	22.2
Back disorder	27	27	14	13	51.9
Enteritis	27	27	17	10	63.0
Bone erosion	27	27	12	15	44.4
Pharyngeal oedema	27	27	6	21	22.2
Wrong patient received product	27	27	17	10	63.0
Lung opacity	27	27	18	9	66.7
Intestinal perforation	27	27	18	9	66.7
Bipolar disorder	27	27	6	21	22.2
Myopathy	27	27	20	7	74.1
Facial paralysis	26	26	5	21	19.2
Blood calcium decreased	26	26	7	19	26.9
Petechiae	26	26	16	10	61.5
Pulmonary toxicity	26	26	20	6	76.9
Haemolysis	26	26	18	8	69.2
Sensory loss	26	26	16	10	61.5
Respiratory syncytial virus infection	26	26	14	12	53.8
Pulseless electrical activity	26	26	21	5	80.8
Intraocular pressure increased	26	26	5	21	19.2
Pseudomonas infection	26	26	17	9	65.4
Brain fog	26	26	8	18	30.8
Atrioventricular block complete	26	26	20	6	76.9
Second primary malignancy	26	26	15	11	57.7
Neoplasm	26	26	10	16	38.5
Atrioventricular block	26	26	20	6	76.9
Lymphoma	26	26	18	8	69.2
Uveitis	25	25	7	18	28.0
Incontinence	25	25	12	13	48.0
Pulmonary arterial hypertension	25	25	6	19	24.0
Exposure via ingestion	25	25	19	6	76.0
Product use complaint	25	25	5	20	20.0
Paraesthesia oral	25	25	10	15	40.0
Upper-airway cough syndrome	25	25	6	19	24.0
Lung infection	25	25	10	15	40.0
Diabetic ketoacidosis	25	25	16	9	64.0
Toxic encephalopathy	25	25	20	5	80.0
Wrong technique in drug usage process	25	25	8	17	32.0
Accident	25	25	14	11	56.0
Polyuria	25	25	16	9	64.0
Local swelling	25	25	6	19	24.0
Leukaemia	25	25	18	7	72.0
Major depression	24	24	7	17	29.2
Renal cancer	24	24	19	5	79.2
Appendicitis	24	24	10	14	41.7
Ankle fracture	24	24	6	18	25.0
Food allergy	24	24	15	9	62.5
Pneumatosis intestinalis	24	24	18	6	75.0
Sinus congestion	24	24	9	15	37.5
Post-traumatic stress disorder	24	24	7	17	29.2
Akathisia	24	24	8	16	33.3
Metastases to central nervous system	24	24	14	10	58.3
Prescribed underdose	24	24	17	7	70.8
Cardiac failure chronic	24	24	16	8	66.7
Cutaneous vasculitis	24	24	15	9	62.5
Drug administration error	24	24	11	13	45.8
Urine output decreased	23	23	12	11	52.2
Aplastic anaemia	23	23	16	7	69.6
Metastasis	23	23	12	11	52.2
Needle issue	23	23	9	14	39.1
Post transplant lymphoproliferative disorder	23	23	17	6	73.9
Respiratory acidosis	23	23	17	6	73.9
Post procedural complication	23	23	10	13	43.5
Apnoea	23	23	16	7	69.6
Respiratory rate increased	23	23	10	13	43.5
Varicella zoster virus infection	23	23	18	5	78.3
Bradyphrenia	23	23	13	10	56.5
Diarrhoea haemorrhagic	23	23	9	14	39.1
Bronchopulmonary aspergillosis allergic	23	23	16	7	69.6
Tenosynovitis	23	23	9	14	39.1
Skin haemorrhage	23	23	14	9	60.9
Left ventricular hypertrophy	23	23	11	12	47.8
Skin laceration	23	23	12	11	52.2
Body temperature decreased	23	23	8	15	34.8
Osteonecrosis of jaw	23	23	10	13	43.5
Intentional drug misuse	22	22	9	13	40.9
Nerve injury	22	22	7	15	31.8
Lupus-like syndrome	22	22	14	8	63.6
Deformity	22	22	6	16	27.3
Insurance issue	22	22	13	9	59.1
Malnutrition	22	22	16	6	72.7
Blood iron decreased	22	22	6	16	27.3
Skin cancer	22	22	12	10	54.5
Psychiatric symptom	22	22	9	13	40.9
Ventricular arrhythmia	22	22	16	6	72.7
Erysipelas	22	22	9	13	40.9
Haematotoxicity	22	22	17	5	77.3
Mixed liver injury	21	21	15	6	71.4
Walking aid user	21	21	10	11	47.6
Blepharospasm	21	21	5	16	23.8
Maternal drugs affecting foetus	21	21	5	16	23.8
Polyp	21	21	9	12	42.9
Rhinitis allergic	21	21	10	11	47.6
Intentional dose omission	21	21	6	15	28.6
Temperature intolerance	21	21	6	15	28.6
Decubitus ulcer	21	21	13	8	61.9
Macular degeneration	21	21	8	13	38.1
Pyelonephritis	21	21	11	10	52.4
Respiration abnormal	21	21	13	8	61.9
Metabolic disorder	21	21	14	7	66.7
Blood magnesium decreased	21	21	9	12	42.9
Peripheral venous disease	21	21	12	9	57.1
Coronary artery occlusion	21	21	15	6	71.4
Organising pneumonia	21	21	16	5	76.2
Panniculitis	21	21	16	5	76.2
Drug administered to patient of inappropriate age	21	21	6	15	28.6
Metastases to lymph nodes	21	21	13	8	61.9
Spinal stenosis	21	21	10	11	47.6
Bradykinesia	21	21	11	10	52.4
Accidental exposure to product by child	21	21	14	7	66.7
Myasthenia gravis	21	21	10	11	47.6
Thrombocytosis	21	21	11	10	52.4
Rash vesicular	20	20	14	6	70.0
Faeces soft	20	20	5	15	25.0
Libido decreased	20	20	14	6	70.0
Hyperventilation	20	20	5	15	25.0
Oral discomfort	20	20	8	12	40.0
Paradoxical drug reaction	20	20	13	7	65.0
Psychomotor skills impaired	20	20	12	8	60.0
Colitis ischaemic	20	20	7	13	35.0
Salivary hypersecretion	20	20	11	9	55.0
Drug screen positive	20	20	13	7	65.0
Blood glucose abnormal	20	20	15	5	75.0
No therapeutic response	20	20	12	8	60.0
Developmental delay	20	20	13	7	65.0
Transfusion	20	20	14	6	70.0
Pleuritic pain	20	20	14	6	70.0
Skin plaque	20	20	5	15	25.0
Eye movement disorder	20	20	7	13	35.0
Hypernatraemia	20	20	14	6	70.0
Eye haemorrhage	19	19	14	5	73.7
Nail disorder	19	19	11	8	57.9
Fine motor skill dysfunction	19	19	6	13	31.6
Tardive dyskinesia	19	19	6	13	31.6
Substance-induced psychotic disorder	19	19	14	5	73.7
Cyst	19	19	5	14	26.3
Bradypnoea	19	19	13	6	68.4
Stent placement	19	19	8	11	42.1
Depressive symptom	19	19	7	12	36.8
Hydrocephalus	19	19	14	5	73.7
Sedation complication	19	19	6	13	31.6
Pancreatic carcinoma	19	19	10	9	52.6
Hypovolaemic shock	19	19	12	7	63.2
Dementia Alzheimer's type	19	19	11	8	57.9
Bundle branch block left	19	19	5	14	26.3
Obsessive-compulsive disorder	19	19	6	13	31.6
Injection site mass	19	19	9	10	47.4
Viral upper respiratory tract infection	19	19	6	13	31.6
Patent ductus arteriosus	19	19	13	6	68.4
Onychomycosis	19	19	9	10	47.4
White blood cell count abnormal	19	19	12	7	63.2
Ventricular septal defect	18	18	11	7	61.1
Intestinal haemorrhage	18	18	9	9	50.0
Autoimmune hepatitis	18	18	5	13	27.8
Herpes simplex	18	18	9	9	50.0
Squamous cell carcinoma	18	18	9	9	50.0
Small for dates baby	18	18	8	10	44.4
Tendon rupture	18	18	5	13	27.8
Dermatitis exfoliative generalised	18	18	12	6	66.7
Joint effusion	18	18	10	8	55.6
Hypertonia	18	18	10	8	55.6
Tuberculosis	18	18	7	11	38.9
Escherichia sepsis	18	18	12	6	66.7
Cystitis haemorrhagic	18	18	13	5	72.2
Neonatal respiratory distress syndrome	18	18	8	10	44.4
Ligament sprain	18	18	5	13	27.8
Nerve compression	18	18	5	13	27.8
Large intestine polyp	18	18	6	12	33.3
Blood parathyroid hormone decreased	18	18	12	6	66.7
Skin fissures	18	18	10	8	55.6
Cardiac operation	18	18	8	10	44.4
Respiratory tract congestion	18	18	13	5	72.2
Cholecystitis acute	17	17	8	9	47.1
Wrist fracture	17	17	5	12	29.4
Hodgkin's disease	17	17	12	5	70.6
Abdominal abscess	17	17	7	10	41.2
Persecutory delusion	17	17	10	7	58.8
Mycobacterium avium complex infection	17	17	7	10	41.2
Endophthalmitis	17	17	5	12	29.4
Clonus	17	17	11	6	64.7
Skin atrophy	17	17	9	8	52.9
Retinal haemorrhage	17	17	10	7	58.8
Nystagmus	17	17	6	11	35.3
Groin pain	17	17	8	9	47.1
Energy increased	17	17	6	11	35.3
Circumstance or information capable of leading to medication error	17	17	8	9	47.1
Epstein-Barr virus infection	17	17	10	7	58.8
Prescription drug used without a prescription	17	17	6	11	35.3
Hyperphosphataemia	17	17	9	8	52.9
Proctalgia	16	16	5	11	31.2
Polyarthritis	16	16	8	8	50.0
Body height decreased	16	16	6	10	37.5
Pigmentation disorder	16	16	7	9	43.8
Hypomania	16	16	7	9	43.8
Poor quality product administered	16	16	5	11	31.2
Functional gastrointestinal disorder	16	16	6	10	37.5
Infarction	16	16	10	6	62.5
Sleep terror	16	16	10	6	62.5
Furuncle	16	16	5	11	31.2
Blood immunoglobulin E increased	16	16	8	8	50.0
Granuloma skin	16	16	10	6	62.5
Fistula	16	16	8	8	50.0
Defaecation urgency	16	16	5	11	31.2
Acute myeloid leukaemia recurrent	16	16	9	7	56.2
Crepitations	16	16	9	7	56.2
Ventricular hypokinesia	16	16	6	10	37.5
Abdominal tenderness	16	16	8	8	50.0
Mycobacterial infection	16	16	6	10	37.5
Spinal disorder	16	16	5	11	31.2
Iron deficiency anaemia	16	16	6	10	37.5
Thermal burn	16	16	5	11	31.2
Hepatic lesion	16	16	6	10	37.5
Urinary tract disorder	15	15	7	8	46.7
Hepatic enzyme abnormal	15	15	6	9	40.0
Atrioventricular block first degree	15	15	9	6	60.0
Concomitant disease aggravated	15	15	5	10	33.3
Granuloma	15	15	9	6	60.0
Increased bronchial secretion	15	15	6	9	40.0
Application site pain	15	15	8	7	53.3
Arthritis bacterial	15	15	7	8	46.7
Hepatitis B	15	15	9	6	60.0
Self-medication	15	15	8	7	53.3
Leukoencephalopathy	15	15	10	5	66.7
Long QT syndrome	15	15	5	10	33.3
Orthopnoea	15	15	8	7	53.3
Osteolysis	15	15	8	7	53.3
Overweight	15	15	9	6	60.0
Pneumonia viral	15	15	6	9	40.0
Cushingoid	15	15	8	7	53.3
Cheilitis	14	14	5	9	35.7
Product packaging quantity issue	14	14	7	7	50.0
Dizziness postural	14	14	6	8	42.9
Transplant dysfunction	14	14	9	5	64.3
Liver abscess	14	14	7	7	50.0
Pulmonary function test abnormal	14	14	5	9	35.7
Activated partial thromboplastin time prolonged	14	14	6	8	42.9
Catatonia	14	14	8	6	57.1
Logorrhoea	14	14	5	9	35.7
B-cell lymphoma	14	14	8	6	57.1
Drug tolerance decreased	14	14	9	5	64.3
Personality disorder	14	14	6	8	42.9
JC virus infection	14	14	6	8	42.9
Schizoaffective disorder	14	14	8	6	57.1
Deafness neurosensory	14	14	8	6	57.1
Device occlusion	14	14	8	6	57.1
Coma scale abnormal	14	14	8	6	57.1
Metastases to peritoneum	14	14	6	8	42.9
Dermatomyositis	14	14	6	8	42.9
Wound dehiscence	14	14	6	8	42.9
Muscle disorder	14	14	6	8	42.9
Cerebral atrophy	13	13	6	7	46.2
Petit mal epilepsy	13	13	8	5	61.5
Hypoventilation	13	13	7	6	53.8
Platelet count abnormal	13	13	6	7	46.2
Multiple drug therapy	13	13	7	6	53.8
Spinal fusion surgery	13	13	8	5	61.5
Blood pressure diastolic decreased	13	13	7	6	53.8
Retinal detachment	13	13	5	8	38.5
Angiopathy	13	13	6	7	46.2
Sluggishness	13	13	5	8	38.5
Clostridium test positive	13	13	6	7	46.2
Diverticulum intestinal	13	13	8	5	61.5
Necrotising fasciitis	13	13	8	5	61.5
Radiculopathy	13	13	8	5	61.5
Aortic valve incompetence	13	13	5	8	38.5
Guillain-Barre syndrome	13	13	7	6	53.8
Iridocyclitis	12	12	6	6	50.0
Onychomadesis	12	12	6	6	50.0
Inflammatory bowel disease	12	12	5	7	41.7
Micturition disorder	12	12	6	6	50.0
Vasoplegia syndrome	12	12	5	7	41.7
Vascular device infection	12	12	5	7	41.7
Poor venous access	12	12	7	5	58.3
Drug effect less than expected	12	12	5	7	41.7
Aortic arteriosclerosis	12	12	7	5	58.3
Serum ferritin increased	12	12	7	5	58.3
Lung adenocarcinoma	12	12	6	6	50.0
Anticholinergic syndrome	12	12	7	5	58.3
Fluid overload	12	12	7	5	58.3
Laceration	12	12	5	7	41.7
Lichenoid keratosis	11	11	6	5	54.5
Abnormal faeces	11	11	5	6	45.5
Hypersensitivity vasculitis	11	11	5	6	45.5
Full blood count decreased	11	11	6	5	54.5
Anaemia macrocytic	11	11	6	5	54.5
Empyema	11	11	6	5	54.5
Chest X-ray abnormal	11	11	5	6	45.5
Type I hypersensitivity	11	11	5	6	45.5
Methaemoglobinaemia	11	11	5	6	45.5
Fear of injection	11	11	5	6	45.5
Abscess limb	10	10	5	5	50.0
Squamous cell carcinoma of skin	10	10	5	5	50.0
Thrombotic thrombocytopenic purpura	10	10	5	5	50.0
Respiratory rate decreased	10	10	5	5	50.0
Self injurious behaviour	10	10	5	5	50.0
Laryngeal oedema	10	10	5	5	50.0
Demyelination	10	10	5	5	50.0
Tachyarrhythmia	10	10	5	5	50.0
Oesophageal candidiasis	10	10	5	5	50.0
Alcoholism	10	10	5	5	50.0
