adverse_event	n_total	n_drugs	n_female	n_male	pct_female
Liver disorder	137	137	92	45	67.2
C-reactive protein increased	136	136	87	49	64.0
Vertigo	136	136	29	107	21.3
Hypoxia	136	136	72	64	52.9
Drug ineffective for unapproved indication	136	136	53	83	39.0
Febrile neutropenia	135	135	93	42	68.9
Drug-induced liver injury	135	135	105	30	77.8
Haemoglobin decreased	135	135	93	42	68.9
Contusion	135	135	98	37	72.6
Haematuria	134	134	125	9	93.3
Hepatic function abnormal	132	132	106	26	80.3
Arthropathy	132	132	62	70	47.0
Aspartate aminotransferase increased	131	131	80	51	61.1
Drug resistance	130	130	105	25	80.8
Platelet count decreased	130	130	76	54	58.5
Syncope	129	129	74	55	57.4
Anaphylactic reaction	128	128	63	65	49.2
Blister	127	127	91	36	71.7
Type 2 diabetes mellitus	127	127	45	82	35.4
Product dose omission issue	126	126	49	77	38.9
Disease progression	125	125	84	41	67.2
Delirium	125	125	110	15	88.0
Urinary retention	124	124	98	26	79.0
Depressed level of consciousness	124	124	92	32	74.2
Interstitial lung disease	124	124	74	50	59.7
Heart rate increased	124	124	35	89	28.2
Rhabdomyolysis	123	123	97	26	78.9
Electrocardiogram QT prolonged	122	122	84	38	68.9
Therapy non-responder	122	122	80	42	65.6
Blood cholesterol increased	122	122	58	64	47.5
Diabetes mellitus	122	122	48	74	39.3
Medication error	122	122	88	34	72.1
Angioedema	121	121	108	13	89.3
Transaminases increased	120	120	75	45	62.5
Vision blurred	120	120	47	73	39.2
Therapeutic product effect decreased	119	119	63	56	52.9
Neck pain	118	118	57	61	48.3
Inappropriate schedule of product administration	118	118	34	84	28.8
Balance disorder	118	118	49	69	41.5
Influenza	118	118	48	70	40.7
Intentional overdose	118	118	61	57	51.7
Rectal haemorrhage	117	117	93	24	79.5
Hot flush	117	117	95	22	81.2
Drug dependence	117	117	88	29	75.2
Liver injury	116	116	77	39	66.4
Eosinophilia	116	116	68	48	58.6
Chronic obstructive pulmonary disease	116	116	37	79	31.9
Arthritis	115	115	50	65	43.5
Deep vein thrombosis	113	113	36	77	31.9
Pneumonia aspiration	112	112	87	25	77.7
Eye pain	112	112	38	74	33.9
Agitation	112	112	84	28	75.0
Wound	111	111	45	66	40.5
Musculoskeletal pain	110	110	67	43	60.9
Cardiac disorder	110	110	73	37	66.4
Stomatitis	110	110	62	48	56.4
Fungal infection	110	110	21	89	19.1
Hypoglycaemia	110	110	89	21	80.9
Blood glucose increased	110	110	60	50	54.5
Psoriasis	109	109	82	27	75.2
Tinnitus	109	109	37	72	33.9
Neuropathy peripheral	109	109	71	38	65.1
Pancreatitis	109	109	79	30	72.5
Blood pressure decreased	109	109	68	41	62.4
Dry skin	108	108	24	84	22.2
Swelling face	108	108	43	65	39.8
Cognitive disorder	108	108	62	46	57.4
No adverse event	108	108	34	74	31.5
Amnesia	107	107	69	38	64.5
Dysarthria	107	107	60	47	56.1
Dysuria	107	107	73	34	68.2
Rheumatoid arthritis	107	107	60	47	56.1
Gait inability	107	107	59	48	55.1
Leukopenia	107	107	54	53	50.5
Osteoporosis	107	107	84	23	78.5
Drug reaction with eosinophilia and systemic symptoms	107	107	73	34	68.2
Hepatitis	107	107	82	25	76.6
Cholestasis	106	106	82	24	77.4
Pulmonary fibrosis	106	106	60	46	56.6
Cardiac failure congestive	106	106	78	28	73.6
