drug_name	n_signals	n_female_signals	n_male_signals	pct_female	n_unique_aes	mean_abs_lr	median_abs_lr	max_abs_lr	total_female_reports	total_male_reports	total_reports	report_pct_female
LEUPRORELIN	294	205	89	69.728	294	1.152	0.998	3.184	24599	79418	104017	23.649
BEVACIZUMAB	294	163	131	55.442	294	0.842	0.753	2.601	23219	16494	39713	58.467
LENALIDOMIDE	292	174	118	59.589	292	0.761	0.675	1.873	16662	16669	33331	49.989
FENTANYL	291	217	74	74.570	291	0.936	0.784	3.665	29048	19124	48172	60.301
VINCRISTINE	290	221	69	76.207	290	0.901	0.822	2.816	14156	15794	29950	47.265
DUPILUMAB	289	49	240	16.955	289	0.763	0.687	2.801	89221	55715	144936	61.559
VENLAFAXINE	287	117	170	40.767	287	0.909	0.792	3.135	27396	11289	38685	70.818
CLOZAPINE	287	197	90	68.641	287	0.913	0.794	5.448	19033	23792	42825	44.444
CLONAZEPAM	285	177	108	62.105	285	0.974	0.828	3.427	43598	18835	62433	69.832
IMMUNOGLOBULINS, UNSPECIFIED	284	159	125	55.986	284	0.830	0.712	2.517	33619	13088	46707	71.979
ONDANSETRON	283	110	173	38.869	283	1.045	0.851	3.475	30560	16213	46773	65.337
MONTELUKAST	281	114	167	40.569	281	1.095	0.960	3.044	42058	19580	61638	68.234
MYCOPHENOLATE MOFETIL	277	225	52	81.227	277	0.904	0.780	2.385	16264	11919	28183	57.709
APIXABAN	275	161	114	58.545	275	0.867	0.710	3.210	19378	17914	37292	51.963
CELECOXIB	274	173	101	63.139	274	1.240	1.063	3.794	153899	14278	168177	91.510
CYTARABINE	274	218	56	79.562	274	0.861	0.754	2.405	12964	15503	28467	45.540
ETOPOSIDE	273	216	57	79.121	273	0.896	0.835	2.068	12505	14048	26553	47.094
SILDENAFIL	272	238	34	87.500	272	1.235	1.196	2.806	26914	27720	54634	49.262
BISOPROLOL	270	163	107	60.370	270	0.943	0.823	3.350	19136	15848	34984	54.699
CAPECITABINE	270	155	115	57.407	270	0.849	0.762	2.311	32136	11905	44041	72.968
OXYCODONE;PARACETAMOL	265	214	51	80.755	265	1.385	0.960	4.346	105888	33787	139675	75.810
LORAZEPAM	264	165	99	62.500	264	0.929	0.824	2.315	29127	13407	42534	68.479
SIMVASTATIN	261	137	124	52.490	261	0.950	0.815	2.974	16323	17380	33703	48.432
BUPRENORPHINE	261	141	120	54.023	261	1.104	0.889	3.986	52060	19872	71932	72.374
BUDESONIDE	259	117	142	45.174	259	1.090	0.929	3.163	26928	17606	44534	60.466
PACLITAXEL	259	162	97	62.548	259	0.876	0.757	2.390	36804	12169	48973	75.152
LEVETIRACETAM	258	117	141	45.349	258	0.823	0.728	2.315	15904	11874	27778	57.254
TADALAFIL	258	189	69	73.256	258	1.022	0.930	2.786	31363	24689	56052	55.953
TIOTROPIUM	257	76	181	29.572	257	1.079	0.880	3.346	43422	32981	76403	56.833
MEPOLIZUMAB	254	123	131	48.425	254	1.066	0.908	2.853	58120	19493	77613	74.884
LEVOFLOXACIN	254	118	136	46.457	254	0.967	0.802	3.935	23722	15739	39461	60.115
FLUTICASONE;SALMETEROL	252	90	162	35.714	252	1.001	0.799	3.876	30891	18261	49152	62.848
LISINOPRIL	252	213	39	84.524	252	0.953	0.799	3.121	36246	17823	54069	67.037
DIAZEPAM	250	191	59	76.400	250	0.936	0.827	2.961	25807	13606	39413	65.478
VITAMIN B9	250	117	133	46.800	250	1.675	1.567	5.506	216548	10553	227101	95.353
BUDESONIDE;FORMOTEROL	245	92	153	37.551	245	0.994	0.832	3.283	19878	12783	32661	60.862
METOPROLOL	244	131	113	53.689	244	0.891	0.792	2.733	15805	9716	25521	61.929
CETIRIZINE	244	108	136	44.262	244	1.357	1.044	4.433	212056	19189	231245	91.702
RIVAROXABAN	243	167	76	68.724	243	0.828	0.709	2.942	20786	19560	40346	51.519
VITAMIN D3	242	111	131	45.868	242	1.482	1.371	3.638	77781	13642	91423	85.078
ALENDRONIC ACID	241	107	134	44.398	241	1.447	1.235	4.913	267413	10193	277606	96.328
LANSOPRAZOLE	240	138	102	57.500	240	1.019	0.831	3.154	44627	29873	74500	59.902
EVEROLIMUS	239	121	118	50.628	239	0.754	0.714	1.589	23016	13056	36072	63.806
OXALIPLATIN	239	165	74	69.038	239	0.841	0.726	2.010	13302	13962	27264	48.790
FLUOROURACIL	239	144	95	60.251	239	0.881	0.742	3.857	14255	14444	28699	49.671
NIVOLUMAB	238	159	79	66.807	238	0.828	0.770	1.784	12128	20622	32750	37.032
CITALOPRAM	237	134	103	56.540	237	0.966	0.876	2.882	28412	11462	39874	71.254
ALPRAZOLAM	237	178	59	75.105	237	0.916	0.809	2.593	35314	13984	49298	71.634
DENOSUMAB	234	54	180	23.077	234	0.997	0.854	5.346	55596	13444	69040	80.527
VEDOLIZUMAB	233	163	70	69.957	233	0.930	0.801	3.004	37119	13101	50220	73.913
AMIODARONE	228	133	95	58.333	228	0.929	0.828	3.266	12141	18577	30718	39.524
DOXYCYCLINE	223	131	92	58.744	223	1.273	1.014	3.234	62179	10578	72757	85.461
FLUTICASONE	221	74	147	33.484	221	1.053	0.896	2.691	24175	12914	37089	65.181
DIPHENHYDRAMINE	220	170	50	77.273	220	1.178	1.040	2.582	66769	9527	76296	87.513
WARFARIN	220	125	95	56.818	220	0.929	0.805	2.766	11762	15953	27715	42.439
CISPLATIN	219	167	52	76.256	219	0.874	0.776	1.881	9490	11543	21033	45.120
CALCIUM	219	88	131	40.183	219	1.598	1.502	4.206	87616	11428	99044	88.462
VALSARTAN	219	108	111	49.315	219	0.888	0.792	2.203	13246	7718	20964	63.185
SOMATROPIN	218	137	81	62.844	218	0.801	0.732	2.127	25654	39322	64976	39.482
ESCITALOPRAM	217	61	156	28.111	217	1.034	0.879	3.624	14267	13176	27443	51.988
CARBIDOPA;LEVODOPA	217	134	83	61.751	217	0.915	0.739	6.447	16333	22057	38390	42.545
ISOTRETINOIN	217	20	197	9.217	217	0.907	0.845	3.624	26172	23548	49720	52.639
APREMILAST	214	143	71	66.822	214	1.300	0.937	3.971	128778	15809	144587	89.066
AMOXICILLIN	212	91	121	42.925	212	0.888	0.776	2.360	19308	8444	27752	69.573
OCTREOTIDE	211	111	100	52.607	211	0.818	0.714	2.238	10597	6797	17394	60.923
ALLOPURINOL	210	123	87	58.571	210	0.982	0.870	2.944	12486	18772	31258	39.945
METRONIDAZOLE	209	50	159	23.923	209	1.055	0.873	3.205	14675	13271	27946	52.512
BORTEZOMIB	209	157	52	75.120	209	0.871	0.775	2.284	10519	11195	21714	48.443
FLUOXETINE	204	74	130	36.275	204	0.952	0.833	2.343	15100	8453	23553	64.111
TOPIRAMATE	200	96	104	48.000	200	1.089	0.935	2.931	43590	8569	52159	83.571
IRON	198	57	141	28.788	198	1.217	0.989	3.937	23955	11584	35539	67.405
CANDESARTAN	198	104	94	52.525	198	1.291	1.117	3.219	52425	14987	67412	77.768
HYDROCODONE;PARACETAMOL	197	149	48	75.635	197	0.773	0.721	2.963	26876	24266	51142	52.552
ALEMTUZUMAB	195	144	51	73.846	195	0.863	0.804	2.088	23671	8241	31912	74.176
MIRTAZAPINE	193	110	83	56.995	193	0.840	0.746	3.152	12178	6731	18909	64.403
VANCOMYCIN	191	146	45	76.440	191	0.858	0.755	2.446	10257	8827	19084	53.747
CODEINE	190	144	46	75.789	190	1.321	1.174	3.241	63889	11238	75127	85.041
DULOXETINE	189	85	104	44.974	189	0.872	0.767	2.806	23461	7539	31000	75.681
AMITRIPTYLINE	189	102	87	53.968	189	0.974	0.846	2.630	24002	7777	31779	75.528
AZITHROMYCIN	189	77	112	40.741	189	1.029	0.869	3.153	18881	9599	28480	66.296
MESALAZINE	188	101	87	53.723	188	1.247	1.133	3.040	39079	11496	50575	77.269
CORTISONE	188	86	102	45.745	188	1.701	1.601	3.977	143839	6683	150522	95.560
METHOTREXATE SODIUM	186	16	170	8.602	186	0.872	0.787	1.801	14870	6078	20948	70.985
PAROXETINE	186	90	96	48.387	186	0.869	0.773	2.276	13278	7248	20526	64.689
IBRUTINIB	186	120	66	64.516	186	0.743	0.657	2.742	6807	9687	16494	41.270
FLUDARABINE	184	155	29	84.239	184	0.988	0.861	3.267	8960	11085	20045	44.699
UPADACITINIB	181	44	137	24.309	181	0.760	0.715	1.502	18168	7639	25807	70.400
RIBAVIRIN	181	118	63	65.193	181	0.750	0.677	3.539	12673	15918	28591	44.325
EMTRICITABINE;TENOFOVIR	181	86	95	47.514	181	0.929	0.809	2.550	15299	33744	49043	31.195
CARBAMAZEPINE	180	70	110	38.889	180	0.946	0.822	3.400	15168	8292	23460	64.655
DABIGATRAN	176	140	36	79.545	176	0.741	0.675	2.396	13801	14173	27974	49.335
CLARITHROMYCIN	175	65	110	37.143	175	0.914	0.814	2.793	14435	6470	20905	69.050
MOXIFLOXACIN	175	103	72	58.857	175	1.168	1.051	3.887	34238	10319	44557	76.841
FLUTICASONE;VILANTEROL	175	33	142	18.857	175	1.026	0.824	2.932	16656	13989	30645	54.351
FOLINIC ACID	175	114	61	65.143	175	0.907	0.798	3.781	6992	8743	15735	44.436
BUPROPION	174	94	80	54.023	174	1.011	0.910	3.051	32698	10150	42848	76.312
GEMCITABINE	173	133	40	76.879	173	0.873	0.802	1.957	9769	7371	17140	56.995
HYDROCHLOROTHIAZIDE	171	70	101	40.936	171	0.936	0.791	2.661	15761	9096	24857	63.407
TRIAMCINOLONE	170	102	68	60.000	170	1.471	1.359	3.571	57089	6566	63655	89.685
INTERFERON BETA-1A	170	22	148	12.941	170	0.784	0.689	2.474	41990	12024	54014	77.739
ANTITHYMOCYTE IMMUNOGLOBULIN	169	133	36	78.698	169	0.947	0.796	3.656	9207	9057	18264	50.411
DILTIAZEM	169	113	56	66.864	169	1.179	1.064	3.414	31233	7427	38660	80.789
BACLOFEN	168	83	85	49.405	168	0.956	0.768	4.062	13459	12156	25615	52.543
VENETOCLAX	168	121	47	72.024	168	0.775	0.715	1.529	5718	8066	13784	41.483
CEFTRIAXONE	167	107	60	64.072	167	1.067	0.844	3.894	11234	12529	23763	47.275
TREPROSTINIL	165	53	112	32.121	165	0.779	0.724	1.845	21977	7028	29005	75.770
LENVATINIB	165	103	62	62.424	165	0.834	0.764	1.936	12541	8154	20695	60.599
AMOXICILLIN;CLAVULANIC ACID	162	69	93	42.593	162	0.905	0.750	3.193	8057	8183	16240	49.612
SPIRONOLACTONE	162	81	81	50.000	162	0.943	0.795	2.900	9650	6389	16039	60.166
ZOPICLONE	161	97	64	60.248	161	1.191	1.025	3.049	23813	8405	32218	73.912
OXYBATE SODIUM	161	48	113	29.814	161	0.731	0.690	1.643	17310	6960	24270	71.323
PALIPERIDONE	161	138	23	85.714	161	0.970	0.834	2.726	11827	14656	26483	44.659
IPILIMUMAB	161	122	39	75.776	161	0.777	0.694	1.696	6437	10328	16765	38.395
FINGOLIMOD	159	31	128	19.497	159	0.766	0.696	2.031	21128	6794	27922	75.668
HALOPERIDOL	158	89	69	56.329	158	0.850	0.752	2.087	6730	9001	15731	42.782
SACUBITRIL;VALSARTAN	157	106	51	67.516	157	0.785	0.703	1.841	5478	9861	15339	35.713
IMATINIB	155	127	28	81.935	155	0.761	0.689	2.127	5630	4796	10426	54.000
SITAGLIPTIN	154	85	69	55.195	154	0.883	0.737	3.247	10443	5706	16149	64.667
DAPAGLIFLOZIN	154	91	63	59.091	154	0.793	0.695	2.461	10711	10994	21705	49.348
SEMAGLUTIDE	152	48	104	31.579	152	0.760	0.684	1.622	11291	5554	16845	67.029
SODIUM CHLORIDE	152	40	112	26.316	152	1.034	0.872	3.134	9457	6334	15791	59.889
ATEZOLIZUMAB	152	126	26	82.895	152	0.822	0.770	1.692	7156	8132	15288	46.808
TRAZODONE	151	99	52	65.563	151	1.026	0.842	3.234	23729	6727	30456	77.912
COVID-19 VACCINE	148	64	84	43.243	148	0.888	0.766	2.715	12446	7528	19974	62.311
METHYLPHENIDATE	147	114	33	77.551	147	0.838	0.731	2.767	10195	13615	23810	42.818
ZOLPIDEM	146	88	58	60.274	146	0.835	0.752	1.832	10288	6071	16359	62.889
VORICONAZOLE	145	127	18	87.586	145	0.931	0.847	2.032	5540	6190	11730	47.229
HEPARIN	144	92	52	63.889	144	0.938	0.787	2.776	5194	8353	13547	38.341
LITHIUM	143	71	72	49.650	143	0.915	0.763	2.507	7489	6559	14048	53.310
CODEINE;PARACETAMOL	141	118	23	83.688	141	1.403	1.268	3.279	45242	5788	51030	88.658
NATALIZUMAB	141	32	109	22.695	141	0.755	0.676	1.727	37494	12519	50013	74.969
