drug_name	n_signals	n_female_signals	n_male_signals	pct_female	n_unique_aes	mean_abs_lr	median_abs_lr	max_abs_lr	total_female_reports	total_male_reports	total_reports	report_pct_female
MACITENTAN	95	52	43	54.737	95	0.724	0.657	1.805	8718	2736	11454	76.113
TIRZEPATIDE	95	8	87	8.421	95	0.703	0.650	1.561	18056	7126	25182	71.702
NALTREXONE	95	47	48	49.474	95	0.769	0.700	1.868	8671	9518	18189	47.672
EZETIMIBE	94	38	56	40.426	94	0.889	0.788	2.211	3494	4151	7645	45.703
MIRABEGRON	94	71	23	75.532	94	1.187	1.027	2.626	27990	3854	31844	87.897
CARFILZOMIB	93	65	28	69.892	93	0.797	0.764	2.140	3482	3843	7325	47.536
FILGRASTIM	93	41	52	44.086	93	0.893	0.742	3.115	4005	3352	7357	54.438
TELAPREVIR	93	45	48	48.387	93	0.759	0.672	1.880	6197	7754	13951	44.420
EXENATIDE	92	36	56	39.130	92	0.715	0.640	1.647	11696	10658	22354	52.322
GLYCOPYRRONIUM	91	35	56	38.462	91	0.994	0.891	2.707	6386	3461	9847	64.852
GLICLAZIDE	91	70	21	76.923	91	1.101	1.023	2.438	9340	3225	12565	74.333
IXAZOMIB	90	60	30	66.667	90	0.738	0.702	1.384	5221	3676	8897	58.683
BUPRENORPHINE;NALOXONE	90	28	62	31.111	90	0.729	0.630	1.493	5715	5201	10916	52.354
DOMPERIDONE	89	54	35	60.674	89	1.497	1.468	3.410	23012	3408	26420	87.101
SIROLIMUS	89	63	26	70.787	89	0.913	0.744	4.505	5333	3127	8460	63.038
ACETAMINOPHEN	89	58	31	65.169	89	1.134	0.950	2.455	17970	2317	20287	88.579
PHENYTOIN	88	53	35	60.227	88	0.738	0.681	1.550	3145	2710	5855	53.715
OXAZEPAM	88	57	31	64.773	88	1.044	0.864	3.265	10747	4550	15297	70.256
NOREPINEPHRINE	88	57	31	64.773	88	1.129	0.919	3.264	4002	7088	11090	36.087
MELOXICAM	87	52	35	59.770	87	0.929	0.852	2.414	12142	2409	14551	83.444
CEFUROXIME	87	29	58	33.333	87	1.130	0.979	3.113	4893	4723	9616	50.884
ZIPRASIDONE	87	39	48	44.828	87	1.104	0.926	3.127	6316	3748	10064	62.758
MORPHINE SULFATE	86	11	75	12.791	86	0.928	0.847	1.987	4567	3219	7786	58.657
ISONIAZID	85	64	21	75.294	85	0.909	0.782	2.382	5239	2964	8203	63.867
OSELTAMIVIR	84	28	56	33.333	84	1.227	0.918	3.354	5338	6114	11452	46.612
CALCIUM;VITAMIN D3	84	43	41	51.190	84	1.245	1.176	3.010	10898	2385	13283	82.045
TERIPARATIDE	84	15	69	17.857	84	0.758	0.713	1.878	28357	3203	31560	89.851
ERLOTINIB	83	61	22	73.494	83	0.697	0.673	1.286	5068	2443	7511	67.474
VARENICLINE	83	14	69	16.867	83	0.812	0.674	2.813	4895	3188	8083	60.559
RIFAMPICIN	83	65	18	78.313	83	0.801	0.692	2.552	3904	3431	7335	53.224
PARACETAMOL;TRAMADOL	83	61	22	73.494	83	0.999	0.847	3.428	7873	3781	11654	67.556
APREPITANT	83	53	30	63.855	83	1.324	1.099	3.182	19074	2793	21867	87.227
IXEKIZUMAB	82	14	68	17.073	82	0.769	0.710	1.886	3631	2530	6161	58.935
RALTEGRAVIR	82	38	44	46.341	82	0.943	0.837	2.785	3043	5300	8343	36.474
DABRAFENIB	81	55	26	67.901	81	0.701	0.645	1.787	2617	2796	5413	48.347
DOLUTEGRAVIR	81	54	27	66.667	81	1.162	0.997	2.729	5630	4739	10369	54.296
LURASIDONE	81	19	62	23.457	81	0.886	0.779	2.116	6767	3033	9800	69.051
UMECLIDINIUM	80	13	67	16.250	80	1.436	1.269	3.442	7086	10308	17394	40.738
VITAMIN D, UNSPECIFIED	80	31	49	38.750	80	1.082	0.911	3.243	7635	3920	11555	66.075
LEDIPASVIR;SOFOSBUVIR	80	68	12	85.000	80	0.793	0.727	1.625	3108	4129	7237	42.946
THEOPHYLLINE	80	24	56	30.000	80	1.230	1.114	2.832	6370	4357	10727	59.383
TEMOZOLOMIDE	79	54	25	68.354	79	0.849	0.795	1.763	4161	4001	8162	50.980
FELODIPINE	79	6	73	7.595	79	1.301	1.135	3.909	7384	8354	15738	46.918
VITAMIN D2	79	40	39	50.633	79	1.468	1.224	4.894	25370	5374	30744	82.520
PIRFENIDONE	79	35	44	44.304	79	0.741	0.716	1.384	2569	4436	7005	36.674
TRAMETINIB	79	44	35	55.696	79	0.708	0.654	1.821	2543	2696	5239	48.540
FLUTICASONE;UMECLIDINIUM;VILANTEROL	79	12	67	15.190	79	1.031	0.954	2.663	3950	5653	9603	41.133
DASATINIB	79	47	32	59.494	79	0.744	0.665	1.766	2799	2653	5452	51.339
DESOXIMETASONE	79	34	45	43.038	79	1.880	1.491	5.456	114743	3070	117813	97.394
TEDUGLUTIDE	78	43	35	55.128	78	0.751	0.644	2.364	4697	2711	7408	63.404
DEXLANSOPRAZOLE	78	40	38	51.282	78	1.085	0.853	2.659	6230	4281	10511	59.271
HYDROCHLOROTHIAZIDE;VALSARTAN	78	41	37	52.564	78	0.837	0.783	2.224	3378	1415	4793	70.478
HYDROXYZINE	78	50	28	64.103	78	0.876	0.841	1.780	5857	2019	7876	74.365
DULAGLUTIDE	77	21	56	27.273	77	0.735	0.687	1.488	5601	3542	9143	61.260
TERIFLUNOMIDE	77	6	71	7.792	77	0.784	0.708	1.891	16562	3681	20243	81.816
VITAMIN C	77	49	28	63.636	77	1.594	1.647	3.280	44318	3870	48188	91.969
SENNA SPP	76	40	36	52.632	76	1.410	1.268	3.214	10568	3472	14040	75.271
IPRATROPIUM;SALBUTAMOL	76	23	53	30.263	76	0.943	0.831	2.363	4090	2602	6692	61.118
VITAMIN B3	76	66	10	86.842	76	1.442	1.407	2.663	12382	4631	17013	72.780
SORAFENIB	76	61	15	80.263	76	0.830	0.781	1.749	2302	5062	7364	31.260
HYDROCODONE	76	52	24	68.421	76	0.771	0.684	2.147	8886	7340	16226	54.764
ELTROMBOPAG	75	52	23	69.333	75	0.712	0.645	1.445	3564	2133	5697	62.559
SOFOSBUVIR	75	61	14	81.333	75	0.803	0.756	1.485	3212	5225	8437	38.070
SULFAMETHOXAZOLE	75	43	32	57.333	75	1.732	1.709	3.754	42669	2236	44905	95.021
CYCLOBENZAPRINE	75	53	22	70.667	75	1.339	1.275	2.994	17528	1855	19383	90.430
VITAMIN B12	74	54	20	72.973	74	1.186	1.051	5.858	9906	1852	11758	84.249
COLCHICINE	74	59	15	79.730	74	0.881	0.763	2.434	3518	2218	5736	61.332
KETAMINE	74	52	22	70.270	74	1.075	0.915	2.461	4965	4659	9624	51.590
RIVASTIGMINE	74	28	46	37.838	74	0.747	0.662	1.583	4177	3113	7290	57.298
AZITHROMYCIN ANHYDROUS	74	46	28	62.162	74	0.740	0.707	1.391	6549	4854	11403	57.432
OBINUTUZUMAB	74	53	21	71.622	74	0.821	0.754	1.797	2410	3199	5609	42.967
AMIKACIN	73	42	31	57.534	73	0.728	0.686	1.467	3903	2414	6317	61.786
TELMISARTAN	73	37	36	50.685	73	0.907	0.855	1.626	4656	2371	7027	66.259
CETUXIMAB	72	41	31	56.944	72	0.791	0.688	1.746	1866	4433	6299	29.624
ENALAPRIL	72	48	24	66.667	72	0.878	0.751	1.905	5013	2851	7864	63.746
EPIRUBICIN	72	24	48	33.333	72	1.034	0.916	2.518	10354	2130	12484	82.938
TEMAZEPAM	71	36	35	50.704	71	1.096	0.903	2.976	7929	4449	12378	64.057
BUPIVACAINE	71	13	58	18.310	71	0.878	0.785	2.329	3735	2234	5969	62.573
DIGOXIN	70	31	39	44.286	70	0.794	0.684	1.740	5519	4051	9570	57.670
REGORAFENIB	70	52	18	74.286	70	0.785	0.694	1.833	2793	2875	5668	49.277
GLUCOSE	70	14	56	20.000	70	1.357	1.022	4.051	3010	5734	8744	34.424
INTERFERON BETA-1B	70	4	66	5.714	70	0.757	0.690	1.524	7574	2914	10488	72.216
CANAGLIFLOZIN	69	42	27	60.870	69	0.835	0.768	2.161	6593	7262	13855	47.586
POSACONAZOLE	69	62	7	89.855	69	0.853	0.818	2.079	2055	2059	4114	49.951
UMECLIDINIUM;VILANTEROL	68	15	53	22.059	68	1.064	0.863	3.122	3470	4212	7682	45.171
PIMAVANSERIN	68	25	43	36.765	68	0.691	0.622	1.380	2307	4094	6401	36.041
ERENUMAB	68	54	14	79.412	68	1.109	1.047	2.379	55402	5134	60536	91.519
PONATINIB	68	57	11	83.824	68	0.736	0.657	1.581	2743	2523	5266	52.089
METHYLPREDNISOLONE SODIUM SUCCINATE	68	62	6	91.176	68	0.893	0.798	2.169	4751	1333	6084	78.090
CANAKINUMAB	68	18	50	26.471	68	1.118	0.771	3.329	3076	5287	8363	36.781
MELATONIN	68	21	47	30.882	68	1.465	1.318	3.799	3915	6187	10102	38.755
SELEXIPAG	68	17	51	25.000	68	0.737	0.649	1.781	6550	2580	9130	71.742
SODIUM AUROTHIOMALATE	68	21	47	30.882	68	1.927	1.811	4.136	26758	5179	31937	83.784
BROMAZEPAM	68	36	32	52.941	68	0.806	0.709	2.173	3515	2228	5743	61.205
GOLD (198 AU)	68	19	49	27.941	68	1.514	1.257	3.930	23607	4612	28219	83.656
DICLOFENAC SODIUM	67	18	49	26.866	67	1.134	0.890	3.426	11294	1981	13275	85.077
OLMESARTAN	67	33	34	49.254	67	0.895	0.771	2.611	3556	3475	7031	50.576
OXYCODONE HYDROCHLORIDE	67	40	27	59.701	67	0.942	0.765	2.629	4959	2314	7273	68.184
PRAVASTATIN	67	25	42	37.313	67	0.856	0.760	2.026	2312	2406	4718	49.004
OFATUMUMAB	67	8	59	11.940	67	0.863	0.778	2.074	5797	2550	8347	69.450
PHENOBARBITAL	66	40	26	60.606	66	0.827	0.735	2.010	3659	3379	7038	51.989
LOPINAVIR;RITONAVIR	66	36	30	54.545	66	0.984	0.771	2.905	2496	4860	7356	33.931
CALCIUM;ICODEXTRIN;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	66	36	30	54.545	66	0.706	0.634	1.330	4488	6424	10912	41.129
RABEPRAZOLE	65	21	44	32.308	65	1.279	1.189	2.648	4324	2729	7053	61.307
ETHANOL	65	51	14	78.462	65	0.860	0.785	1.724	4708	4538	9246	50.919
COCAINE	65	48	17	73.846	65	0.826	0.727	1.807	4637	8264	12901	35.943
CLOBAZAM	64	22	42	34.375	64	0.839	0.736	2.266	2705	3239	5944	45.508
VEMURAFENIB	64	39	25	60.938	64	0.740	0.669	1.754	2196	2357	4553	48.232
NORTRIPTYLINE	64	31	33	48.438	64	1.182	1.009	3.581	8349	3657	12006	69.540
AXITINIB	64	38	26	59.375	64	0.782	0.729	1.599	2372	5965	8337	28.451
PEGINTERFERON ALFA-2B	64	35	29	54.688	64	0.726	0.657	1.510	3294	3598	6892	47.795
EPOPROSTENOL	64	18	46	28.125	64	0.799	0.695	2.021	7903	2470	10373	76.188
UNSATURATED FATTY ACIDS	64	39	25	60.938	64	0.846	0.777	2.076	4196	3787	7983	52.562
TERBINAFINE	63	28	35	44.444	63	0.789	0.752	1.532	2533	2193	4726	53.597
ATORVASTATIN CALCIUM	63	12	51	19.048	63	0.760	0.670	3.042	2759	1928	4687	58.865
GANCICLOVIR	63	50	13	79.365	63	0.927	0.858	2.331	2236	2831	5067	44.129
ETHAMBUTOL	63	42	21	66.667	63	0.862	0.764	1.958	2513	2253	4766	52.728
VALGANCICLOVIR	62	45	17	72.581	62	0.933	0.886	1.565	1934	2718	4652	41.574
OXYBUTYNIN	62	9	53	14.516	62	1.290	1.264	2.717	10207	1730	11937	85.507
NIRMATRELVIR;RITONAVIR	62	23	39	37.097	62	0.774	0.692	1.767	4216	2365	6581	64.063
DONEPEZIL	62	29	33	46.774	62	0.847	0.802	2.145	2515	1699	4214	59.682
AXICABTAGENE CILOLEUCEL	62	58	4	93.548	62	0.798	0.722	1.424	3678	4810	8488	43.332
VERAPAMIL	62	26	36	41.935	62	0.878	0.775	1.809	3587	2030	5617	63.860
RANIBIZUMAB	62	26	36	41.935	62	0.797	0.732	1.853	3007	2053	5060	59.427
THALIDOMIDE	62	46	16	74.194	62	0.805	0.734	1.832	1933	1730	3663	52.771
ALTEPLASE	62	45	17	72.581	62	0.738	0.715	1.555	2708	3289	5997	45.156
INDAPAMIDE	62	33	29	53.226	62	0.986	0.770	2.493	3808	2309	6117	62.253
BLEOMYCIN	61	53	8	86.885	61	1.001	0.927	2.637	2663	2012	4675	56.963
BRENTUXIMAB VEDOTIN	61	45	16	73.770	61	0.789	0.715	1.491	2124	2421	4545	46.733
ESOMEPRAZOLE MAGNESIUM	61	28	33	45.902	61	0.799	0.698	1.613	3684	2698	6382	57.725
PIOGLITAZONE	61	55	6	90.164	61	0.894	0.799	1.755	2383	1735	4118	57.868
DURVALUMAB	61	52	9	85.246	61	0.881	0.780	1.914	1528	1787	3315	46.094
VORTIOXETINE	61	19	42	31.148	61	0.818	0.739	2.307	3409	1605	5014	67.990
KETOROLAC	60	12	48	20.000	60	1.073	0.861	3.312	2363	3141	5504	42.932
MULTIENZYMES	60	27	33	45.000	60	0.719	0.673	1.139	1843	1269	3112	59.222
NIFEDIPINE	60	18	42	30.000	60	0.861	0.798	1.453	2857	1761	4618	61.867
INFLUENZA VACCINE	60	24	36	40.000	60	0.995	0.841	2.881	3283	2239	5522	59.453
KETOPROFEN	59	39	20	66.102	59	1.211	0.962	3.048	9020	1707	10727	84.087
METFORMIN HYDROCHLORIDE	59	30	29	50.847	59	0.722	0.635	1.353	2079	1315	3394	61.255
C1-INHIBITOR	59	42	17	71.186	59	1.130	1.028	2.299	23492	2851	26343	89.177
TOBRAMYCIN	59	20	39	33.898	59	0.803	0.720	1.979	2027	2166	4193	48.342
DARUNAVIR	58	32	26	55.172	58	0.960	0.919	1.696	1941	2871	4812	40.337
ALBENDAZOLE	58	3	55	5.172	58	1.140	1.090	3.051	1604	3969	5573	28.782
DALTEPARIN	58	15	43	25.862	58	1.397	1.120	3.169	1852	4749	6601	28.056
BECLOMETASONE	58	15	43	25.862	58	1.028	0.969	2.156	6131	1738	7869	77.913
METFORMIN;SITAGLIPTIN	58	28	30	48.276	58	0.767	0.723	1.450	1771	1702	3473	50.993
CHLORPROMAZINE	57	35	22	61.404	57	0.978	0.876	1.915	2177	2621	4798	45.373
FENOFIBRATE	57	23	34	40.351	57	0.837	0.772	1.776	1931	1914	3845	50.221
AFLIBERCEPT	57	23	34	40.351	57	0.751	0.652	1.711	2323	2628	4951	46.920
BISACODYL	57	14	43	24.561	57	1.677	1.655	3.640	6234	4636	10870	57.351
SUMATRIPTAN	57	12	45	21.053	57	0.889	0.818	1.771	8163	1531	9694	84.207
DAPTOMYCIN	56	44	12	78.571	56	0.951	0.849	2.097	2274	2916	5190	43.815
ERYTHROMYCIN	55	12	43	21.818	55	1.080	0.956	2.506	6575	1505	8080	81.374
FORMOTEROL	55	26	29	47.273	55	1.202	1.079	2.827	4176	2771	6947	60.112
DEFERASIROX	55	31	24	56.364	55	0.709	0.695	1.088	1978	1794	3772	52.439
INDOMETACIN	55	46	9	83.636	55	1.184	1.160	2.146	7402	1299	8701	85.071
EFAVIRENZ;EMTRICITABINE;TENOFOVIR	54	30	24	55.556	54	0.839	0.723	2.289	9310	24932	34242	27.189
CLADRIBINE	54	11	43	20.370	54	0.839	0.714	2.051	2610	1585	4195	62.217
ALIROCUMAB	53	9	44	16.981	53	0.812	0.701	2.376	2572	2604	5176	49.691
PERTUZUMAB	53	4	49	7.547	53	2.135	1.960	7.391	15919	1853	17772	89.573
ABACAVIR;LAMIVUDINE	53	37	16	69.811	53	1.256	1.032	2.998	4314	2420	6734	64.063
OSIMERTINIB	53	38	15	71.698	53	0.749	0.658	1.559	2778	1095	3873	71.727
COBICISTAT;ELVITEGRAVIR;EMTRICITABINE;TENOFOVIR	53	29	24	54.717	53	0.957	0.849	2.957	6619	18903	25522	25.934
SODIUM BICARBONATE	53	18	35	33.962	53	1.167	1.038	2.663	2431	2232	4663	52.134
TRIMETHOPRIM	53	16	37	30.189	53	1.017	0.961	2.236	3848	1122	4970	77.425
ACLIDINIUM	52	20	32	38.462	52	0.897	0.802	2.096	3951	2347	6298	62.734
PANITUMUMAB	52	38	14	73.077	52	0.776	0.709	1.938	1916	2658	4574	41.889
FAMOTIDINE	52	11	41	21.154	52	0.849	0.794	1.906	2201	1369	3570	61.653
AMISULPRIDE	52	31	21	59.615	52	0.965	0.814	2.183	1652	2743	4395	37.588
AVAPRITINIB	52	6	46	11.538	52	0.643	0.622	1.261	2506	2395	4901	51.132
SOLIFENACIN	52	3	49	5.769	52	0.957	0.797	2.116	2142	1654	3796	56.428
CYCLOSPORINE	52	27	25	51.923	52	0.810	0.764	1.523	2976	1235	4211	70.672
VINORELBINE	52	30	22	57.692	52	0.886	0.749	2.206	4295	1336	5631	76.274
MEBEVERINE	52	0	52	0.000	52	1.921	1.934	3.883	1337	3883	5220	25.613
EFAVIRENZ	52	33	19	63.462	52	1.111	0.866	3.026	1972	3640	5612	35.139
TAMSULOSIN	52	42	10	80.769	52	1.373	1.178	3.787	1439	10022	11461	12.556
PSEUDOEPHEDRINE	51	25	26	49.020	51	1.691	1.509	4.015	43716	1295	45011	97.123
DOXAZOSIN	51	24	27	47.059	51	0.973	0.721	3.563	1457	3416	4873	29.899
ASPARAGINASE	51	29	22	56.863	51	0.918	0.845	2.023	1616	2264	3880	41.649
OMBITASVIR;PARITAPREVIR;RITONAVIR	51	44	7	86.275	51	0.737	0.668	1.420	2171	1406	3577	60.693
THIOTEPA	51	44	7	86.275	51	0.908	0.872	2.222	1645	1631	3276	50.214
EDOXABAN	50	37	13	74.000	50	0.879	0.835	2.257	2687	2175	4862	55.265
DROXIDOPA	50	31	19	62.000	50	0.763	0.693	1.522	3103	2663	5766	53.815
LACTULOSE	50	32	18	64.000	50	1.207	0.927	3.639	6429	1432	7861	81.783
OXYMORPHONE	50	34	16	68.000	50	0.768	0.692	1.580	3993	4844	8837	45.185
PRASUGREL	50	48	2	96.000	50	0.809	0.734	1.880	1497	2051	3548	42.193
QUETIAPINE FUMARATE	50	26	24	52.000	50	0.880	0.809	2.311	3034	1717	4751	63.860
RANITIDINE HYDROCHLORIDE	50	50	0	100.000	50	0.791	0.701	1.637	6765	6716	13481	50.182
BUSPIRONE	50	14	36	28.000	50	0.922	0.807	1.944	2382	1564	3946	60.365
RIOCIGUAT	49	30	19	61.224	49	0.691	0.647	1.792	3542	1181	4723	74.995
ROPINIROLE	49	13	36	26.531	49	0.774	0.657	1.411	1569	1626	3195	49.108
SIPONIMOD	48	2	46	4.167	48	0.888	0.783	2.076	3276	1710	4986	65.704
PETHIDINE	48	13	35	27.083	48	1.120	0.978	3.642	8535	2565	11100	76.892
LORATADINE	48	19	29	39.583	48	0.813	0.679	2.649	2764	1334	4098	67.448
ZUCLOPENTHIXOL	48	29	19	60.417	48	1.254	1.110	3.173	5566	3186	8752	63.597
CEFALEXIN	48	18	30	37.500	48	1.149	0.871	3.603	3989	1936	5925	67.325
BLINATUMOMAB	48	29	19	60.417	48	0.823	0.702	2.454	2050	2308	4358	47.040
LATANOPROST	47	15	32	31.915	47	0.757	0.673	1.477	5703	3212	8915	63.971
ROSIGLITAZONE	47	44	3	93.617	47	0.701	0.681	1.199	12260	16226	28486	43.039
MIFEPRISTONE	47	0	47	0.000	47	1.070	1.021	3.475	4798	1216	6014	79.781
ZIDOVUDINE	47	28	19	59.574	47	0.957	0.804	4.389	1920	1875	3795	50.593
PYRAZINAMIDE	47	38	9	80.851	47	0.938	0.862	2.063	1608	1461	3069	52.395
ASENAPINE	47	20	27	42.553	47	1.072	0.868	2.882	5269	2902	8171	64.484
DASABUVIR;OMBITASVIR;PARITAPREVIR;RITONAVIR	47	23	24	48.936	47	0.732	0.677	1.342	1699	1760	3459	49.118
BOCEPREVIR	47	30	17	63.830	47	0.793	0.710	1.520	2233	2281	4514	49.468
CINACALCET	46	24	22	52.174	46	0.726	0.658	1.889	1621	1371	2992	54.178
TESTOSTERONE	46	34	12	73.913	46	2.020	1.895	8.869	1861	18229	20090	9.263
TISAGENLECLEUCEL	46	41	5	89.130	46	0.765	0.708	1.259	1959	2671	4630	42.311
TRIPTORELIN	46	20	26	43.478	46	1.035	0.974	2.790	2173	1888	4061	53.509
DESVENLAFAXINE	46	5	41	10.870	46	0.830	0.761	3.809	2814	1112	3926	71.676
PEGINTERFERON BETA-1A	46	0	46	0.000	46	0.752	0.667	1.507	6284	1720	8004	78.511
ITRACONAZOLE	45	26	19	57.778	45	0.934	0.824	1.960	1375	1518	2893	47.529
LOXAPINE	45	30	15	66.667	45	0.984	0.892	2.068	1405	2276	3681	38.169
AMFETAMINE;DEXAMFETAMINE	45	22	23	48.889	45	0.683	0.602	1.710	2130	1413	3543	60.119
HYDRALAZINE	45	29	16	64.444	45	0.949	0.870	1.781	3408	1540	4948	68.876
RISEDRONIC ACID	45	11	34	24.444	45	1.240	1.227	2.796	10260	860	11120	92.266
GENTAMICIN	45	28	17	62.222	45	0.868	0.800	1.686	1703	1370	3073	55.418
NITROFURANTOIN	45	9	36	20.000	45	1.279	1.080	2.811	3849	761	4610	83.492
SKIN CARE	45	5	40	11.111	45	1.038	0.943	2.215	33098	11052	44150	74.967
ROTIGOTINE	44	9	35	20.455	44	0.715	0.661	1.166	1249	1465	2714	46.021
PROMETHAZINE	44	14	30	31.818	44	0.854	0.789	1.935	1977	1125	3102	63.733
RAVULIZUMAB	44	9	35	20.455	44	0.741	0.684	1.500	1777	2102	3879	45.811
CANNABIS SPP	44	35	9	79.545	44	1.011	0.961	2.825	1721	3174	4895	35.158
NEVIRAPINE	44	28	16	63.636	44	0.956	0.804	3.615	1749	1528	3277	53.372
OLAPARIB	44	22	22	50.000	44	0.946	0.782	3.140	9087	3163	12250	74.180
CORTICOTROPIN	43	7	36	16.279	43	0.702	0.626	1.667	1840	1068	2908	63.274
ABACAVIR;DOLUTEGRAVIR;LAMIVUDINE	43	29	14	67.442	43	1.128	0.942	2.529	1468	2197	3665	40.055
EFINACONAZOLE	43	29	14	67.442	43	1.177	1.162	2.012	2956	985	3941	75.006
BREXPIPRAZOLE	43	14	29	32.558	43	0.781	0.664	1.769	2238	1046	3284	68.149
DOCUSATE	43	10	33	23.256	43	1.196	1.109	2.723	1520	2023	3543	42.901
BIMATOPROST	43	15	28	34.884	43	0.848	0.819	2.015	7628	2392	10020	76.128
CLOMIPRAMINE	43	18	25	41.860	43	0.932	0.747	2.629	1973	2282	4255	46.369
LINAGLIPTIN	42	22	20	52.381	42	0.804	0.709	1.834	2998	2498	5496	54.549
LEVODOPA	42	31	11	73.810	42	0.760	0.646	1.530	1145	912	2057	55.664
FEBUXOSTAT	42	35	7	83.333	42	0.858	0.754	2.131	1082	1593	2675	40.449
DACARBAZINE	42	32	10	76.190	42	0.796	0.764	1.452	1693	1351	3044	55.618
CLOFAZIMINE	42	31	11	73.810	42	0.716	0.681	1.054	1329	1136	2465	53.915
SODIUM PHOSPHATE	42	19	23	45.238	42	1.605	1.426	3.036	1492	3218	4710	31.677
CYAMEMAZINE	42	34	8	80.952	42	0.818	0.770	1.640	1984	1625	3609	54.974
ALCOHOL	42	26	16	61.905	42	0.776	0.715	1.617	3726	3382	7108	52.420
NUTRIENTS, UNSPECIFIED	42	21	21	50.000	42	1.323	1.214	2.621	3899	1630	5529	70.519
REMDESIVIR	42	37	5	88.095	42	0.790	0.657	1.570	1088	1397	2485	43.783
VITAMINS, UNSPECIFIED	42	29	13	69.048	42	0.882	0.761	1.874	3577	896	4473	79.969
HYALURONIDASE;IMMUNOGLOBULINS, UNSPECIFIED	42	18	24	42.857	42	0.752	0.674	1.703	2641	1118	3759	70.258
ABACAVIR	42	29	13	69.048	42	1.370	1.153	3.302	4059	1828	5887	68.949
SILDENAFIL CITRATE	42	40	2	95.238	42	1.104	1.046	2.261	1711	1356	3067	55.787
POLATUZUMAB VEDOTIN	41	33	8	80.488	41	0.856	0.784	1.786	1546	1684	3230	47.864
CEFEPIME	41	33	8	80.488	41	0.834	0.794	1.343	1779	1534	3313	53.698
RILPIVIRINE	41	20	21	48.780	41	0.842	0.796	1.545	1082	2674	3756	28.807
DOXORUBICIN HYDROCHLORIDE	41	31	10	75.610	41	0.823	0.752	1.606	1871	1309	3180	58.836
LANREOTIDE	41	22	19	53.659	41	0.698	0.628	1.246	1577	906	2483	63.512
CEFTAZIDIME	41	31	10	75.610	41	0.825	0.788	1.450	1319	1535	2854	46.216
AGALSIDASE BETA	41	11	30	26.829	41	0.841	0.656	2.102	1338	2394	3732	35.852
INDACATEROL	41	33	8	80.488	41	1.032	0.800	2.214	2989	1431	4420	67.624
DIAMORPHINE	41	34	7	82.927	41	0.949	0.924	1.943	2941	6110	9051	32.494
VINBLASTINE	40	33	7	82.500	40	0.829	0.759	1.450	1367	1168	2535	53.925
VITAMIN B6	40	10	30	25.000	40	1.344	1.295	2.727	1645	2783	4428	37.150
RAMUCIRUMAB	40	32	8	80.000	40	0.844	0.763	1.508	1236	2007	3243	38.113
OFLOXACIN	40	8	32	20.000	40	0.967	0.957	2.199	1056	1551	2607	40.506
GLYCOPYRRONIUM;INDACATEROL	40	27	13	67.500	40	0.872	0.706	2.360	2224	1532	3756	59.212
AMINOSALICYLIC ACID	40	27	13	67.500	40	1.373	1.284	2.912	7314	1819	9133	80.083
CALCITRIOL	40	12	28	30.000	40	1.586	1.288	3.540	1578	3859	5437	29.023
LEVOMEPROMAZINE	40	29	11	72.500	40	0.954	0.865	2.033	1808	1234	3042	59.435
IDARUBICIN	39	29	10	74.359	39	0.978	0.995	1.881	1380	1485	2865	48.168
CLOBETASOL	39	6	33	15.385	39	0.882	0.815	1.899	1630	1213	2843	57.334
ISOSORBIDE MONONITRATE	39	25	14	64.103	39	0.880	0.747	2.028	3290	2315	5605	58.698
HYDROXYCARBAMIDE	39	18	21	46.154	39	0.801	0.822	1.264	1189	1202	2391	49.728
BRIMONIDINE	39	5	34	12.821	39	0.743	0.676	1.685	4307	2269	6576	65.496
TRAMADOL HYDROCHLORIDE	39	23	16	58.974	39	0.689	0.628	1.178	2331	1433	3764	61.929
CARMUSTINE	39	36	3	92.308	39	0.941	0.870	1.840	1049	1429	2478	42.333
CARIPRAZINE	39	1	38	2.564	39	0.861	0.807	1.524	1108	1184	2292	48.342
PNEUMOCOCCAL VACCINE	39	20	19	51.282	39	1.318	1.232	3.320	2842	1890	4732	60.059
ARTIFICIAL TEARS	39	8	31	20.513	39	0.829	0.707	2.066	7358	1407	8765	83.948
TAPENTADOL	39	17	22	43.590	39	0.771	0.737	1.310	1467	1005	2472	59.345
DEVICE, UNSPECIFIED	39	31	8	79.487	39	0.809	0.703	1.970	1358	2752	4110	33.041
APOMORPHINE	39	9	30	23.077	39	0.716	0.672	1.094	1149	2295	3444	33.362
PEGVISOMANT	39	4	35	10.256	39	0.863	0.824	1.474	964	1048	2012	47.913
FEXOFENADINE	39	8	31	20.513	39	0.801	0.664	1.459	2189	1306	3495	62.632
CETIRIZINE HYDROCHLORIDE	38	13	25	34.211	38	1.131	0.933	2.856	8510	1039	9549	89.119
PALIVIZUMAB	38	20	18	52.632	38	0.799	0.720	1.635	1727	2177	3904	44.237
NEBIVOLOL	38	19	19	50.000	38	0.827	0.767	1.993	1447	1203	2650	54.604
FOSCARBIDOPA;FOSLEVODOPA	38	16	22	42.105	38	0.741	0.723	1.238	1104	1486	2590	42.625
FACTOR VIII	38	28	10	73.684	38	1.061	0.913	2.880	683	9350	10033	6.808
EMTRICITABINE;RILPIVIRINE;TENOFOVIR	38	16	22	42.105	38	0.909	0.905	1.606	4505	10733	15238	29.564
