adverse_event	n_signals	n_drugs	n_female_signals	n_male_signals	pct_female	mean_abs_lr	median_abs_lr	max_abs_lr	total_reports
Tachycardia	172	172	100	72	58.140	0.868	0.745	2.423	25862
Haemorrhage	170	170	144	26	84.706	0.824	0.719	3.038	28712
Lung disorder	170	170	91	79	53.529	1.239	1.001	3.362	68978
Hyperhidrosis	170	170	77	93	45.294	1.025	0.780	4.675	34686
Joint swelling	169	169	87	82	51.479	1.312	1.013	4.422	152051
Muscular weakness	168	168	104	64	61.905	1.050	0.853	3.406	63986
Chest discomfort	165	165	53	112	32.121	0.960	0.819	3.869	28516
Mobility decreased	162	162	93	69	57.407	1.238	0.908	3.825	111013
Feeling abnormal	162	162	60	102	37.037	0.874	0.750	3.201	28467
Dyspepsia	160	160	105	55	65.625	1.090	0.912	2.915	65532
Gastrooesophageal reflux disease	160	160	100	60	62.500	1.197	0.961	3.143	58446
Peripheral swelling	159	159	106	53	66.667	1.135	0.900	3.931	129241
Contraindicated product administered	158	158	77	81	48.734	1.378	1.221	4.148	182618
Lower respiratory tract infection	158	158	77	81	48.734	1.245	1.030	3.645	104325
Inflammation	156	156	73	83	46.795	1.134	0.875	3.386	70291
Stress	156	156	21	135	13.462	1.409	1.039	5.456	27134
Tremor	155	155	73	82	47.097	0.854	0.758	2.742	16700
Septic shock	155	155	134	21	86.452	0.908	0.789	2.947	19420
Blood pressure increased	155	155	91	64	58.710	0.799	0.700	1.726	34923
Hyperkalaemia	154	154	137	17	88.961	0.901	0.815	2.336	19631
Discomfort	154	154	67	87	43.506	1.371	0.975	4.241	117633
Memory impairment	154	154	80	74	51.948	1.052	0.906	3.366	57659
Dehydration	154	154	108	46	70.130	0.800	0.710	1.746	18871
Migraine	153	153	39	114	25.490	1.056	0.926	3.138	67613
Palpitations	153	153	28	125	18.301	0.881	0.758	3.981	27870
Bradycardia	152	152	93	59	61.184	0.875	0.764	2.169	17128
Coma	151	151	109	42	72.185	0.954	0.795	3.263	23814
COVID-19	151	151	29	122	19.205	0.980	0.818	4.699	25741
Cerebrovascular accident	151	151	98	53	64.901	0.867	0.722	3.267	28027
Hallucination	151	151	123	28	81.457	0.851	0.758	2.728	21544
Premature baby	149	149	91	58	61.074	1.152	0.925	6.421	15845
Intentional product use issue	149	149	102	47	68.456	1.248	0.918	3.742	88547
Chills	147	147	57	90	38.776	0.817	0.730	2.037	19355
Treatment noncompliance	147	147	129	18	87.755	0.923	0.872	2.013	17520
Seizure	147	147	90	57	61.224	0.770	0.662	2.709	14213
Completed suicide	147	147	91	56	61.905	0.915	0.805	3.103	59735
Sinusitis	145	145	65	80	44.828	1.106	0.938	4.164	96182
Skin exfoliation	144	144	30	114	20.833	0.988	0.759	3.063	21627
Pleural effusion	143	143	86	57	60.140	0.853	0.724	2.752	16657
Loss of consciousness	142	142	98	44	69.014	0.794	0.718	2.081	22919
Productive cough	142	142	41	101	28.873	1.134	0.908	4.205	27769
Alanine aminotransferase increased	142	142	118	24	83.099	0.866	0.778	1.941	16506
Neutropenia	142	142	84	58	59.155	0.839	0.743	2.860	34449
Cardio-respiratory arrest	141	141	109	32	77.305	0.866	0.773	4.210	23327
Oedema	141	141	97	44	68.794	1.356	1.057	3.299	61146
Pancytopenia	141	141	101	40	71.631	0.830	0.739	2.143	17014
Myalgia	141	141	78	63	55.319	0.840	0.758	1.863	20973
Thrombosis	140	140	52	88	37.143	1.363	1.102	3.429	21025
Hypokalaemia	140	140	106	34	75.714	0.832	0.764	2.121	16120
Pulmonary oedema	140	140	63	77	45.000	0.894	0.806	2.258	15115
Visual impairment	138	138	78	60	56.522	0.926	0.798	2.709	34957
Upper respiratory tract infection	138	138	59	79	42.754	1.038	0.860	3.599	25198
Liver disorder	137	137	92	45	67.153	1.079	0.854	3.045	47660
Bronchitis	137	137	36	101	26.277	0.902	0.792	2.495	18607
C-reactive protein increased	136	136	87	49	63.971	1.178	0.983	3.814	67836
Drug ineffective for unapproved indication	136	136	53	83	38.971	0.895	0.772	2.779	20458
Vertigo	136	136	29	107	21.324	0.997	0.815	4.149	15926
Hypoxia	136	136	72	64	52.941	1.029	0.858	3.538	20113
Contusion	135	135	98	37	72.593	1.279	1.019	4.097	88881
Febrile neutropenia	135	135	93	42	68.889	0.880	0.784	2.712	34157
Haemoglobin decreased	135	135	93	42	68.889	0.896	0.727	3.642	22226
Drug-induced liver injury	135	135	105	30	77.778	1.080	0.915	3.717	31999
Haematuria	134	134	125	9	93.284	0.977	0.815	2.735	13601
Hepatic function abnormal	132	132	106	26	80.303	0.864	0.736	2.873	14227
Arthropathy	132	132	62	70	46.970	1.327	0.956	4.410	160654
Aspartate aminotransferase increased	131	131	80	51	61.069	0.874	0.766	2.210	14365
Drug resistance	130	130	105	25	80.769	0.896	0.763	2.348	16369
Platelet count decreased	130	130	76	54	58.462	0.827	0.733	1.821	21926
Syncope	129	129	74	55	57.364	0.781	0.685	2.613	13736
Anaphylactic reaction	128	128	63	65	49.219	0.925	0.805	3.218	22955
Type 2 diabetes mellitus	127	127	45	82	35.433	1.463	1.244	3.930	78061
Blister	127	127	91	36	71.654	1.490	1.007	5.056	94878
Product dose omission issue	126	126	49	77	38.889	0.930	0.748	3.851	18199
Delirium	125	125	110	15	88.000	1.294	0.982	4.156	29554
Disease progression	125	125	84	41	67.200	0.819	0.720	2.097	21647
Interstitial lung disease	124	124	74	50	59.677	0.878	0.774	2.658	20382
Heart rate increased	124	124	35	89	28.226	0.837	0.678	2.208	14691
Urinary retention	124	124	98	26	79.032	0.908	0.799	2.145	14068
Depressed level of consciousness	124	124	92	32	74.194	1.047	0.910	3.161	19694
Rhabdomyolysis	123	123	97	26	78.862	0.891	0.796	1.825	13752
Diabetes mellitus	122	122	48	74	39.344	1.019	0.772	3.522	17572
Medication error	122	122	88	34	72.131	1.058	0.885	3.001	25654
Therapy non-responder	122	122	80	42	65.574	0.974	0.823	2.980	45116
Blood cholesterol increased	122	122	58	64	47.541	1.663	1.308	3.950	81637
Electrocardiogram QT prolonged	122	122	84	38	68.852	0.864	0.800	1.733	18144
Angioedema	121	121	108	13	89.256	1.062	0.889	2.933	26450
Vision blurred	120	120	47	73	39.167	0.803	0.728	2.052	18633
Transaminases increased	120	120	75	45	62.500	0.942	0.836	2.948	9681
Therapeutic product effect decreased	119	119	63	56	52.941	1.281	0.995	3.945	116023
Intentional overdose	118	118	61	57	51.695	0.869	0.735	2.717	20758
Balance disorder	118	118	49	69	41.525	0.995	0.858	3.639	24620
