adverse_event	n_signals	n_drugs	n_female_signals	n_male_signals	pct_female	mean_abs_lr	median_abs_lr	max_abs_lr	total_reports
BK virus infection	13	13	10	3	76.923	0.925	0.893	1.468	2955
Fluid intake reduced	13	13	9	4	69.231	0.834	0.736	1.697	531
Dysgraphia	13	13	0	13	0.000	0.798	0.720	1.224	1301
Clumsiness	13	13	0	13	0.000	0.815	0.717	1.252	512
Tendon disorder	13	13	3	10	23.077	0.982	0.902	1.717	728
Brain abscess	13	13	12	1	92.308	0.912	0.800	1.635	1088
Recurrent cancer	13	13	3	10	23.077	0.707	0.577	1.266	539
Chronic lymphocytic leukaemia	13	13	11	2	84.615	0.799	0.704	1.339	1989
Mite allergy	13	13	1	12	7.692	1.503	1.298	3.210	1432
Pulse absent	13	13	9	4	69.231	0.907	0.703	1.657	616
Haemodialysis	13	13	13	0	100.000	0.873	0.745	1.476	629
Chondropathy	13	13	0	13	0.000	1.598	1.097	3.511	1617
Sluggishness	13	13	5	8	38.462	0.732	0.678	1.041	736
Retinal detachment	13	13	5	8	38.462	0.856	0.827	1.376	521
Cholestatic liver injury	13	13	9	4	69.231	0.872	0.889	1.250	575
Peripheral arterial occlusive disease	13	13	10	3	76.923	0.734	0.657	1.092	797
Hidradenitis	13	13	2	11	15.385	1.041	1.006	2.141	997
Meningitis aseptic	13	13	2	11	15.385	0.895	0.882	1.281	1927
Meningitis	13	13	11	2	84.615	0.806	0.792	1.429	867
Therapeutic product ineffective	13	13	1	12	7.692	0.733	0.636	1.377	803
Polydipsia	13	13	10	3	76.923	0.890	0.856	1.392	876
Lung consolidation	13	13	9	4	69.231	0.996	0.821	2.633	848
Cytomegalovirus colitis	13	13	11	2	84.615	0.779	0.736	1.220	1262
Gene mutation	13	13	10	3	76.923	0.982	0.712	1.935	702
Angiopathy	13	13	6	7	46.154	0.908	0.888	1.261	760
Guillain-Barre syndrome	13	13	7	6	53.846	0.776	0.827	1.190	632
Necrotising fasciitis	13	13	8	5	61.538	1.009	0.961	1.687	802
Hypoventilation	13	13	7	6	53.846	0.741	0.785	1.130	625
Diverticulum intestinal	13	13	8	5	61.538	0.995	0.869	2.019	909
Cerebral atrophy	13	13	6	7	46.154	0.858	0.714	1.838	588
Periorbital oedema	13	13	3	10	23.077	0.710	0.635	0.940	923
Spinal fusion surgery	13	13	8	5	61.538	0.877	0.728	1.733	1585
Metastases to meninges	13	13	11	2	84.615	0.928	0.939	1.374	781
Platelet count abnormal	13	13	6	7	46.154	0.643	0.599	0.887	704
Dissociation	13	13	2	11	15.385	1.082	1.081	2.307	654
Petit mal epilepsy	13	13	8	5	61.538	0.878	0.815	1.601	701
Clostridium test positive	13	13	6	7	46.154	0.799	0.848	1.071	726
Inguinal hernia	13	13	13	0	100.000	1.676	1.564	2.816	644
Hypercapnia	13	13	11	2	84.615	0.819	0.758	1.185	602
Amylase increased	13	13	9	4	69.231	0.723	0.649	1.360	482
Cancer pain	13	13	10	3	76.923	0.871	0.788	1.644	642
Capillary leak syndrome	13	13	13	0	100.000	0.739	0.654	1.216	698
Autism spectrum disorder	13	13	12	1	92.308	0.902	0.884	1.428	1005
Aortic valve incompetence	13	13	5	8	38.462	0.948	0.848	1.606	702
Injection site induration	13	13	1	12	7.692	0.841	0.721	1.784	2100
Product packaging issue	13	13	2	11	15.385	0.762	0.715	1.690	886
Raynaud's phenomenon	13	13	4	9	30.769	1.068	0.798	1.928	942
Postoperative wound infection	13	13	2	11	15.385	0.785	0.754	1.562	838
Blood pressure diastolic decreased	13	13	7	6	53.846	0.925	0.903	1.531	2372
Gastrointestinal toxicity	13	13	11	2	84.615	0.906	0.796	1.942	837
Transplant failure	12	12	8	4	66.667	0.765	0.743	1.000	1314
Vasoplegia syndrome	12	12	5	7	41.667	0.869	0.799	1.287	1056
Systemic infection	12	12	10	2	83.333	0.975	0.792	1.994	652
N-terminal prohormone brain natriuretic peptide increased	12	12	8	4	66.667	1.056	1.099	1.612	831
Coronary artery stenosis	12	12	11	1	91.667	1.182	1.256	1.985	705
Aortic arteriosclerosis	12	12	7	5	58.333	0.809	0.611	1.503	701
Poor venous access	12	12	7	5	58.333	0.751	0.657	1.211	2048
Onychomadesis	12	12	6	6	50.000	1.428	1.397	2.419	3969
Immobile	12	12	4	8	33.333	1.010	0.855	1.739	1137
Product administered at inappropriate site	12	12	4	8	33.333	0.795	0.696	1.714	3505
Micturition disorder	12	12	6	6	50.000	0.841	0.806	1.287	380
Iridocyclitis	12	12	6	6	50.000	0.981	0.843	1.714	877
Social avoidant behaviour	12	12	4	8	33.333	1.007	0.944	1.830	1449
Thyroid cancer	12	12	2	10	16.667	1.217	0.773	2.652	874
Shoulder operation	12	12	0	12	0.000	0.986	0.830	1.744	880
Bone marrow disorder	12	12	8	4	66.667	1.073	0.953	2.127	809
Product monitoring error	12	12	9	3	75.000	0.940	0.767	1.617	1008
Viral haemorrhagic cystitis	12	12	10	2	83.333	1.063	1.017	2.027	1314
Incoherent	12	12	8	4	66.667	0.750	0.699	1.213	642
Hyperlactacidaemia	12	12	9	3	75.000	0.959	0.963	1.502	577
Portal hypertension	12	12	9	3	75.000	0.935	0.987	1.354	574
Jaundice cholestatic	12	12	9	3	75.000	1.056	0.903	2.612	722
Blood prolactin abnormal	12	12	12	0	100.000	1.348	1.419	2.140	4982
Meniscus injury	12	12	0	12	0.000	0.819	0.692	1.372	2255
Hypoxic-ischaemic encephalopathy	12	12	9	3	75.000	0.702	0.626	1.526	511
Respiratory tract infection viral	12	12	3	9	25.000	0.706	0.662	1.099	540
Electrocardiogram ST segment elevation	12	12	9	3	75.000	0.828	0.738	1.498	511
Imprisonment	12	12	12	0	100.000	0.846	0.803	1.250	1222
Meningioma	12	12	1	11	8.333	1.502	1.358	3.675	1054
Fluid overload	12	12	7	5	58.333	0.881	0.743	1.916	740
Metastases to spine	12	12	9	3	75.000	0.849	0.814	1.257	1167
Tachyphrenia	12	12	4	8	33.333	0.822	0.645	1.472	531
Inflammatory bowel disease	12	12	5	7	41.667	0.986	0.914	1.433	3275
Non-Hodgkin's lymphoma recurrent	12	12	12	0	100.000	0.995	0.924	1.907	898
Therapy change	12	12	3	9	25.000	0.666	0.611	1.054	603
Azotaemia	12	12	10	2	83.333	0.865	0.795	1.364	517
Diffuse large B-cell lymphoma refractory	12	12	10	2	83.333	0.975	0.925	1.533	1077
Subileus	12	12	9	3	75.000	0.929	0.977	1.433	619
Drug dispensing error	12	12	8	4	66.667	0.736	0.661	1.627	735
Cardiac flutter	12	12	0	12	0.000	0.767	0.708	1.078	442
Hepatitis E	12	12	10	2	83.333	0.904	0.888	1.237	691
Palmoplantar keratoderma	12	12	11	1	91.667	0.925	0.925	1.177	2972
Dust allergy	12	12	1	11	8.333	1.768	1.874	3.163	1920
Suicidal behaviour	12	12	2	10	16.667	0.835	0.848	1.076	880
Facial paresis	12	12	1	11	8.333	1.107	1.111	1.627	1180
Gastrointestinal motility disorder	12	12	3	9	25.000	0.812	0.784	1.275	599
Geotrichum infection	12	12	12	0	100.000	1.364	1.327	2.066	483
Drug level decreased	12	12	10	2	83.333	0.781	0.742	1.585	1004
Fibrin D dimer increased	12	12	3	9	25.000	0.932	0.769	1.713	589
Diabetic neuropathy	12	12	4	8	33.333	0.837	0.819	1.763	698
Pharyngeal swelling	12	12	1	11	8.333	0.788	0.786	1.195	717
Lung hyperinflation	12	12	1	11	8.333	0.812	0.726	1.592	610
Paronychia	12	12	10	2	83.333	0.925	0.737	1.599	954
Alcohol poisoning	12	12	8	4	66.667	0.873	0.814	1.701	1037
Lung adenocarcinoma	12	12	6	6	50.000	0.811	0.722	1.302	590
Gastrointestinal necrosis	12	12	9	3	75.000	0.881	0.927	1.547	503
Laceration	12	12	5	7	41.667	0.930	0.720	3.414	2220
Ammonia increased	12	12	10	2	83.333	0.693	0.670	0.921	1056
Wheelchair user	12	12	4	8	33.333	1.017	0.877	2.220	1752
Vascular device infection	12	12	5	7	41.667	0.935	0.796	1.932	1824
Breast pain	12	12	1	11	8.333	1.417	1.373	2.893	838
Nasal dryness	12	12	2	10	16.667	0.807	0.651	1.694	903
Substance dependence	12	12	12	0	100.000	1.013	0.939	1.857	888
Aortic aneurysm	12	12	8	4	66.667	0.812	0.765	1.358	554
Spondylitis	12	12	8	4	66.667	0.862	0.779	1.543	1452
Anticholinergic syndrome	12	12	7	5	58.333	0.889	0.817	1.327	755
Serum ferritin increased	12	12	7	5	58.333	0.722	0.680	0.928	661
Photopsia	12	12	3	9	25.000	0.839	0.899	1.103	799
Lymphoproliferative disorder	12	12	3	9	25.000	1.176	0.960	3.395	1177
Tendon pain	12	12	1	11	8.333	0.849	0.767	1.491	690
Fanconi syndrome acquired	12	12	12	0	100.000	1.080	1.019	1.645	1639
Carotid artery occlusion	12	12	8	4	66.667	0.647	0.599	1.181	1767
Fanconi syndrome	12	12	10	2	83.333	0.684	0.671	1.071	727
Proctitis	12	12	8	4	66.667	1.417	1.373	2.567	2073
Distributive shock	12	12	9	3	75.000	0.897	0.705	3.244	551
Drug effect less than expected	12	12	5	7	41.667	0.811	0.685	1.428	437
General symptom	11	11	2	9	18.182	0.969	0.900	1.578	4279
Varices oesophageal	11	11	9	2	81.818	0.666	0.625	1.005	714
Enterococcal bacteraemia	11	11	11	0	100.000	1.014	0.840	2.230	771
Fear of injection	11	11	5	6	45.455	0.842	0.773	1.357	1951
Klebsiella sepsis	11	11	10	1	90.909	0.974	0.927	1.306	525
Acute psychosis	11	11	10	1	90.909	1.032	0.945	1.579	616
Encephalitis cytomegalovirus	11	11	8	3	72.727	1.299	1.233	2.140	590
Exposure to toxic agent	11	11	4	7	36.364	0.842	0.706	1.487	502
Exposure via skin contact	11	11	3	8	27.273	0.800	0.653	1.321	1402
Encephalitis autoimmune	11	11	10	1	90.909	0.743	0.758	1.057	576
Sunburn	11	11	3	8	27.273	0.660	0.602	0.974	1275
Screaming	11	11	2	9	18.182	0.714	0.634	1.248	601
Intestinal sepsis	11	11	0	11	0.000	1.735	1.875	2.402	702
Subcutaneous abscess	11	11	3	8	27.273	0.791	0.722	1.184	506
Jaw disorder	11	11	0	11	0.000	1.173	1.088	2.268	938
Epigastric discomfort	11	11	4	7	36.364	0.753	0.724	1.115	507
Increased tendency to bruise	11	11	2	9	18.182	0.784	0.688	1.251	575
Empyema	11	11	6	5	54.545	0.747	0.772	1.128	641
Peripheral sensorimotor neuropathy	11	11	10	1	90.909	0.928	0.871	1.302	458
Haemoglobin increased	11	11	9	2	81.818	0.828	0.718	1.531	567
Bone cyst	11	11	0	11	0.000	1.862	1.835	2.588	1125
Normochromic normocytic anaemia	11	11	4	7	36.364	1.814	1.393	3.191	1254
Type I hypersensitivity	11	11	5	6	45.455	0.826	0.742	1.559	734
Abnormal faeces	11	11	5	6	45.455	0.800	0.725	1.334	439
Tonsillitis	11	11	2	9	18.182	0.741	0.722	1.076	823
Pneumonia klebsiella	11	11	8	3	72.727	0.840	0.718	1.424	713
Post procedural infection	11	11	1	10	9.091	0.704	0.588	1.236	705
Congenital anomaly	11	11	10	1	90.909	1.198	1.293	2.246	757
Hyperreflexia	11	11	7	4	63.636	0.902	0.800	2.027	742
Application site vesicles	11	11	2	9	18.182	1.012	0.776	2.520	2425
Compression fracture	11	11	0	11	0.000	0.866	0.801	1.285	894
Application site pruritus	11	11	7	4	63.636	0.782	0.716	1.422	7207
Infection reactivation	11	11	10	1	90.909	0.976	0.887	2.217	690
Dermatitis atopic	11	11	0	11	0.000	1.233	0.982	2.459	1064
Hormone level abnormal	11	11	2	9	18.182	1.085	1.159	1.920	681
Full blood count decreased	11	11	6	5	54.545	0.826	0.775	1.441	2594
Anaemia macrocytic	11	11	6	5	54.545	0.884	0.892	1.336	536
Skin papilloma	11	11	3	8	27.273	0.758	0.720	1.101	929
Diffuse large B-cell lymphoma recurrent	11	11	10	1	90.909	0.817	0.657	1.793	2023
Muscle injury	11	11	4	7	36.364	1.858	1.596	3.494	7807
Device deployment issue	11	11	0	11	0.000	1.595	1.714	2.197	2612
Central hypothyroidism	11	11	11	0	100.000	1.237	1.358	1.722	555
Lupus nephritis	11	11	10	1	90.909	1.016	1.046	1.482	1723
Hair colour changes	11	11	1	10	9.091	1.125	1.055	1.876	3697
Fungal skin infection	11	11	1	10	9.091	0.812	0.583	1.323	1009
Chest X-ray abnormal	11	11	5	6	45.455	1.620	1.519	3.499	1614
Hair texture abnormal	11	11	0	11	0.000	1.430	1.190	2.946	2794
Device related sepsis	11	11	4	7	36.364	0.953	0.789	1.693	739
Alcohol abuse	11	11	10	1	90.909	0.778	0.663	1.431	953
Hypoproteinaemia	11	11	10	1	90.909	0.856	0.902	1.136	410
Pustular psoriasis	11	11	9	2	81.818	1.064	0.916	2.011	2840
Dysphemia	11	11	3	8	27.273	0.721	0.578	1.233	626
Product delivery mechanism issue	11	11	2	9	18.182	0.780	0.731	1.092	1085
Asthma-chronic obstructive pulmonary disease overlap syndrome	11	11	9	2	81.818	1.369	1.358	2.208	1597
Bowel movement irregularity	11	11	4	7	36.364	0.785	0.604	1.400	656
Skin erosion	11	11	4	7	36.364	0.782	0.600	1.761	495
Ecchymosis	11	11	7	4	63.636	0.730	0.663	1.072	608
Hypersensitivity vasculitis	11	11	5	6	45.455	0.777	0.680	1.226	493
Brain death	11	11	8	3	72.727	0.719	0.657	1.099	427
Anosognosia	11	11	11	0	100.000	1.533	1.738	2.399	4472
Lip dry	11	11	4	7	36.364	1.755	1.220	3.552	5975
Product complaint	11	11	3	8	27.273	0.720	0.683	0.969	684
Methaemoglobinaemia	11	11	5	6	45.455	0.938	0.846	1.370	822
Rash morbilliform	11	11	7	4	63.636	0.811	0.647	1.556	647
Lymphadenopathy mediastinal	11	11	9	2	81.818	0.850	0.758	1.632	534
Portal vein thrombosis	11	11	9	2	81.818	0.758	0.670	1.192	501
Peritonitis bacterial	11	11	10	1	90.909	0.718	0.692	1.237	6538
Somnambulism	11	11	3	8	27.273	0.775	0.709	1.344	461
Lichenoid keratosis	11	11	6	5	54.545	0.878	0.866	1.330	769
Arthropod bite	11	11	3	8	27.273	0.833	0.784	1.221	556
Ulcerative keratitis	11	11	4	7	36.364	0.694	0.711	1.004	460
Product size issue	11	11	9	2	81.818	0.775	0.754	1.056	1027
Product administration interrupted	11	11	2	9	18.182	0.691	0.675	0.917	1437
Attention deficit/hyperactivity disorder	10	10	4	6	40.000	0.959	0.857	1.768	573
Haematological infection	10	10	7	3	70.000	0.780	0.708	1.442	456
Thyroiditis	10	10	8	2	80.000	0.835	0.852	1.139	1067
Attention deficit hyperactivity disorder	10	10	6	4	60.000	0.821	0.741	1.439	740
Pneumonia cytomegaloviral	10	10	8	2	80.000	0.688	0.600	1.152	647
Acute graft versus host disease in skin	10	10	9	1	90.000	0.823	0.764	1.549	1826
Chronic graft versus host disease in skin	10	10	9	1	90.000	0.773	0.671	1.602	878
Hepatic necrosis	10	10	7	3	70.000	0.789	0.710	1.291	397
Aortic stenosis	10	10	1	9	10.000	0.889	0.864	1.374	604
Chronic graft versus host disease	10	10	8	2	80.000	0.671	0.672	0.968	1875
Mycobacterium tuberculosis complex test positive	10	10	1	9	10.000	0.780	0.672	1.187	616
Hair growth abnormal	10	10	3	7	30.000	1.147	1.117	1.780	2041
Respiratory rate decreased	10	10	5	5	50.000	0.772	0.717	1.149	501
Freezing phenomenon	10	10	9	1	90.000	0.634	0.627	0.795	695
Conjunctival hyperaemia	10	10	4	6	40.000	0.695	0.640	1.037	501
Heart rate abnormal	10	10	2	8	20.000	0.743	0.723	1.330	508
Choking sensation	10	10	0	10	0.000	0.960	0.880	1.562	597
Brain neoplasm	10	10	1	9	10.000	1.211	0.804	3.327	592
Heart transplant rejection	10	10	9	1	90.000	0.668	0.582	1.327	531
CD4 lymphocytes decreased	10	10	10	0	100.000	0.751	0.683	1.167	656
Venous thrombosis	10	10	9	1	90.000	1.027	1.041	1.305	789
Acquired gene mutation	10	10	6	4	60.000	0.907	0.734	1.812	908
Hepatic cancer	10	10	9	1	90.000	0.907	0.874	1.474	14067
Febrile infection	10	10	6	4	60.000	0.855	0.837	1.238	521
Brain natriuretic peptide increased	10	10	6	4	60.000	1.099	1.088	1.683	751
Intervertebral disc disorder	10	10	2	8	20.000	0.751	0.685	1.244	471
Hyperammonaemic encephalopathy	10	10	10	0	100.000	0.952	0.859	1.783	1057
Oesophageal candidiasis	10	10	5	5	50.000	0.681	0.676	0.862	567
Brain herniation	10	10	10	0	100.000	0.872	0.738	1.816	431
Feeling drunk	10	10	3	7	30.000	0.716	0.594	1.161	629
Product residue present	10	10	1	9	10.000	0.772	0.700	1.192	868
Feeling of body temperature change	10	10	0	10	0.000	0.738	0.677	1.231	651
Product taste abnormal	10	10	3	7	30.000	0.722	0.671	0.969	909
Squamous cell carcinoma of skin	10	10	5	5	50.000	0.750	0.721	1.188	757
Myelopathy	10	10	9	1	90.000	1.033	0.967	1.424	480
Neck mass	10	10	2	8	20.000	0.817	0.828	1.222	646
Self injurious behaviour	10	10	5	5	50.000	0.763	0.678	1.253	832
Aplasia pure red cell	10	10	9	1	90.000	0.893	0.796	1.673	824
Cerebral aspergillosis	10	10	8	2	80.000	1.117	0.908	2.319	593
Nasal obstruction	10	10	2	8	20.000	1.296	1.073	2.504	967
Central nervous system lymphoma	10	10	6	4	60.000	0.828	0.784	1.178	904
Substance use	10	10	9	1	90.000	0.972	0.996	1.455	734
Renal function test abnormal	10	10	4	6	40.000	0.845	0.776	1.227	553
Product supply issue	10	10	3	7	30.000	0.757	0.743	1.022	587
X-ray abnormal	10	10	9	1	90.000	1.408	1.254	2.696	5680
Thrombotic thrombocytopenic purpura	10	10	5	5	50.000	0.916	0.768	1.953	489
Application site erythema	10	10	1	9	10.000	0.955	0.891	2.068	3783
Galactorrhoea	10	10	9	1	90.000	1.805	1.651	3.309	5642
Wrong drug administered	10	10	4	6	40.000	0.755	0.648	1.509	359
Intervertebral discitis	10	10	10	0	100.000	0.904	0.741	1.937	603
Finger deformity	10	10	8	2	80.000	1.088	1.026	1.979	5272
Laryngeal oedema	10	10	5	5	50.000	0.814	0.741	1.471	735
Immune thrombocytopenic purpura	10	10	7	3	70.000	0.833	0.868	1.174	394
Anal fissure	10	10	2	8	20.000	0.830	0.848	1.016	797
Depression suicidal	10	10	1	9	10.000	1.534	1.343	2.932	881
Rheumatoid nodule	10	10	6	4	60.000	1.147	1.118	1.780	3682
Dermatitis acneiform	10	10	8	2	80.000	0.721	0.622	1.545	1092
Scoliosis	10	10	3	7	30.000	0.951	0.819	1.641	971
Swelling of eyelid	10	10	0	10	0.000	1.104	0.890	2.122	1303
Alcoholism	10	10	5	5	50.000	0.834	0.745	1.394	2288
Bezoar	10	10	8	2	80.000	0.834	0.878	1.074	777
Glucose tolerance impaired	10	10	7	3	70.000	0.848	0.803	1.246	757
Spirometry abnormal	10	10	1	9	10.000	2.207	2.550	3.468	1648
Localised oedema	10	10	2	8	20.000	0.731	0.701	1.023	382
Hyperphagia	10	10	4	6	40.000	0.752	0.785	0.985	328
Urine odour abnormal	10	10	3	7	30.000	0.688	0.585	1.088	476
Genotype drug resistance test positive	10	10	10	0	100.000	1.587	1.632	2.427	579
Disinhibition	10	10	3	7	30.000	1.155	1.070	1.973	1138
Psychological trauma	10	10	0	10	0.000	3.002	3.086	3.359	780
Inability to afford medication	10	10	3	7	30.000	0.652	0.686	0.781	550
Right ventricular failure	10	10	4	6	40.000	0.772	0.557	1.729	1766
Blindness transient	10	10	0	10	0.000	0.842	0.800	1.150	530
Device use issue	10	10	0	10	0.000	0.797	0.723	1.409	4214
Diabetes insipidus	10	10	6	4	60.000	1.004	0.927	2.219	569
Epstein-Barr virus associated lymphoproliferative disorder	10	10	7	3	70.000	0.757	0.725	1.122	1091
Abscess limb	10	10	5	5	50.000	0.682	0.642	0.948	665
Food poisoning	10	10	1	9	10.000	0.683	0.677	0.823	568
Laryngospasm	10	10	2	8	20.000	0.948	0.920	1.640	761
Sputum increased	10	10	7	3	70.000	0.924	0.903	1.553	808
Demyelination	10	10	5	5	50.000	1.146	0.952	2.357	1333
Epstein-Barr virus infection reactivation	10	10	7	3	70.000	0.971	0.884	1.957	938
Tachyarrhythmia	10	10	5	5	50.000	1.405	1.559	1.975	630
Talipes	10	10	6	4	60.000	0.805	0.743	1.475	606
Pancreatitis necrotising	10	10	8	2	80.000	0.742	0.722	0.922	366
Homicide	10	10	10	0	100.000	0.983	0.956	1.617	426
Vascular pseudoaneurysm	9	9	8	1	88.889	0.902	0.873	1.199	649
Loss of libido	9	9	2	7	22.222	0.951	0.845	1.641	1083
Synovial cyst	9	9	1	8	11.111	0.986	0.817	1.801	1227
Disorganised speech	9	9	5	4	55.556	0.840	0.729	1.463	406
Papilloma viral infection	9	9	0	9	0.000	1.030	0.907	1.925	548
Facial bones fracture	9	9	2	7	22.222	0.676	0.563	1.078	410
Cardiospasm	9	9	0	9	0.000	0.900	0.692	1.768	2661
Neoplasm recurrence	9	9	6	3	66.667	0.778	0.669	1.118	541
Enterobacter infection	9	9	9	0	100.000	1.339	1.427	2.358	726
Product communication issue	9	9	2	7	22.222	0.736	0.669	1.306	470
Accidental underdose	9	9	0	9	0.000	0.665	0.633	0.895	678
Papilloedema	9	9	1	8	11.111	0.864	0.852	1.121	524
Lumbar vertebral fracture	9	9	2	7	22.222	0.778	0.720	1.254	1054
Panic disorder	9	9	1	8	11.111	0.912	0.841	1.254	372
Plantar fasciitis	9	9	1	8	11.111	1.278	0.764	3.218	628
Plasma cell leukaemia	9	9	9	0	100.000	1.128	1.089	1.431	794
Systemic mycosis	9	9	8	1	88.889	0.918	0.674	2.010	631
Injection site abscess	9	9	6	3	66.667	1.028	0.885	1.655	718
Glomerulonephritis	9	9	6	3	66.667	0.797	0.748	1.167	393
Cardiac dysfunction	9	9	7	2	77.778	0.848	0.840	1.184	574
Diverticular perforation	9	9	2	7	22.222	0.964	0.885	1.755	365
Symptom recurrence	9	9	4	5	44.444	0.689	0.634	1.064	1064
Bronchial hyperreactivity	9	9	1	8	11.111	1.424	1.572	1.988	814
Bronchial secretion retention	9	9	6	3	66.667	1.357	1.603	1.906	1171
Bronchial wall thickening	9	9	2	7	22.222	1.021	1.012	1.818	1278
Drug level above therapeutic	9	9	5	4	55.556	0.824	0.935	1.029	513
Bronchiolitis	9	9	5	4	55.556	0.817	0.799	1.098	478
Dysaesthesia	9	9	2	7	22.222	0.765	0.774	1.022	342
Emotional poverty	9	9	3	6	33.333	0.822	0.796	1.242	903
Sacroiliitis	9	9	2	7	22.222	0.887	0.843	1.291	632
Skin tightness	9	9	0	9	0.000	0.857	0.915	1.326	2039
Umbilical hernia	9	9	4	5	44.444	0.894	0.900	1.374	675
Hypertonic bladder	9	9	0	9	0.000	1.947	2.143	3.107	716
Tumour haemorrhage	9	9	8	1	88.889	0.795	0.664	1.362	533
Candida sepsis	9	9	9	0	100.000	0.909	0.972	1.338	292
Listless	9	9	6	3	66.667	0.958	0.926	1.432	397
Allergy to animal	9	9	0	9	0.000	1.286	1.225	1.921	608
Hypofibrinogenaemia	9	9	8	1	88.889	0.853	0.861	1.210	1094
Klebsiella bacteraemia	9	9	9	0	100.000	0.777	0.752	1.169	521
Kidney transplant rejection	9	9	8	1	88.889	0.821	0.706	1.460	2707
Anal abscess	9	9	6	3	66.667	0.801	0.801	1.099	708
Demyelinating polyneuropathy	9	9	7	2	77.778	0.882	0.778	1.472	279
Colon cancer metastatic	9	9	8	1	88.889	0.931	0.946	1.364	406
Otitis media	9	9	4	5	44.444	0.758	0.652	1.104	384
Psychotic symptom	9	9	6	3	66.667	0.632	0.601	0.781	866
Colorectal cancer	9	9	8	1	88.889	0.808	0.666	1.570	37062
Hypervolaemia	9	9	7	2	77.778	0.896	0.862	1.478	354
Food intolerance	9	9	0	9	0.000	1.160	1.091	1.985	1081
Periodontitis	9	9	2	7	22.222	0.696	0.571	1.290	600
Histoplasmosis disseminated	9	9	7	2	77.778	0.829	0.855	1.266	1038
Migraine with aura	9	9	0	9	0.000	1.376	1.314	2.358	423
Purulent discharge	9	9	2	7	22.222	0.863	0.674	1.425	1002
Haemolytic uraemic syndrome	9	9	6	3	66.667	0.853	0.821	1.279	571
Product odour abnormal	9	9	5	4	55.556	0.987	1.028	1.534	1933
Haemorrhagic stroke	9	9	8	1	88.889	0.687	0.664	0.899	887
Humerus fracture	9	9	0	9	0.000	0.792	0.745	1.241	368
Toe amputation	9	9	9	0	100.000	1.066	1.103	1.940	571
Hepatosplenomegaly	9	9	5	4	55.556	0.807	0.700	1.352	422
Rheumatoid factor negative	9	9	0	9	0.000	1.969	1.780	2.914	875
Femoral neck fracture	9	9	3	6	33.333	0.703	0.623	1.071	439
Skin abrasion	9	9	6	3	66.667	0.692	0.628	1.245	360
Immune reconstitution inflammatory syndrome associated tuberculosis	9	9	9	0	100.000	1.293	1.278	2.274	483
Metabolic encephalopathy	9	9	7	2	77.778	0.734	0.707	1.036	328
Injection site irritation	9	9	0	9	0.000	0.888	0.854	1.646	750
Thrombophlebitis	9	9	0	9	0.000	0.879	0.953	1.243	263
Euglycaemic diabetic ketoacidosis	9	9	8	1	88.889	0.733	0.711	0.884	1989
Soft tissue infection	9	9	6	3	66.667	0.911	0.933	1.379	363
Progressive multiple sclerosis	9	9	0	9	0.000	0.944	0.952	1.215	790
Muscle contractions involuntary	9	9	2	7	22.222	0.696	0.697	0.862	338
Eosinophilic pneumonia	9	9	4	5	44.444	0.847	0.765	1.329	401
Parainfluenzae virus infection	9	9	5	4	55.556	1.006	0.965	1.565	447
Product physical consistency issue	9	9	6	3	66.667	1.063	0.923	1.909	1688
Transplant	9	9	8	1	88.889	0.776	0.734	1.101	606
Injection site extravasation	9	9	6	3	66.667	0.661	0.608	0.910	1259
Renal transplant failure	9	9	8	1	88.889	0.994	0.849	1.577	1076
Lyme disease	9	9	2	7	22.222	0.853	0.661	1.327	654
Lymphadenitis	9	9	2	7	22.222	1.287	1.028	2.237	660
Wound secretion	9	9	4	5	44.444	1.104	1.026	1.608	453
Blood prolactin increased	9	9	7	2	77.778	0.966	0.917	1.413	1385
Device mechanical issue	9	9	9	0	100.000	0.872	0.785	1.607	844
Paraplegia	9	9	7	2	77.778	0.929	0.838	1.315	306
Device difficult to use	9	9	0	9	0.000	0.714	0.723	0.964	33147
Muscle fatigue	9	9	1	8	11.111	0.692	0.608	0.946	578
Pemphigus	9	9	4	5	44.444	2.729	2.831	4.743	27518
Anal fistula	9	9	5	4	55.556	0.805	0.716	1.267	886
Device failure	9	9	1	8	11.111	0.792	0.714	1.369	1497
Hyperacusis	9	9	0	9	0.000	0.724	0.739	1.032	479
Maculopathy	9	9	1	8	11.111	1.157	1.263	1.843	1663
Skin injury	9	9	0	9	0.000	1.659	1.766	2.795	803
Accident at work	8	8	5	3	62.500	0.758	0.806	0.995	554
Fungal sepsis	8	8	8	0	100.000	0.905	0.808	1.360	270
Injection site nodule	8	8	6	2	75.000	0.727	0.638	1.165	892
Stupor	8	8	6	2	75.000	0.955	0.738	2.035	491
Injection site vesicles	8	8	0	8	0.000	0.629	0.586	0.791	1464
Gastritis erosive	8	8	4	4	50.000	0.766	0.743	0.949	578
Staphylococcus test positive	8	8	5	3	62.500	1.021	0.832	1.635	269
Injection site scar	8	8	0	8	0.000	0.679	0.634	0.998	871
Injection site hypersensitivity	8	8	0	8	0.000	1.277	1.341	2.150	445
Abdominal mass	8	8	1	7	12.500	0.993	0.886	1.576	304
Partial seizures	8	8	6	2	75.000	0.782	0.762	1.030	452
Immune-mediated enterocolitis	8	8	8	0	100.000	1.014	0.843	1.767	3480
Intentional underdose	8	8	1	7	12.500	0.850	0.773	1.630	1233
Plasma cell myeloma refractory	8	8	8	0	100.000	0.919	0.748	1.631	886
