drug_name	adverse_event	direction	log_ratio	n_female	n_male	total_reports
TADALAFIL	Death	female_higher	1.3045846599169526	1160	720	1880
FLUOROURACIL	Death	female_higher	1.3044978487463748	561	331	892
ZIPRASIDONE	Cardio-respiratory arrest	female_higher	1.302237988045157	57	15	72
PRASUGREL	Completed suicide	female_higher	1.2941190107479408	16	10	26
PACLITAXEL	Sudden death	female_higher	1.292385566665841	49	14	63
SODIUM CITRATE	Death	male_higher	-1.2895623342014344	33	97	130
CALCIUM CHLORIDE;GLUCOSE;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	Cardio-respiratory arrest	female_higher	1.288733366579978	28	15	43
PREGABALIN	Sudden death	female_higher	1.263139487666289	31	11	42
RISPERIDONE	Death	female_higher	1.2630925966626418	327	447	774
TRAMADOL	Sudden death	female_higher	1.2464915172367108	26	15	41
MERCAPTOPURINE	Death	female_higher	1.2457099429636134	31	20	51
RANITIDINE	Completed suicide	female_higher	1.2430145684511342	53	22	75
LEUCOVORIN	Death	female_higher	1.2401925647900474	25	19	44
CARBIDOPA;LEVODOPA	Sudden death	female_higher	1.231717734802379	27	27	54
CEFEPIME	Death	female_higher	1.231065934654538	37	22	59
METHOCARBAMOL	Completed suicide	female_higher	1.227925374546996	236	35	271
IDARUBICIN	Death	female_higher	1.2263292940656294	84	53	137
RITONAVIR	Completed suicide	female_higher	1.2232623288166171	23	10	33
CANNABIS SPP	Completed suicide	female_higher	1.2191467679365007	125	110	235
VORTIOXETINE	Completed suicide	male_higher	-1.216051784069395	126	216	342
SCOPOLAMINE	Death	male_higher	-1.2159390025144354	26	68	94
VITAMIN D3	Cardio-respiratory arrest	male_higher	-1.2052848216507863	10	19	29
ACITRETIN	Death	female_higher	1.2013915212025834	21	12	33
IXAZOMIB	Sudden death	female_higher	1.1998001235444442	12	10	22
INTERFERON GAMMA	Death	female_higher	1.1958148277451213	10	13	23
PEMBROLIZUMAB	Cell death	female_higher	1.189658509362654	26	11	37
SENNA SPP	Death	male_higher	-1.1742817184255845	32	81	113
CALCIUM	Death	male_higher	-1.160722345522427	77	121	198
INFLIXIMAB	Completed suicide	male_higher	-1.153901096640383	11	24	35
BUMETANIDE	Completed suicide	female_higher	1.1534514188213365	44	17	61
FLUPENTIXOL	Completed suicide	female_higher	1.1524092101908765	50	15	65
UMECLIDINIUM	Death	male_higher	-1.1518526101907978	38	145	183
CANNABINOIDS	Cardio-respiratory arrest	female_higher	1.1459711722011003	95	84	179
MAGNESIUM	Death	male_higher	-1.1439809068486597	57	136	193
CHLORPROMAZINE	Death	female_higher	1.1438235719782432	42	27	69
CARBON MONOXIDE	Cardio-respiratory arrest	female_higher	1.1409977972747947	35	29	64
SEMAGLUTIDE	Completed suicide	male_higher	-1.1305848432038252	17	31	48
MIDOMAFETAMINE	Completed suicide	female_higher	1.1298336290140107	34	31	65
OXYBUTYNIN	Completed suicide	male_higher	-1.126502054199428	89	46	135
OXYCODONE	Sudden death	female_higher	1.1221204475404007	12	12	24
QUETIAPINE	Fear of death	male_higher	-1.1213686456291916	14	20	34
EPIRUBICIN	Death	female_higher	1.1181904945061851	443	45	488
OMBITASVIR;PARITAPREVIR;RITONAVIR	Cardio-respiratory arrest	female_higher	1.1177489419160698	33	15	48
DOXEPIN	Cardio-respiratory arrest	female_higher	1.110477075136124	104	30	134
ETHANOL	Sudden death	female_higher	1.1049088175831034	12	13	25
CHLORAMBUCIL	Death	female_higher	1.1025150865050632	20	25	45
ACETYLSALICYLIC ACID;DIPYRIDAMOLE	Death	male_higher	-1.1012138364972357	19	46	65
HALOPERIDOL	Brain death	female_higher	1.0993145554597055	21	11	32
TALAZOPARIB	Death	female_higher	1.098598896420803	78	41	119
GLUCOSE;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	Sudden cardiac death	female_higher	1.097539696064948	16	18	34
BOTULINUM TOXIN	Death	male_higher	-1.0932980183121714	652	489	1141
AZACITIDINE	Cardio-respiratory arrest	female_higher	1.0929160110156184	18	14	32
DEXAMFETAMINE;AMFETAMINE	Completed suicide	female_higher	1.0925460421100097	24	11	35
CYCLOBENZAPRINE HYDROCHLORIDE	Completed suicide	male_higher	-1.0917295951651402	22	11	33
SOTALOL	Cardio-respiratory arrest	female_higher	1.0908817972118194	26	12	38
ATOVAQUONE	Death	female_higher	1.0896447698380833	20	16	36
MINOCYCLINE	Death	male_higher	-1.0856406042771294	14	31	45
ASENAPINE	Completed suicide	female_higher	1.0786913327106855	114	30	144
RIZATRIPTAN	Completed suicide	male_higher	-1.0745544174684813	10	11	21
CLONIDINE	Death	female_higher	1.0722377972055441	180	74	254
VITAMIN B6	Death	male_higher	-1.0691423817560746	21	80	101
ALANINE;ARGININE;CALCIUM;GLYCINE;HISTIDINE;ISOLEUCINE;LEUCINE;LYSINE;MAGNESIUM;METHIONINE;PHENYLALANINE;PROLINE;SERINE;SODIUM CHLORIDE;SODIUM LACTATE;THREONINE;TRYPTOPHAN, L-;TYROSINE;VALINE	Death	female_higher	1.068572698992008	191	188	379
DASABUVIR	Cardio-respiratory arrest	female_higher	1.0649267635057973	32	14	46
TIGECYCLINE	Death	female_higher	1.0632131118062231	45	39	84
PALIPERIDONE	Sudden death	female_higher	1.0596777231374388	28	47	75
DIAMORPHINE	Completed suicide	female_higher	1.0595824790525212	166	160	326
NORDAZEPAM	Completed suicide	female_higher	1.0589284197164441	67	68	135
HYDROCODONE;PARACETAMOL	Cardio-respiratory arrest	female_higher	1.0560292037328989	555	336	891
FORMOTEROL;MOMETASONE	Death	male_higher	-1.0542085638897956	15	43	58
RANITIDINE	Cardio-respiratory arrest	female_higher	1.0541853291297034	44	28	72
PRIMIDONE	Completed suicide	female_higher	1.051318575755129	94	35	129
SALMETEROL	Death	female_higher	1.0503540155194577	53	19	72
GABAPENTIN	Accidental death	female_higher	1.0488627454024617	108	59	167
CISATRACURIUM	Cardio-respiratory arrest	female_higher	1.0450417973689126	21	14	35
ROSIGLITAZONE	Sudden cardiac death	female_higher	1.0425010003272464	125	187	312
METAMFETAMINE	Completed suicide	female_higher	1.0399773319390984	265	204	469
OXCARBAZEPINE	Cardio-respiratory arrest	female_higher	1.039055439869409	69	29	98
VALPROIC ACID	Brain death	female_higher	1.0388897018872196	22	10	32
