drug_name	adverse_event	log_ratio	n_female	n_male	direction	total_reports	abs_lr
POTASSIUM	Ventricular fibrillation	-1.865	20	165	male_higher	185	1.865
VITAMIN K	Pulmonary embolism	-1.857	10	108	male_higher	118	1.857
ONDANSETRON	Pulmonary embolism	-1.840	42	147	male_higher	189	1.840
TOFACITINIB	Anaphylactic reaction	1.835	322	10	female_higher	332	1.835
VITAMIN D3	Pulmonary embolism	-1.831	95	226	male_higher	321	1.831
LIRAGLUTIDE	Pulmonary embolism	-1.818	24	81	male_higher	105	1.818
SODIUM PHOSPHATE	Renal failure acute	1.815	132	58	female_higher	190	1.815
SILDENAFIL	Cardiac failure congestive	1.803	232	119	female_higher	351	1.803
POLATUZUMAB VEDOTIN	Pancytopenia	1.786	83	29	female_higher	112	1.786
LEVOTHYROXINE	Pulmonary embolism	-1.774	179	193	male_higher	372	1.774
CALCIUM;VITAMIN D3	Pulmonary embolism	-1.774	54	117	male_higher	171	1.774
LEVETIRACETAM	Ventricular fibrillation	1.768	101	28	female_higher	129	1.768
PREGABALIN	Anaphylactic reaction	1.744	231	16	female_higher	247	1.744
SILDENAFIL CITRATE	Death	1.732	102	56	female_higher	158	1.732
CIPROFLOXACIN	Cardiac failure congestive	1.721	117	20	female_higher	137	1.721
TOCILIZUMAB	Pulmonary embolism	-1.714	284	438	male_higher	722	1.714
TADALAFIL	Cardiac failure	1.695	364	128	female_higher	492	1.695
PARACETAMOL	Ventricular fibrillation	-1.681	42	201	male_higher	243	1.681
BUDESONIDE	Pulmonary embolism	-1.662	105	376	male_higher	481	1.662
SILDENAFIL	Renal failure	1.649	120	90	female_higher	210	1.649
DOBUTAMINE	Pulmonary embolism	-1.642	15	104	male_higher	119	1.642
SILDENAFIL	Cardiac failure	1.639	245	164	female_higher	409	1.639
SENNA SPP	Pulmonary embolism	-1.637	40	94	male_higher	134	1.637
TAMSULOSIN	Renal failure	1.624	18	85	female_higher	103	1.624
TOCILIZUMAB	Renal failure	-1.608	168	386	male_higher	554	1.608
ESCITALOPRAM	Pulmonary embolism	-1.598	96	279	male_higher	375	1.598
FLUTICASONE	Pulmonary embolism	-1.594	64	170	male_higher	234	1.594
INSULIN	Ventricular fibrillation	-1.571	33	215	male_higher	248	1.571
VASOPRESSIN	Ventricular fibrillation	-1.570	13	154	male_higher	167	1.570
RISPERIDONE	Cardio-respiratory arrest	1.567	156	130	female_higher	286	1.567
RISPERIDONE	Cardiac arrest	1.561	169	157	female_higher	326	1.561
ETANERCEPT	Anaphylactic reaction	1.561	960	54	female_higher	1014	1.561
CEFTRIAXONE	Pulmonary embolism	-1.550	33	166	male_higher	199	1.550
EPIRUBICIN	Cardiac failure	1.550	333	19	female_higher	352	1.550
SILDENAFIL	Death	1.537	1449	1347	female_higher	2796	1.537
GOLIMUMAB	Anaphylactic reaction	1.520	306	16	female_higher	322	1.520
LEVOFLOXACIN	Pulmonary embolism	-1.514	78	277	male_higher	355	1.514
TADALAFIL	Cardiac failure congestive	1.514	179	67	female_higher	246	1.514
FELODIPINE	Pulmonary embolism	-1.508	28	74	male_higher	102	1.508
