drug_name	adverse_event	log_ratio	n_female	n_male	ror_female	ror_male	direction	abs_lr
DEXAMETHASONE	Complication of device insertion	-4.405	65	70	0.847	69.385	male_higher	4.405
VITAMIN B9	Wound	4.402	3728	12	350.274	4.290	female_higher	4.402
SULFAMETHOXAZOLE;TRIMETHOPRIM	Wound	4.397	1499	10	49.152	0.605	female_higher	4.397
PERTUZUMAB	SARS-CoV-2 test positive	-4.395	21	46	1.337	108.367	male_higher	4.395
LEFLUNOMIDE	Apparent death	-4.389	22	289	2.907	234.202	male_higher	4.389
ZIDOVUDINE	Abortion spontaneous	-4.389	50	11	7.971	642.125	male_higher	4.389
PREDNISONE	Glossodynia	4.384	6082	34	105.070	1.311	female_higher	4.384
METHOTREXATE	Pemphigus	4.371	6680	22	258.336	3.265	female_higher	4.371
INFLIXIMAB	Glossodynia	4.365	5962	25	91.328	1.161	female_higher	4.365
BOTULINUM TOXIN	Sedation	-4.360	20	262	0.374	29.273	male_higher	4.360
OXYCODONE	Wound	4.358	2434	27	22.664	0.290	female_higher	4.358
ALENDRONIC ACID	Conjunctivitis allergic	-4.357	10	81	6.389	498.372	male_higher	4.357
ETANERCEPT	Glossodynia	4.349	6286	15	24.232	0.313	female_higher	4.349
OXYCODONE;PARACETAMOL	Hepatic enzyme increased	4.346	1441	16	13.596	0.176	female_higher	4.346
VITAMIN D2	Vasculitis	-4.337	10	121	7.087	542.209	male_higher	4.337
RITUXIMAB	Obesity	4.335	1172	20	27.359	0.359	female_higher	4.335
OXYCODONE	Synovitis	4.316	2510	13	31.816	0.425	female_higher	4.316
GOLIMUMAB	Confusional state	4.303	2867	14	8.878	0.120	female_higher	4.303
SULFASALAZINE	Apparent death	-4.301	21	278	3.949	291.443	male_higher	4.301
HYDROXYPROGESTERONE	Premature baby	-4.287	732	810	83.621	6085.199	male_higher	4.287
SODIUM PICOSULFATE	Abdominal distension	-4.281	10	181	4.241	306.583	male_higher	4.281
CETIRIZINE	General physical health deterioration	4.242	2667	17	25.026	0.360	female_higher	4.242
SULFAMETHOXAZOLE;TRIMETHOPRIM	Discomfort	4.241	1299	10	19.129	0.275	female_higher	4.241
HYDROCORTISONE	Arthropathy	4.241	2102	10	51.632	0.743	female_higher	4.241
PREDNISONE	Irritable bowel syndrome	4.235	2539	13	31.009	0.449	female_higher	4.235
DICLOFENAC	Injury	4.234	2243	14	20.827	0.302	female_higher	4.234
LEFLUNOMIDE	Wound	4.226	4919	13	107.077	1.564	female_higher	4.226
OXYCODONE;PARACETAMOL	Wound	4.223	1150	12	22.342	0.327	female_higher	4.223
CETIRIZINE	Joint swelling	4.215	3896	12	24.550	0.363	female_higher	4.215
LETROZOLE	Cardio-respiratory arrest	-4.210	11	13	0.257	17.324	male_higher	4.210
CALCIUM	Nodule	-4.206	14	144	1.834	122.981	male_higher	4.206
SODIUM BICARBONATE;SODIUM CHLORIDE	Productive cough	-4.205	10	68	6.906	462.785	male_higher	4.205
MEDROXYPROGESTERONE	Drug intolerance	-4.200	16	10	0.339	22.628	male_higher	4.200
HYDROXYCHLOROQUINE	Discomfort	4.191	3752	11	30.549	0.462	female_higher	4.191
ESTRADIOL	Premature baby	-4.185	11	21	0.464	30.516	male_higher	4.185
HYDROCORTISONE	Joint swelling	4.181	2188	11	23.979	0.367	female_higher	4.181
OXYCODONE;PARACETAMOL	Joint swelling	4.180	1795	17	7.577	0.116	female_higher	4.180
GOLIMUMAB	Ill-defined disorder	4.168	2626	11	27.891	0.432	female_higher	4.168
OXYCODONE	Sinusitis	4.164	2897	26	6.127	0.095	female_higher	4.164
DESOXIMETASONE	Dyspnoea exertional	-4.162	11	28	0.626	40.183	male_higher	4.162
LEFLUNOMIDE	Folliculitis	4.160	3331	11	313.396	4.889	female_higher	4.160
DICLOFENAC	Delirium	4.156	829	11	18.099	0.284	female_higher	4.156
DESOXIMETASONE	Vertigo	-4.149	37	48	1.122	71.106	male_higher	4.149
CETIRIZINE	Contraindicated product administered	4.148	3885	14	113.189	1.788	female_higher	4.148
ESTRADIOL	Foetal exposure during pregnancy	-4.146	18	38	0.260	16.433	male_higher	4.146
RITUXIMAB	Irritable bowel syndrome	4.142	2781	14	31.559	0.501	female_higher	4.142
SECUKINUMAB	Delirium	4.141	642	11	6.348	0.101	female_higher	4.141
SODIUM AUROTHIOMALATE	Pulmonary thrombosis	-4.136	20	151	10.853	678.611	male_higher	4.136
INTRAUTERINE CONTRACEPTIVE DEVICE;LEVONORGESTREL	Foetal exposure during pregnancy	-4.135	30	23	0.135	8.423	male_higher	4.135
LEFLUNOMIDE	Pericarditis	4.131	4329	16	237.971	3.823	female_higher	4.131
RUPATADINE	Condition aggravated	-4.124	10	108	1.248	77.110	male_higher	4.124
OXYCODONE	Hepatic enzyme increased	4.119	2569	41	10.921	0.178	female_higher	4.119
VITAMIN B9	Contraindicated product administered	4.117	3453	11	254.225	4.144	female_higher	4.117
VITAMIN D2	Mycotic allergy	-4.108	16	143	152.640	9286.582	male_higher	4.108
OXYCODONE	Psoriatic arthropathy	4.100	1623	24	9.677	0.160	female_higher	4.100
OXYCODONE;PARACETAMOL	Contusion	4.097	1369	16	7.901	0.131	female_higher	4.097
PERTUZUMAB	Tooth disorder	-4.096	10	12	0.400	24.064	male_higher	4.096
SULFAMETHOXAZOLE;TRIMETHOPRIM	Joint swelling	4.095	2283	18	16.342	0.272	female_higher	4.095
HYDROCORTISONE	Impaired healing	4.093	1571	10	75.816	1.265	female_higher	4.093
SODIUM AUROTHIOMALATE	Apparent death	-4.092	20	150	34.965	2093.371	male_higher	4.092
HYDROXYCHLOROQUINE	Blister	4.089	2987	11	27.592	0.462	female_higher	4.089
CYPROTERONE;ETHINYLESTRADIOL	Malaise	-4.089	12	10	2.362	140.944	male_higher	4.089
USTEKINUMAB	Obesity	4.077	743	15	29.986	0.509	female_higher	4.077
ALENDRONIC ACID;VITAMIN D3	Hypoacusis	-4.076	17	48	2.809	165.459	male_higher	4.076
GOLIMUMAB	Wound	4.074	4884	23	89.779	1.527	female_higher	4.074
GOLIMUMAB	Folliculitis	4.064	3028	15	214.422	3.683	female_higher	4.064
HYDROXYCHLOROQUINE SULFATE	Apparent death	-4.064	13	124	8.471	492.804	male_higher	4.064
BACLOFEN	Implant site scar	-4.062	27	32	38.013	2207.271	male_higher	4.062
GLYCERYL TRINITRATE	Orthostatic hypotension	4.058	462	13	324.755	5.614	female_higher	4.058
GLUCOSE	Abdominal distension	-4.051	10	234	0.690	39.634	male_higher	4.051
SODIUM AUROTHIOMALATE	Pulmonary embolism	-4.051	21	156	1.668	95.800	male_higher	4.051
METHOTREXATE	Helicobacter infection	4.051	3538	16	90.567	1.577	female_higher	4.051
OXYCODONE	Peripheral venous disease	4.027	861	11	62.344	1.111	female_higher	4.027
HYDROXYCHLOROQUINE	Apparent death	-4.026	17	225	2.302	129.042	male_higher	4.026
GOLIMUMAB	Discomfort	4.020	3951	16	26.881	0.482	female_higher	4.020
DESOXIMETASONE	Eczema	-4.015	26	49	1.124	62.301	male_higher	4.015
PSEUDOEPHEDRINE	Pain	4.015	3790	12	23.921	0.432	female_higher	4.015
RITUXIMAB	Folliculitis	4.011	2831	30	102.265	1.852	female_higher	4.011
RITUXIMAB	Pericarditis	4.003	4362	61	111.243	2.031	female_higher	4.003
OXYCODONE	Pulmonary fibrosis	3.998	626	17	10.886	0.200	female_higher	3.998
SULFAMETHOXAZOLE;TRIMETHOPRIM	Infusion related reaction	3.998	1724	20	29.355	0.539	female_higher	3.998
ALMOTRIPTAN	Hyperhidrosis	-3.997	24	240	12.445	677.331	male_higher	3.997
DICLOFENAC	Wound	3.987	4390	34	92.665	1.719	female_higher	3.987
OXYCODONE;PARACETAMOL	Treatment failure	3.987	608	11	4.367	0.081	female_higher	3.987
BUPRENORPHINE	Epilepsy	3.986	549	11	11.790	0.219	female_higher	3.986
MISOPROSTOL	Maternal exposure during pregnancy	-3.985	207	33	8.192	440.756	male_higher	3.985
DESOXIMETASONE	Palpitations	-3.981	48	46	0.766	41.020	male_higher	3.981
CORTISONE	Rhinitis	-3.977	10	54	3.047	162.589	male_higher	3.977
VITAMIN A	Stress	-3.976	14	92	5.194	276.825	male_higher	3.976
APREMILAST	Liver injury	3.971	1106	11	12.725	0.240	female_higher	3.971
RITUXIMAB	Injury	3.971	2281	26	9.758	0.184	female_higher	3.971
PREDNISONE	Wound	3.964	4965	65	55.057	1.045	female_higher	3.964
PREDNISONE	Pericarditis	3.964	4370	73	123.999	2.355	female_higher	3.964
ATOMOXETINE	Obesity	3.959	339	12	155.154	2.960	female_higher	3.959
CARBIDOPA;LEVODOPA	Complication of device insertion	-3.956	17	20	0.455	23.800	male_higher	3.956
INFLIXIMAB	Obesity	3.952	1163	25	27.226	0.523	female_higher	3.952
OXYCODONE	Blood cholesterol increased	3.950	1384	22	8.597	0.166	female_higher	3.950
EMTRICITABINE	Abortion spontaneous	-3.947	53	11	20.379	1055.353	male_higher	3.947
ABATACEPT	Onychoclasis	-3.946	25	84	0.545	28.200	male_higher	3.946
INTRAUTERINE CONTRACEPTIVE DEVICE	Injury	-3.945	292	31	2.409	124.480	male_higher	3.945
CETIRIZINE	Therapeutic product effect decreased	3.945	2464	13	46.430	0.899	female_higher	3.945
DICLOFENAC	Irritable bowel syndrome	3.942	2731	12	67.464	1.309	female_higher	3.942
TRASTUZUMAB EMTANSINE	Tooth disorder	-3.939	13	11	1.258	64.637	male_higher	3.939
IRON	Blood cholesterol increased	-3.937	10	109	0.261	13.400	male_higher	3.937
LEVOFLOXACIN	Orthostatic hypotension	3.935	492	13	43.923	0.858	female_higher	3.935
CALCIUM	Vasculitis	-3.933	12	146	2.608	133.200	male_higher	3.933
OXYCODONE;PARACETAMOL	Peripheral swelling	3.931	1669	27	5.279	0.104	female_higher	3.931
DICLOFENAC	Type 2 diabetes mellitus	3.930	2593	15	44.223	0.869	female_higher	3.930
GOLD (198 AU)	Diverticulitis	-3.930	32	144	6.915	352.036	male_higher	3.930
ATOMOXETINE	Epilepsy	3.926	523	16	117.939	2.325	female_higher	3.926
OXYCODONE;PARACETAMOL	Nasopharyngitis	3.924	1508	22	4.241	0.084	female_higher	3.924
USTEKINUMAB	Liver injury	3.924	1322	19	30.296	0.599	female_higher	3.924
