drug_name	adverse_event	log_ratio	n_female	n_male	ror_female	ror_male	direction	abs_lr
PERTUZUMAB	Nasal discomfort	-3.647	16	10	1.882	72.146	male_higher	3.647
USTEKINUMAB	Pericarditis	3.645	2641	38	91.020	2.377	female_higher	3.645
SULFASALAZINE	Lower respiratory tract infection	3.645	2328	11	34.809	0.910	female_higher	3.645
VITAMIN B9	Intentional product use issue	3.644	1866	16	50.216	1.313	female_higher	3.644
SODIUM AUROTHIOMALATE	Haemoglobin decreased	-3.642	15	98	1.084	41.382	male_higher	3.642
PETHIDINE	Product use in unapproved indication	-3.642	17	189	0.322	12.277	male_higher	3.642
ABATACEPT	Liver injury	3.640	2117	11	25.274	0.664	female_higher	3.640
BISACODYL	Dry mouth	-3.640	12	126	0.993	37.815	male_higher	3.640
LACTULOSE	Balance disorder	3.639	537	10	67.581	1.777	female_higher	3.639
HYDROXYCHLOROQUINE	Impaired healing	3.638	2754	14	46.670	1.227	female_higher	3.638
VITAMIN D3	Nodule	-3.638	13	106	2.061	78.338	male_higher	3.638
EPINEPHRINE	Systemic lupus erythematosus	-3.637	23	74	1.117	42.418	male_higher	3.637
OXYCODONE	Irritable bowel syndrome	3.637	3021	47	42.019	1.107	female_higher	3.637
SODIUM BICARBONATE;SODIUM CHLORIDE	Influenza	-3.636	12	44	2.973	112.839	male_higher	3.636
CORTISONE	Deep vein thrombosis	-3.634	11	58	0.537	20.343	male_higher	3.634
MYCOPHENOLIC ACID	Sciatica	3.633	963	14	29.906	0.791	female_higher	3.633
DICLOFENAC	Therapeutic product effect decreased	3.631	2646	27	29.340	0.777	female_higher	3.631
GOLIMUMAB	Injury	3.626	1967	14	14.931	0.397	female_higher	3.626
APREMILAST	Injury	3.626	1300	15	5.230	0.139	female_higher	3.626
ISOTRETINOIN	Exposure via body fluid	-3.624	11	34	6.721	252.036	male_higher	3.624
ESCITALOPRAM	Sleep disorder due to a general medical condition	-3.624	12	208	0.736	27.613	male_higher	3.624
SECUKINUMAB	Liver injury	3.619	1953	37	25.011	0.671	female_higher	3.619
NEVIRAPINE	Abortion spontaneous	-3.615	103	11	18.110	673.041	male_higher	3.615
CERTOLIZUMAB	Intentional product use issue	3.613	2002	15	6.830	0.184	female_higher	3.613
PENTOSAN POLYSULFATE	Stress	-3.612	10	15	0.549	20.331	male_higher	3.612
SULFAMETHOXAZOLE	Stomatitis	3.611	1619	11	325.404	8.798	female_higher	3.611
LEFLUNOMIDE	Confusional state	3.608	3140	20	11.509	0.312	female_higher	3.608
SODIUM AUROTHIOMALATE	Renal failure	-3.608	20	157	1.398	51.555	male_higher	3.608
METHOTREXATE	Prescribed underdose	3.604	888	11	5.924	0.161	female_higher	3.604
CEFALEXIN	Asthma	-3.603	21	151	0.743	27.266	male_higher	3.603
ALENDRONIC ACID;VITAMIN D3	Cardiac failure congestive	-3.601	29	54	3.906	143.129	male_higher	3.601
AMLODIPINE	Sedation	3.600	516	14	14.905	0.407	female_higher	3.600
RANITIDINE	Upper respiratory tract infection	3.599	528	11	1.212	0.033	female_higher	3.599
SULFAMETHOXAZOLE	Pyrexia	3.599	1685	19	75.231	2.058	female_higher	3.599
PERTUZUMAB	Neutrophil count increased	-3.597	32	57	4.225	154.231	male_higher	3.597
MISOPROSTOL	Foetal exposure during delivery	-3.597	31	55	1088.528	39706.154	male_higher	3.597
OXYCODONE	Myositis	3.596	166	10	7.927	0.217	female_higher	3.596
CELECOXIB	Sedation	-3.594	19	259	0.695	25.303	male_higher	3.594
PANTOPRAZOLE	Infusion related reaction	3.594	1431	20	12.691	0.349	female_higher	3.594
RANITIDINE	Peripheral swelling	3.591	552	13	0.328	0.009	female_higher	3.591
GOLIMUMAB	Impaired healing	3.590	3126	20	45.581	1.259	female_higher	3.590
CORTISONE	Tinnitus	-3.587	17	62	0.939	33.909	male_higher	3.587
PREDNISONE	C-reactive protein abnormal	3.584	1462	16	59.859	1.661	female_higher	3.584
SULFAMETHOXAZOLE;TRIMETHOPRIM	Blood cholesterol increased	3.584	695	10	15.296	0.425	female_higher	3.584
SULFAMETHOXAZOLE;TRIMETHOPRIM	Contraindicated product administered	3.583	1269	15	34.458	0.958	female_higher	3.583
DICLOFENAC	Impaired healing	3.582	2822	28	48.153	1.340	female_higher	3.582
NORTRIPTYLINE	Nightmare	-3.581	17	268	3.362	120.737	male_higher	3.581
LEFLUNOMIDE	Onychoclasis	-3.581	31	82	1.543	55.399	male_higher	3.581
METFORMIN	Abortion spontaneous	-3.581	190	14	1.525	54.739	male_higher	3.581
GOLIMUMAB	Blister	3.579	3319	24	25.952	0.724	female_higher	3.579
LETROZOLE	Abnormal behaviour	-3.577	13	10	0.386	13.804	male_higher	3.577
RITUXIMAB	Discomfort	3.576	4181	58	15.629	0.437	female_higher	3.576
TRASTUZUMAB	SARS-CoV-2 test positive	-3.575	18	48	0.525	18.762	male_higher	3.575
TALC	Deformity	-3.575	23	62	83.892	2994.829	male_higher	3.575
TRIAMCINOLONE	General physical health deterioration	3.571	788	14	14.409	0.405	female_higher	3.571
SULFAMETHOXAZOLE;TRIMETHOPRIM	Peripheral swelling	3.569	2153	38	11.492	0.324	female_higher	3.569
LEFLUNOMIDE	Tooth fracture	-3.569	20	84	0.731	25.958	male_higher	3.569
GOLIMUMAB	Type 2 diabetes mellitus	3.566	2340	12	32.348	0.914	female_higher	3.566
USTEKINUMAB	Joint range of motion decreased	3.566	1122	12	33.882	0.958	female_higher	3.566
DICLOFENAC;MISOPROSTOL	Alopecia	-3.566	15	23	0.788	27.878	male_higher	3.566
PERTUZUMAB	Lymphocyte count decreased	-3.566	68	58	3.606	127.494	male_higher	3.566
CLOTRIMAZOLE	Dyspnoea	-3.564	19	126	0.363	12.826	male_higher	3.564
DOXAZOSIN	Asthma	-3.563	12	357	0.784	27.658	male_higher	3.563
LEFLUNOMIDE	Pulmonary thrombosis	-3.562	28	180	1.149	40.467	male_higher	3.562
USTEKINUMAB	Discomfort	3.561	2335	31	15.548	0.442	female_higher	3.561
OXYCODONE	Type 2 diabetes mellitus	3.559	1630	32	13.916	0.396	female_higher	3.559
RADIUM-223 DICHLORIDE	Off label use	3.556	11	53	8.916	0.255	female_higher	3.556
FLUTICASONE;SALMETEROL	Conjunctivitis allergic	-3.556	11	211	6.323	221.381	male_higher	3.556
DICLOFENAC	Hepatic cirrhosis	3.555	559	11	19.195	0.549	female_higher	3.555
GOLIMUMAB	Systemic lupus erythematosus	3.555	6230	11	74.154	2.120	female_higher	3.555
TRAMADOL	Wheezing	3.554	1458	28	13.005	0.372	female_higher	3.554
USTEKINUMAB	Folliculitis	3.553	1659	20	81.076	2.323	female_higher	3.553
SECUKINUMAB	Lip dry	3.552	1241	15	36.098	1.035	female_higher	3.552
TRAMADOL	Wound	3.548	902	13	14.686	0.422	female_higher	3.548
VITAMIN D2	Dysphonia	-3.548	17	81	1.781	61.866	male_higher	3.548
CETIRIZINE	Swelling	3.548	4435	30	40.102	1.155	female_higher	3.548
INFLIXIMAB	Sleep disorder due to general medical condition, insomnia type	3.547	1879	14	82.390	2.375	female_higher	3.547
SODIUM BICARBONATE;SODIUM CHLORIDE	Cough	-3.544	35	79	3.891	134.592	male_higher	3.544
BETAMETHASONE	Hyponatraemia	-3.542	15	233	0.959	33.119	male_higher	3.542
NAPROXEN	Road traffic accident	3.542	779	12	12.883	0.373	female_higher	3.542
CALCITRIOL	Abdominal distension	-3.540	12	208	2.007	69.201	male_higher	3.540
RIBAVIRIN	Pregnancy	-3.539	56	27	1.743	60.022	male_higher	3.539
CETIRIZINE	Mobility decreased	3.539	1963	14	20.291	0.589	female_higher	3.539
METHOTREXATE	Injury	3.538	2330	28	6.484	0.188	female_higher	3.538
CALCIUM	Hypoxia	-3.538	12	155	0.928	31.930	male_higher	3.538
OXYCODONE	Epilepsy	3.537	544	25	5.881	0.171	female_higher	3.537
VITAMIN B9	Discomfort	3.533	3145	20	111.786	3.265	female_higher	3.533
PANTOPRAZOLE	Impaired healing	3.532	1025	13	16.525	0.483	female_higher	3.532
CETIRIZINE	Treatment failure	3.531	2429	23	25.722	0.753	female_higher	3.531
CALCIUM	Eosinophilic granulomatosis with polyangiitis	-3.530	14	165	20.148	687.707	male_higher	3.530
RANITIDINE	Treatment failure	3.529	549	17	0.775	0.023	female_higher	3.529
PROGESTERONE	Foetal exposure during pregnancy	-3.527	115	174	10.967	373.246	male_higher	3.527
NAPROXEN	Stomatitis	3.527	1458	14	13.092	0.385	female_higher	3.527
CERTOLIZUMAB	Blood cholesterol increased	3.526	2285	11	14.045	0.413	female_higher	3.526
FORMOTEROL;MOMETASONE	Nodule	-3.523	18	182	3.895	132.029	male_higher	3.523
ETANERCEPT	Helicobacter infection	3.522	3563	19	35.203	1.040	female_higher	3.522
DESOXIMETASONE	Diabetes mellitus	-3.522	19	29	0.671	22.710	male_higher	3.522
APREMILAST	Folliculitis	3.519	1294	11	29.707	0.881	female_higher	3.519
GLUCOSE	Constipation	-3.519	12	208	0.426	14.356	male_higher	3.519
GOLIMUMAB	Stomatitis	3.517	3032	21	20.667	0.613	female_higher	3.517
USTEKINUMAB	Dry mouth	3.517	1040	14	5.313	0.158	female_higher	3.517
APREMILAST	Stomatitis	3.516	1315	14	4.492	0.134	female_higher	3.516
ABATACEPT	Chondropathy	-3.511	26	92	1.751	58.619	male_higher	3.511
RAMIPRIL	Road traffic accident	3.510	371	12	13.048	0.390	female_higher	3.510
RITUXIMAB	Lower limb fracture	3.509	934	11	9.907	0.296	female_higher	3.509
ESCITALOPRAM	Systemic lupus erythematosus	-3.509	32	77	0.677	22.612	male_higher	3.509
TOCILIZUMAB	Discomfort	3.507	4210	25	19.364	0.581	female_higher	3.507
RAMIPRIL	Treatment failure	3.505	628	16	9.380	0.282	female_higher	3.505
TOFACITINIB	Glossodynia	3.504	4295	14	35.939	1.081	female_higher	3.504
ROSUVASTATIN	Creatinine renal clearance decreased	3.499	368	11	137.606	4.158	female_higher	3.499
SECUKINUMAB	Pericarditis	3.499	2031	27	31.902	0.964	female_higher	3.499
ALENDRONIC ACID	Chest X-ray abnormal	-3.499	12	30	3.889	128.721	male_higher	3.499
MYCOPHENOLIC ACID	Gait inability	3.496	603	14	8.187	0.248	female_higher	3.496
ETANERCEPT	Muscle injury	3.494	3012	23	44.059	1.338	female_higher	3.494
METHOTREXATE	Folliculitis	3.494	3380	50	97.898	2.974	female_higher	3.494
LEFLUNOMIDE	Blister	3.488	3638	19	34.060	1.041	female_higher	3.488
INFLIXIMAB	Prescribed underdose	3.487	755	13	7.642	0.234	female_higher	3.487
TRIAMCINOLONE	Nightmare	-3.480	11	174	0.626	20.318	male_higher	3.480
TOFACITINIB	Folliculitis	3.479	2447	14	54.100	1.668	female_higher	3.479
METHYLPREDNISOLONE	Prescribed overdose	3.479	569	17	21.671	0.668	female_higher	3.479
MYCOPHENOLIC ACID	Prescribed underdose	3.475	411	12	9.744	0.302	female_higher	3.475
PREDNISONE	Gangrene	3.475	171	10	12.024	0.372	female_higher	3.475
ONDANSETRON	Sedation	-3.475	13	254	0.891	28.783	male_higher	3.475
MIFEPRISTONE	Maternal exposure during pregnancy	-3.475	56	10	2.178	70.325	male_higher	3.475
GOLD (198 AU)	Photosensitivity reaction	-3.474	20	86	8.091	261.015	male_higher	3.474
CETIRIZINE	Folliculitis	3.473	2569	22	319.998	9.927	female_higher	3.473
OXYCODONE;PARACETAMOL	Drug intolerance	3.472	1247	27	6.739	0.209	female_higher	3.472
PREDNISONE	Road traffic accident	3.470	1048	30	7.661	0.238	female_higher	3.470
OXYCODONE	Peripheral swelling	3.469	3252	94	4.552	0.142	female_higher	3.469
ALENDRONIC ACID	Spirometry abnormal	-3.468	10	78	25.823	828.606	male_higher	3.468
CETIRIZINE	Drug intolerance	3.468	3730	28	30.928	0.964	female_higher	3.468
SALBUTAMOL	Appendicitis	-3.465	11	230	0.563	17.994	male_higher	3.465
TRAMADOL	Obesity	3.465	459	19	21.438	0.671	female_higher	3.465
HYDROCORTISONE	Hepatic enzyme increased	3.464	2189	32	55.315	1.731	female_higher	3.464
DICLOFENAC	Pelvic pain	-3.463	17	36	0.311	9.912	male_higher	3.463
SALBUTAMOL	Ascites	-3.461	11	251	0.190	6.051	male_higher	3.461
METHOTREXATE	Muscle spasticity	3.459	705	10	9.771	0.307	female_higher	3.459
RELUGOLIX	Off label use	3.457	17	44	2.889	0.091	female_higher	3.457
USTEKINUMAB	Blood cholesterol increased	3.455	1809	27	18.778	0.593	female_higher	3.455
PARACETAMOL	Synovitis	3.454	2962	15	40.283	1.273	female_higher	3.454
NAPROXEN	Night sweats	3.452	948	11	17.360	0.550	female_higher	3.452
ABATACEPT	Oral surgery	-3.450	15	41	1.156	36.407	male_higher	3.450
PROGESTERONE	Low birth weight baby	-3.450	15	35	10.742	338.401	male_higher	3.450
TRIAMCINOLONE	Confusional state	3.450	702	13	8.794	0.279	female_higher	3.450
GLUCOSE	Swelling	-3.449	12	125	0.789	24.827	male_higher	3.449
DARBEPOETIN ALFA	Stress	-3.448	12	214	0.169	5.326	male_higher	3.448
TOFACITINIB	Pericarditis	3.447	3788	29	58.445	1.861	female_higher	3.447
ESTRADIOL	Pancreatitis acute	-3.445	11	11	0.472	14.799	male_higher	3.445
HERBALS, UNSPECIFIED;NUTRIENTS, UNSPECIFIED	Abdominal distension	-3.443	11	13	1.988	62.162	male_higher	3.443
UMECLIDINIUM	Stress	-3.442	18	176	1.153	36.054	male_higher	3.442
INFLIXIMAB	Blood cholesterol increased	3.442	2538	34	14.394	0.460	female_higher	3.442
OXYCODONE;PARACETAMOL	Rash	3.441	1801	56	2.552	0.082	female_higher	3.441
PARACETAMOL	Stomatitis	3.439	2590	30	11.464	0.368	female_higher	3.439
RITUXIMAB	Gangrene	3.439	187	10	12.028	0.386	female_higher	3.439
DUTASTERIDE	Product use issue	3.439	124	52	47.065	1.511	female_higher	3.439
CERTOLIZUMAB	Infusion related reaction	3.438	4399	28	20.801	0.668	female_higher	3.438
INFLIXIMAB	Liver injury	3.437	1877	40	24.242	0.780	female_higher	3.437
HYDROXYCHLOROQUINE SULFATE	Pulmonary thrombosis	-3.437	13	67	2.637	81.988	male_higher	3.437
HYDROCORTISONE	Pulmonary fibrosis	3.435	706	15	68.193	2.196	female_higher	3.435
ALMOTRIPTAN	Off label use	-3.434	20	197	1.313	40.723	male_higher	3.434
PARALDEHYDE	Drug ineffective	3.433	32	15	218.470	7.054	female_higher	3.433
MINOCYCLINE HYDROCHLORIDE	Drug hypersensitivity	-3.433	11	58	1.997	61.836	male_higher	3.433
MYCOPHENOLIC ACID	Psoriatic arthropathy	3.431	1080	25	12.984	0.420	female_higher	3.431
FORMOTEROL;MOMETASONE	Thrombosis	-3.429	10	182	0.489	15.068	male_higher	3.429
PARACETAMOL;TRAMADOL	Nightmare	-3.428	13	235	2.633	81.154	male_higher	3.428
METHYLPREDNISOLONE	Joint range of motion decreased	3.427	790	11	33.598	1.091	female_higher	3.427
OXYCODONE;PARACETAMOL	Hypersensitivity	3.427	1699	34	5.107	0.166	female_higher	3.427
CLONAZEPAM	Tearfulness	-3.427	11	100	2.023	62.253	male_higher	3.427
LEVOTHYROXINE	Systemic lupus erythematosus	-3.426	114	78	0.888	27.323	male_higher	3.426
DICLOFENAC SODIUM	Abdominal discomfort	3.426	899	11	37.782	1.228	female_higher	3.426
PERTUZUMAB	Intentional product misuse	-3.426	28	24	0.271	8.347	male_higher	3.426
MAGNESIUM	Thrombosis	-3.425	13	183	0.599	18.393	male_higher	3.425
INFLIXIMAB	Helicobacter infection	3.425	3306	32	120.897	3.936	female_higher	3.425
INFLIXIMAB	Irritable bowel syndrome	3.421	2633	23	29.504	0.964	female_higher	3.421
TRICLOSAN	Drug hypersensitivity	-3.420	19	28	5.526	169.020	male_higher	3.420
DICLOFENAC	Rheumatoid arthritis	3.419	5765	33	21.374	0.700	female_higher	3.419
USTEKINUMAB	Wound	3.418	2845	47	45.103	1.479	female_higher	3.418
MYCOPHENOLIC ACID	Road traffic accident	3.417	820	32	13.112	0.430	female_higher	3.417
SODIUM PICOSULFATE	Sepsis	-3.417	11	177	6.207	189.092	male_higher	3.417
HYDROXYCHLOROQUINE	Wheezing	3.415	1558	11	12.629	0.415	female_higher	3.415
DILTIAZEM	Orthostatic hypotension	3.414	482	16	105.273	3.464	female_higher	3.414
TESTOSTERONE	Laceration	3.414	29	18	37.579	1.237	female_higher	3.414
PENTOSAN POLYSULFATE	Drug hypersensitivity	-3.413	12	14	0.226	6.870	male_higher	3.413
SULFAMETHOXAZOLE	Arthralgia	3.413	1546	11	39.430	1.299	female_higher	3.413
CLOTRIMAZOLE	Anxiety	-3.412	23	112	0.878	26.618	male_higher	3.412
HYDROXYQUINOLINE	Pain	-3.411	27	46	19.348	586.209	male_higher	3.411
DOMPERIDONE	Thrombosis	-3.410	11	94	1.033	31.255	male_higher	3.410
RANITIDINE	Muscular weakness	3.406	346	12	0.369	0.012	female_higher	3.406
CETIRIZINE;PSEUDOEPHEDRINE	Rash	3.404	2250	10	41.807	1.390	female_higher	3.404
OXYCODONE;PARACETAMOL	Wheezing	3.401	514	15	5.016	0.167	female_higher	3.401
CARBAMAZEPINE	Sedation complication	3.400	453	16	378.030	12.619	female_higher	3.400
ABATACEPT	Pericarditis	3.399	4447	29	103.852	3.469	female_higher	3.399
DIPYRIDAMOLE	Cognitive disorder	3.397	461	12	439.353	14.705	female_higher	3.397
SULFAMETHOXAZOLE	Lymphoproliferative disorder	-3.395	11	43	25.324	755.387	male_higher	3.395
OXYCODONE;PARACETAMOL	Swelling	3.394	1458	32	8.257	0.277	female_higher	3.394
TOFACITINIB	Wound	3.394	4212	28	26.918	0.903	female_higher	3.394
INFLIXIMAB	Delirium	3.394	642	22	6.467	0.217	female_higher	3.394
CORTISONE	Accidental overdose	-3.393	11	51	0.918	27.323	male_higher	3.393
NAPROXEN	Blood cholesterol increased	3.392	1352	14	18.234	0.613	female_higher	3.392
DOMPERIDONE	Hypothyroidism	-3.392	23	120	4.612	137.123	male_higher	3.392
PARACETAMOL	Device dislocation	-3.388	11	26	0.042	1.232	male_higher	3.388
HYDROXYCHLOROQUINE	Pulmonary thrombosis	-3.388	21	154	0.885	26.192	male_higher	3.388
