kg_node_id,kg_drug_name,chembl_id,atc_code,atc_name,atc_l1,atc_l1_desc,atc_l2,atc_l2_desc,atc_l3,atc_l3_desc,atc_l4,atc_l4_desc,source
DRUG:.ALPHA.1-PROTEINASE INHIBITOR HUMAN,.ALPHA.1-PROTEINASE INHIBITOR HUMAN,CHEMBL4297879,B02AB02,alfa1 antitrypsin,B,BLOOD AND BLOOD FORMING ORGANS,B02,ANTIHEMORRHAGICS,B02A,ANTIFIBRINOLYTICS,B02AB,Proteinase inhibitors,ChEMBL_36
DRUG:ABACAVIR,ABACAVIR,CHEMBL1380,J05AF06,abacavir,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,ChEMBL_36
DRUG:ABALOPARATIDE,ABALOPARATIDE,CHEMBL3301581,H05AA04,abaloparatide,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05A,PARATHYROID HORMONES AND ANALOGUES,H05AA,Parathyroid hormones and analogues,ChEMBL_36
DRUG:ABATACEPT,ABATACEPT,CHEMBL1201823,L04AA24,abatacept,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AA,Selective immunosuppressants,ChEMBL_36
DRUG:ABCIXIMAB,ABCIXIMAB,CHEMBL1201584,B01AC13,abciximab,B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,ChEMBL_36
DRUG:ABEMACICLIB,ABEMACICLIB,CHEMBL3301610,L01EF03,abemaciclib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EF,Cyclin-dependent kinase (CDK) inhibitors,ChEMBL_36
DRUG:ABIRATERONE,ABIRATERONE,CHEMBL254328,L02BX03,abiraterone,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02,ENDOCRINE THERAPY,L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,L02BX,Other hormone antagonists and related agents,ChEMBL_36
DRUG:ABROCITINIB,ABROCITINIB,CHEMBL3655081,D11AH08,abrocitinib,D,DERMATOLOGICALS,D11,OTHER DERMATOLOGICAL PREPARATIONS,D11A,OTHER DERMATOLOGICAL PREPARATIONS,D11AH,"Agents for dermatitis, excluding corticosteroids",ChEMBL_36
DRUG:ACALABRUTINIB,ACALABRUTINIB,CHEMBL3707348,L01EL02,acalabrutinib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EL,Bruton's tyrosine kinase (BTK) inhibitors,ChEMBL_36
DRUG:ACAMPROSATE,ACAMPROSATE,CHEMBL1201293,N07BB03,acamprosate,N,NERVOUS SYSTEM,N07,OTHER NERVOUS SYSTEM DRUGS,N07B,DRUGS USED IN ADDICTIVE DISORDERS,N07BB,Drugs used in alcohol dependence,ChEMBL_36
DRUG:ACARBOSE,ACARBOSE,CHEMBL404271,A10BF01,acarbose,A,ALIMENTARY TRACT AND METABOLISM,A10,DRUGS USED IN DIABETES,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BF,Alpha glucosidase inhibitors,ChEMBL_36
DRUG:ACEBUTOLOL,ACEBUTOLOL,CHEMBL642,C07AB04,acebutolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",ChEMBL_36
DRUG:ACECLOFENAC,ACECLOFENAC,CHEMBL93645,M01AB16,aceclofenac,M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,ChEMBL_36
DRUG:ACECLOFENAC,ACECLOFENAC,CHEMBL93645,M02AA25,aceclofenac,M,MUSCULO-SKELETAL SYSTEM,M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02AA,"Antiinflammatory preparations, non-steroids for topical use",ChEMBL_36
DRUG:ACEMETACIN,ACEMETACIN,CHEMBL189171,M01AB11,acemetacin,M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,ChEMBL_36
DRUG:ACENOCOUMAROL,ACENOCOUMAROL,CHEMBL397420,B01AA07,acenocoumarol,B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists,ChEMBL_36
DRUG:ACEPROMAZINE,ACEPROMAZINE,CHEMBL39560,N05AA04,acepromazine,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05A,ANTIPSYCHOTICS,N05AA,Phenothiazines with aliphatic side-chain,ChEMBL_36
DRUG:ACETAMINOPHEN,ACETAMINOPHEN,CHEMBL112,N02BE51,"paracetamol, combinations excl. psycholeptics",N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BE,Anilides,ChEMBL_36
DRUG:ACETAMINOPHEN,ACETAMINOPHEN,CHEMBL112,N02BE01,paracetamol,N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BE,Anilides,ChEMBL_36
DRUG:ACETAMINOPHEN,ACETAMINOPHEN,CHEMBL112,N02BE71,"paracetamol, combinations with psycholeptics",N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BE,Anilides,ChEMBL_36
DRUG:ACETAZOLAMIDE,ACETAZOLAMIDE,CHEMBL20,S01EC01,acetazolamide,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EC,Carbonic anhydrase inhibitors,ChEMBL_36
DRUG:ACETIC ACID,ACETIC ACID,CHEMBL539,S02AA10,acetic acid,S,SENSORY ORGANS,S02,OTOLOGICALS,S02A,ANTIINFECTIVES,S02AA,Antiinfectives,ChEMBL_36
DRUG:ACETIC ACID,ACETIC ACID,CHEMBL539,G01AD02,acetic acid,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AD,Organic acids,ChEMBL_36
DRUG:ACETYLCARNITINE,ACETYLCARNITINE,CHEMBL1697733,N06BX12,acetylcarnitine,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BX,Other psychostimulants and nootropics,ChEMBL_36
DRUG:ACETYLCHOLINE,ACETYLCHOLINE,CHEMBL667,S01EB09,acetylcholine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EB,Parasympathomimetics,ChEMBL_36
DRUG:ACETYLCYSTEINE,ACETYLCYSTEINE,CHEMBL600,R05CB01,acetylcysteine,R,RESPIRATORY SYSTEM,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CB,Mucolytics,ChEMBL_36
DRUG:ACETYLCYSTEINE,ACETYLCYSTEINE,CHEMBL600,S01XA08,acetylcysteine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01X,OTHER OPHTHALMOLOGICALS,S01XA,Other ophthalmologicals,ChEMBL_36
DRUG:ACETYLCYSTEINE,ACETYLCYSTEINE,CHEMBL600,V03AB23,acetylcysteine,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,ChEMBL_36
DRUG:ACETYLLEUCINE,ACETYLLEUCINE,CHEMBL1875805,N07CA04,acetylleucine,N,NERVOUS SYSTEM,N07,OTHER NERVOUS SYSTEM DRUGS,N07C,ANTIVERTIGO PREPARATIONS,N07CA,Antivertigo preparations,ChEMBL_36
DRUG:ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,,N02BA01,acetylsalicylic acid,N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BA,Salicylic acid and derivatives,WHO_ATC
DRUG:ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,,N02BA01,acetylsalicylic acid,N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BA,Salicylic acid and derivatives,WHO_ATC
DRUG:ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,,N02BA01,acetylsalicylic acid,N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BA,Salicylic acid and derivatives,WHO_ATC
DRUG:ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,,B01AC06,acetylsalicylic acid,B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,WHO_ATC
DRUG:ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,,A01AD05,acetylsalicylic acid,A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AD,Other agents for local oral treatment,WHO_ATC
DRUG:ACICLOVIR,ACICLOVIR,,D06BB03,aciclovir,D,DERMATOLOGICALS,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,D06BB,Antivirals,WHO_ATC
DRUG:ACICLOVIR,ACICLOVIR,,J05AB01,aciclovir,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,WHO_ATC
DRUG:ACICLOVIR,ACICLOVIR,,J05AB01,aciclovir,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,WHO_ATC
DRUG:ACICLOVIR,ACICLOVIR,,S01AD03,aciclovir,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AD,Antivirals,WHO_ATC
DRUG:ACIPIMOX,ACIPIMOX,CHEMBL345714,C10AD06,acipimox,C,CARDIOVASCULAR SYSTEM,C10,LIPID MODIFYING AGENTS,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10AD,Nicotinic acid and derivatives,ChEMBL_36
DRUG:ACITRETIN,ACITRETIN,CHEMBL1131,D05BB02,acitretin,D,DERMATOLOGICALS,D05,ANTIPSORIATICS,D05B,ANTIPSORIATICS FOR SYSTEMIC USE,D05BB,Retinoids for treatment of psoriasis,ChEMBL_36
DRUG:ACLARUBICIN,ACLARUBICIN,CHEMBL502620,L01DB04,aclarubicin,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01DB,Anthracyclines and related substances,ChEMBL_36
DRUG:ACLIDINIUM BROMIDE,ACLIDINIUM BROMIDE,CHEMBL551466,R03BB05,aclidinium bromide,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",R03BB,Anticholinergics,ChEMBL_36
DRUG:ACORAMIDIS,ACORAMIDIS,CHEMBL3940890,C01EB25,acoramidis,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,ChEMBL_36
DRUG:ACRIVASTINE,ACRIVASTINE,CHEMBL1224,R06AX18,acrivastine,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AX,Other antihistamines for systemic use,ChEMBL_36
DRUG:ACYCLOVIR,ACYCLOVIR,CHEMBL184,S01AD03,aciclovir,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AD,Antivirals,ChEMBL_36
DRUG:ACYCLOVIR,ACYCLOVIR,CHEMBL184,D06BB53,"aciclovir, combinations",D,DERMATOLOGICALS,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,D06BB,Antivirals,ChEMBL_36
DRUG:ACYCLOVIR,ACYCLOVIR,CHEMBL184,D06BB03,aciclovir,D,DERMATOLOGICALS,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,D06BB,Antivirals,ChEMBL_36
DRUG:ACYCLOVIR,ACYCLOVIR,CHEMBL184,J05AB01,aciclovir,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,ChEMBL_36
DRUG:ADAGRASIB,ADAGRASIB,CHEMBL4594350,L01XX77,adagrasib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS,L01XX,Other antineoplastic agents,ChEMBL_36
DRUG:ADALIMUMAB,ADALIMUMAB,CHEMBL1201580,L04AB04,adalimumab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,ChEMBL_36
DRUG:ADAPALENE,ADAPALENE,CHEMBL1265,D10AD03,adapalene,D,DERMATOLOGICALS,D10,ANTI-ACNE PREPARATIONS,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AD,Retinoids for topical use in acne,ChEMBL_36
DRUG:ADAPALENE,ADAPALENE,CHEMBL1265,D10AD53,"adapalene, combinations",D,DERMATOLOGICALS,D10,ANTI-ACNE PREPARATIONS,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AD,Retinoids for topical use in acne,ChEMBL_36
DRUG:ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,CHEMBL922,J05AF08,adefovir dipivoxil,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,ChEMBL_36
DRUG:ADEMETIONINE,ADEMETIONINE,CHEMBL1088977,A16AA02,ademetionine,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AA,Amino acids and derivatives,ChEMBL_36
DRUG:ADENOSINE,ADENOSINE,CHEMBL477,C01EB10,adenosine,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,ChEMBL_36
DRUG:ADUCANUMAB,ADUCANUMAB,CHEMBL3039540,N06DX03,aducanumab,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06D,ANTI-DEMENTIA DRUGS,N06DX,Other anti-dementia drugs,ChEMBL_36
DRUG:AFATINIB,AFATINIB,CHEMBL1173655,L01EB03,afatinib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EB,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,ChEMBL_36
DRUG:AFLIBERCEPT,AFLIBERCEPT,CHEMBL1742982,S01LA05,aflibercept,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01L,OCULAR VASCULAR DISORDER AGENTS,S01LA,Antineovascularisation agents,ChEMBL_36
DRUG:AFLIBERCEPT,AFLIBERCEPT,CHEMBL1742982,L01XX44,aflibercept,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS,L01XX,Other antineoplastic agents,ChEMBL_36
DRUG:AGALSIDASE ALFA,AGALSIDASE ALFA,CHEMBL2108214,A16AB03,agalsidase alfa,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB,Enzymes,ChEMBL_36
DRUG:AGALSIDASE BETA,AGALSIDASE BETA,CHEMBL2108888,A16AB04,agalsidase beta,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB,Enzymes,ChEMBL_36
DRUG:AGOMELATINE,AGOMELATINE,CHEMBL10878,N06AX22,agomelatine,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AX,Other antidepressants,ChEMBL_36
DRUG:ALBENDAZOLE,ALBENDAZOLE,CHEMBL1483,P02CA03,albendazole,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P02,ANTHELMINTICS,P02C,ANTINEMATODAL AGENTS,P02CA,Benzimidazole derivatives,ChEMBL_36
DRUG:ALBIGLUTIDE,ALBIGLUTIDE,CHEMBL2107841,A10BJ04,albiglutide,A,ALIMENTARY TRACT AND METABOLISM,A10,DRUGS USED IN DIABETES,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,ChEMBL_36
DRUG:ALBUMIN,ALBUMIN,,B05AA01,albumin,B,BLOOD AND BLOOD FORMING ORGANS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05A,BLOOD AND RELATED PRODUCTS,B05AA,Blood substitutes and plasma protein fractions,WHO_ATC
DRUG:ALBUMIN HUMAN,ALBUMIN HUMAN,CHEMBL1201451,B05AA01,albumin,B,BLOOD AND BLOOD FORMING ORGANS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05A,BLOOD AND RELATED PRODUCTS,B05AA,Blood substitutes and plasma protein fractions,ChEMBL_36
DRUG:ALBUTEROL,ALBUTEROL,CHEMBL714,R03CC02,salbutamol,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03C,ADRENERGICS FOR SYSTEMIC USE,R03CC,Selective beta-2-adrenoreceptor agonists,ChEMBL_36
DRUG:ALBUTEROL,ALBUTEROL,CHEMBL714,R03AC02,salbutamol,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03A,"ADRENERGICS, INHALANTS",R03AC,Selective beta-2-adrenoreceptor agonists,ChEMBL_36
DRUG:ALCAFTADINE,ALCAFTADINE,CHEMBL1201747,S01GX11,alcaftadine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01G,DECONGESTANTS AND ANTIALLERGICS,S01GX,Other antiallergics,ChEMBL_36
DRUG:ALCLOMETASONE,ALCLOMETASONE,,D07AB10,alclometasone,D,DERMATOLOGICALS,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07A,"CORTICOSTEROIDS, PLAIN",D07AB,"Corticosteroids, moderately potent (group II)",WHO_ATC
DRUG:ALCLOMETASONE,ALCLOMETASONE,,S01BA10,alclometasone,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",WHO_ATC
DRUG:ALCOHOL,ALCOHOL,CHEMBL545,V03AB16,ethanol,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,ChEMBL_36
DRUG:ALCOHOL,ALCOHOL,CHEMBL545,D08AX08,ethanol,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AX,Other antiseptics and disinfectants,ChEMBL_36
DRUG:ALCOHOL,ALCOHOL,CHEMBL545,V03AZ01,ethanol,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AZ,Nerve depressants,ChEMBL_36
DRUG:ALDESLEUKIN,ALDESLEUKIN,CHEMBL1201438,L03AC01,aldesleukin,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03AC,Interleukins,ChEMBL_36
DRUG:ALECTINIB,ALECTINIB,CHEMBL1738797,L01ED03,alectinib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01ED,Anaplastic lymphoma kinase (ALK) inhibitors,ChEMBL_36
DRUG:ALEFACEPT,ALEFACEPT,CHEMBL1201571,L04AA15,alefacept,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AA,Selective immunosuppressants,ChEMBL_36
DRUG:ALEMTUZUMAB,ALEMTUZUMAB,CHEMBL1201587,L04AG06,alemtuzumab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AG,Monoclonal antibodies,ChEMBL_36
DRUG:ALENDRONIC ACID,ALENDRONIC ACID,CHEMBL870,M05BA04,alendronic acid,M,MUSCULO-SKELETAL SYSTEM,M05,DRUGS FOR TREATMENT OF BONE DISEASES,M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05BA,Bisphosphonates,ChEMBL_36
DRUG:ALFACALCIDOL,ALFACALCIDOL,CHEMBL1601669,A11CC03,alfacalcidol,A,ALIMENTARY TRACT AND METABOLISM,A11,VITAMINS,A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",A11CC,Vitamin D and analogues,ChEMBL_36
DRUG:ALFENTANIL,ALFENTANIL,CHEMBL634,N01AH02,alfentanil,N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AH,Opioid anesthetics,ChEMBL_36
DRUG:ALFUZOSIN,ALFUZOSIN,CHEMBL709,G04CA01,alfuzosin,G,GENITO URINARY SYSTEM AND SEX HORMONES,G04,UROLOGICALS,G04C,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,G04CA,Alpha-adrenoreceptor antagonists,ChEMBL_36
DRUG:ALGINIC ACID,ALGINIC ACID,CHEMBL2108894,A02BX13,alginic acid,A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),ChEMBL_36
DRUG:ALGLUCOSIDASE ALFA,ALGLUCOSIDASE ALFA,CHEMBL1201824,A16AB07,alglucosidase alfa,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB,Enzymes,ChEMBL_36
DRUG:ALIMEMAZINE,ALIMEMAZINE,,R06AD01,alimemazine,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AD,Phenothiazine derivatives,WHO_ATC
DRUG:ALIMEMAZINE,ALIMEMAZINE,,R06AD01,alimemazine,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AD,Phenothiazine derivatives,WHO_ATC
DRUG:ALIROCUMAB,ALIROCUMAB,CHEMBL2109540,C10AX14,alirocumab,C,CARDIOVASCULAR SYSTEM,C10,LIPID MODIFYING AGENTS,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10AX,Other lipid modifying agents,ChEMBL_36
DRUG:ALISKIREN,ALISKIREN,CHEMBL1639,C09XA02,aliskiren,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09X,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09XA,Renin-inhibitors,ChEMBL_36
DRUG:ALITRETINOIN,ALITRETINOIN,CHEMBL705,L01XF02,alitretinoin,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS,L01XF,Retinoids for cancer treatment,ChEMBL_36
DRUG:ALITRETINOIN,ALITRETINOIN,CHEMBL705,D11AH04,alitretinoin,D,DERMATOLOGICALS,D11,OTHER DERMATOLOGICAL PREPARATIONS,D11A,OTHER DERMATOLOGICAL PREPARATIONS,D11AH,"Agents for dermatitis, excluding corticosteroids",ChEMBL_36
DRUG:ALIZAPRIDE,ALIZAPRIDE,CHEMBL290194,A03FA05,alizapride,A,ALIMENTARY TRACT AND METABOLISM,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03F,PROPULSIVES,A03FA,Propulsives,ChEMBL_36
DRUG:ALLOPURINOL,ALLOPURINOL,CHEMBL1467,M04AA01,allopurinol,M,MUSCULO-SKELETAL SYSTEM,M04,ANTIGOUT PREPARATIONS,M04A,ANTIGOUT PREPARATIONS,M04AA,Preparations inhibiting uric acid production,ChEMBL_36
DRUG:ALLOPURINOL,ALLOPURINOL,CHEMBL1467,M04AA51,"allopurinol, combinations",M,MUSCULO-SKELETAL SYSTEM,M04,ANTIGOUT PREPARATIONS,M04A,ANTIGOUT PREPARATIONS,M04AA,Preparations inhibiting uric acid production,ChEMBL_36
DRUG:ALMITRINE,ALMITRINE,CHEMBL1183717,R07AB07,almitrine,R,RESPIRATORY SYSTEM,R07,OTHER RESPIRATORY SYSTEM PRODUCTS,R07A,OTHER RESPIRATORY SYSTEM PRODUCTS,R07AB,Respiratory stimulants,ChEMBL_36
