kg_node_id,kg_drug_name,chembl_id,atc_code,atc_name,atc_l1,atc_l1_desc,atc_l2,atc_l2_desc,atc_l3,atc_l3_desc,atc_l4,atc_l4_desc,source
DRUG:MEMANTINE,MEMANTINE,CHEMBL807,N06DX01,memantine,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06D,ANTI-DEMENTIA DRUGS,N06DX,Other anti-dementia drugs,ChEMBL_36
DRUG:MEPACRINE,MEPACRINE,,P01AX05,mepacrine,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AX,Other agents against amoebiasis and other protozoal diseases,WHO_ATC
DRUG:MEPERIDINE,MEPERIDINE,CHEMBL607,N02AB72,"pethidine, combinations with psycholeptics",N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AB,Phenylpiperidine derivatives,ChEMBL_36
DRUG:MEPERIDINE,MEPERIDINE,CHEMBL607,N02AB52,"pethidine, combinations excl. psycholeptics",N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AB,Phenylpiperidine derivatives,ChEMBL_36
DRUG:MEPERIDINE,MEPERIDINE,CHEMBL607,N02AB02,pethidine,N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AB,Phenylpiperidine derivatives,ChEMBL_36
DRUG:MEPHENESIN,MEPHENESIN,CHEMBL229128,M03BX06,mephenesin,M,MUSCULO-SKELETAL SYSTEM,M03,MUSCLE RELAXANTS,M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BX,Other centrally acting agents,ChEMBL_36
DRUG:MEPHENOXALONE,MEPHENOXALONE,CHEMBL2104790,N05BX01,mephenoxalone,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05B,ANXIOLYTICS,N05BX,Other anxiolytics,ChEMBL_36
DRUG:MEPIVACAINE,MEPIVACAINE,CHEMBL1087,N01BB53,"mepivacaine, combinations",N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,ChEMBL_36
DRUG:MEPIVACAINE,MEPIVACAINE,CHEMBL1087,N01BB03,mepivacaine,N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,ChEMBL_36
DRUG:MEPOLIZUMAB,MEPOLIZUMAB,CHEMBL2108429,R03DX09,mepolizumab,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DX,Other systemic drugs for obstructive airway diseases,ChEMBL_36
