id,name,soc
AE:Injection site mass,Injection site mass,General disorders and administration site conditions
AE:Injection site nodule,Injection site nodule,General disorders and administration site conditions
AE:Injection site pain,Injection site pain,General disorders and administration site conditions
AE:Injection site pruritus,Injection site pruritus,Skin and subcutaneous tissue disorders
AE:Injection site rash,Injection site rash,Skin and subcutaneous tissue disorders
AE:Injection site reaction,Injection site reaction,General disorders and administration site conditions
AE:Injection site scar,Injection site scar,General disorders and administration site conditions
AE:Injection site swelling,Injection site swelling,General disorders and administration site conditions
AE:Injection site urticaria,Injection site urticaria,Skin and subcutaneous tissue disorders
AE:Injection site vesicles,Injection site vesicles,General disorders and administration site conditions
AE:Injection site warmth,Injection site warmth,General disorders and administration site conditions
AE:Injury,Injury,"Injury, poisoning and procedural complications"
AE:Injury associated with device,Injury associated with device,"Injury, poisoning and procedural complications"
AE:Intentional product use issue,Intentional product use issue,Unclassified
AE:Intervertebral disc protrusion,Intervertebral disc protrusion,Musculoskeletal and connective tissue disorders
AE:Intestinal obstruction,Intestinal obstruction,Unclassified
AE:Irritable bowel syndrome,Irritable bowel syndrome,Gastrointestinal disorders
AE:Jaw clicking,Jaw clicking,Unclassified
AE:Jaw disorder,Jaw disorder,Unclassified
AE:Joint injury,Joint injury,"Injury, poisoning and procedural complications"
AE:Joint instability,Joint instability,Musculoskeletal and connective tissue disorders
AE:Joint noise,Joint noise,Musculoskeletal and connective tissue disorders
AE:Joint stiffness,Joint stiffness,Musculoskeletal and connective tissue disorders
AE:Kidney infection,Kidney infection,Renal and urinary disorders
AE:Knee arthroplasty,Knee arthroplasty,Unclassified
AE:Knee operation,Knee operation,Unclassified
AE:Lacrimation increased,Lacrimation increased,Eye disorders
AE:Laryngitis,Laryngitis,Infections and infestations
AE:Ligament sprain,Ligament sprain,"Injury, poisoning and procedural complications"
AE:Limb discomfort,Limb discomfort,General disorders and administration site conditions
AE:Limb injury,Limb injury,"Injury, poisoning and procedural complications"
AE:Lip swelling,Lip swelling,General disorders and administration site conditions
AE:Liquid product physical issue,Liquid product physical issue,Unclassified
AE:Localised infection,Localised infection,Infections and infestations
AE:Lower limb fracture,Lower limb fracture,"Injury, poisoning and procedural complications"
AE:Mass,Mass,General disorders and administration site conditions
AE:Medication error,Medication error,"Injury, poisoning and procedural complications"
AE:Mental impairment,Mental impairment,Nervous system disorders
AE:Mental status changes,Mental status changes,Psychiatric disorders
AE:Micturition urgency,Micturition urgency,Unclassified
AE:Middle insomnia,Middle insomnia,Psychiatric disorders
AE:Mood altered,Mood altered,Psychiatric disorders
AE:Movement disorder,Movement disorder,Unclassified
AE:Multiple use of single-use product,Multiple use of single-use product,Unclassified
AE:Muscle fatigue,Muscle fatigue,Musculoskeletal and connective tissue disorders
AE:Muscle strain,Muscle strain,Musculoskeletal and connective tissue disorders
AE:Muscle tightness,Muscle tightness,Musculoskeletal and connective tissue disorders
AE:Muscle twitching,Muscle twitching,Musculoskeletal and connective tissue disorders
AE:Musculoskeletal chest pain,Musculoskeletal chest pain,Musculoskeletal and connective tissue disorders
AE:Musculoskeletal discomfort,Musculoskeletal discomfort,Musculoskeletal and connective tissue disorders
AE:Musculoskeletal disorder,Musculoskeletal disorder,Musculoskeletal and connective tissue disorders
AE:Musculoskeletal stiffness,Musculoskeletal stiffness,Musculoskeletal and connective tissue disorders
AE:Nail disorder,Nail disorder,Skin and subcutaneous tissue disorders
AE:Nail growth abnormal,Nail growth abnormal,Investigations
AE:Nasal congestion,Nasal congestion,"Respiratory, thoracic and mediastinal disorders"
AE:Needle issue,Needle issue,Unclassified
AE:Neoplasm malignant,Neoplasm malignant,"Neoplasms benign, malignant and unspecified"
AE:No adverse event,No adverse event,General disorders and administration site conditions
AE:Nocturia,Nocturia,Renal and urinary disorders
AE:Ocular discomfort,Ocular discomfort,Eye disorders
AE:Ocular hyperaemia,Ocular hyperaemia,Eye disorders
AE:Oedema peripheral,Oedema peripheral,General disorders and administration site conditions
AE:Onychoclasis,Onychoclasis,Unclassified
AE:Oral pain,Oral pain,General disorders and administration site conditions
AE:Orthostatic hypotension,Orthostatic hypotension,Vascular disorders
AE:Osteoarthritis,Osteoarthritis,Musculoskeletal and connective tissue disorders
AE:Oxygen saturation decreased,Oxygen saturation decreased,Investigations
AE:Pain in jaw,Pain in jaw,General disorders and administration site conditions
AE:Pain of skin,Pain of skin,Skin and subcutaneous tissue disorders
AE:Paranasal sinus discomfort,Paranasal sinus discomfort,General disorders and administration site conditions
AE:Parkinson's disease,Parkinson's disease,Nervous system disorders
AE:Pelvic fracture,Pelvic fracture,"Injury, poisoning and procedural complications"
AE:Pelvic pain,Pelvic pain,Reproductive system and breast disorders
AE:Periorbital swelling,Periorbital swelling,General disorders and administration site conditions
AE:Peripheral coldness,Peripheral coldness,Unclassified
AE:Petechiae,Petechiae,Skin and subcutaneous tissue disorders
AE:Pharyngeal swelling,Pharyngeal swelling,"Respiratory, thoracic and mediastinal disorders"
AE:Photophobia,Photophobia,Eye disorders
AE:Photopsia,Photopsia,Eye disorders
AE:Photosensitivity reaction,Photosensitivity reaction,Unclassified
AE:Physical deconditioning,Physical deconditioning,Unclassified
AE:Plasma cell myeloma,Plasma cell myeloma,"Neoplasms benign, malignant and unspecified"
AE:Pollakiuria,Pollakiuria,Unclassified
AE:Polyuria,Polyuria,Renal and urinary disorders
AE:Poor quality sleep,Poor quality sleep,Psychiatric disorders
AE:Post procedural infection,Post procedural infection,Infections and infestations
AE:Presyncope,Presyncope,Unclassified
AE:Product administered at inappropriate site,Product administered at inappropriate site,Unclassified
AE:Product administered to patient of inappropriate age,Product administered to patient of inappropriate age,Unclassified
AE:Product complaint,Product complaint,Product issues
AE:Product prescribing issue,Product prescribing issue,Unclassified
AE:Product quality issue,Product quality issue,Product issues
AE:Product temperature excursion issue,Product temperature excursion issue,Unclassified
AE:Product use complaint,Product use complaint,Unclassified
AE:Psychomotor hyperactivity,Psychomotor hyperactivity,Psychiatric disorders
AE:Pulse abnormal,Pulse abnormal,Investigations
AE:Quality of life decreased,Quality of life decreased,Investigations
AE:Rash macular,Rash macular,Eye disorders
AE:Rash papular,Rash papular,Skin and subcutaneous tissue disorders
AE:Rash pruritic,Rash pruritic,Skin and subcutaneous tissue disorders
AE:Red blood cell count decreased,Red blood cell count decreased,Blood and lymphatic system disorders
AE:Renal function test abnormal,Renal function test abnormal,Renal and urinary disorders
AE:Renal pain,Renal pain,Renal and urinary disorders
AE:Respiration abnormal,Respiration abnormal,Investigations
AE:Restless legs syndrome,Restless legs syndrome,Unclassified
AE:Rib fracture,Rib fracture,"Injury, poisoning and procedural complications"
AE:Scar,Scar,Unclassified
AE:Sensory disturbance,Sensory disturbance,Nervous system disorders
AE:Shoulder fracture,Shoulder fracture,"Injury, poisoning and procedural complications"
AE:Sinus disorder,Sinus disorder,Unclassified
AE:Sinus headache,Sinus headache,Nervous system disorders
AE:Skin burning sensation,Skin burning sensation,Skin and subcutaneous tissue disorders
AE:Skin discolouration,Skin discolouration,Skin and subcutaneous tissue disorders
AE:Skin disorder,Skin disorder,Skin and subcutaneous tissue disorders
AE:Skin irritation,Skin irritation,Skin and subcutaneous tissue disorders
AE:Skin laceration,Skin laceration,"Injury, poisoning and procedural complications"
AE:Skin mass,Skin mass,Skin and subcutaneous tissue disorders
AE:Sluggishness,Sluggishness,Unclassified
AE:Sneezing,Sneezing,"Respiratory, thoracic and mediastinal disorders"
AE:Spinal compression fracture,Spinal compression fracture,"Injury, poisoning and procedural complications"
AE:Spinal disorder,Spinal disorder,Unclassified
AE:Spinal fracture,Spinal fracture,"Injury, poisoning and procedural complications"
AE:Spinal operation,Spinal operation,Unclassified
AE:Spinal pain,Spinal pain,General disorders and administration site conditions
AE:Stomatitis,Stomatitis,Gastrointestinal disorders
AE:Stress fracture,Stress fracture,"Injury, poisoning and procedural complications"
AE:Surgery,Surgery,Surgical and medical procedures
AE:Swelling face,Swelling face,General disorders and administration site conditions
AE:Swollen tongue,Swollen tongue,Gastrointestinal disorders
AE:Systemic lupus erythematosus,Systemic lupus erythematosus,Immune system disorders
AE:Taste disorder,Taste disorder,Unclassified
AE:Tenderness,Tenderness,General disorders and administration site conditions
AE:Tendonitis,Tendonitis,Unclassified
AE:Tension headache,Tension headache,Nervous system disorders
AE:Therapeutic response unexpected,Therapeutic response unexpected,General disorders and administration site conditions
AE:Therapy interrupted,Therapy interrupted,General disorders and administration site conditions
AE:Thinking abnormal,Thinking abnormal,Investigations
AE:Thirst,Thirst,General disorders and administration site conditions
AE:Thoracic vertebral fracture,Thoracic vertebral fracture,"Injury, poisoning and procedural complications"
AE:Throat irritation,Throat irritation,"Respiratory, thoracic and mediastinal disorders"
AE:Throat tightness,Throat tightness,"Respiratory, thoracic and mediastinal disorders"
AE:Tinnitus,Tinnitus,Ear and labyrinth disorders
AE:Tooth disorder,Tooth disorder,Gastrointestinal disorders
AE:Tooth fracture,Tooth fracture,Gastrointestinal disorders
AE:Tooth infection,Tooth infection,Gastrointestinal disorders
AE:Toothache,Toothache,Unclassified
AE:Transient ischaemic attack,Transient ischaemic attack,Unclassified
AE:Trichorrhexis,Trichorrhexis,Unclassified
AE:Ulcer,Ulcer,Unclassified
AE:Unevaluable event,Unevaluable event,Unclassified
AE:Upper limb fracture,Upper limb fracture,"Injury, poisoning and procedural complications"
AE:Urinary incontinence,Urinary incontinence,Renal and urinary disorders
AE:Urine abnormality,Urine abnormality,Unclassified
AE:Urine calcium increased,Urine calcium increased,Investigations
AE:Urine odour abnormal,Urine odour abnormal,Investigations
AE:Urine output increased,Urine output increased,Investigations
AE:Vasodilatation,Vasodilatation,Unclassified
AE:Vertigo positional,Vertigo positional,Ear and labyrinth disorders
AE:Viral infection,Viral infection,Infections and infestations
AE:Vision blurred,Vision blurred,Eye disorders
AE:Visual impairment,Visual impairment,Eye disorders
AE:Vitamin D decreased,Vitamin D decreased,Investigations
AE:Vitamin D increased,Vitamin D increased,Investigations
AE:Waist circumference increased,Waist circumference increased,Investigations
AE:Wound,Wound,"Injury, poisoning and procedural complications"
AE:Wrist fracture,Wrist fracture,"Injury, poisoning and procedural complications"
AE:Wrong technique in device usage process,Wrong technique in device usage process,General disorders and administration site conditions
AE:Abasia,Abasia,Unclassified
AE:Abdominal abscess,Abdominal abscess,Gastrointestinal disorders
AE:Abdominal adhesions,Abdominal adhesions,Gastrointestinal disorders
AE:Abdominal hernia,Abdominal hernia,Gastrointestinal disorders
AE:Abdominal infection,Abdominal infection,Gastrointestinal disorders
AE:Abnormal behaviour,Abnormal behaviour,Psychiatric disorders
AE:Abscess,Abscess,Infections and infestations
AE:Abscess drainage,Abscess drainage,Infections and infestations
AE:Abscess limb,Abscess limb,Infections and infestations
AE:Abscess oral,Abscess oral,Infections and infestations
AE:Acarodermatitis,Acarodermatitis,Unclassified
AE:Accident,Accident,Unclassified
AE:Accidental exposure to product,Accidental exposure to product,"Injury, poisoning and procedural complications"
AE:Acne cystic,Acne cystic,Skin and subcutaneous tissue disorders
AE:Acquired porphyria,Acquired porphyria,Unclassified
AE:Activities of daily living impaired,Activities of daily living impaired,Unclassified
AE:Acute graft versus host disease,Acute graft versus host disease,Immune system disorders
AE:Acute graft versus host disease in skin,Acute graft versus host disease in skin,Immune system disorders
AE:Acute myeloid leukaemia,Acute myeloid leukaemia,"Neoplasms benign, malignant and unspecified"
AE:Acute respiratory distress syndrome,Acute respiratory distress syndrome,"Respiratory, thoracic and mediastinal disorders"
AE:Adenocarcinoma of colon,Adenocarcinoma of colon,Gastrointestinal disorders
AE:Adenovirus infection,Adenovirus infection,Infections and infestations
AE:Adjustment disorder with depressed mood,Adjustment disorder with depressed mood,Psychiatric disorders
AE:Adrenal insufficiency,Adrenal insufficiency,Endocrine disorders
AE:Affect lability,Affect lability,Psychiatric disorders
AE:Ageusia,Ageusia,Nervous system disorders
AE:Alanine aminotransferase abnormal,Alanine aminotransferase abnormal,Investigations
AE:Allergic cough,Allergic cough,"Respiratory, thoracic and mediastinal disorders"
AE:Allergic oedema,Allergic oedema,General disorders and administration site conditions
AE:Allergy to chemicals,Allergy to chemicals,Unclassified
AE:Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis,Unclassified
AE:Anal abscess,Anal abscess,Gastrointestinal disorders
AE:Anal fissure,Anal fissure,Gastrointestinal disorders
AE:Anal squamous cell carcinoma,Anal squamous cell carcinoma,"Neoplasms benign, malignant and unspecified"
AE:Anaphylactic shock,Anaphylactic shock,Vascular disorders
AE:Aneurysm,Aneurysm,Vascular disorders
AE:Angina unstable,Angina unstable,Cardiac disorders
AE:Angioedema,Angioedema,Immune system disorders
AE:Angiopathy,Angiopathy,Unclassified
AE:Animal bite,Animal bite,"Injury, poisoning and procedural complications"
AE:Ankle arthroplasty,Ankle arthroplasty,Unclassified
AE:Ankle deformity,Ankle deformity,Unclassified
AE:Ankle operation,Ankle operation,Unclassified
AE:Ankylosing spondylitis,Ankylosing spondylitis,Unclassified
AE:Anti-cyclic citrullinated peptide antibody,Anti-cyclic citrullinated peptide antibody,Unclassified
AE:Anti-cyclic citrullinated peptide antibody positive,Anti-cyclic citrullinated peptide antibody positive,Unclassified
AE:Anti-neutrophil cytoplasmic antibody positive vasculitis,Anti-neutrophil cytoplasmic antibody positive vasculitis,Immune system disorders
AE:Antibiotic therapy,Antibiotic therapy,General disorders and administration site conditions
AE:Antibody test positive,Antibody test positive,Investigations
AE:Anticipatory anxiety,Anticipatory anxiety,Psychiatric disorders
AE:Antinuclear antibody increased,Antinuclear antibody increased,Investigations
AE:Antinuclear antibody positive,Antinuclear antibody positive,Unclassified
AE:Aortic aneurysm,Aortic aneurysm,Vascular disorders
AE:Aortic arteriosclerosis,Aortic arteriosclerosis,Vascular disorders
AE:Aortic valve stenosis,Aortic valve stenosis,Cardiac disorders
AE:Aphonia,Aphonia,Unclassified
AE:Aphthous stomatitis,Aphthous stomatitis,Gastrointestinal disorders
AE:Aphthous ulcer,Aphthous ulcer,Gastrointestinal disorders
AE:Apparent death,Apparent death,General disorders and administration site conditions
AE:Appendicectomy,Appendicectomy,Unclassified
AE:Appendicitis perforated,Appendicitis perforated,Gastrointestinal disorders
AE:Appendix disorder,Appendix disorder,Unclassified
AE:Appetite disorder,Appetite disorder,Metabolism and nutrition disorders
AE:Arterial occlusive disease,Arterial occlusive disease,Vascular disorders
AE:Arthritis bacterial,Arthritis bacterial,Infections and infestations
AE:Arthritis infective,Arthritis infective,Musculoskeletal and connective tissue disorders
AE:Arthrodesis,Arthrodesis,Unclassified
AE:Arthropod bite,Arthropod bite,"Injury, poisoning and procedural complications"
AE:Arthropod sting,Arthropod sting,Unclassified
AE:Aspergillus infection,Aspergillus infection,Infections and infestations
AE:Aspiration,Aspiration,"Respiratory, thoracic and mediastinal disorders"
AE:Astigmatism,Astigmatism,Unclassified
AE:Atelectasis,Atelectasis,"Respiratory, thoracic and mediastinal disorders"
AE:Atlantoaxial instability,Atlantoaxial instability,Unclassified
AE:Atypical femur fracture,Atypical femur fracture,"Injury, poisoning and procedural complications"
AE:Atypical mycobacterial infection,Atypical mycobacterial infection,Infections and infestations
AE:Atypical pneumonia,Atypical pneumonia,Infections and infestations
AE:Auditory disorder,Auditory disorder,Unclassified
AE:Autoimmune disorder,Autoimmune disorder,Immune system disorders
AE:Autoimmune hepatitis,Autoimmune hepatitis,Immune system disorders
AE:B-cell lymphoma,B-cell lymphoma,"Neoplasms benign, malignant and unspecified"
AE:BK virus infection,BK virus infection,Infections and infestations
AE:Bacteraemia,Bacteraemia,Infections and infestations
AE:Basal cell carcinoma,Basal cell carcinoma,"Neoplasms benign, malignant and unspecified"
AE:Benign neoplasm,Benign neoplasm,"Neoplasms benign, malignant and unspecified"
AE:Bile duct stone,Bile duct stone,Hepatobiliary disorders
AE:Bipolar disorder,Bipolar disorder,Psychiatric disorders
AE:Bladder cancer,Bladder cancer,"Neoplasms benign, malignant and unspecified"
AE:Bladder disorder,Bladder disorder,Renal and urinary disorders
AE:Bladder neoplasm,Bladder neoplasm,"Neoplasms benign, malignant and unspecified"
AE:Bladder operation,Bladder operation,Renal and urinary disorders
AE:Bladder pain,Bladder pain,Renal and urinary disorders
AE:Bladder prolapse,Bladder prolapse,Renal and urinary disorders
AE:Blepharitis,Blepharitis,Eye disorders
AE:Blepharospasm,Blepharospasm,Unclassified
AE:Blindness,Blindness,Eye disorders
AE:Blindness unilateral,Blindness unilateral,Eye disorders
AE:Blister infected,Blister infected,Skin and subcutaneous tissue disorders
AE:Blood albumin decreased,Blood albumin decreased,Investigations
AE:Blood blister,Blood blister,Skin and subcutaneous tissue disorders
AE:Blood cholesterol,Blood cholesterol,Investigations
AE:Blood disorder,Blood disorder,Unclassified
AE:Blood folate decreased,Blood folate decreased,Investigations
AE:Blood glucose abnormal,Blood glucose abnormal,Investigations
AE:Blood iron abnormal,Blood iron abnormal,Investigations
AE:Blood magnesium decreased,Blood magnesium decreased,Investigations
AE:Blood magnesium increased,Blood magnesium increased,Investigations
AE:Blood pressure diastolic abnormal,Blood pressure diastolic abnormal,Investigations
AE:Blood pressure diastolic decreased,Blood pressure diastolic decreased,Investigations
AE:Blood pressure diastolic increased,Blood pressure diastolic increased,Investigations
AE:Blood pressure inadequately controlled,Blood pressure inadequately controlled,Investigations
AE:Blood pressure systolic abnormal,Blood pressure systolic abnormal,Investigations
AE:Blood pressure systolic decreased,Blood pressure systolic decreased,Investigations
AE:Body height below normal,Body height below normal,Unclassified
AE:Body height decreased,Body height decreased,Investigations
AE:Body temperature,Body temperature,Investigations
AE:Body temperature decreased,Body temperature decreased,Investigations
AE:Bone cyst,Bone cyst,"Neoplasms benign, malignant and unspecified"
AE:Bone deformity,Bone deformity,Unclassified
AE:Bone density increased,Bone density increased,Investigations
AE:Bone erosion,Bone erosion,Unclassified
AE:Bone hypertrophy,Bone hypertrophy,Unclassified
AE:Bone lesion,Bone lesion,Unclassified
AE:Bone marrow failure,Bone marrow failure,Blood and lymphatic system disorders
AE:Bone swelling,Bone swelling,General disorders and administration site conditions
AE:Brain neoplasm,Brain neoplasm,"Neoplasms benign, malignant and unspecified"
AE:Breast abscess,Breast abscess,Infections and infestations
AE:Breast cancer female,Breast cancer female,"Neoplasms benign, malignant and unspecified"
AE:Breast cancer metastatic,Breast cancer metastatic,"Neoplasms benign, malignant and unspecified"
AE:Breast cancer recurrent,Breast cancer recurrent,"Neoplasms benign, malignant and unspecified"
AE:Breast cancer stage I,Breast cancer stage I,"Neoplasms benign, malignant and unspecified"
AE:Breast cancer stage II,Breast cancer stage II,"Neoplasms benign, malignant and unspecified"
AE:Breast cancer stage III,Breast cancer stage III,"Neoplasms benign, malignant and unspecified"
AE:Breast cyst,Breast cyst,"Neoplasms benign, malignant and unspecified"
AE:Breast mass,Breast mass,Reproductive system and breast disorders
AE:Breast neoplasm,Breast neoplasm,"Neoplasms benign, malignant and unspecified"
AE:Breath sounds abnormal,Breath sounds abnormal,Investigations
AE:Bronchial disorder,Bronchial disorder,Unclassified
AE:Bronchial hyperreactivity,Bronchial hyperreactivity,Unclassified
AE:Bronchiectasis,Bronchiectasis,"Respiratory, thoracic and mediastinal disorders"
AE:Bronchitis chronic,Bronchitis chronic,Infections and infestations
AE:Bronchopulmonary aspergillosis,Bronchopulmonary aspergillosis,Unclassified
AE:Bunion operation,Bunion operation,Unclassified
AE:Burns second degree,Burns second degree,Unclassified
AE:Bursitis infective,Bursitis infective,Musculoskeletal and connective tissue disorders
AE:Butterfly rash,Butterfly rash,Skin and subcutaneous tissue disorders
AE:C-reactive protein,C-reactive protein,Investigations
AE:C-reactive protein decreased,C-reactive protein decreased,Investigations
AE:COVID-19 pneumonia,COVID-19 pneumonia,Infections and infestations
AE:Cancer surgery,Cancer surgery,"Neoplasms benign, malignant and unspecified"
AE:Candida infection,Candida infection,Infections and infestations
AE:Cardiac murmur,Cardiac murmur,Cardiac disorders
AE:Cardiac operation,Cardiac operation,Cardiac disorders
AE:Cardiac pacemaker insertion,Cardiac pacemaker insertion,Cardiac disorders
AE:Cardiac valve disease,Cardiac valve disease,Cardiac disorders
AE:Cardiomegaly,Cardiomegaly,Unclassified
AE:Cardiomyopathy,Cardiomyopathy,Unclassified
AE:Cardiovascular disorder,Cardiovascular disorder,Unclassified
AE:Carotid arteriosclerosis,Carotid arteriosclerosis,Nervous system disorders
AE:Carotid artery disease,Carotid artery disease,Nervous system disorders
AE:Carotid artery occlusion,Carotid artery occlusion,Nervous system disorders
AE:Carotid artery stenosis,Carotid artery stenosis,Nervous system disorders
AE:Carpal tunnel decompression,Carpal tunnel decompression,Nervous system disorders
AE:Carpal tunnel syndrome,Carpal tunnel syndrome,Nervous system disorders
AE:Cartilage atrophy,Cartilage atrophy,Unclassified
AE:Cartilage injury,Cartilage injury,"Injury, poisoning and procedural complications"
AE:Cerebellar infarction,Cerebellar infarction,Unclassified
AE:Cerebral haemorrhage,Cerebral haemorrhage,"Injury, poisoning and procedural complications"
AE:Cervical dysplasia,Cervical dysplasia,"Neoplasms benign, malignant and unspecified"
AE:Cervical vertebral fracture,Cervical vertebral fracture,"Injury, poisoning and procedural complications"
AE:Cervicobrachial syndrome,Cervicobrachial syndrome,Unclassified
AE:Cervix carcinoma,Cervix carcinoma,"Neoplasms benign, malignant and unspecified"
AE:Chapped lips,Chapped lips,Unclassified
AE:Chest injury,Chest injury,"Injury, poisoning and procedural complications"
AE:Chikungunya virus infection,Chikungunya virus infection,Infections and infestations
AE:Choking,Choking,Unclassified
AE:Cholangitis,Cholangitis,Unclassified
AE:Cholecystectomy,Cholecystectomy,Unclassified
AE:Cholecystitis,Cholecystitis,Unclassified
AE:Cholecystitis acute,Cholecystitis acute,Unclassified
AE:Cholecystitis infective,Cholecystitis infective,Unclassified
AE:Chondropathy,Chondropathy,Unclassified
AE:Chronic gastritis,Chronic gastritis,Gastrointestinal disorders
AE:Chronic graft versus host disease,Chronic graft versus host disease,Immune system disorders
AE:Chronic graft versus host disease in skin,Chronic graft versus host disease in skin,Immune system disorders
AE:Circumstance or information capable of leading to medication error,Circumstance or information capable of leading to medication error,"Injury, poisoning and procedural complications"
AE:Clavicle fracture,Clavicle fracture,"Injury, poisoning and procedural complications"
AE:Clostridium difficile infection,Clostridium difficile infection,Infections and infestations
AE:Colitis ischaemic,Colitis ischaemic,Gastrointestinal disorders
AE:Colon cancer,Colon cancer,"Neoplasms benign, malignant and unspecified"
AE:Congenital anomaly,Congenital anomaly,"Congenital, familial and genetic disorders"
AE:Conjunctivitis,Conjunctivitis,Unclassified
AE:Contraindicated product prescribed,Contraindicated product prescribed,Unclassified
AE:Contrast media allergy,Contrast media allergy,Unclassified
AE:Convulsion,Convulsion,Nervous system disorders
AE:Corneal disorder,Corneal disorder,Eye disorders
AE:Coronary arterial stent insertion,Coronary arterial stent insertion,Cardiac disorders
AE:Coronary artery occlusion,Coronary artery occlusion,Cardiac disorders
AE:Coronavirus infection,Coronavirus infection,Infections and infestations
AE:Crepitations,Crepitations,Unclassified
AE:Crohn's disease,Crohn's disease,Gastrointestinal disorders
AE:Cryptococcal meningoencephalitis,Cryptococcal meningoencephalitis,Unclassified
AE:Cushing's syndrome,Cushing's syndrome,Endocrine disorders
AE:Cushingoid,Cushingoid,Unclassified
AE:Cutaneous T-cell lymphoma,Cutaneous T-cell lymphoma,"Neoplasms benign, malignant and unspecified"
AE:Cutaneous lupus erythematosus,Cutaneous lupus erythematosus,Immune system disorders
AE:Cutaneous vasculitis,Cutaneous vasculitis,Immune system disorders
AE:Cyanosis,Cyanosis,Unclassified
AE:Cyst,Cyst,"Neoplasms benign, malignant and unspecified"
AE:Cyst removal,Cyst removal,"Neoplasms benign, malignant and unspecified"
AE:Cytomegalovirus infection reactivation,Cytomegalovirus infection reactivation,Infections and infestations
AE:Cytomegalovirus viraemia,Cytomegalovirus viraemia,Infections and infestations
AE:Cytopenia,Cytopenia,Blood and lymphatic system disorders
AE:Dactylitis,Dactylitis,Unclassified
AE:Deafness,Deafness,Ear and labyrinth disorders
AE:Deafness neurosensory,Deafness neurosensory,Ear and labyrinth disorders
AE:Death neonatal,Death neonatal,"Pregnancy, puerperium and perinatal conditions"
AE:Debridement,Debridement,Surgical and medical procedures
AE:Decreased activity,Decreased activity,Unclassified
AE:Decubitus ulcer,Decubitus ulcer,Skin and subcutaneous tissue disorders
AE:Deep vein thrombosis postoperative,Deep vein thrombosis postoperative,Vascular disorders
AE:Deformity,Deformity,Unclassified
AE:Delirium,Delirium,Psychiatric disorders
AE:Demyelination,Demyelination,Unclassified
AE:Dengue fever,Dengue fever,Infections and infestations
AE:Dental caries,Dental caries,Gastrointestinal disorders
AE:Dental operation,Dental operation,Gastrointestinal disorders
AE:Dependence,Dependence,Unclassified
AE:Depressive symptom,Depressive symptom,Psychiatric disorders
AE:Dermatitis,Dermatitis,Skin and subcutaneous tissue disorders
AE:Dermatitis contact,Dermatitis contact,Skin and subcutaneous tissue disorders
AE:Dermatitis psoriasiform,Dermatitis psoriasiform,Skin and subcutaneous tissue disorders
AE:Device breakage,Device breakage,Product issues
AE:Device defective,Device defective,Product issues
AE:Device delivery system issue,Device delivery system issue,Product issues
AE:Device deployment issue,Device deployment issue,Product issues
AE:Device difficult to use,Device difficult to use,Product issues
AE:Device dislocation,Device dislocation,"Injury, poisoning and procedural complications"
AE:Device dispensing error,Device dispensing error,Product issues
AE:Device failure,Device failure,Product issues
AE:Device issue,Device issue,Product issues
AE:Device leakage,Device leakage,Product issues
AE:Device malfunction,Device malfunction,Product issues
AE:Device mechanical issue,Device mechanical issue,Product issues
AE:Device occlusion,Device occlusion,Product issues
AE:Device operational issue,Device operational issue,Product issues
AE:Device physical property issue,Device physical property issue,Product issues
AE:Device related infection,Device related infection,Infections and infestations
AE:Device safety feature issue,Device safety feature issue,Product issues
AE:Device use error,Device use error,Product issues
AE:Diabetes mellitus inadequate control,Diabetes mellitus inadequate control,Metabolism and nutrition disorders
AE:Diabetic ketoacidosis,Diabetic ketoacidosis,Metabolism and nutrition disorders
AE:Diabetic neuropathy,Diabetic neuropathy,Unclassified
AE:Dialysis,Dialysis,Renal and urinary disorders
AE:Diarrhoea haemorrhagic,Diarrhoea haemorrhagic,Gastrointestinal disorders
AE:Diastolic dysfunction,Diastolic dysfunction,Unclassified
AE:Diffuse alopecia,Diffuse alopecia,Skin and subcutaneous tissue disorders
AE:Diffuse large B-cell lymphoma,Diffuse large B-cell lymphoma,"Neoplasms benign, malignant and unspecified"
AE:Disability,Disability,Social circumstances
AE:Disease progression,Disease progression,"Neoplasms benign, malignant and unspecified"
AE:Dislocation of vertebra,Dislocation of vertebra,"Injury, poisoning and procedural complications"
AE:Diverticular perforation,Diverticular perforation,Unclassified
AE:Diverticulum,Diverticulum,Unclassified
AE:Diverticulum intestinal,Diverticulum intestinal,Unclassified
AE:Drug administration error,Drug administration error,Unclassified
AE:Drug dose omission by device,Drug dose omission by device,Product issues
AE:Drug effect decreased,Drug effect decreased,Investigations
AE:Drug effect delayed,Drug effect delayed,Unclassified
AE:Drug effect incomplete,Drug effect incomplete,Unclassified
AE:Drug effect less than expected,Drug effect less than expected,Unclassified
AE:Drug ineffective for unapproved indication,Drug ineffective for unapproved indication,General disorders and administration site conditions
AE:Drug specific antibody,Drug specific antibody,Unclassified
AE:Drug specific antibody present,Drug specific antibody present,Unclassified
AE:Drug tolerance,Drug tolerance,Unclassified
AE:Drug tolerance decreased,Drug tolerance decreased,Investigations
AE:Drug use disorder,Drug use disorder,Unclassified
AE:Dry throat,Dry throat,"Respiratory, thoracic and mediastinal disorders"
AE:Duodenal ulcer,Duodenal ulcer,Gastrointestinal disorders
AE:Duodenal ulcer perforation,Duodenal ulcer perforation,Gastrointestinal disorders
AE:Dysaesthesia,Dysaesthesia,Unclassified
