id,name,soc
AE:Arteriosclerosis,Arteriosclerosis,Vascular disorders
AE:Arteriosclerosis coronary artery,Arteriosclerosis coronary artery,Cardiac disorders
AE:Asthma,Asthma,"Respiratory, thoracic and mediastinal disorders"
AE:Capillaritis,Capillaritis,Unclassified
AE:Colitis,Colitis,Gastrointestinal disorders
AE:Colitis ulcerative,Colitis ulcerative,Gastrointestinal disorders
AE:Conjunctivitis allergic,Conjunctivitis allergic,Unclassified
AE:Dust allergy,Dust allergy,Unclassified
AE:Eosinophilic granulomatosis with polyangiitis,Eosinophilic granulomatosis with polyangiitis,Unclassified
AE:Erythema,Erythema,Skin and subcutaneous tissue disorders
AE:Female genital tract fistula,Female genital tract fistula,Reproductive system and breast disorders
AE:Forced expiratory volume decreased,Forced expiratory volume decreased,Investigations
AE:Frequent bowel movements,Frequent bowel movements,Gastrointestinal disorders
AE:Full blood count abnormal,Full blood count abnormal,Blood and lymphatic system disorders
AE:Haematochezia,Haematochezia,Gastrointestinal disorders
AE:Haemoptysis,Haemoptysis,"Respiratory, thoracic and mediastinal disorders"
AE:Headache,Headache,Nervous system disorders
AE:Hypothyroidism,Hypothyroidism,Unclassified
AE:Hypoxia,Hypoxia,"Respiratory, thoracic and mediastinal disorders"
AE:Infection,Infection,Infections and infestations
AE:Loss of personal independence in daily activities,Loss of personal independence in daily activities,Unclassified
AE:Lung disorder,Lung disorder,"Respiratory, thoracic and mediastinal disorders"
AE:Mite allergy,Mite allergy,Unclassified
AE:Mycotic allergy,Mycotic allergy,Unclassified
AE:Neuritis,Neuritis,Nervous system disorders
AE:Neurological symptom,Neurological symptom,Unclassified
AE:Nodule,Nodule,General disorders and administration site conditions
AE:Normochromic normocytic anaemia,Normochromic normocytic anaemia,Blood and lymphatic system disorders
AE:Oral candidiasis,Oral candidiasis,Unclassified
AE:Pain in extremity,Pain in extremity,Musculoskeletal and connective tissue disorders
AE:Proctitis,Proctitis,Unclassified
AE:Productive cough,Productive cough,"Respiratory, thoracic and mediastinal disorders"
AE:Pulmonary alveolar haemorrhage,Pulmonary alveolar haemorrhage,"Injury, poisoning and procedural complications"
AE:Pulmonary fibrosis,Pulmonary fibrosis,"Respiratory, thoracic and mediastinal disorders"
AE:Pulmonary vasculitis,Pulmonary vasculitis,Immune system disorders
AE:Radiculopathy,Radiculopathy,Unclassified
AE:Rectal haemorrhage,Rectal haemorrhage,Gastrointestinal disorders
AE:Respiratory symptom,Respiratory symptom,"Respiratory, thoracic and mediastinal disorders"
AE:Sleep disorder due to a general medical condition,Sleep disorder due to a general medical condition,Psychiatric disorders
AE:Spirometry abnormal,Spirometry abnormal,Investigations
AE:Total lung capacity abnormal,Total lung capacity abnormal,Investigations
AE:Vaginal discharge,Vaginal discharge,Reproductive system and breast disorders
AE:Vaginal flatulence,Vaginal flatulence,Gastrointestinal disorders
AE:Vasculitis,Vasculitis,Immune system disorders
AE:Atrial fibrillation,Atrial fibrillation,Cardiac disorders
AE:Bronchospasm,Bronchospasm,"Respiratory, thoracic and mediastinal disorders"
AE:Exostosis,Exostosis,Unclassified
AE:Foreign body in throat,Foreign body in throat,"Respiratory, thoracic and mediastinal disorders"
