drug_name,chembl_id,atc_code,atc_name,atc_l1,atc_l1_desc,atc_l2,atc_l2_desc,atc_l3,atc_l3_desc,atc_l4,atc_l4_desc
(2-BENZHYDRYLOXYETHYL)DIETHYL-METHYLAMMONIUM IODIDE,CHEMBL3707204,A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,A,ALIMENTARY TRACT AND METABOLISM,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds"
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,CHEMBL4297879,B02AB02,alfa1 antitrypsin,B,BLOOD AND BLOOD FORMING ORGANS,B02,ANTIHEMORRHAGICS,B02A,ANTIFIBRINOLYTICS,B02AB,Proteinase inhibitors
2-(4-CHLORPHENOXY)-ETHANOL,CHEMBL3707367,D01AE06,2-(4-chlorphenoxy)-ethanol,D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AE,Other antifungals for topical use
4-DIMETHYLAMINOPHENOL,CHEMBL3707216,V03AB27,4-dimethylaminophenol,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes
ABACAVIR,CHEMBL1380,J05AF06,abacavir,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
ABALOPARATIDE,CHEMBL3301581,H05AA04,abaloparatide,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05A,PARATHYROID HORMONES AND ANALOGUES,H05AA,Parathyroid hormones and analogues
ABAMETAPIR,CHEMBL2205807,P03AX07,abametapir,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",P03A,"ECTOPARASITICIDES, INCL. SCABICIDES",P03AX,"Other ectoparasiticides, incl. scabicides"
ABARELIX,CHEMBL1252,L02BX01,abarelix,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02,ENDOCRINE THERAPY,L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,L02BX,Other hormone antagonists and related agents
ABATACEPT,CHEMBL1201823,L04AA24,abatacept,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AA,Selective immunosuppressants
ABCIXIMAB,CHEMBL1201584,B01AC13,abciximab,B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin
ABEMACICLIB,CHEMBL3301610,L01EF03,abemaciclib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EF,Cyclin-dependent kinase (CDK) inhibitors
ABEPRAZAN,CHEMBL4594445,A02BC10,fexuprazan,A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC,Proton pump inhibitors
ABETIMUS,CHEMBL2108171,L04AA22,abetimus,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AA,Selective immunosuppressants
ABICIPAR PEGOL,CHEMBL4297684,S01LA07,abicipar pegol,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01L,OCULAR VASCULAR DISORDER AGENTS,S01LA,Antineovascularisation agents
ABIRATERONE,CHEMBL254328,L02BX03,abiraterone,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02,ENDOCRINE THERAPY,L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,L02BX,Other hormone antagonists and related agents
ABROCITINIB,CHEMBL3655081,D11AH08,abrocitinib,D,DERMATOLOGICALS,D11,OTHER DERMATOLOGICAL PREPARATIONS,D11A,OTHER DERMATOLOGICAL PREPARATIONS,D11AH,"Agents for dermatitis, excluding corticosteroids"
ACADESINE,CHEMBL1551724,C01EB13,acadesine,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations
ACALABRUTINIB,CHEMBL3707348,L01EL02,acalabrutinib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EL,Bruton's tyrosine kinase (BTK) inhibitors
ACAMPROSATE,CHEMBL1201293,N07BB03,acamprosate,N,NERVOUS SYSTEM,N07,OTHER NERVOUS SYSTEM DRUGS,N07B,DRUGS USED IN ADDICTIVE DISORDERS,N07BB,Drugs used in alcohol dependence
ACARBOSE,CHEMBL404271,A10BF01,acarbose,A,ALIMENTARY TRACT AND METABOLISM,A10,DRUGS USED IN DIABETES,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BF,Alpha glucosidase inhibitors
ACEBUTOLOL,CHEMBL642,C07AB04,acebutolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective"
ACECLIDINE,CHEMBL20835,S01EB08,aceclidine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EB,Parasympathomimetics
ACECLIDINE,CHEMBL20835,S01EB58,"aceclidine, combinations",S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EB,Parasympathomimetics
ACECLOFENAC,CHEMBL93645,M01AB16,aceclofenac,M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances
ACECLOFENAC,CHEMBL93645,M02AA25,aceclofenac,M,MUSCULO-SKELETAL SYSTEM,M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02AA,"Antiinflammatory preparations, non-steroids for topical use"
ACEFYLLINE PIPERAZINE,CHEMBL2106660,R03DA09,acefylline piperazine,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DA,Xanthines
ACEMETACIN,CHEMBL189171,M01AB11,acemetacin,M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances
ACENEURAMIC ACID,CHEMBL2105945,M09AX05,aceneuramic acid,M,MUSCULO-SKELETAL SYSTEM,M09,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,M09A,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,M09AX,Other drugs for disorders of the musculo-skeletal system
ACENOCOUMAROL,CHEMBL397420,B01AA07,acenocoumarol,B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists
ACEPROMAZINE,CHEMBL39560,N05AA04,acepromazine,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05A,ANTIPSYCHOTICS,N05AA,Phenothiazines with aliphatic side-chain
ACETAMINOPHEN,CHEMBL112,N02BE51,"paracetamol, combinations excl. psycholeptics",N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BE,Anilides
ACETAMINOPHEN,CHEMBL112,N02BE01,paracetamol,N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BE,Anilides
ACETAMINOPHEN,CHEMBL112,N02BE71,"paracetamol, combinations with psycholeptics",N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BE,Anilides
ACETARSONE,CHEMBL1330792,P01CD02,acetarsol,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01C,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,P01CD,Arsenic compounds
ACETARSONE,CHEMBL1330792,A07AX02,acetarsol,A,ALIMENTARY TRACT AND METABOLISM,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07A,INTESTINAL ANTIINFECTIVES,A07AX,Other intestinal antiinfectives
ACETARSONE,CHEMBL1330792,G01AB01,acetarsol,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AB,Arsenic compounds
ACETAZOLAMIDE,CHEMBL20,S01EC01,acetazolamide,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EC,Carbonic anhydrase inhibitors
ACETIC ACID,CHEMBL539,S02AA10,acetic acid,S,SENSORY ORGANS,S02,OTOLOGICALS,S02A,ANTIINFECTIVES,S02AA,Antiinfectives
ACETIC ACID,CHEMBL539,G01AD02,acetic acid,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AD,Organic acids
ACETOHEXAMIDE,CHEMBL1589,A10BB31,acetohexamide,A,ALIMENTARY TRACT AND METABOLISM,A10,DRUGS USED IN DIABETES,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BB,Sulfonylureas
ACETOHYDROXAMIC ACID,CHEMBL734,G04BX03,acetohydroxamic acid,G,GENITO URINARY SYSTEM AND SEX HORMONES,G04,UROLOGICALS,G04B,UROLOGICALS,G04BX,Other urologicals
ACETOPHENAZINE,CHEMBL1085,N05AB07,acetophenazine,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05A,ANTIPSYCHOTICS,N05AB,Phenothiazines with piperazine structure
ACETOXOLONE,CHEMBL207413,A02BX09,acetoxolone,A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
ACETRIZOIC ACID,CHEMBL1201327,V08AA07,acetrizoic acid,V,VARIOUS,V08,CONTRAST MEDIA,V08A,"X-RAY CONTRAST MEDIA, IODINATED",V08AA,"Watersoluble, nephrotropic, high osmolar X-ray contrast media"
ACETYLCARNITINE,CHEMBL1697733,N06BX12,acetylcarnitine,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BX,Other psychostimulants and nootropics
ACETYLCHOLINE,CHEMBL667,S01EB09,acetylcholine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EB,Parasympathomimetics
ACETYLCYSTEINE,CHEMBL600,R05CB01,acetylcysteine,R,RESPIRATORY SYSTEM,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CB,Mucolytics
ACETYLCYSTEINE,CHEMBL600,S01XA08,acetylcysteine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01X,OTHER OPHTHALMOLOGICALS,S01XA,Other ophthalmologicals
ACETYLCYSTEINE,CHEMBL600,V03AB23,acetylcysteine,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes
ACETYLDIGITOXIN,CHEMBL3545057,C01AA01,acetyldigitoxin,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides
ACETYLDIGOXIN,CHEMBL2074725,C01AA02,acetyldigoxin,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides
ACETYLDIGOXIN,CHEMBL2074725,C01AA52,"acetyldigoxin, combinations",C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides
ACETYLDIHYDROCODEINE,CHEMBL3092041,R05DA12,acetyldihydrocodeine,R,RESPIRATORY SYSTEM,R05,COUGH AND COLD PREPARATIONS,R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",R05DA,Opium alkaloids and derivatives
ACETYLGLYCINAMIDE CHLORAL HYDRATE,CHEMBL3707308,N05CC03,acetylglycinamide chloral hydrate,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CC,Aldehydes and derivatives
ACETYLLEUCINE,CHEMBL1875805,N07CA04,acetylleucine,N,NERVOUS SYSTEM,N07,OTHER NERVOUS SYSTEM DRUGS,N07C,ANTIVERTIGO PREPARATIONS,N07CA,Antivertigo preparations
ACIPIMOX,CHEMBL345714,C10AD06,acipimox,C,CARDIOVASCULAR SYSTEM,C10,LIPID MODIFYING AGENTS,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10AD,Nicotinic acid and derivatives
ACITRETIN,CHEMBL1131,D05BB02,acitretin,D,DERMATOLOGICALS,D05,ANTIPSORIATICS,D05B,ANTIPSORIATICS FOR SYSTEMIC USE,D05BB,Retinoids for treatment of psoriasis
ACLARUBICIN,CHEMBL502620,L01DB04,aclarubicin,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01DB,Anthracyclines and related substances
ACLIDINIUM BROMIDE,CHEMBL551466,R03BB05,aclidinium bromide,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",R03BB,Anticholinergics
ACORAMIDIS,CHEMBL3940890,C01EB25,acoramidis,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations
ACOTIAMIDE,CHEMBL2107723,A03FA10,acotiamide,A,ALIMENTARY TRACT AND METABOLISM,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03F,PROPULSIVES,A03FA,Propulsives
ACRIFLAVINE HYDROCHLORIDE,CHEMBL5219995,R02AA13,acriflavinium chloride,R,RESPIRATORY SYSTEM,R02,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02AA,Antiseptics
ACRIVASTINE,CHEMBL1224,R06AX18,acrivastine,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AX,Other antihistamines for systemic use
ACYCLOVIR,CHEMBL184,J05AB01,aciclovir,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
ACYCLOVIR,CHEMBL184,S01AD03,aciclovir,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AD,Antivirals
ACYCLOVIR,CHEMBL184,D06BB53,"aciclovir, combinations",D,DERMATOLOGICALS,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,D06BB,Antivirals
ACYCLOVIR,CHEMBL184,D06BB03,aciclovir,D,DERMATOLOGICALS,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,D06BB,Antivirals
ADAGRASIB,CHEMBL4594350,L01XX77,adagrasib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS,L01XX,Other antineoplastic agents
ADALIMUMAB,CHEMBL1201580,L04AB04,adalimumab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors
ADAPALENE,CHEMBL1265,D10AD53,"adapalene, combinations",D,DERMATOLOGICALS,D10,ANTI-ACNE PREPARATIONS,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AD,Retinoids for topical use in acne
ADAPALENE,CHEMBL1265,D10AD03,adapalene,D,DERMATOLOGICALS,D10,ANTI-ACNE PREPARATIONS,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AD,Retinoids for topical use in acne
ADEFOVIR DIPIVOXIL,CHEMBL922,J05AF08,adefovir dipivoxil,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
ADEMETIONINE,CHEMBL1088977,A16AA02,ademetionine,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AA,Amino acids and derivatives
ADENOSINE,CHEMBL477,C01EB10,adenosine,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations
ADINAZOLAM,CHEMBL328250,N05BA07,adinazolam,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05B,ANXIOLYTICS,N05BA,Benzodiazepine derivatives
ADRAFINIL,CHEMBL93077,N06BX17,adrafinil,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BX,Other psychostimulants and nootropics
ADRENALONE,CHEMBL2103996,A01AD06,adrenalone,A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AD,Other agents for local oral treatment
ADRENALONE,CHEMBL2103996,B02BC05,adrenalone,B,BLOOD AND BLOOD FORMING ORGANS,B02,ANTIHEMORRHAGICS,B02B,VITAMIN K AND OTHER HEMOSTATICS,B02BC,Local hemostatics
ADUCANUMAB,CHEMBL3039540,N06DX03,aducanumab,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06D,ANTI-DEMENTIA DRUGS,N06DX,Other anti-dementia drugs
AFAMELANOTIDE,CHEMBL441738,D02BB02,afamelanotide,D,DERMATOLOGICALS,D02,EMOLLIENTS AND PROTECTIVES,D02B,PROTECTIVES AGAINST UV-RADIATION,D02BB,Protectives against UV-radiation for systemic use
AFATINIB,CHEMBL1173655,L01EB03,afatinib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EB,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
AFELIMOMAB,CHEMBL2108887,L04AB03,afelimomab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors
AFLIBERCEPT,CHEMBL1742982,L01XX44,aflibercept,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS,L01XX,Other antineoplastic agents
AFLIBERCEPT,CHEMBL1742982,S01LA05,aflibercept,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01L,OCULAR VASCULAR DISORDER AGENTS,S01LA,Antineovascularisation agents
AGALSIDASE ALFA,CHEMBL2108214,A16AB03,agalsidase alfa,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB,Enzymes
AGALSIDASE BETA,CHEMBL2108888,A16AB04,agalsidase beta,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AB,Enzymes
AGOMELATINE,CHEMBL10878,N06AX22,agomelatine,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AX,Other antidepressants
"AIR, MEDICAL",CHEMBL2108889,V03AN05,medical air,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AN,Medical gases
AJMALINE,CHEMBL5314404,C01BA05,ajmaline,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia"
ALANYL GLUTAMINE,CHEMBL3707366,B05XB02,alanyl glutamine,B,BLOOD AND BLOOD FORMING ORGANS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05X,I.V. SOLUTION ADDITIVES,B05XB,Amino acids
ALAPROCLATE,CHEMBL36591,N06AB07,alaproclate,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AB,Selective serotonin reuptake inhibitors
ALBENDAZOLE,CHEMBL1483,P02CA03,albendazole,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P02,ANTHELMINTICS,P02C,ANTINEMATODAL AGENTS,P02CA,Benzimidazole derivatives
ALBIGLUTIDE,CHEMBL2107841,A10BJ04,albiglutide,A,ALIMENTARY TRACT AND METABOLISM,A10,DRUGS USED IN DIABETES,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BJ,Glucagon-like peptide-1 (GLP-1) analogues
ALBINTERFERON ALFA-2B,CHEMBL2107842,L03AB12,albinterferon alfa-2b,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03AB,Interferons
ALBUMIN HUMAN,CHEMBL1201451,B05AA01,albumin,B,BLOOD AND BLOOD FORMING ORGANS,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05A,BLOOD AND RELATED PRODUCTS,B05AA,Blood substitutes and plasma protein fractions
ALBUMIN TANNATE,CHEMBL2108174,A07XA51,"albumin tannate, combinations",A,ALIMENTARY TRACT AND METABOLISM,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07X,OTHER ANTIDIARRHEALS,A07XA,Other antidiarrheals
ALBUMIN TANNATE,CHEMBL2108174,A07XA01,albumin tannate,A,ALIMENTARY TRACT AND METABOLISM,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07X,OTHER ANTIDIARRHEALS,A07XA,Other antidiarrheals
"ALBUMIN, AGGREGATED",CHEMBL2108890,V08DA01,"perflutren, human albumin microspheres",V,VARIOUS,V08,CONTRAST MEDIA,V08D,ULTRASOUND CONTRAST MEDIA,V08DA,Ultrasound contrast media
"ALBUMIN, IODINATED I 125 SERUM",CHEMBL1201452,V09GB02,iodine (125I) human albumin,V,VARIOUS,V09,DIAGNOSTIC RADIOPHARMACEUTICALS,V09G,CARDIOVASCULAR SYSTEM,V09GB,Iodine (125I) compounds
"ALBUMIN, IODINATED I 131 SERUM",CHEMBL1201453,V09XA03,iodine (131I) human albumin,V,VARIOUS,V09,DIAGNOSTIC RADIOPHARMACEUTICALS,V09X,OTHER DIAGNOSTIC RADIOPHARMACEUTICALS,V09XA,Iodine (131I) compounds
ALBUTEROL,CHEMBL714,R03AC02,salbutamol,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03A,"ADRENERGICS, INHALANTS",R03AC,Selective beta-2-adrenoreceptor agonists
ALBUTEROL,CHEMBL714,R03CC02,salbutamol,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03C,ADRENERGICS FOR SYSTEMIC USE,R03CC,Selective beta-2-adrenoreceptor agonists
ALBUVIRTIDE,CHEMBL4297257,J05AX33,labuvirtide,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AX,Other antivirals
ALCAFTADINE,CHEMBL1201747,S01GX11,alcaftadine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01G,DECONGESTANTS AND ANTIALLERGICS,S01GX,Other antiallergics
ALCLOFENAC,CHEMBL94081,M01AB06,alclofenac,M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances
ALCLOMETASONE DIPROPIONATE,CHEMBL1200989,D07AB10,alclometasone,D,DERMATOLOGICALS,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07A,"CORTICOSTEROIDS, PLAIN",D07AB,"Corticosteroids, moderately potent (group II)"
ALCLOMETASONE DIPROPIONATE,CHEMBL1200989,S01BA10,alclometasone,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain"
ALCOHOL,CHEMBL545,D08AX08,ethanol,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AX,Other antiseptics and disinfectants
ALCOHOL,CHEMBL545,V03AB16,ethanol,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes
