drug_id	cluster	pc1	pc2
CHEMBL744	11	0.43351442	-0.37923086
CHEMBL2109450	6	0.3620761	-0.3185338
CHEMBL2219422	13	0.52185065	-0.25290674
CHEMBL1523964	19	0.5963349	-0.39764675
CHEMBL3545000	15	0.630068	-0.13047147
CHEMBL1434513	19	0.522298	-0.41370654
CHEMBL214268	19	0.5494753	-0.21215272
CHEMBL2358147	19	0.4828986	-0.2933324
CHEMBL85	19	0.7466621	-0.36752313
CHEMBL2107890	15	0.41613314	-0.36629695
CHEMBL848	15	0.5464825	-0.38052353
CHEMBL29919	11	0.3525243	-0.21035704
CHEMBL3039596	17	0.6649842	-0.27347258
CHEMBL861	11	0.47241062	-0.35396922
CHEMBL2109519	7	0.46157598	-0.055546463
CHEMBL607400	11	0.45522207	-0.29896143
CHEMBL1472	17	0.67495936	-0.3322202
CHEMBL2103837	17	0.6407605	-0.17100976
CHEMBL256997	15	0.28828895	-0.47388586
CHEMBL6068423	13	0.5994778	-0.33456337
CHEMBL1201466	13	0.6744053	-0.30019215
CHEMBL24828	13	0.26507196	-0.3365022
CHEMBL3301611	11	0.28235468	-0.31645533
CHEMBL113461	11	0.42212567	-0.1711309
CHEMBL332750	19	0.4467256	-0.37397528
CHEMBL238804	17	0.65715253	-0.081400216
CHEMBL628	19	0.33979827	-0.25535694
CHEMBL1096	17	0.7095566	-0.26875913
CHEMBL574737	13	0.3882228	-0.36025864
CHEMBL3707228	19	0.645416	-0.14262551
CHEMBL3989949	11	0.4828123	-0.048499048
CHEMBL1355736	19	0.45325053	-0.2478138
CHEMBL1200382	11	0.4957614	-0.2236377
CHEMBL2105527	11	0.41965353	-0.11862111
CHEMBL1102	11	0.4788484	-0.28751594
CHEMBL451	11	0.3659062	-0.17708962
CHEMBL2107383	11	0.5553625	-0.15116194
CHEMBL2109575	15	0.32733214	-0.41504315
CHEMBL2109635	15	0.5243126	-0.3525174
CHEMBL2109093	13	0.6453167	-0.17211609
CHEMBL3545371	15	0.3971165	-0.40384653
CHEMBL2109629	15	0.51317465	-0.36002427
CHEMBL1743020	13	0.4228245	-0.1984963
CHEMBL4298101	15	0.553057	-0.2245815
CHEMBL378544	15	0.34668505	-0.31569567
CHEMBL1201752	15	0.45103288	-0.3120492
CHEMBL3977543	13	0.4385398	-0.31935012
CHEMBL1742998	15	0.40286505	-0.2812997
CHEMBL2109633	15	0.19991606	-0.35365146
CHEMBL181	11	0.66444236	-0.26697534
CHEMBL4297636	15	0.559039	-0.13019156
CHEMBL1743037	15	0.3199453	-0.27516153
CHEMBL3301585	15	0.36555532	-0.35512936
CHEMBL1200420	11	0.2871089	-0.42406228
CHEMBL30219	11	0.5989646	-0.2777787
CHEMBL661	11	0.60636294	-0.38947883
CHEMBL4297859	15	0.35801914	-0.28202757
CHEMBL979	11	0.5326127	-0.21966907
CHEMBL3989933	19	0.39308935	-0.37643796
CHEMBL4297892	15	0.2625579	-0.19432884
CHEMBL1922660	17	0.5877285	-0.4484204
CHEMBL4297789	15	0.3063718	-0.33106604
CHEMBL931	11	0.4322477	-0.34773663
CHEMBL970	11	0.27791756	-0.080688745
CHEMBL2007641	13	0.70380354	-0.34844378
CHEMBL2095222	13	0.32718644	-0.46052763
CHEMBL1737	7	0.36051217	-0.20488037
CHEMBL3963485	13	0.40644684	-0.23920353
CHEMBL13280	11	0.46508187	-0.2684062
CHEMBL1200802	11	0.4369793	-0.26321346
CHEMBL2105756	13	0.51572937	-0.11674598
CHEMBL3989919	19	0.5920611	-0.28965893
CHEMBL3544984	6	0.5894687	-0.30670092
CHEMBL101253	13	0.7087262	-0.30429724
CHEMBL3393066	13	0.47027177	-0.3129473
CHEMBL4303201	13	0.60209715	-0.22996086
CHEMBL1946170	13	0.5423181	-0.22181341
CHEMBL1742987	6	0.5954239	-0.55071825
CHEMBL2108078	18	0.48050267	-0.004401952
CHEMBL20	6	0.40042812	-0.38025814
CHEMBL220491	17	0.65677804	-0.17083408
CHEMBL26	17	0.68750745	-0.31850946
CHEMBL596802	17	0.768105	-0.26013935
