drug	cluster	pca1	pca2
ASFOTASE ALFA	18	0.07631257	-3.336612
ASPARAGINASE	19	1.6719464	2.1044545
ASPARTAME	2	4.341968	-2.579776
ASPARTAME\CHOLESTYRAMINE	8	5.106264	-0.6358084
ASPARTATE CALCIUM	8	6.2263827	-1.8168397
ASPARTIC ACID	17	2.6043682	4.7715054
ASPIRIN	19	2.1661177	0.17908125
ASPIRIN DL-LYSINE	8	6.0088315	0.3061278
ASPIRIN DL-LYSINE\GLYCINE	13	-0.25825435	2.1498947
ASPIRIN LYSINE\METOCLOPRAMIDE HYDROCHLORIDE	0	-1.8453777	-0.87455225
ASPIRIN\CAFFEINE\CODEINE	13	2.7540047	-0.76544565
ASPIRIN\CHLORPHENIRAMINE MALEATE\PHENYLEPHRINE BITARTRATE	8	2.907272	-1.6857376
ASPIRIN\CITRIC ACID MONOHYDRATE\SODIUM BICARBONATE	16	-3.9206889	-1.6951847
ASPIRIN\CLOPIDOGREL	15	-5.0694914	-2.2424111
ASPIRIN\OXYCODONE HYDROCHLORIDE\OXYCODONE TEREPHTHALATE	0	-0.6211701	2.1735375
ASUNAPREVIR	9	0.06592255	3.03683
ATAZANAVIR	6	-0.2386019	1.4865727
ATAZANAVIR SULFATE	0	1.1853949	2.61576
ATAZANAVIR SULFATE\COBICISTAT	8	4.7571006	-1.1746278
ATAZANAVIR;COBICISTAT	8	3.2212853	1.1225923
ATAZANAVIR;RITONAVIR	8	2.7030826	2.1476002
ATENOLOL	19	2.5395887	-0.2967513
ATENOLOL;CHLORTALIDONE	0	-4.0850487	1.0899055
ATENOLOL;CHLORTHALIDONE	4	-3.5194647	-2.1059408
ATENOLOL\CHLORTHALIDONE	8	4.398309	1.8637817
ATEZOLIZUMAB	19	2.1570787	0.6082828
ATEZOLIZUMAB, TRIAL	9	1.3522552	1.479226
ATOGEPANT	18	-2.5928586	-2.03539
ATOMOXETINE	18	0.4382448	-1.7657796
ATOMOXETINE HYDROCHLORIDE	0	-1.2299371	2.5707963
ATORVASTATIN	19	4.185276	-1.1447979
ATORVASTATIN CALCIUM	19	0.7216007	-0.44137457
ATORVASTATIN;EZETIMIBE	6	-1.2598603	1.080509
ATOSIBAN	13	0.59267366	2.2626934
ATOVAQUONE	9	-1.6718324	3.4628465
ATOVAQUONE;PROGUANIL	15	-4.962591	0.8086293
ATRACURIUM	17	0.27172136	4.0397024
ATROPA BELLADONNA\CALCIUM PHOSPHATE\CHAMOMILE\COFFEA ARABICA FRUIT	8	4.6925483	1.2723674
ATROPA SPP;CAFFEINE;OPIUM;PARACETAMOL	8	6.080759	-0.6768814
ATROPA SPP;CALCIUM;COFFEA SPP;MATRICARIA SPP	5	0.17211297	3.1001415
ATROPINE	18	-0.8083791	1.114097
ATROPINE SULFATE	1	3.3424394	1.6089163
ATROPINE SULFATE\DIPHENOXYLATE HYDROCHLORIDE	1	2.3813624	-2.8422916
ATROPINE;DIFENOXIN	1	3.6275537	-3.2065287
ATROPINE;DIPHENOXYLATE	15	-4.041879	-0.31608573
ATROPINE;HYOSCYAMINE;PHENOBARBITAL;SCOPOLAMINE	2	4.450568	-2.7713823
ATROVENT INHALATION SOLUTION	13	0.8831033	-1.9006034
AURANOFIN	2	4.5357075	-2.4337718
AUROTHIOGLUCOSE	1	1.0832907	-4.2086782
AVACINCAPTAD PEGOL	12	1.6808692	-4.0281096
AVACOPAN	6	-3.1000364	0.46431264
AVALGLUCOSIDASE ALFA	15	-5.7942133	1.093752
AVANAFIL	15	-1.9932456	-2.1833773
AVAPRITINIB	18	0.38416302	-1.5414827
AVASTIN /01555201/	5	0.68616337	1.2357255
AVATROMBOPAG	15	-5.152017	-1.0615442
AVELUMAB	9	-2.2352898	3.3502858
AVIBACTAM	13	2.0945075	3.201528
AVIBACTAM SODIUM\CEFTAZIDIME	1	1.8111326	-0.6534214
AVIBACTAM;CEFTAZIDIME	9	-1.2083281	5.3515344
AVOBENZONE;OCTISALATE;OCTOCRILENE	12	-0.50894874	-4.970319
AVOBENZONE\DIHYDROXYACETONE\DIMETHICONE COPOLYOL\HEXYL LAURATE\HOMOSALATE\OCTISALATE\OCTOCRYLENE\OXYBENZONE\PROPYLENE GLYCOL	8	5.202317	-2.4877515
AVOBENZONE\HOMOSALATE\OCTISALATE\OCTOCRYLENE	12	-0.35587317	-5.792989
AVOBENZONE\HOMOSALATE\OCTISALATE\OCTOCRYLENE OR AVOBENZONE\HOMOSALATE\OCTISALATE\OCTOCRYLENE\OXYBENZONE	7	0.5133485	-2.4357252
AVOBENZONE\HOMOSALATE\OCTISALATE\OCTOCRYLENE\OXYBENZONE	12	-0.69961995	-5.5468125
AVOBENZONE\OCTINOXATE\OCTISALATE\OXYBENZONE	7	-1.5623146	-4.508848
AVOBENZONE\OCTISALATE\OCTOCRYLENE	12	-1.8802466	-3.1236858
AVOBENZONE\OCTOCRYLENE\OXYBENZONE	1	2.7425137	-2.7087967
AXICABTAGENE CILOLEUCEL	19	1.1335434	3.5196242
AXITINIB	19	1.1353599	-0.46710202
AZACITIDINE	19	1.3507735	1.7041725
AZATHIOPRINE	19	2.9187076	-1.2693743
AZATHIOPRINE SODIUM	4	-5.2047443	-2.25339
AZELAIC ACID	4	-1.8485314	-5.466001
AZELASTINE	12	-4.458001	-4.147003
AZELASTINE HYDROCHLORIDE	12	-4.554887	-1.9123224
AZELASTINE;FLUTICASONE	14	-3.686695	-1.9503616
AZELNIDIPINE	17	3.5703878	3.1790714
AZILSARTAN	6	-4.1164045	2.382255
AZILSARTAN;CHLORTALIDONE	6	-3.766081	4.1278324
AZITHROMYCIN	19	2.4800637	-0.6590548
AZITHROMYCIN ANHYDROUS	19	0.7423808	0.24888109
AZITHROMYCIN DIHYDRATE	13	-0.36320707	1.0295063
AZOSEMIDE	6	-2.1953146	5.1402597
AZTREONAM	18	-0.3435448	-0.20543839
BABY TEETHING, UNSPECIFIED	0	0.20852236	4.791133
BACAMPICILLIN	8	6.2593656	-2.183518
BACITRACIN	12	-4.074903	-4.588189
BACITRACIN ZINC	2	4.7697396	-2.638851
BACITRACIN;NEOMYCIN;POLYMYXIN B	12	-3.5042405	-4.1907067
BACITRACIN;POLYMYXIN B	4	-2.7963634	-5.1562276
BACLOFEN	19	2.618638	0.046574257
BALOXAVIR MARBOXIL	15	-3.4996598	2.4997559
BALSALAZIDE	5	-3.3017664	0.92409825
BAMBUTEROL	8	4.712298	1.9280956
BAMIFYLLINE	7	0.13808027	-0.7324375
BAMLANIVIMAB	18	-2.3938646	0.8211491
BAMLANIVIMAB;ETESEVIMAB	7	-4.5986404	-1.079842
BAMLANIVIMAB\ETESEVIMAB	14	-3.4651399	0.6902345
BARICITINIB	18	-0.35031673	0.26934227
BARIUM	5	-3.1681063	0.06253401
BARNIDIPINE	17	0.7858657	3.641323
BASILIXIMAB	19	2.5513043	1.8944007
BASSIA SCOPARIA POLLEN	7	2.596608	-2.8989823
BAXTER SOLU??O DE RINGER COM LACTATO	17	1.3307797	1.6484843
BAZEDOXIFENE ACETATE\ESTROGENS, CONJUGATED	8	4.901487	-0.8310251
BAZEDOXIFENE;ESTROGENS, UNSPECIFIED	15	-5.1861024	-1.5473038
BCG VACCINE	18	-1.506438	0.15132771
BEBTELOVIMAB	7	-4.2682347	-1.1318665
BECAPLERMIN	12	-2.6742926	-2.0082128
BECLOMETASONE	18	-0.25362083	-1.578651
BECLOMETASONE;FORMOTEROL	6	-2.791833	2.6422725
BECLOMETASONE;FORMOTEROL;GLYCOPYRRONIUM	8	6.312969	-1.904189
BEDAQUILINE	6	-1.3113476	3.3418503
BEDAQUILINE, TRIAL	8	5.519838	-1.6087637
BEGELOMAB	8	4.4865623	0.014817096
BELANTAMAB MAFODOTIN	9	-3.4181468	0.8938799
BELATACEPT	9	-0.69311076	3.737944
BELIMUMAB	19	1.5813212	-1.0491055
BELINOSTAT	5	-3.8352168	4.3635597
BELUMOSUDIL	15	-3.6683133	-1.5077213
BELZUTIFAN	5	-3.60668	3.739689
BEMPEDOIC ACID	15	-4.36852	0.27317896
BEMPEDOIC ACID;EZETIMIBE	15	-6.7217064	-1.019701
BEMPEGALDESLEUKIN	8	4.8051805	1.1406075
BENAZEPRIL	6	-2.884829	2.2784667
BENAZEPRIL HYDROCHLORIDE	0	0.5927286	2.3637238
BENDAMUSTINE	19	2.066686	0.6838328
BENDAMUSTINE HYDROCHLORIDE	9	-1.7729446	2.3637238
BENDROFLUMETHIAZIDE	6	-2.466329	3.8219423
BENFLUOREX	19	4.4702606	-0.7495852
BENFOTIAMINE	4	-2.4154165	-4.4304004
BENIDIPINE	13	3.0705838	3.2167635
BENPERIDOL	0	-0.8132054	2.8182406
BENRALIZUMAB	18	-0.3147506	-2.0491076
BENSERAZIDE	0	-2.2204645	2.200663
BENSERAZIDE;LEVODOPA	0	-0.5005598	2.8127143
BENSERAZIDE\LEVODOPA	0	-1.6658368	1.8373407
BENVITIMOD	12	-2.7580316	-4.8841004
BENZALKONIUM	4	-4.825643	-4.142679
BENZALKONIUM CHLORIDE	4	-2.5239086	-4.171594
BENZALKONIUM;DIPHENHYDRAMINE;PHENYLEPHRINE	4	-4.132508	-5.49897
BENZALKONIUM;SIMETICONE;HYDROCORTISON;NYSTATIN	8	5.8571973	-1.5871542
BENZATROPINE	0	-0.6742491	3.8471236
BENZNIDAZOLE	8	3.5952313	-1.8203028
BENZOCAINE	4	-3.7241235	-4.860628
BENZOCAINE\MENTHOL	15	-3.2211401	-2.7919722
BENZODIAZEPINE	8	4.259502	0.26281935
BENZODIAZEPINES, UNSPECIFIED	17	1.2296733	4.981366
BENZOIN	2	4.4788504	-2.754616
BENZONATATE	0	-3.2625718	3.0283072
BENZOYL PEROXIDE	12	-1.864039	-4.8331695
BENZOYL PEROXIDE;CETYLPYRIDINIUM	7	1.7449051	-1.3165371
BENZOYL PEROXIDE;CLINDAMYCIN	7	-4.8076715	-1.5301975
BENZOYL PEROXIDE;ERYTHROMYCIN	1	3.6711433	-1.8997033
BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE	1	-0.4615136	-2.5169272
BENZOYLECGONINE	3	3.755285	3.3950438
BENZOYLPAS CALCIUM ANHYDROUS	4	-2.8097723	-4.4582906
BENZTROPINE	0	1.2895854	5.053004
BENZTROPINE MESYLATE	3	5.679854	1.6672778
BENZYDAMINE	16	-3.208375	1.542757
BENZYLPENICILLIN	18	-0.4575336	-0.6305245
BEPOTASTINE	12	-1.3701348	-3.3683295
BEPRIDIL	8	5.1286545	-0.63659745
BERACTANT	8	6.4994407	-0.2950067
BERAPROST	6	-3.7576168	4.374731
BEROTRALSTAT	5	-5.5093265	-0.18238755
BESIFLOXACIN	12	-0.64817274	-4.776513
BESIVANCE 0.6%	13	0.90749615	-1.5345072
BETA BLOCKERS, UNSPECIFIED	3	5.2758975	2.875818
BETA CAROTENE	8	4.991497	1.0503479
BETA GLUCAN	14	-1.5536848	-3.4074347
BETA-ACETYLDIGOXIN	5	-1.490336	1.7656102
BETAHISTINE	6	-2.3568625	0.6644847
BETAINE	15	-5.213581	0.94390124
BETAMETHASONE	19	1.0091686	-1.5566882
BETAMETHASONE ACETATE\BETAMETHASONE SODIUM PHOSPHATE	13	0.68567175	0.38161334
BETAMETHASONE DIPROPIONATE	15	-4.023164	-3.6173651
BETAMETHASONE DIPROPIONATE\CLOTRIMAZOLE	4	-3.1832767	-2.4748688
BETAMETHASONE VALERATE	14	-3.2296078	-3.5923235
BETAMETHASONE;CALCIPOTRIOL	12	-4.3129163	-3.4070778
BETAMETHASONE;CLIOQUINOL	11	-0.30022204	-0.2328685
BETAMETHASONE;CLOTRIMAZOLE	14	-2.3022306	-2.3540485
BETAMETHASONE;FUSIDIC ACID	12	-1.4607726	-3.212038
BETAMETHASONE;SALICYLIC ACID	13	-0.6070125	0.43906775
BETAMETHASONE\MUPIROCIN	16	-4.2710843	-1.9793215
BETAMETHASONE\SALICYLIC ACID	1	3.5140975	-2.1811898
BETAXOLOL	14	-2.4128106	-1.839006
BETAXOLOL HYDROCHLORIDE	14	0.08042066	-1.3185196
BETHANECHOL	13	1.8723514	1.5940614
BEVACIZUMAB	19	3.5996265	-0.79818463
BEXAROTENE	9	-2.7871957	0.12051679
BEZAFIBRATE	6	-3.3196096	2.2465336
BEZLOTOXUMAB	9	-1.1427804	1.3431714
BGB-11417	8	4.8818693	-0.32489017
BICALUTAMIDE	19	0.4426624	0.93483704
BICLOTYMOL	8	5.601302	-1.1033435
BICTEGRAVIR	8	5.7490087	-0.4094258
BICTEGRAVIR;EMTRICITABINE;TENOFOVIR	18	-0.023115462	0.8424854
BIFIDOBACTERIUM SPP	16	-4.051305	-3.0979633
BIFIDOBACTERIUM SPP.	16	-4.3674846	-2.1612682
BIFIDOBACTERIUM SPP;LACTOBACILLUS SPP	3	3.999605	-0.47953203
BILASTINE	18	-2.4525921	-1.2061577
BIMATOPROST	12	-1.9932652	-4.009701
BIMATOPROST;TIMOLOL	7	0.71968037	-0.6158769
BIMEKIZUMAB	18	-1.8305305	-3.1077785
BIMIRALISIB	8	4.1401362	1.1854321
BINIMETINIB	6	-1.5980399	1.1235529
BIPERIDEN	0	0.468099	3.539998
BIRCH TRITERPENES	8	5.9508758	-2.3016999
BISACODYL	18	-0.15772909	-0.74957085
BISACODYL\GLYCERIN\MINERAL OIL\SODIUM PHOSPHATE, DIBASIC\SODIUM PHOSPHATE, MONOBASIC	8	6.2189207	-1.5951235
BISMUTH	11	-2.0229423	-0.695093
BISMUTH;BUFEXAMAC;LIDOCAINE;TITANIUM	11	-1.3710805	-0.0573616
BISMUTH;MAGNESIUM;SODIUM PHOSPHATE	8	2.0886211	-2.2300634
BISMUTH;METRONIDAZOLE;TETRACYCLINE	15	-4.3423405	0.09913555
BISOPROLOL	19	3.3223634	-0.037309457
BISOPROLOL FUMARATE	6	-0.36359006	1.8549067
BISOPROLOL FUMARATE\HYDROCHLOROTHIAZIDE	5	-2.457348	0.32209918
BISOPROLOL;HYDROCHLOROTHIAZIDE	6	-1.5143068	0.4750766
BISOPROLOL;PERINDOPRIL	8	4.4857807	1.6412284
BISULEPIN	3	4.6574593	1.9561951
BIVALIRUDIN	17	-0.42497176	3.1817207
BLATELLA GERMANICA\PERIPLANETA AMERICANA	7	2.910612	-3.371618
BLEOMYCIN	19	1.0230792	1.5178443
BLESELUMAB	8	6.153356	-1.5947777
BLINATUMOMAB	19	0.60146314	2.1518888
BLONANSERIN	1	3.2400239	1.1405109
BOCEPREVIR	18	0.33596483	-1.1974223
BOCOCIZUMAB	6	-0.2661758	1.7833402
BOLDENONE	3	5.9275017	-0.3282965
BORAGO SPP	4	-2.01935	-4.212028
BORIC ACID	4	-4.888136	-4.114073
BORTEZOMIB	19	3.0248356	-0.23273869
BOSENTAN	19	2.1735902	-0.5758877
BOSUTINIB	6	-0.79237884	0.45165157
BOTOX?	15	-5.6266737	-2.8512137
BOTULINUM ANTITOXIN	17	0.12044573	3.2943785
BOTULINUM TOXIN	19	2.285896	-2.015208
BREMELANOTIDE	15	-5.67888	-3.1752849
BRENTUXIMAB VEDOTIN	19	1.0418563	1.766246
BREXANOLONE	5	-3.6616287	0.35329413
BREXPIPRAZOLE	18	-0.12719364	-0.010826769
BREXUCABTAGENE AUTOLEUCEL	9	-1.3844702	5.4721
BRIGATINIB	6	-2.6395764	1.1120557
BRIMONIDINE	12	-0.82535034	-2.1039963
BRIMONIDINE TARTRATE	12	-0.30821127	-2.4197578
BRIMONIDINE TARTRATE\TIMOLOL MALEATE	12	-3.5882194	-2.2360241
BRIMONIDINE;BRINZOLAMIDE	12	-2.8120797	-1.9373281
BRIMONIDINE;TIMOLOL	12	-2.2464125	-3.1647263
BRINCIDOFOVIR	13	2.7409794	-0.81483424
BRINZOLAMIDE	12	-2.4571137	-2.66822
BRINZOLAMIDE;TIMOLOL	12	-2.6530302	-0.9584883
BRIVARACETAM	0	-1.1441718	1.1835715
BRIVUDINE	5	-1.4987948	1.2590533
BRODALUMAB	15	-3.7812734	-2.6444066
BROLUCIZUMAB	12	-1.3979132	-2.6375532
BROMAZEPAM	0	1.270194	2.0787446
BROMAZOLAM	3	5.832833	1.0041877
BROMFENAC	12	-3.6450493	-3.6773372
BROMHEXINE	16	-2.6563065	0.8987139
BROMHEXINE\CLORPRENALINE\SULFAMETHOXAZOLE\TRIMETHOPRIM	1	3.28151	-3.1512685
BROMHEXINE\SULFAMETHOXAZOLE\TRIMETHOPRIM	16	-2.5853076	-2.3741806
BROMOCRIPTINE	0	-4.4983273	3.1770365
BROMPHENIRAMINE	3	5.8953576	2.1623101
BROMPHENIRAMINE;PHENYLEPHRINE	2	4.098506	-2.6121757
BROTIZOLAM	0	-1.9455651	4.3841496
BUCILLAMINE	8	5.249169	-0.5153295
BUCLIZINE	3	5.9066277	0.47171685
BUDESONIDE	19	2.7781923	-1.4121904
BUDESONIDE;FORMOTEROL	19	3.4339201	-1.2290106
BUDESONIDE;FORMOTEROL;GLYCOPYRRONIUM	18	-2.242357	-2.2491472
BUDESONIDE\FORMOTEROL	14	3.8334413	-3.4683506
BUDESONIDE\FORMOTEROL FUMARATE	14	-3.7790573	-2.3742814
BUDESONIDE\FORMOTEROL FUMARATE DIHYDRATE	8	3.66713	0.33287582
BUDIGALIMAB	6	1.8687222	2.7757704
BUFEXAMAC	11	-2.3329184	0.076360844
BUFEXAMAC;LIDOCAINE	11	-1.6139604	0.59657884
BUFFERIN REGULAR STRENGTH	8	5.2200975	-2.2086275
BUMETANIDE	6	-0.8056533	3.242682
BUPIVACAINE	18	0.86469924	-0.20814049
BUPIVACAINE HYDROCHLORIDE	17	-3.4718606	1.492688
BUPIVACAINE HYDROCHLORIDE\CLONIDINE HYDROCHLORIDE\MORPHINE SULFATE	4	-4.903108	-4.006646
BUPIVACAINE HYDROCHLORIDE\FENTANYL CITRATE	1	1.9875822	0.51042104
BUPIVACAINE;EPINEPHRINE	15	-3.6140282	-0.46266332
BUPIVACAINE;MELOXICAM	8	5.7735868	-1.3946949
BUPRENORPHINE	19	2.8430603	-1.4377687
BUPRENORPHINE HYDROCHLORIDE	13	2.46279	1.3325102
BUPRENORPHINE HYDROCHLORIDE\NALOXONE HYDROCHLORIDE	0	-2.0567012	0.9000189
BUPRENORPHINE;NALOXONE	18	1.6421423	-1.1828775
BUPRENORPHINE\NALOXONE	0	-3.4538724	-0.52833676
BUPROPION	19	2.5162764	-0.2641974
BUPROPION HYDROCHLORIDE	0	-2.145645	1.4361876
BUPROPION;DEXTROMETHORPHAN	0	-3.8161075	0.25038263
BUPROPION;NALTREXONE	18	-0.9500543	-1.6650751
BUPROPION\DEXTROMETHORPHAN	3	3.7958724	1.852381
BUSERELIN	6	0.46943468	2.2063954
BUSPIRONE	0	0.03534247	1.4950622
BUSPIRONE HYDROCHLORIDE	0	-2.11951	0.8921401
BUSULFAN	19	1.950166	1.4835474
BUTALBITAL	0	-0.9926236	2.9590812
BUTALBITAL;CAFFEINE;CODEINE;PARACETAMOL	0	-1.8841511	0.085329436
BUTALBITAL;CAFFEINE;PARACETAMOL	0	-3.3986564	3.5160472
BUTALBITAL;PARACETAMOL	4	-3.2326882	-4.769136
BUTAMIRATE	3	4.600152	1.7980943
BUTENAFINE	12	-2.318305	-3.248466
BUTHYLSCOPOLAMINE	18	-3.591466	-0.393214
BUTORPHANOL	12	-2.922054	-1.4373404
BUTORPHANOL TARTRATE	1	-0.31546253	-4.3591037
BUTYLPHTHALIDE	8	5.126752	-0.16699956
BUTYLSCOPOLAMINE	0	-4.8022637	1.608956
BUTYROLACTONE	3	4.761898	1.0565611
C1-INHIBITOR	18	-0.5779069	-3.73278
CABAZITAXEL	6	-0.5704786	2.3097641
CABERGOLINE	0	-1.6498393	0.6379162
CABOTEGRAVIR	18	-2.1484416	-0.7859967
CABOTEGRAVIR;RILPIVIRINE	15	-3.9924626	-1.2809141
CABOZANTINIB	19	2.5917659	-0.8743787
CAFFEINE	18	0.1106567	-0.91045505
CAFFEINE CITRATE	3	4.7262073	0.399341
CAFFEINE;CHLORPHENAMINE;PHENYLPROPANOLAMINE	4	-3.1055188	-3.794744
CAFFEINE;CODEINE;PARACETAMOL	4	-2.3347824	-2.7071223
CAFFEINE;DIHYDROCODEINE;PARACETAMOL	0	-2.0419207	1.6558158
CAFFEINE;ERGOTAMINE	2	2.7794807	-2.2398612
CAFFEINE;INDOMETACIN;PROCHLORPERAZINE	3	5.4670725	-0.31753117
CAFFEINE;MEPYRAMINE;PARACETAMOL	1	3.5051239	-1.882774
CAFFEINE;OPIUM;PARACETAMOL	0	-1.4417474	6.5706778
CAFFEINE;PARACETAMOL	4	-2.8664632	-2.1400905
CAFFEINE\EPHEDRINE\PROMETHAZINE	3	3.2507474	4.031126
CAFFEINE\MECLIZINE MONOHYDROCHLORIDE\PYRIDOXINE HYDROCHLORIDE	3	5.276111	1.1545131
CALASPARGASE PEGOL-MKNL	9	-3.313205	2.401963
CALCIPOTRIENE	1	1.6414326	-1.924424
CALCIPOTRIOL	12	-3.360612	-3.7027826
CALCITONIN	15	-3.7230728	0.8927666
CALCITONIN SALMON	1	3.4631448	-1.7996058
CALCITRIOL	6	-0.32271734	0.3661022
CALCITRIOL;CALCIUM;ZING	16	-3.5521214	-2.439966
CALCIUM	19	1.9475987	-1.2996337
CALCIUM ACETATE	5	-3.5714295	2.1818461
CALCIUM CARBONATE	18	-1.3182318	-0.70674103
CALCIUM CARBONATE;SODIUM;SODIUM BICARBONATE	14	1.3465055	-3.1184611
CALCIUM CARBONATE\CALCIUM CITRATE\CALCIUM PHOSPHATE\CHOLECALCIFEROL\VITAMIN D	1	2.7092376	-3.1026862
CALCIUM CARBONATE\CALCIUM GLUCONATE	4	-6.2953796	-3.6008253
CALCIUM CARBONATE\CHOLECALCIFEROL	13	-1.1861415	0.2659989
CALCIUM CARBONATE\CHOLECALCIFEROL\ZINC	16	-4.046571	-1.8178906
CALCIUM CHANNEL BLOCKERS, UNSPECIFIED	3	5.923044	-0.39246434
CALCIUM CHLORIDE	17	0.5892885	2.467307
CALCIUM CHLORIDE;GLUCOSE;MAGNESIUM;SODIUM BICARBONATE;SODIUM CHLORIDE;SODIUM LACTATE	8	1.8934453	2.2015119
CALCIUM CHLORIDE;GLUCOSE;MAGNESIUM;SODIUM CHLORIDE	5	-2.3241105	0.91646343
CALCIUM CHLORIDE;GLUCOSE;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	6	-1.2551337	3.4846792
CALCIUM CHLORIDE;GLUCOSE;POTASSIUM;SODIUM CHLORIDE	11	-0.98355764	0.8342667
CALCIUM CHLORIDE;ICODEXTRIN;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	8	4.092797	0.006859696
CALCIUM CHLORIDE;MAGNESIUM;POTASSIUM;SODIUM ACETATE;SODIUM CHLORIDE	3	3.391405	2.6047761
CALCIUM CHLORIDE;POTASSIUM;SODIUM LACTATE	13	-1.6934464	1.7390718
CALCIUM CHLORIDE\DEXTROSE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE SOLUTION	6	-0.44554102	4.7995014
CALCIUM CHLORIDE\DEXTROSE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE	6	-2.7113001	1.567931
CALCIUM CHLORIDE\DEXTROSE\POTASSIUM CHLORIDE\SODIUM CHLORIDE	11	-2.314292	-0.05011293
CALCIUM CHLORIDE\MAGNESIUM CHLORIDE\MALIC ACID\POTASSIUM CHLORIDE\SODIUM ACETATE\SODIUM CHLORIDE	8	6.502001	-1.7100643
CALCIUM DOBESILATE	5	-4.722479	-0.33985502
CALCIUM GLUCONATE	17	-0.23556547	3.2432992
CALCIUM GLUCONATE\CALCIUM LACTATE	4	-4.71044	-3.9613867
CALCIUM GLYCINATE	14	-1.6164721	-2.8078465
CALCIUM;COPPER;VITAMIN C;VITAMIN E;ZINC	18	1.7573669	-1.8020445
CALCIUM;CUPRIC OXIDE;IODINE;IRON;MAGNESIUM;MANGANESE;POTASSIUM SULFATE;VITAMIN A;VITAMIN B1;VITAMIN B12;VITAMIN B2;VITAMIN B3;VITAMIN B5;VITAMIN B6;VITAMIN B7;VITAMIN B9;VITAMIN C;VITAMIN D2;VITAMIN E;ZINC	10	-0.30221027	-2.2625902
CALCIUM;FAMOTIDINE;MAGNESIUM	15	-4.8548546	-1.8562016
CALCIUM;FOOD ADDITIVE;GLUCOSE;HYDROCHLORIC ACID;MAGNESIUM;SODIUM BICARBONATE;SODIUM CHLORIDE;SODIUM LACTATE	8	3.6659677	1.9025223
CALCIUM;GLUCOSE;HYDROCHLORIC ACID;MAGNESIUM;SODIUM BICARBONATE;SODIUM CHLORIDE;SODIUM LACTATE	6	0.96599907	4.493375
CALCIUM;GLUCOSE;LACTIC ACID;MAGNESIUM;POTASSIUM;SODIUM BICARBONATE;SODIUM CHLORIDE	8	4.5705056	-1.1391603
CALCIUM;GLUCOSE;MAGNESIUM;SODIUM BICARBONATE;SODIUM CHLORIDE;SODIUM LACTATE	6	-3.4984632	3.9801505
CALCIUM;GLUCOSE;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	6	-0.60103714	0.799697
CALCIUM;ICODEXTRIN;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	19	1.0206889	-0.3001277
CALCIUM;IRON;VITAMIN A;VITAMIN B1;VITAMIN B12;VITAMIN B2;VITAMIN B3;VITAMIN B6;VITAMIN B9;VITAMIN C;VITAMIN D, UNSPECIFIED;VITAMIN E;ZINC	8	4.9709625	0.5193395
CALCIUM;MAGNESIUM	4	-5.5582814	-2.5199273
CALCIUM;MAGNESIUM;PHOSPHORIC ACID;PHOSPHORUS;SODIUM PHOSPHATE	8	5.45267	-1.0048491
CALCIUM;MAGNESIUM;PHOSPHORIC ACID;SODIUM PHOSPHATE	5	0.31338972	2.263437
CALCIUM;MAGNESIUM;POTASSIUM;SODIUM	8	5.3602214	0.83366364
CALCIUM;MAGNESIUM;POTASSIUM;SODIUM ACETATE;SODIUM CHLORIDE;SODIUM CITRATE	12	1.1730225	-3.7103183
CALCIUM;MAGNESIUM;POTASSIUM;SODIUM BICARBONATE;SODIUM CHLORIDE;SODIUM PHOSPHATE	6	-0.15422761	2.0515144
CALCIUM;MAGNESIUM;VITAMIN D3	15	-5.397655	-0.6049307
CALCIUM;MALTODEXTRIN;SODIUM BICARBONATE;TALC;ZEA SPP	8	6.070829	-1.6406624
CALCIUM;POTASSIUM;SODIUM CHLORIDE;SODIUM LACTATE	7	0.46064252	1.0647472
CALCIUM;POTASSIUM;SODIUM LACTATE	17	-1.0242279	1.5082134
CALCIUM;SODIUM;SODIUM BICARBONATE	8	6.0619435	-1.7309293
CALCIUM;VITAMIN D, UNSPECIFIED	4	-1.4636624	-3.2770765
CALCIUM;VITAMIN D2	11	-2.5429301	-2.5187726
CALCIUM;VITAMIN D3	19	0.51108956	-1.9201369
CALCIUM;VITAMINS, UNSPECIFIED	1	2.753236	-3.012544
CALFACTANT	8	6.043861	-1.7775347
CAMELLIA SPP	8	3.675467	2.197289
CAMPHOR (SYNTHETIC)\CAPSICUM OLEORESIN\MENTHOL\METHYL SALICYLATE	8	3.4215076	-3.424715
CAMPHOR (SYNTHETIC)\MENTHOL	1	2.1533744	-2.4249783
CAMPHOR (SYNTHETIC)\MENTHOL\METHYL SALICYLATE	8	5.5337296	-2.179859
CAMRELIZUMAB	9	-3.4998448	1.7951771
CANAGLIFLOZIN	19	1.2851188	-0.30370262
CANAGLIFLOZIN;METFORMIN	15	-3.42732	-0.22406422
CANAKINUMAB	19	0.3443488	-0.9904352
CANAKINUMAB, TRIAL	8	2.15599	-0.097363666
CANDESARTAN	19	2.454232	-1.2152336
