drug	cluster	pca1	pca2
ACETAMINOPHEN\NAPROXEN	4	-5.7786493	-3.6861777
ACETAMINOPHEN\ORPHENADRINE CITRATE	8	5.302436	-1.0626129
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE	4	-5.5555096	-1.93227
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE\OXYCODONE TEREPHTHALATE	18	-0.69396394	0.043105748
ACETAMINOPHEN\PROPOXYPHENE	3	5.9274144	-0.39770395
ACETAMINOPHEN\PROPOXYPHENE NAPSYLATE	2	3.0519173	-2.5591874
ACETAMINOPHEN\PSEUDOEPHEDRINE HYDROCHLORIDE\TRIPROLIDINE HYDROCHLORIDE	5	-1.3950064	0.10897487
ACETAMINOPHEN\SALICYLIC ACID	3	5.8676605	-0.29021218
ACETAMINOPHEN\TRAMADOL	15	-5.713987	0.19507386
ACETAMINOPHEN\TRAMADOL HYDROCHLORIDE	2	2.5414927	-4.091802
ACETAMINOSALOL	10	1.6649104	2.0434854
ACETAZOLAMIDE	18	-1.0934075	0.5903564
ACETIC ACID	3	5.5516286	0.92866176
ACETIC ACID;DELTAMETHRIN	14	-0.10005668	-3.916505
ACETIC ACID;TRIAMCINOLONE	16	-4.403891	-1.5740993
ACETONE	3	6.0801444	0.6645904
ACETYLCARNITINE	3	3.4423842	0.8822109
ACETYLCHOLINE	14	-2.4347107	-1.6548676
ACETYLCYSTEINE	6	-0.109531716	1.1716717
ACETYLFENTANYL	3	4.314263	1.5057387
ACETYLLEUCINE	6	0.27194354	4.5169687
ACETYLSALICYLIC ACID	19	4.4158325	-0.92506635
ACETYLSALICYLIC ACID;ALUMINIUM;MAGNESIUM	16	1.0396022	0.18050565
ACETYLSALICYLIC ACID;BUTALBITAL;CAFFEINE	2	-0.92030376	-2.6153238
ACETYLSALICYLIC ACID;CAFFEINE	10	-2.1652815	1.1322317
ACETYLSALICYLIC ACID;CAFFEINE;PARACETAMOL	18	-2.015435	-1.8637923
ACETYLSALICYLIC ACID;CAFFEINE;PHENACETIN	8	5.6891685	1.2749088
ACETYLSALICYLIC ACID;CARISOPRODOL	3	6.139814	0.3199966
ACETYLSALICYLIC ACID;CITRIC ACID;SODIUM BICARBONATE	16	-3.810572	-2.4178467
ACETYLSALICYLIC ACID;CLOPIDOGREL	6	-1.6981117	2.286896
ACETYLSALICYLIC ACID;DIPHENHYDRAMINE;PARACETAMOL	13	1.555986	-0.9830165
ACETYLSALICYLIC ACID;DIPYRIDAMOLE	10	-2.8664527	1.719684
ACETYLSALICYLIC ACID;GLYCINE	8	4.612789	0.7444476
ACETYLSALICYLIC ACID;METHOCARBAMOL	17	0.0982607	2.2447345
ACETYLSALICYLIC ACID;OMEPRAZOLE	8	5.5204535	-1.9649249
ACETYLSALICYLIC ACID;OXYCODONE	18	-3.027255	-0.9581792
ACETYLSALICYLIC ACID;PRAVASTATIN	17	3.0383613	3.072912
ACICLOVIR	19	2.180191	-0.30644605
ACICLOVIR;HYDROCORTISONE	8	0.49749807	-2.1899228
ACIPIMOX	6	-2.7808332	0.5523358
ACITRETIN	18	-1.7072827	-2.478434
ACLARUBICIN	9	-4.75271	2.1324887
ACLIDINIUM	18	-0.42899686	-1.901583
ACLIDINIUM BROMIDE	14	-1.7393906	-3.1165128
ACLIDINIUM BROMIDE\FORMOTEROL FUMARATE	14	-0.6927453	-4.0820765
ACLIDINIUM;FORMOTEROL	14	-0.3149253	-1.535814
ACOLTREMON	8	5.063726	-3.613364
ACORAMIDIS	8	4.81444	1.311739
ACRIVASTINE	4	-5.7972536	-1.9872527
ACTONEL TABLET, UNKMG	8	4.9543853	-1.5423764
ACYCLOVIR	18	-0.4258222	0.2762126
ADAGRASIB	5	-4.6886797	4.2511525
ADALIMUMAB	8	5.2377696	-1.4083079
ADALIMUMAB-ADBM	8	5.813131	-2.1666453
ADAPALENE	12	-1.4859526	-5.665606
ADAPALENE;BENZOYL PEROXIDE	12	-0.38202852	-5.6843824
ADEFOVIR	6	-1.1725619	2.0589776
ADEFOVIR DIPIVOXIL	6	-0.8335254	-0.4210271
ADEMETIONINE	0	2.2996535	4.3375144
ADENOSINE	17	-0.5555632	3.6041052
ADIPIODONE MEGLUMINE	4	0.48828202	-4.301254
ADUCANUMAB	6	-0.088677645	1.56975
AESCULUS SPP	11	-1.6485254	-0.020832868
AFATINIB	18	-1.3247975	-0.47805616
AFATINIB, TRIAL	5	-4.50493	1.5169231
AFLIBERCEPT	19	0.17316315	0.4090266
AFRIN SPRAY	1	3.5083315	-2.243549
AGALSIDASE ALFA	15	-5.513783	-2.22912
AGALSIDASE BETA	18	-1.290425	-0.81752807
AGOMELATINE	0	-2.6182008	3.695065
AGROSTIS GIGANTEA POLLEN\DACTYLIS GLOMERATA POLLEN\PHLEUM PRATENSE POLLEN\POA PRATENSIS POLLEN	8	5.371884	-2.0026925
ALANINE	8	5.5442615	0.35486063
ALANINE;ARGININE;ASPARTIC ACID;CALCIUM;GLUCOSE;GLUTAMIC ACID;GLYCINE SPP;HISTIDINE;ISOLEUCINE;LEUCINE;LYSINE;MAGNESIUM;METHIONINE;PHENYLALANINE;POTASSIUM;PROLINE;SERINE;SODIUM ACETATE;SODIUM GLYCEROPHOSPHATE;THREONINE;TRYPTOPHAN, L-;TYROSINE;VALINE	7	-1.0145001	2.146991
ALANINE;ARGININE;CALCIUM;GLYCINE;HISTIDINE;ISOLEUCINE;LEUCINE;LYSINE;MAGNESIUM;METHIONINE;PHENYLALANINE;PROLINE;SERINE;SODIUM CHLORIDE;SODIUM LACTATE;THREONINE;TRYPTOPHAN, L-;TYROSINE;VALINE	3	3.2612212	3.2720187
ALBENDAZOLE	18	-1.1406865	-0.19138153
ALBIGLUTIDE	15	-3.2900114	-0.22685908
ALBUMIN	7	-1.4523313	2.5071292
ALBUMIN HUMAN	8	4.9942503	0.45613337
ALBUMIN;ANTITHROMBIN III;FACTOR II;FACTOR IX;FACTOR VII;FACTOR X;HEPARIN;PROTEIN C;PROTEIN S	8	3.4003723	-1.5126779
ALBUTEROL	18	-1.7170858	-0.45692632
ALBUTEROL SULFATE	14	-2.39994	-2.4040127
ALBUTEROL SULFATE\AMBROXOL HYDROCHLORIDE\GUAIFENESIN	10	-0.6484914	0.34794414
ALBUTEROL SULFATE\IPRATROPIUM BROMIDE	8	3.4594543	-3.2401757
ALBUTEROL\BUDESONIDE	8	4.0564413	0.041820355
ALBUTEROL\GUAIFENESIN	4	-3.046719	-2.2610433
ALBUTEROL\IPRATROPIUM	7	-0.2696796	-0.984094
ALCAFTADINE	12	-3.335582	-4.5080595
ALCLOMETASONE	1	2.4649417	-2.0507078
ALCOHOL	0	0.53648317	3.4480255
ALCOHOL\CHLORHEXIDINE GLUCONATE	8	5.8134546	-1.9062139
ALDESLEUKIN	9	-3.0070512	4.8226085
ALECTINIB	18	-0.8688653	0.7536695
ALEFACEPT	1	0.9966854	-3.12727
ALEMTUZUMAB	19	2.4382772	-0.8641666
ALENDRONATE SODIUM	19	1.5569483	-2.0627754
ALENDRONATE SODIUM\CHOLECALCIFEROL	15	-6.0699277	-2.230718
ALENDRONIC ACID	19	3.264535	-1.9111693
ALENDRONIC ACID;VITAMIN D3	19	1.9513432	-2.3618405
ALENDRONIC ACID\CALCIUM CITRATE\CHOLECALCIFEROL	4	-5.3298335	-3.0334601
ALFACALCIDOL	4	-1.7272639	-0.8976331
ALFENTANIL	17	-0.44674754	1.1817521
ALFUZOSIN	6	-0.62735087	1.8627886
ALFUZOSIN HYDROCHLORIDE	6	1.5050204	2.5074112
ALGINIC ACID	9	-0.10388734	3.2276995
ALGLUCOSIDASE ALFA	18	-1.8289093	0.1773569
ALIMEMAZINE	0	0.70149434	4.4085894
ALIROCUMAB	18	0.7236082	-2.158005
ALISKIREN	6	-0.89415723	0.64433956
ALISKIREN, TRIAL	8	3.6931078	1.1711469
ALISKIREN;HYDROCHLOROTHIAZIDE	15	-2.7822962	-0.27503398
ALITRETINOIN	13	-0.08718071	-1.2791604
ALIZAPRIDE	5	-4.42642	1.879662
ALLANTOIN	11	-1.5685884	-0.69769627
ALLANTOIN;AMINOACRIDINE;DIENESTROL;SULFANILAMIDE	4	-2.799797	-3.7796676
ALLERGENIC EXTRACTS	8	3.386629	-3.1076174
ALLERGENS, ANIMALS	7	-0.15582217	-3.2654507
ALLERGENS, HOUSE DUST & MITE	7	0.75447613	-3.1122668
ALLERGENS, INSECTS	2	4.0078692	-2.6954007
ALLERGENS, UNSPECIFIED	7	2.9492645	-3.1674635
ALLOPURINOL	19	2.518615	0.14146085
ALMITRINE	8	6.3924966	-1.8064429
ALMOTRIPTAN	18	-2.813888	-1.0105686
ALMOTRIPTAN MALATE	1	-0.29775214	-0.8722686
ALOE SPP	11	-2.0792232	-0.6009345
ALOGLIPTIN	6	-2.6408744	3.2376378
ALOGLIPTIN;METFORMIN	6	-1.7748516	2.223123
ALOGLIPTIN;PIOGLITAZONE	8	2.137031	-1.9828764
ALOSETRON	5	-0.5090648	1.2160848
ALPELISIB	18	-0.32430324	-0.7140337
ALPELISIB, TRIAL	9	-4.399621	2.34052
ALPHA-1-ANTITRYPSIN	18	-1.6949931	-2.0809658
ALPHA-AMYLASE SWINE PANCREAS	5	-2.1833723	1.1712036
ALPHA-PHP	3	5.6036916	0.5916602
ALPRAZOLAM	19	3.073903	-0.72381693
ALPROSTADIL	15	-1.8882325	-0.013612691
ALTEPLASE	6	1.3071067	2.2679734
ALTERNARIA SPP	7	2.0420065	-2.6079402
ALTHIAZIDE\SPIRONOLACTONE	8	4.6355824	-2.1755466
ALTIZIDE	8	5.450853	1.9369032
ALTIZIDE;SPIRONOLACTONE	17	0.84348387	5.513631
ALUMINIUM	11	-2.8314717	0.44131187
ALUMINIUM;MAGNESIUM	11	-1.3357587	0.82801944
ALUMINIUM;MAGNESIUM;SIMETICONE	11	-2.2648911	0.30967218
ALUMINIUM;MENINGOCOCCAL VACCINE	8	1.3907022	-0.3215936
ALUMINUM HYDROXIDE\ALUMINUM PHOSPHATE\GUAR GUM\MAGNESIUM HYDROXIDE	8	3.5100372	0.98401034
ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY	12	0.8133304	-2.5448327
ALVERINE	3	3.176055	0.6188733
ALVERINE CITRATE\DIMETHICONE	17	2.865009	2.838696
AMANTADINE	0	0.344093	1.1824985
AMANTADINE HYDROCHLORIDE	0	-1.5510621	3.051867
AMARANTHUS RETROFLEXUS POLLEN	7	2.1402938	-3.8235219
AMBRISENTAN	19	2.9347794	-1.3971949
AMBROSIA ACANTHICARPA POLLEN\AMBROSIA PSILOSTACHYA POLLEN	7	2.9166217	-3.1468623
AMBROSIA SPP	7	-0.60759836	-3.5191922
AMBROXOL	14	-2.4061189	-0.1679438
AMBROXOL HYDROCHLORIDE\CLENBUTEROL	10	-0.77045834	1.8462818
AMBROXOL\CETIRIZINE	16	-3.6041331	-2.5663533
AMBROXOL\CETIRIZINE HYDROCHLORIDE	16	-3.3043878	-2.5928984
AMFETAMINE	0	0.8236737	2.9130058
AMFETAMINE;DEXAMFETAMINE	18	0.46665898	-0.57587457
AMIFAMPRIDINE	18	-2.3545978	-0.6512231
AMIFOSTINE	9	2.5078537	1.8585949
AMIKACIN	19	0.8893273	0.51206356
AMIKACIN SULFATE	9	-2.7512505	5.3391685
AMILOMER	1	1.4308689	-0.78755677
AMILORIDE	5	-2.2266858	5.4255195
AMILORIDE HYDROCHLORIDE\HYDROCHLOROTHIAZIDE	8	5.402873	0.44958353
AMILORIDE;FUROSEMIDE	8	5.422476	0.68779117
AMILORIDE;HYDROCHLOROTHIAZIDE	6	-2.9771967	3.557136
AMINO ACIDS	7	0.22210404	0.6039228
AMINO ACIDS, UNSPECIFIED	7	-2.805659	2.1581264
AMINO ACIDS, UNSPECIFIED;CARBOHYDRATES, UNSPECIFIED;MINERALS, UNSPECIFIED;VITAMINS, UNSPECIFIED	5	-5.1026196	2.6888502
AMINO ACIDS, UNSPECIFIED;ELECTROLYTES, UNSPECIFIED;GLUCOSE;GLYCINE SPP	5	-1.0361177	4.1215715
AMINOBENZOIC ACID	11	-1.7673182	-0.48984712
AMINOBENZOIC ACID;CHOLINE;INOSITOL;LECITHIN;VITAMIN B, UNSPECIFIED;VITAMIN B7;VITAMIN B9	3	2.4995055	0.5952749
AMINOCAPROIC ACID	1	3.099311	-1.6214205
AMINOLEVULINIC ACID	12	-2.8146884	-3.2614725
AMINOMETHYLBENZOIC ACID	8	5.496116	-0.6377654
AMINOPHYLLINE	10	-2.4119444	-0.6180978
AMINOPHYLLINE;QUININE	5	0.022969607	2.482102
AMINOSALICYLIC ACID	18	-0.47853065	-2.2373767
AMIODARONE	19	3.0505223	0.10275261
AMIODARONE HYDROCHLORIDE	6	-0.822643	1.7165176
AMISULPRIDE	0	0.968977	2.0363803
AMITRIPTYLINE	19	2.1306765	-0.6132159
AMITRIPTYLINE HYDROCHLORIDE	18	-1.75776	-0.31314585
AMITRIPTYLINE;PERPHENAZINE	10	-3.704956	-1.2645539
AMIVANTAMAB	9	-3.1505988	0.78730774
AMLODIPINE	19	4.1785808	-1.5081861
AMLODIPINE BESYLATE	6	-2.084187	2.567391
