drug_name	pt	ror_female	ror_male	log_ror_ratio	a_female	a_male
DUTASTERIDE	Product prescribing issue	346.5891062300272	1.3707453102236946	5.532785332432026	120	17
FOLIC ACID	Pemphigus	351.67261074434145	1.6840065224592158	5.341524870682812	7138	12
CETIRIZINE HYDROCHLORIDE	Pemphigus	488.31748874773683	2.5656402454847416	5.248757730154436	7099	11
TESTOSTERONE ENANTHATE	Atrial fibrillation	406.77150861806444	2.1658848862758475	5.2354226225067855	46	18
ADALIMUMAB	Pemphigus	125.44388256813919	0.7235193053801415	5.155486557667793	7200	15
CLOZAPINE	Gynaecomastia	24.74777459111697	0.17373163771638359	4.95897905179149	11	50
GOLIMUMAB	Pericarditis	193.04261557435422	1.4340426719434936	4.902413471598086	4448	12
PREDNISONE	Duodenal ulcer perforation	127.91340942152804	1.3674944042025863	4.538373382788614	3684	16
METHOTREXATE	Muscle injury	76.37668605951622	0.8343427792661379	4.516788448062801	3144	12
CYCLOPHOSPHAMIDE	Emotional distress	4.738477037601294	0.05204303140018478	4.511400159680646	2114	27
CHLORHEXIDINE	Lower respiratory tract infection	226.57457480096875	2.5249784856201267	4.496841597157533	2128	10
SULFAMETHOXAZOLE	Blister	126.02459217205498	1.446644441028619	4.467230367893903	1688	11
MINOXIDIL	Wrong patient received medication	745.9130198998956	8.65327198516131	4.456671484497122	1460	21
LAMIVUDINE	Schizophrenia	82.50357292980244	0.9810847951113714	4.431937986372766	210	10
SIROLIMUS	Transplant dysfunction	1902.660824450774	22.907893195240984	4.419527087196736	459	19
INFLIXIMAB	Glossodynia	98.59324365669892	1.1925569161307819	4.414903065456315	6441	27
DUTASTERIDE	Contraindicated product administered	96.45120680950477	1.1729876020392862	4.409483251385477	86	15
QUETIAPINE	Gynaecomastia	30.52994284385872	0.37598082641923464	4.396925065072953	14	54
CARBOPLATIN	Emotional distress	2.819525431403105	0.037017555462843126	4.332931590947145	908	12
ETANERCEPT	Glossodynia	23.280796465807928	0.3061406098787863	4.331339607890874	6215	15
DICLOFENAC SODIUM	Infusion related reaction	30.54777976673032	0.40733062246069773	4.317422090694166	3875	19
CORTISONE ACETATE	Abdominal discomfort	134.2053537909287	1.7996955639928147	4.31175359837928	4723	10
RITUXIMAB	Prescribed overdose	18.442877763005928	0.2509992347418486	4.296983655545008	1339	17
RITUXIMAB	Irritable bowel syndrome	32.20092143980449	0.44320534828413605	4.285717144477694	3026	14
MYCOPHENOLATE MOFETIL	Road traffic accident	13.123535957055925	0.18390491517065824	4.267743676446137	888	15
SECUKINUMAB	Infusion related reaction	8.283590744443291	0.11632769568223039	4.265620646985975	2281	15
SULFAMETHOXAZOLE	Therapeutic product effect decreased	116.01540696541353	1.6498679149639188	4.253027767782929	1383	10
SULFAMETHOXAZOLE	Wound	199.52203594678042	2.889566520596056	4.234818188102755	1507	10
CHLORHEXIDINE	Weight increased	47.8739564182583	0.6972918974329078	4.229122813949387	2126	12
ADALIMUMAB	Duodenal ulcer perforation	81.64619182064047	1.1943013973131797	4.22483376836605	3705	16
CHLORHEXIDINE	Nasopharyngitis	45.007939058947755	0.6648162301367746	4.2150835199174574	2029	10
GOLIMUMAB	Confusional state	8.929094303131974	0.13274777453383282	4.208619351263994	3158	17
GOLIMUMAB	Folliculitis	239.56188719452814	3.5755328589378306	4.204697568628265	3321	16
APREMILAST	Obesity	14.856626456711448	0.22671235493285333	4.182519215672182	740	10
SULFAMETHOXAZOLE	Contusion	55.41576519458136	0.8693537166238071	4.154869321412086	1465	10
CHLORHEXIDINE GLUCONATE	Infusion related reaction	118.98610881439998	1.8763501454741243	4.149678275768545	2140	10
RITUXIMAB	Pericarditis	118.30873785529577	1.885768484605309	4.138962208133387	4689	64
HYDROCORTISONE ACETATE	Hepatic enzyme increased	154.42646715494445	2.496445616604848	4.124850075431562	1430	10
MYCOPHENOLATE MOFETIL	Prescribed overdose	16.872561082215746	0.2735198657852268	4.122069722197821	558	11
METHOTREXATE	Duodenal ulcer perforation	139.5664449210932	2.2759797647670137	4.116130170016357	3662	15
APREMILAST	Liver injury	14.089727001336696	0.23170353974993366	4.107742520736735	1254	11
CETIRIZINE HYDROCHLORIDE	Systemic lupus erythematosus	43.804559143208635	0.7297471017121132	4.094795142866325	7377	10
PREDNISONE	Muscle injury	61.89933532606399	1.0319722240080849	4.094037689790089	3039	26
LEFLUNOMIDE	Folliculitis	238.6974092383785	3.9919208353838243	4.090924152218386	3657	16
FOLIC ACID	Muscle injury	71.51222947132273	1.1969202620322228	4.090116667117605	2523	12
CHLORHEXIDINE GLUCONATE	Weight increased	42.546318528733124	0.7209155134112972	4.0778266585103164	2617	14
NAPROXEN	Obesity	36.34668257941112	0.622282049093511	4.067464770413259	889	13
PANTOPRAZOLE	Muscle injury	53.18945182025554	0.9115980186446869	4.066416257738329	1707	10
CERTOLIZUMAB PEGOL	Liver injury	29.942422360973868	0.5153701475320176	4.0621461863102715	2138	10
DICLOFENAC SODIUM	Prescribed overdose	33.44030987087256	0.5845025343153128	4.046756216857644	1219	12
SULFAMETHOXAZOLE	Confusional state	53.6690979846027	0.9405905140874946	4.044084773832193	1709	25
