drug_name	n_signals	n_female_higher	n_male_higher	mean_log_ratio	max_log_ratio	min_log_ratio	female_pct
CARMUSTINE	39	36	3	0.8314175560780931	1.8396579233309054	-0.8029461333799965	92.3
CARIPRAZINE	39	1	38	-0.83264742774827	0.5570637614149966	-1.5237018581161719	2.6
PNEUMOCOCCAL VACCINE	39	20	19	0.05233408534630115	2.1943831166266197	-3.3204589410557905	51.3
ARTIFICIAL TEARS	39	8	31	-0.39818713610645057	2.0659852550047124	-1.862426867914555	20.5
TAPENTADOL	39	17	22	-0.16290978342216997	1.1464786761974308	-1.3098445580498836	43.6
DEVICE, UNSPECIFIED	39	31	8	0.3494780753380639	1.3008747763835515	-1.9696167236060433	79.5
APOMORPHINE	39	9	30	-0.38553226592382656	1.0011282902658811	-1.0938678988195072	23.1
PEGVISOMANT	39	4	35	-0.6878561070871483	1.47037277934686	-1.4739223283580083	10.3
FEXOFENADINE	39	8	31	-0.5139045832877597	1.3369348559331156	-1.4588229269412338	20.5
CETIRIZINE HYDROCHLORIDE	38	13	25	-0.20307346013086455	2.8564742634146993	-1.8117649521071935	34.2
PALIVIZUMAB	38	20	18	0.03558611231022457	1.635094869839068	-1.3141329471959773	52.6
NEBIVOLOL	38	19	19	0.024411223085504963	1.9929847939293195	-1.402175344780793	50.0
FOSCARBIDOPA;FOSLEVODOPA	38	16	22	-0.07250519966362236	1.2379120717007734	-1.1645719388973026	42.1
FACTOR VIII	38	28	10	0.5688530099787058	2.879815108113207	-1.5427543168675548	73.7
EMTRICITABINE;RILPIVIRINE;TENOFOVIR	38	16	22	-0.09441256249311714	1.6058973748562413	-1.3726635502977302	42.1
ASFOTASE ALFA	38	3	35	-0.8065902313039732	0.7622308942042126	-1.8827532815439394	7.9
ALISKIREN	38	19	19	0.39333309260460064	2.7123395594093056	-1.5241802759839809	50.0
TOLVAPTAN	38	31	7	0.4968488785073248	1.2735291123119783	-0.7893788201683769	81.6
PALBOCICLIB	38	18	20	-0.33644861099180207	0.9035824822015988	-3.1108855209424604	47.4
GUSELKUMAB	38	11	27	-0.366469105670879	1.0001434026481832	-1.800959124409153	28.9
CRIZOTINIB	38	23	15	0.10867939119998837	1.0644131005157385	-1.2715779883074425	60.5
GLIMEPIRIDE	38	31	7	0.536472199232614	1.748227882345196	-1.258270082841757	81.6
DASABUVIR	37	32	5	0.57973758149207	1.251912396070543	-0.7774572222483176	86.5
DEXTROMETHORPHAN	37	27	10	0.4767650923053197	1.6351428182972847	-1.5522129435644563	73.0
PEGVALIASE	37	0	37	-0.7895731801412916	-0.514165782805919	-1.5412950975569935	0.0
VASOPRESSIN	37	25	12	0.18019504592224014	1.6124058763215912	-2.6334821704862827	67.6
ALIMEMAZINE	37	22	15	0.19640379008420494	1.9005425535053362	-1.3086314279268878	59.5
EPLERENONE	37	27	10	0.5166241043418527	1.9303979431711011	-0.945567316369067	73.0
CASPOFUNGIN	37	34	3	0.8056959165246358	1.8249617414344166	-1.1070954554909467	91.9
DACLATASVIR	37	30	7	0.450890752564579	1.5276947514775494	-1.292279884436755	81.1
FLUDARABINE PHOSPHATE	37	36	1	0.8696152137627927	2.2990111094251793	-0.6585916746236211	97.3
DOXEPIN	37	11	26	-0.5914186272984445	1.110477075136124	-2.25784668535223	29.7
URSODEOXYCHOLIC ACID	36	13	23	-0.223322216930319	1.342490632190806	-1.2730704685397936	36.1
AMFETAMINE	36	23	13	0.16965494823670976	1.557719989119394	-1.7778229063802677	63.9
GOSERELIN	36	24	12	0.31902208402146864	2.8596917355355904	-2.584611522108382	66.7
CHLORHEXIDINE	36	22	14	0.6119447587642105	3.8316752287459184	-3.2176196468127296	61.1
BARICITINIB	36	9	27	-0.5246244003805283	1.003484219764447	-1.5763720289093797	25.0
BENZYLPENICILLIN	36	11	25	-0.5445755205550138	1.2141140923903648	-2.3840486974904116	30.6
AZTREONAM	36	19	17	0.10001221816993684	1.6623810790572198	-1.4444835278297112	52.8
RANOLAZINE	36	30	6	0.5040620618782742	1.4487070972877605	-0.9470088925795239	83.3
LEVOCETIRIZINE	36	18	18	-0.017871602063769827	1.1886548459232058	-1.3675532108155615	50.0
GALCANEZUMAB	36	2	34	-0.7518208856241022	0.7202028513579947	-1.825793269215621	5.6
FLECAINIDE	36	20	16	0.10415842839762593	1.2818394200128482	-1.0076626525774712	55.6
OZANIMOD	35	2	33	-0.6917669301202678	0.7277966953827877	-1.535332397620373	5.7
OLODATEROL;TIOTROPIUM	35	14	21	-0.25242331676175433	1.8048330629724973	-1.7840409548064968	40.0
ACETYLCYSTEINE	35	18	17	-0.261918194151116	1.528795495584637	-2.9628051252664	51.4
METAMFETAMINE	35	28	7	0.6069413550784208	1.6052223361888849	-0.8229413652861469	80.0
CAFFEINE	35	28	7	1.013506531780175	2.501197785427875	-1.4268472895277504	80.0
EPOETIN ALFA	35	18	17	0.07509076874087263	1.3299499333532696	-1.1890235154343165	51.4
TIPIRACIL;TRIFLURIDINE	35	26	9	0.37806919941316103	1.3721147257034285	-0.8751023472926915	74.3
MEMANTINE	35	19	16	0.011078397894115641	1.2203473601848431	-1.3202804149874512	54.3
TIZANIDINE	35	5	30	-0.6559479732159702	1.8793758327009547	-1.7002178486130397	14.3
VITAMIN B2	34	17	17	-0.056532669994725004	2.1316477446987525	-2.2504080155983472	50.0
AMANTADINE	34	13	21	-0.16548759957443032	1.1146501702778353	-1.1902796508517475	38.2
ROMIPLOSTIM	34	19	15	-0.002079267106813923	1.641313938121659	-2.2603758584312943	55.9
CALCIUM;GLUCOSE;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	34	20	14	0.14844642597797908	1.2410848929832685	-1.3184936937320697	58.8
BINIMETINIB	34	18	16	0.07684331299617486	1.6774659078454794	-1.2802343733354404	52.9
CABOTEGRAVIR	34	16	18	0.035382574106279145	1.456137138337271	-1.255074211647691	47.1
AMLODIPINE;VALSARTAN	34	23	11	0.27137048115103024	1.3932563975329646	-0.9493547221719192	67.6
VIGABATRIN	34	18	16	0.024119208969746293	1.0461865862433062	-1.3503888055446212	52.9
BOSUTINIB	34	18	16	0.045365297725729815	1.4330551751867795	-1.104994479384871	52.9
GILTERITINIB	33	28	5	0.5793958749703244	1.4141264071517818	-1.0685847301354552	84.8
SUFENTANIL	33	16	17	-0.11778830488145915	1.4643857142529357	-1.611254354776153	48.5
TEPROTUMUMAB	33	0	33	-0.8841986617980738	-0.5344748322008731	-1.7600071299923328	0.0
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE\OXYCODONE TEREPHTHALATE	33	26	7	0.4564986635359111	1.0439271716257656	-0.782953451721949	78.8
BENRALIZUMAB	33	11	22	-0.2397848987965026	1.1656253005547492	-1.2394449701165722	33.3
CANNABINOIDS	32	24	8	0.4781116844452491	1.421226599427257	-1.2741528124647603	75.0
RIFAXIMIN	32	25	7	0.44207509423615776	1.2857716274237472	-0.772740797664598	78.1
MITOXANTRONE	32	27	5	0.5355276929118269	1.7457255838590797	-0.9831709254521456	84.4
SOFOSBUVIR;VELPATASVIR	32	19	13	0.15052504059651706	1.271186917392595	-1.023255895414309	59.4
TRETINOIN	32	17	15	0.18659849801915518	2.0311858052049434	-2.612271569674405	53.1
IVABRADINE	32	14	18	-0.17429277574750565	1.3082225293690055	-1.9156419681788321	43.8
PLACEBO, TRIAL	32	26	6	0.5953569864836608	1.7375104995161552	-1.0094911591632931	81.2
BIPERIDEN	32	23	9	0.3568306382893725	1.827179827678225	-1.2867535790660116	71.9
ACALABRUTINIB	31	27	4	0.5230341398690544	1.124762054568654	-0.710584428876365	87.1
VALBENAZINE	31	6	25	-0.4344860860302078	0.9746841810385961	-1.2773778942359855	19.4
BEDAQUILINE	31	26	5	0.5224396912662871	1.1263707333976232	-0.8498251137613981	83.9
ABALOPARATIDE	31	2	29	-0.7631993249714256	0.9797032479347975	-2.35394337371217	6.5
CEFAZOLIN	31	15	16	-0.08776995723622202	1.2068220805545642	-1.6823593352125927	48.4
METOPROLOL SUCCINATE	30	13	17	-0.11034289360047739	1.0293443248794083	-1.5870165070399307	43.3
INGENOL	30	4	26	-0.6048304656082102	0.89731128467416	-1.2429288138305983	13.3
ACITRETIN	30	9	21	-0.5226348337733675	1.2013915212025834	-1.9272138875862637	30.0
PROCARBAZINE	30	22	8	0.5474608263096113	1.7482152579355383	-1.1916901505387076	73.3
SALMETEROL	30	6	24	-0.8223494304400318	1.0503540155194577	-2.5255234797296504	20.0
FLUVOXAMINE	30	10	20	-0.3357788497879971	1.5384635020153459	-1.5103945564117227	33.3
SEVOFLURANE	30	15	15	0.05023344733145274	1.796733891773032	-1.6440728029578857	50.0
CANDESARTAN;HYDROCHLOROTHIAZIDE	30	13	17	-0.4555616135869659	1.1154819394093478	-2.7450414975369	43.3
AMIODARONE HYDROCHLORIDE	30	16	14	0.12531694128698362	1.5356504195155267	-0.9452296853880864	53.3
ZONISAMIDE	30	20	10	0.19870725390693814	1.2969387723749088	-1.1654966777444282	66.7
FENTANYL CITRATE	29	21	8	0.3430833527703816	1.2588402152729326	-0.800625657555654	72.4
SIMEPREVIR	29	21	8	0.32661975208210203	1.0933784435719431	-1.1848014709992245	72.4
ACYCLOVIR	29	21	8	0.43297414597053185	1.32675027675269	-1.0970923943706035	72.4
ATAZANAVIR	29	12	17	-0.3185214817159446	1.2777978131814063	-3.0617818482727865	41.4
GLECAPREVIR;PIBRENTASVIR	29	11	18	-0.18264667048188934	0.9833267920860345	-1.1705940941124997	37.9
IDELALISIB	29	23	6	0.5213215589350668	1.5998426856653842	-0.746204712554972	79.3
TIOGUANINE	29	24	5	0.5518126999943169	1.6458806899033065	-1.01636939412376	82.8
LERCANIDIPINE	29	18	11	0.2795864324349214	1.7575747788438547	-1.228869012497463	62.1
METFORMIN;VILDAGLIPTIN	29	24	5	0.5257624242066472	1.303435228365379	-0.8776408625311176	82.8
BENSERAZIDE;LEVODOPA	29	21	8	0.4992006584739304	1.5236523484567708	-1.4998797202177836	72.4
MESNA	29	15	14	-0.01542599537006202	1.4174009387696533	-1.8272522919013001	51.7
SCOPOLAMINE	28	11	17	-0.29149031385386553	1.9806752046249225	-2.196048502743299	39.3
DOBUTAMINE	28	10	18	-0.6553516668237297	1.6998537331955468	-3.2899368445259976	35.7
LITHIUM CARBONATE	28	18	10	0.18401391665053454	1.4427251434342125	-1.8803568752472033	64.3
FOSCARNET	28	22	6	0.573667893349504	1.9163124715715034	-1.349948118205786	78.6
DESLORATADINE	28	14	14	0.053248855437947266	1.4497327793530657	-1.2170436457205067	50.0
VOXELOTOR	28	7	21	-0.4130558527858227	0.6936960133616566	-1.2394758218559045	25.0
MODAFINIL	28	2	26	-0.6922723217179881	0.5796367213287948	-1.3875944957850987	7.1
ISATUXIMAB	28	19	9	0.3786388893746386	1.9039445760567064	-1.3534561040086093	67.9
PHENOXYMETHYLPENICILLIN	28	2	26	-0.8159488788470792	0.577653263908025	-1.8670840094725718	7.1
GADOBUTROL	28	2	26	-0.6933899985619361	0.6225278926916009	-1.4222404375876083	7.1
ALECTINIB	28	15	13	0.04962095658860872	1.0444684814385794	-1.2055317256984455	53.6
KETOCONAZOLE	28	4	24	-0.6479201029964105	0.8982607586933353	-2.1214414389459773	14.3
ELEXACAFTOR;IVACAFTOR;TEZACAFTOR	27	9	18	-0.23988609140129602	0.984428932043093	-1.1493920298938214	33.3
ESKETAMINE	27	9	18	-0.2779006384162085	0.9033681959671356	-1.3177485924396684	33.3
SODIUM CITRATE	27	1	26	-1.457877400784133	0.6256869866268957	-3.859493193741729	3.7
NUSINERSEN	27	10	17	-0.22856003064981514	0.9689253653531285	-1.1972317095378988	37.0
FLUPENTIXOL	27	19	8	0.5593330719005457	3.2338659078344776	-2.8973849150934234	70.4
EPTINEZUMAB	27	0	27	-1.1895311887812028	-0.5153744702355763	-2.35573970329831	0.0
METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA	27	14	13	0.02242051751298871	1.1916149951666037	-1.718272240681356	51.9
DESMOPRESSIN	27	7	20	-0.46869263716336323	1.3746684231647086	-1.901960148538785	25.9
FENFLURAMINE	27	18	9	0.21979312150079272	1.3210607972382977	-1.1851181777865767	66.7
BRIVARACETAM	27	10	17	-0.24861954438700026	0.9792783028988155	-1.9352795418293014	37.0
SOTROVIMAB	26	0	26	-0.8328303254088633	-0.5135041596459332	-1.3686762293822903	0.0
INCLISIRAN	26	9	17	-0.26119157751552724	1.020578237560511	-1.1563545452678192	34.6
OXYGEN	26	21	5	0.5070335916854961	1.2769200217648238	-1.1172539901563496	80.8
BICTEGRAVIR;EMTRICITABINE;TENOFOVIR	26	15	11	0.31095105211110285	2.0002372977371072	-0.8354616811700236	57.7
TIGECYCLINE	26	22	4	0.5964232343273166	1.4205774289322444	-0.9590596300271748	84.6
MONTELUKAST SODIUM	26	9	17	-0.42957495526219713	1.0870004269498907	-1.8561763097238932	34.6
RASAGILINE	26	16	10	0.12982938548831702	1.0817669616797017	-1.2890911479587186	61.5
ROSUVASTATIN CALCIUM	26	12	14	0.0471271204954323	2.0716422458558332	-1.5170657120631155	46.2
VITAMIN A	26	3	23	-1.295915523985859	1.0327264562669276	-3.975933546142107	11.5
BISOPROLOL FUMARATE	26	11	15	-0.14660316340451662	0.7102736310739363	-1.41733079038259	42.3
MACROGOL;POTASSIUM;SODIUM CHLORIDE;SODIUM SULFATE;VITAMIN C	26	4	22	-0.5482785068386945	0.8099719664653628	-1.2452616505077552	15.4
CARBIDOPA;ENTACAPONE;LEVODOPA	26	16	10	0.2555852324001094	1.3277388436132016	-0.9875424648868372	61.5
BUMETANIDE	26	12	14	-0.01914678293180972	1.611587450201795	-1.2439398905843975	46.2
LORMETAZEPAM	25	15	10	0.21181024020861006	2.020296033497093	-1.0187000853641315	60.0
PARICALCITOL	25	22	3	0.5579581514412468	1.057888319295443	-0.7154244205063778	88.0
IMATINIB MESYLATE	25	21	4	0.6171691828660154	1.7747494963780843	-1.1739175699347242	84.0
STAVUDINE	25	17	8	0.3234667521808079	1.8055286450078025	-1.5629533071382875	68.0
LINACLOTIDE	25	9	16	-0.21581227617893337	1.027492141573877	-1.371744800766629	36.0
GLIBENCLAMIDE	25	14	11	0.11893319438629608	1.9336766914444508	-1.4425825579362153	56.0
ENCORAFENIB	25	18	7	0.3425754968406293	1.6658819694064744	-1.1346726550337793	72.0
VILDAGLIPTIN	25	17	8	0.2808330433036718	1.5522879117569661	-1.4130318087699645	68.0
PERAMPANEL	25	10	15	-0.18559376415550766	1.710249528901724	-1.6345118332397188	40.0
ZINC	25	17	8	0.25284364612179194	1.2456189937776174	-1.4974321708134866	68.0
DIROXIMEL FUMARATE	25	0	25	-0.8681665113217619	-0.5408889858560056	-1.7219048160086614	0.0
OXYMETAZOLINE	25	6	19	-0.5685419658661027	0.9630954609851661	-1.822896598457476	24.0
CALCIUM;VITAMIN D, UNSPECIFIED	25	2	23	-1.2655432251887269	1.2221559330462088	-2.739834198761183	8.0
FLUINDIONE	24	23	1	0.8285185841195447	2.5541371134007114	-0.531716716088152	95.8
IOPROMIDE	24	7	17	-0.3271853730193351	0.6591340271581541	-1.1638493497400972	29.2
GALANTAMINE	24	4	20	-0.4035706215741281	3.0672873280673225	-1.9599684007548595	16.7
HYDROCHLOROTHIAZIDE;LOSARTAN	24	16	8	0.2726490285096606	1.3612107554157875	-1.7994253235873043	66.7
HYDROCHLOROTHIAZIDE;LISINOPRIL	24	19	5	0.3088742706611846	0.9737056391724361	-1.501229186497734	79.2
AFATINIB	24	14	10	0.09838534808031157	0.8254035417782015	-0.8649115687565544	58.3
TEMSIROLIMUS	24	23	1	0.7387999725317701	1.227070884569749	-0.5980668294726024	95.8
CALCIUM CARBONATE	24	2	22	-0.9452399550550187	0.7456387855771436	-1.6492988892062255	8.3
CANNABIDIOL	24	13	11	0.09346537735455984	1.2655924168674932	-0.8861829079597252	54.2
SOTALOL	24	14	10	0.1927692224422439	1.7237245989060552	-1.1734362441121156	58.3
SERTRALINE HYDROCHLORIDE	24	9	15	-0.47310372808490336	0.9170842537214072	-2.1377024880395235	37.5
DORNASE ALFA	24	8	16	-0.23500660402201579	2.0132269023070726	-1.4346725034747263	33.3
HERBALS, UNSPECIFIED	24	6	18	-0.8578002440907637	2.3041640092042495	-2.943031683587977	25.0
CHLORPHENAMINE	24	6	18	-0.6769258046747292	0.7484167721458072	-1.96065635223025	25.0
FONDAPARINUX	24	14	10	0.18670085996195	2.3035031889972424	-1.2042848181182624	58.3
IVACAFTOR;LUMACAFTOR	24	3	21	-0.5594103604702223	1.0541205357446572	-1.0692871124932737	12.5
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	24	16	8	0.33058170402443515	2.8949436052624766	-1.8501729943606842	66.7
METOPROLOL TARTRATE	24	8	16	-0.36291437040424585	0.9071941655279692	-1.386360742873932	33.3
CARISOPRODOL	23	6	17	-0.40448726612032976	0.7379402218490325	-1.131505446912208	26.1
HYDROXYCHLOROQUINE DIPHOSPHATE	23	2	21	-0.9662556206838157	1.132520406845504	-2.0549493785028137	8.7
ERTAPENEM	23	6	17	-0.14315408544959327	2.3272334708019833	-1.4021023878428716	26.1
ALENDRONIC ACID;VITAMIN D3	23	1	22	-1.9133420847181304	0.7352521516405606	-4.0760722212415175	4.3
LEVOFOLINIC ACID	23	14	9	0.1557517688725733	1.2764801420271406	-1.3171052119413404	60.9
FOSAPREPITANT	23	18	5	0.8347435889882953	2.1073089093180757	-1.2997303993535434	78.3
FREMANEZUMAB	23	2	21	-0.7574016681801347	0.5850958484047095	-1.9680322950679692	8.7
PHENPROCOUMON	23	18	5	0.5527880395263446	2.1222869921597094	-1.2732543571211692	78.3
ILOPROST	23	18	5	0.3499425058236131	0.9134723642933629	-1.1280000849748208	78.3
PERFLUTREN	23	3	20	-0.6503008983804174	0.7224623639424709	-1.3528668562270696	13.0
ENFORTUMAB VEDOTIN	23	17	6	0.32375186372358816	1.1128268256875398	-0.9435657758669811	73.9
WATER	23	6	17	-0.5330270680052996	0.796098784599882	-1.8736288841160047	26.1
BUDESONIDE;FORMOTEROL;GLYCOPYRRONIUM	23	16	7	0.22126761652093685	1.0130272020535993	-1.6086081078303236	69.6
GEMCITABINE HYDROCHLORIDE	23	16	7	0.21995424179098433	1.2519908479399744	-1.9976968350349569	69.6
LIOTHYRONINE	23	3	20	-1.1749749237671716	1.174247933401743	-2.4196102512564663	13.0
AMPICILLIN	23	9	14	-0.1856364584967497	2.144461799545509	-1.4121027848327508	39.1
CEFOTAXIME	23	18	5	0.6947930313330094	2.089423343714065	-0.9209869352678498	78.3
BUPROPION;NALTREXONE	23	0	23	-0.872068916880608	-0.5033569008343755	-1.5078356645565163	0.0
BAMLANIVIMAB	22	8	14	-0.16544819745492226	0.8045850790907423	-0.9253189230702219	36.4
LABETALOL	22	4	18	-1.099578704270234	1.3093880504722673	-5.678888909227175	18.2
EMTRICITABINE	22	14	8	0.225315560940117	1.8594435420499211	-3.947118212788367	63.6
BENDAMUSTINE HYDROCHLORIDE	22	20	2	0.7231554714179977	1.3390227839009312	-0.8485727389380322	90.9
VITAMIN B1	22	17	5	0.7537385400858909	2.030024057015368	-1.505401726552976	77.3
DOFETILIDE	22	12	10	0.04081137994834099	0.9456289945014247	-1.3691380552200314	54.5
BIMEKIZUMAB	22	7	15	-0.2904399453130627	0.7934330405846837	-1.32360520421855	31.8
LEUCOVORIN	22	8	14	-0.10492393575283945	1.2479661168413942	-0.9054478068274562	36.4
DACTINOMYCIN	22	9	13	-0.2370260712960056	1.1920513685532885	-1.6330852364296429	40.9
LUMATEPERONE	22	3	19	-0.5329418678242259	0.8391391204770979	-1.2528390239962315	13.6
DIMENHYDRINATE	22	12	10	0.1046484667050292	2.6531676154992945	-2.735582116411579	54.5
CHLORMETHINE	22	3	19	-0.5015754145283802	0.8297438400745125	-0.9659437672126137	13.6
TRALOKINUMAB	22	1	21	-0.760788638097779	0.6196567014271122	-1.415025512756058	4.5
BROLUCIZUMAB	22	9	13	-0.16752834498101363	0.9892456489237169	-1.2847111765386057	40.9
PATIROMER	22	16	6	0.3856305204395474	1.449716461413073	-0.8431141444493955	72.7
TAFAMIDIS	22	19	3	0.5582543308517068	1.729470217681201	-0.7563388941119895	86.4
LORLATINIB	22	8	14	-0.1404451344962414	1.1507063949414853	-1.0315905424138805	36.4
GADOTERIC ACID	22	4	18	-0.4792213026746142	0.6311423554667934	-0.9937113883513975	18.2
REPAGLINIDE	22	15	7	0.2904018538099563	1.3882836055699581	-1.1151464600070329	68.2
BENZATROPINE	22	11	11	-0.008544667770853644	2.009551156811562	-1.2437026123264654	50.0
EPCORITAMAB	22	18	4	0.6066593009210348	2.0102560545001382	-0.6565941872962819	81.8
ALBUMIN	22	10	12	-0.15565907915726962	1.1585779401641487	-1.437950132366375	45.5
CLOPIDOGREL BISULFATE	22	19	3	0.6251061610746411	1.857706315492587	-0.9493421290889645	86.4
BCG VACCINE	22	21	1	0.955787728488863	2.3219645049927795	-0.5268556626885055	95.5
PAROXETINE HYDROCHLORIDE	22	5	17	-0.427680724980722	0.9422634356855427	-1.1147726681269265	22.7
BELIMUMAB	22	2	20	-1.1646900940666904	0.7469371497680872	-2.758581863619246	9.1
ALPHA-1-ANTITRYPSIN	22	3	19	-0.5435886800747158	0.5801389671947781	-0.9225560427677966	13.6
NITROGLYCERIN	22	6	16	-0.20078842219878454	2.1918758608024214	-1.2209800086928815	27.3
VOCLOSPORIN	22	3	19	-0.6323255206349132	0.5740865308071078	-1.8247644624779218	13.6
SODIUM PICOSULFATE	22	7	15	-1.179705301357762	2.7291616734384188	-4.280720492903933	31.8
ENTECAVIR	21	18	3	0.6278521042861753	1.4005969822631554	-0.9509184629216985	85.7
ENTACAPONE	21	16	5	0.5922392819354035	2.2955136900049284	-1.103270146096333	76.2
CILASTATIN;IMIPENEM	21	17	4	0.5785325461358303	1.401166544522738	-0.7297909339102358	81.0
FESOTERODINE	21	5	16	-0.506575878774258	0.5556215960152007	-1.2896683373385367	23.8
IODIXANOL	21	5	16	-0.38194514916589484	0.7803111524888555	-0.9245537121791645	23.8
NALOXONE	21	19	2	0.6928952676721927	1.3361552077988423	-0.6012548622738851	90.5
PIROXICAM	21	17	4	0.6258238326959015	1.427345051809378	-1.0248750809801133	81.0
PROCHLORPERAZINE	21	10	11	0.02482536112184728	1.5981155089292953	-1.682693286432784	47.6
CETIRIZINE;PSEUDOEPHEDRINE	21	12	9	0.332429656477251	3.403785025220642	-2.1534333716497898	57.1
ROCURONIUM	21	9	12	-0.06897603610806655	2.048537680904433	-1.7487629854282472	42.9
TRANEXAMIC ACID	21	8	13	-0.3391261318971306	0.9705643927095027	-1.753716071155399	38.1
DEXTROMETHORPHAN;QUINIDINE	21	3	18	-0.5193757061764076	0.8625849773952865	-1.1932181035534952	14.3
IOHEXOL	21	3	18	-0.5322001480513917	0.700538071818581	-1.1965292211516645	14.3
ISOSORBIDE DINITRATE	21	14	7	0.22505641417593653	1.0606668413058165	-1.5768375236061356	66.7
TREOSULFAN	21	18	3	0.7481980969291129	2.5694156403230632	-0.7798410021545703	85.7
FLUVASTATIN	21	9	12	-0.20033825012464643	1.109627303269705	-1.7845043613087948	42.9
CABOTEGRAVIR;RILPIVIRINE	21	10	11	0.025230502145759382	1.1562068308864575	-0.7987184775248091	47.6
TREMELIMUMAB	21	18	3	0.7891827752983611	2.2811100465567717	-0.9832225137442718	85.7
RUPATADINE	20	4	16	-1.162505840230137	2.466182666069998	-4.123798717453676	20.0
NYSTATIN	20	7	13	-0.4226744312017193	1.3269393615700737	-2.0896090612965557	35.0
PHENYLEPHRINE	20	9	11	0.14104956677075386	2.488102160217596	-1.5806420828922234	45.0
BELATACEPT	20	19	1	0.9434008744654628	2.416094880195012	-0.5520093398766597	95.0
TENOFOVIR DISOPROXIL FUMARATE	20	10	10	0.10282071854553916	2.182570552117866	-1.2839651274079964	50.0
POTASSIUM CHLORIDE	20	5	15	-0.4350514244467827	0.8096519817217718	-1.467164197301496	25.0
METFORMIN;ROSIGLITAZONE	20	20	0	0.6930446996133427	1.047062240219903	0.5068901685970713	100.0
MACROGOL;POTASSIUM;SODIUM BICARBONATE;SODIUM CHLORIDE	20	10	10	0.005664758941125975	1.6658474724894776	-1.641462556905494	50.0
LIFITEGRAST	20	2	18	-0.7342269185289866	1.269523400324358	-2.1911679667715314	10.0
INOTERSEN	20	20	0	0.7748884821404278	1.4538268782420385	0.533223392922813	100.0
LARONIDASE	20	7	13	-0.17519718306593743	1.3735070534474323	-1.0524641166939264	35.0
IVERMECTIN	20	4	16	-0.543525997435628	0.8177071806456506	-1.592390563525595	20.0
ETORICOXIB	20	5	15	-0.44444137228330655	1.6938712303200778	-1.610882274471901	25.0
HYDROMORPHONE HYDROCHLORIDE	20	10	10	0.08179442504885856	1.1040436595206025	-1.2208474437769299	50.0
SAPROPTERIN	20	0	20	-0.7500769023509017	-0.5018147260534203	-1.7099373467440702	0.0
ICATIBANT	20	1	19	-0.7237776371395724	0.5137019193884544	-1.3737741416381803	5.0
TETRABENAZINE	20	5	15	-0.36091683660039503	0.7594902083076289	-1.0576867589747052	25.0
INOTUZUMAB	20	15	5	0.31902678461355727	0.9468294103558395	-0.9752567705656623	75.0
BRIMONIDINE;TIMOLOL	20	0	20	-0.7050097020722814	-0.5381904018836634	-1.0870740623072401	0.0
GUAIFENESIN	20	7	13	-0.29902113248086676	0.8921662387755107	-1.2662726948169842	35.0
CENEGERMIN	20	0	20	-0.6827083833476146	-0.5070270810957163	-1.149887915156647	0.0
ERGOCALCIFEROL	20	3	17	-0.7560612550878347	1.1304730306925277	-1.9754320731017379	15.0
VISMODEGIB	20	13	7	0.10648874584064054	0.9506060726322701	-2.2748401357030614	65.0
ACETYLSALICYLIC ACID;CAFFEINE;PARACETAMOL	20	2	18	-0.5707222053212673	0.6883459125042317	-1.2860181714260515	10.0
CAPTOPRIL	20	4	16	-0.6939446344674518	0.9199646207239446	-2.0622697797532115	20.0
CASIRIVIMAB;IMDEMIVAB	20	8	12	-0.13102030208742835	1.2294221796116085	-1.094047346845623	40.0
WARFARIN SODIUM	20	15	5	0.3723368748600886	1.1255492088146284	-1.016106866853985	75.0
TRASTUZUMAB DERUXTECAN	20	5	15	-0.607454397539599	0.9186412718427157	-1.9264817686763096	25.0
COBIMETINIB	20	10	10	0.039301786982683405	1.130955867829016	-0.899636823455551	50.0
ADAPALENE	20	5	15	-0.30790479267147003	1.0338001689815879	-0.9841157788343449	25.0
ELOSULFASE ALFA	20	2	18	-0.5229483702613948	0.7806893228139125	-0.995714652847118	10.0
AVELUMAB	19	14	5	0.34107398637042624	1.0905645598308022	-0.8477222416652763	73.7
VITAMIN K	19	1	18	-1.5948835894395987	1.2548892259797106	-3.1285971524671328	5.3
TOPOTECAN	19	12	7	0.15856524083526238	1.311420128709941	-1.8030125712721399	63.2
DECITABINE	19	15	4	0.4429052506450987	1.1217781399352016	-0.7422112833527033	78.9
NORDAZEPAM	19	16	3	0.7079558598556452	2.1208090997076026	-0.8114340420048323	84.2
HYDROCHLOROTHIAZIDE;OLMESARTAN	19	1	18	-0.6530635916153591	1.3946515468277818	-1.7096598009661954	5.3
ATROPINE	19	10	9	0.078751519157222	1.564956193630188	-1.3266713863019406	52.6
ALUMINIUM;MAGNESIUM	19	3	16	-1.1645474717103534	1.0740672836756078	-2.546705867872724	15.8
MIANSERIN	19	8	11	-0.22582642817881257	1.4493684315617505	-1.6285840113153838	42.1
IMIPENEM	19	13	6	0.29319846534686556	1.5031575996885498	-0.947364453978472	68.4
SUCRALFATE	19	9	10	0.06653259971389314	1.732996938686105	-1.3810416549843627	47.4
FOSFOMYCIN	19	0	19	-0.9626737653349113	-0.5022857584861418	-1.6991629739921346	0.0
