drug_name	n_signals	n_female_higher	n_male_higher	mean_log_ratio	max_log_ratio	min_log_ratio	female_pct
LEUPRORELIN	294	205	89	0.4739094652682383	3.18360160506506	-2.916161511246779	69.7
BEVACIZUMAB	294	163	131	0.11843556847198332	2.601147889346529	-2.6012494200207295	55.4
LENALIDOMIDE	292	174	118	0.1527528130379221	1.5995308602360416	-1.872883163301843	59.6
FENTANYL	291	217	74	0.47379349889407796	2.7629878919147584	-3.6654461805041523	74.6
VINCRISTINE	290	221	69	0.49916975998753443	2.8159619194112824	-2.402496391749005	76.2
DUPILUMAB	289	49	240	-0.5127681732252874	1.5006776736338228	-2.8008749902946772	17.0
VENLAFAXINE	287	117	170	-0.2002326272672418	2.3092620408586075	-3.1346110974497887	40.8
CLOZAPINE	287	197	90	0.3906601451736882	5.447611088396968	-2.973072993983381	68.6
CLONAZEPAM	285	177	108	0.2666266666702272	3.03147889198823	-3.4265078560725377	62.1
IMMUNOGLOBULINS, UNSPECIFIED	284	159	125	0.0429266703007004	2.5171038314847034	-2.358422502781358	56.0
ONDANSETRON	283	110	173	-0.29826064234762634	2.374288938551233	-3.474683830409303	38.9
MONTELUKAST	281	114	167	-0.1732376073705317	3.0435368041672572	-2.856320840075904	40.6
MYCOPHENOLATE MOFETIL	277	225	52	0.5796512826819347	2.385233227085073	-1.8469743667162744	81.2
APIXABAN	275	161	114	0.07494987436100979	3.1577423895201093	-3.2102538339968945	58.5
CELECOXIB	274	173	101	0.5047300242874416	3.300602723837432	-3.794122133607001	63.1
CYTARABINE	274	218	56	0.5558338038583213	2.404780796378117	-1.4576739336370688	79.6
ETOPOSIDE	273	216	57	0.5395299569860746	2.068324028796411	-2.047997060340747	79.1
SILDENAFIL	272	238	34	0.9730874918533954	2.657601157720417	-2.806397506985781	87.5
BISOPROLOL	270	163	107	0.22371059816829245	3.3503262221419803	-2.1039608735217765	60.4
CAPECITABINE	270	155	115	0.10771967761662253	2.311311910101221	-1.8941075657539304	57.4
OXYCODONE;PARACETAMOL	265	214	51	1.0690313593085365	4.345509184155896	-3.351826994748954	80.8
LORAZEPAM	264	165	99	0.202007650373677	2.116537357413132	-2.315180425061087	62.5
SIMVASTATIN	261	137	124	0.04468133602042928	2.6701226736299812	-2.973572008369469	52.5
BUPRENORPHINE	261	141	120	0.22925006973830234	3.9855976563579762	-3.090475466320547	54.0
BUDESONIDE	259	117	142	-0.1379160314836032	2.729452537410501	-3.1630541235566243	45.2
PACLITAXEL	259	162	97	0.18934821127310866	1.9868831610821243	-2.3899047520915593	62.5
LEVETIRACETAM	258	117	141	-0.06530454725379924	2.3145827866254827	-2.0354931086633123	45.3
TADALAFIL	258	189	69	0.44565428712005545	2.08504174863609	-2.7863054754924814	73.3
TIOTROPIUM	257	76	181	-0.47361080396949506	3.3145504077252115	-3.346293181709638	29.6
MEPOLIZUMAB	254	123	131	-0.023564655079198926	2.6500630606601923	-2.8532606031074748	48.4
LEVOFLOXACIN	254	118	136	-0.13661242710127838	3.9354565732386773	-3.3063607801017043	46.5
FLUTICASONE;SALMETEROL	252	90	162	-0.34701410872177685	2.5597630124498556	-3.8761271237075237	35.7
LISINOPRIL	252	213	39	0.7208524657315382	3.121146497610106	-1.3014270622158706	84.5
DIAZEPAM	250	191	59	0.5369307160270268	2.9605014635769367	-2.066690374409913	76.4
VITAMIN B9	250	117	133	0.10877478654905197	4.4874408170897215	-5.505747965656598	46.8
BUDESONIDE;FORMOTEROL	245	92	153	-0.3250136252593216	1.9146373959897378	-3.282549823005705	37.6
METOPROLOL	244	131	113	0.08680272068112879	2.7325682523859918	-2.0982904363725945	53.7
CETIRIZINE	244	108	136	0.26132041876886974	4.432569067188	-3.2106057784353257	44.3
RIVAROXABAN	243	167	76	0.2723188690673603	2.631511586683626	-2.9423766806339753	68.7
VITAMIN D3	242	111	131	-0.03614866123171613	3.3684195090623397	-3.6376165599813066	45.9
ALENDRONIC ACID	241	107	134	-0.2614541061034949	3.0935037714377867	-4.913095871825798	44.4
LANSOPRAZOLE	240	138	102	0.11847852141787726	2.5225087688782053	-3.153882130127531	57.5
EVEROLIMUS	239	121	118	0.0010337432210770188	1.4900756943336615	-1.5894565014360102	50.6
OXALIPLATIN	239	165	74	0.3564579084141812	2.009927651918019	-1.5911311710774192	69.0
