adverse_event	n_signals	n_female_higher	n_male_higher	mean_log_ratio	n_drugs	female_pct
Blood pressure increased	155	91	64	0.13021914150820146	155	58.7
Hyperkalaemia	154	137	17	0.7284607589318702	154	89.0
Discomfort	154	67	87	0.36638046611760033	154	43.5
Memory impairment	154	80	74	0.22485110315022844	154	51.9
Dehydration	154	108	46	0.294736639968782	154	70.1
Migraine	153	39	114	-0.48717670030931515	153	25.5
Palpitations	153	28	125	-0.6091883688187255	153	18.3
Bradycardia	152	93	59	0.18542530146049893	152	61.2
Coma	151	109	42	0.5079566881109054	151	72.2
COVID-19	151	29	122	-0.6548877166116662	151	19.2
Cerebrovascular accident	151	98	53	0.16682680064282274	151	64.9
Hallucination	151	123	28	0.5765623997593532	151	81.5
Premature baby	149	91	58	0.011646017502994753	149	61.1
Intentional product use issue	149	102	47	0.6896742226449898	149	68.5
Chills	147	57	90	-0.22935584512292984	147	38.8
Treatment noncompliance	147	129	18	0.7012851349672672	147	87.8
Seizure	147	90	57	0.11126963499399281	147	61.2
Completed suicide	147	91	56	0.12770297208314552	147	61.9
Sinusitis	145	65	80	0.1510142278696849	145	44.8
Skin exfoliation	144	30	114	-0.6135156410222967	144	20.8
Pleural effusion	143	86	57	0.19181546459983337	143	60.1
Loss of consciousness	142	98	44	0.3105297016333951	142	69.0
Productive cough	142	41	101	-0.5909979541887256	142	28.9
Alanine aminotransferase increased	142	118	24	0.5685944946812211	142	83.1
Neutropenia	142	84	58	0.13142424055039723	142	59.2
Cardio-respiratory arrest	141	109	32	0.4113916162849843	141	77.3
Oedema	141	97	44	0.8505268011024463	141	68.8
Pancytopenia	141	101	40	0.299063998530223	141	71.6
Myalgia	141	78	63	0.08697978409343012	141	55.3
Thrombosis	140	52	88	-0.7557008773345179	140	37.1
Hypokalaemia	140	106	34	0.4539217720889196	140	75.7
Pulmonary oedema	140	63	77	-0.1283191016208963	140	45.0
Visual impairment	138	78	60	0.23267537777543887	138	56.5
Upper respiratory tract infection	138	59	79	0.046228233304374707	138	42.8
Liver disorder	137	92	45	0.570877190375915	137	67.2
Bronchitis	137	36	101	-0.4303085600387624	137	26.3
C-reactive protein increased	136	87	49	0.5455845769847375	136	64.0
Drug ineffective for unapproved indication	136	53	83	-0.14480176867362968	136	39.0
Vertigo	136	29	107	-0.6655638770165281	136	21.3
Hypoxia	136	72	64	-0.004269930732598279	136	52.9
Contusion	135	98	37	0.7694981333794252	135	72.6
Febrile neutropenia	135	93	42	0.23811608837428735	135	68.9
Haemoglobin decreased	135	93	42	0.24927118253506655	135	68.9
Drug-induced liver injury	135	105	30	0.6819530629961792	135	77.8
Haematuria	134	125	9	0.8865191203077419	134	93.3
Hepatic function abnormal	132	106	26	0.3835370459430701	132	80.3
Arthropathy	132	62	70	0.38569158723175717	132	47.0
Aspartate aminotransferase increased	131	80	51	0.1259663307526423	131	61.1
Drug resistance	130	105	25	0.5792941100775297	130	80.8
Platelet count decreased	130	76	54	0.07045973284940811	130	58.5
Syncope	129	74	55	0.08140798605706391	129	57.4
Anaphylactic reaction	128	63	65	-0.013890049187146862	128	49.2
Type 2 diabetes mellitus	127	45	82	0.0780459545079119	127	35.4
Blister	127	91	36	1.0587553678905715	127	71.7
Product dose omission issue	126	49	77	-0.2236086859394764	126	38.9
Delirium	125	110	15	1.0928898721283085	125	88.0
Disease progression	125	84	41	0.2554521927651005	125	67.2
Interstitial lung disease	124	74	50	0.19661388656483644	124	59.7
Heart rate increased	124	35	89	-0.436778165971857	124	28.2
Urinary retention	124	98	26	0.5653904290642275	124	79.0
Depressed level of consciousness	124	92	32	0.6319318827482319	124	74.2
Rhabdomyolysis	123	97	26	0.5762415337934145	123	78.9
Diabetes mellitus	122	48	74	-0.410693851534659	122	39.3
Medication error	122	88	34	0.57870060502551	122	72.1
Therapy non-responder	122	80	42	0.46018562279650366	122	65.6
Blood cholesterol increased	122	58	64	0.2886116757626576	122	47.5
Electrocardiogram QT prolonged	122	84	38	0.32770895100961506	122	68.9
Angioedema	121	108	13	0.8653900173634975	121	89.3
Vision blurred	120	47	73	-0.12110439701384743	120	39.2
Transaminases increased	120	75	45	0.16154891999124643	120	62.5
Therapeutic product effect decreased	119	63	56	0.4475208545489174	119	52.9
Intentional overdose	118	61	57	-0.0019565086368619248	118	51.7
Balance disorder	118	49	69	0.013929853356572337	118	41.5
Influenza	118	48	70	-0.09475697950887116	118	40.7
Neck pain	118	57	61	0.08904749229403713	118	48.3
Inappropriate schedule of product administration	118	34	84	-0.4529671241238719	118	28.8
Hot flush	117	95	22	0.5374786407966516	117	81.2
Drug dependence	117	88	29	0.4672402610700273	117	75.2
Rectal haemorrhage	117	93	24	0.8023441725883731	117	79.5
Liver injury	116	77	39	0.8937148581817296	116	66.4
Chronic obstructive pulmonary disease	116	37	79	-0.5373557320012753	116	31.9
Eosinophilia	116	68	48	0.19449479717532614	116	58.6
Arthritis	115	50	65	-0.07744234083905029	115	43.5
Deep vein thrombosis	113	36	77	-0.518286001840622	113	31.9
Eye pain	112	38	74	-0.32691266878980546	112	33.9
Agitation	112	84	28	0.4507915827687885	112	75.0
Pneumonia aspiration	112	87	25	0.7045005522870925	112	77.7
Wound	111	45	66	0.5479471132069554	111	40.5
Cardiac disorder	110	73	37	0.21602459851743785	110	66.4
Blood glucose increased	110	60	50	0.09454235913884114	110	54.5
Hypoglycaemia	110	89	21	0.4934717409781383	110	80.9
Musculoskeletal pain	110	67	43	0.6214017483170218	110	60.9
Stomatitis	110	62	48	0.5061358150280055	110	56.4
Fungal infection	110	21	89	-0.7034739166269807	110	19.1
Tinnitus	109	37	72	-0.349751598873142	109	33.9
Pancreatitis	109	79	30	0.4242253060047716	109	72.5
Blood pressure decreased	109	68	41	0.1213151784564068	109	62.4
Psoriasis	109	82	27	0.7760256449982398	109	75.2
Neuropathy peripheral	109	71	38	0.23416883050846043	109	65.1
Dry skin	108	24	84	-0.48165460218737616	108	22.2
Swelling face	108	43	65	-0.12975716621580086	108	39.8
No adverse event	108	34	74	-0.25989292945369463	108	31.5
Cognitive disorder	108	62	46	0.2715248804423803	108	57.4
Dysarthria	107	60	47	0.15833090307156983	107	56.1
Osteoporosis	107	84	23	0.7952030078651263	107	78.5
Leukopenia	107	54	53	-0.07595404430957199	107	50.5
Amnesia	107	69	38	0.5555574773950713	107	64.5
Rheumatoid arthritis	107	60	47	0.41338837055242356	107	56.1
Dysuria	107	73	34	0.2805202113363785	107	68.2
Hepatitis	107	82	25	0.6744007153800434	107	76.6
Drug reaction with eosinophilia and systemic symptoms	107	73	34	0.31360697300050644	107	68.2
Gait inability	107	59	48	0.54123089661104	107	55.1
Cholestasis	106	82	24	0.5003644486254284	106	77.4
Cardiac failure congestive	106	78	28	0.38488149620808443	106	73.6
Pulmonary fibrosis	106	60	46	0.4292293436797152	106	56.6
Metabolic acidosis	105	63	42	0.19072208342828015	105	60.0
Suicide attempt	105	54	51	-0.009204420538008878	105	51.4
Haemoptysis	105	56	49	-0.0713535415490387	105	53.3
Blood creatine phosphokinase increased	105	99	6	0.8703336503496899	105	94.3
Rhinorrhoea	105	66	39	0.2678918067105882	105	62.9
Hepatocellular injury	104	79	25	0.41958291884360427	104	76.0
Ascites	104	50	54	-0.4850561708329171	104	48.1
Gastrointestinal haemorrhage	104	87	17	0.6094559615260444	104	83.7
Night sweats	104	55	49	0.5133922829849896	104	52.9
Epistaxis	103	64	39	0.08543489108262596	103	62.1
Acne	103	8	95	-0.8006412392603713	103	7.8
Respiratory disorder	103	61	42	0.418217660802811	103	59.2
Toxic epidermal necrolysis	102	60	42	0.10934661487859706	102	58.8
Rash erythematous	102	42	60	0.021361335668057466	102	41.2
Lymphadenopathy	102	28	74	-0.44957119941852586	102	27.5
Dysphonia	101	50	51	-0.07260541560991067	101	49.5
Ill-defined disorder	101	59	42	0.6178280749647972	101	58.4
Hypothyroidism	101	52	49	-0.24143268568523624	101	51.5
Therapeutic response decreased	100	50	50	0.06175660620729797	100	50.0
Burning sensation	100	38	62	-0.15863782166770754	100	38.0
Acute respiratory distress syndrome	100	73	27	0.4511582790285821	100	73.0
Lactic acidosis	100	61	39	0.16255454834828506	100	61.0
Haematochezia	100	63	37	0.3784605763574549	100	63.0
Incorrect route of product administration	99	45	54	-0.06986039780022503	99	45.5
Wrong technique in product usage process	99	44	55	-0.18348982512685078	99	44.4
Rash maculo-papular	99	58	41	0.17852784477751435	99	58.6
Product quality issue	99	49	50	0.2467456251102963	99	49.5
Dyspnoea exertional	98	34	64	-0.4269749723629808	98	34.7
Nasal congestion	98	54	44	0.08276281457994202	98	55.1
Emotional distress	98	87	11	0.8555747417922879	98	88.8
Colitis	98	72	26	0.4624783388285823	98	73.5
Cataract	98	32	66	-0.36694327657932624	98	32.7
Feeling hot	98	51	47	0.12321752382614008	98	52.0
Malignant neoplasm progression	98	78	20	0.49501499125294973	98	79.6
Bone pain	97	17	80	-0.5730131675069713	97	17.5
Adverse event	97	78	19	0.8755831816880202	97	80.4
