adverse_event	n_signals	n_female_higher	n_male_higher	mean_log_ratio	n_drugs	female_pct
Mixed liver injury	21	15	6	0.373207311806075	21	71.4
Thrombocytosis	21	11	10	-0.1750518160414273	21	52.4
Polyp	21	9	12	-0.07632697782058268	21	42.9
Skin mass	21	2	19	-1.0616438207772616	21	9.5
Aplasia	21	18	3	0.6360714981573438	21	85.7
Metabolic disorder	21	14	7	0.5827098402717142	21	66.7
Metastases to lymph nodes	21	13	8	0.3378405756724372	21	61.9
Intentional dose omission	21	6	15	-0.3066818417371206	21	28.6
Coronary artery occlusion	21	15	6	0.3914305542553653	21	71.4
Myasthenia gravis	21	10	11	-0.47247097144579636	21	47.6
Acute graft versus host disease	21	20	1	0.8001406165754839	21	95.2
Immune effector cell-associated neurotoxicity syndrome	21	18	3	0.6685650999913249	21	85.7
Panniculitis	21	16	5	0.5583632997166386	21	76.2
Blepharospasm	21	5	16	-0.2979898430253299	21	23.8
Accidental exposure to product by child	21	14	7	0.38323910160503044	21	66.7
Bradykinesia	21	11	10	0.056227604511161676	21	52.4
Peripheral venous disease	21	12	9	0.5800348064247721	21	57.1
Spinal stenosis	21	10	11	-0.08963833323512972	21	47.6
Generalised erythema	21	2	19	-0.9620099278217082	21	9.5
Temperature intolerance	21	6	15	-0.3539715125148935	21	28.6
Hepatocellular carcinoma	21	20	1	0.7879872572711193	21	95.2
Drug administered to patient of inappropriate age	21	6	15	-0.3516722609830067	21	28.6
Psychomotor skills impaired	20	12	8	-0.018389409710566306	20	60.0
Libido decreased	20	14	6	0.36142599546080806	20	70.0
Eye movement disorder	20	7	13	-0.2610566206626198	20	35.0
Encephalitis	20	18	2	0.7238838905044263	20	90.0
Accidental death	20	17	3	0.6785207911319933	20	85.0
Transfusion	20	14	6	0.2840337449552919	20	70.0
Anhedonia	20	18	2	0.8139592749738009	20	90.0
Cholangitis	20	19	1	0.7431196931062242	20	95.0
Cholecystectomy	20	4	16	-0.45004128842929514	20	20.0
Renal tubular disorder	20	18	2	0.8437424480681146	20	90.0
Hypernatraemia	20	14	6	0.413205788290781	20	70.0
Drug tolerance	20	20	0	1.630299859271285	20	100.0
Impaired gastric emptying	20	4	16	-0.5824040245287286	20	20.0
Drug screen positive	20	13	7	0.09184068328412938	20	65.0
Hyperventilation	20	5	15	-0.4507208029227036	20	25.0
Hunger	20	3	17	-0.5839208694046906	20	15.0
Blindness unilateral	20	4	16	-0.49688244381798663	20	20.0
No therapeutic response	20	12	8	0.09232018376309953	20	60.0
Blood glucose abnormal	20	15	5	0.36658728879853075	20	75.0
Eosinophilic granulomatosis with polyangiitis	20	2	18	-1.5904507312982035	20	10.0
Faeces soft	20	5	15	-0.33614143217916104	20	25.0
Therapeutic response shortened	20	3	17	-0.5358508830815748	20	15.0
Oral discomfort	20	8	12	-0.019138753746804193	20	40.0
Paradoxical drug reaction	20	13	7	0.4516172323478826	20	65.0
Developmental delay	20	13	7	0.04181054767056816	20	65.0
Bundle branch block right	20	16	4	0.6844446702345861	20	80.0
Red cell distribution width increased	20	4	16	-0.6589582947216315	20	20.0
Acute lymphocytic leukaemia recurrent	20	20	0	0.9153568019097188	20	100.0
Salivary hypersecretion	20	11	9	0.07855807414837243	20	55.0
Spinal compression fracture	20	2	18	-0.847548506709433	20	10.0
Skin plaque	20	5	15	-0.5093917405590731	20	25.0
Multiple allergies	20	2	18	-0.8398355806333944	20	10.0
Rash vesicular	20	14	6	0.6413381243575966	20	70.0
Blood phosphorus increased	20	4	16	-1.2461989431770824	20	20.0
Colitis ischaemic	20	7	13	-0.21144534594749106	20	35.0
Pleuritic pain	20	14	6	0.4266749635903289	20	70.0
Stent placement	19	8	11	-0.36462610218925023	19	42.1
Dementia Alzheimer's type	19	11	8	0.16298512552071565	19	57.9
Feeling of despair	19	3	16	-0.7008999108096655	19	15.8
Tardive dyskinesia	19	6	13	-0.4417880796333441	19	31.6
Hypovolaemic shock	19	12	7	0.16471244591136838	19	63.2
Nail disorder	19	11	8	0.49858291576376834	19	57.9
Physical disability	19	16	3	0.4611329688026502	19	84.2
Dry throat	19	1	18	-0.6342350668203999	19	5.3
Bundle branch block left	19	5	14	-0.39613464460068765	19	26.3
Diffuse large B-cell lymphoma	19	16	3	0.6434840188279353	19	84.2
White blood cell count abnormal	19	12	7	0.3573044742747527	19	63.2
Eye haemorrhage	19	14	5	0.6181198081343705	19	73.7
Staphylococcal sepsis	19	15	4	0.7039697457999463	19	78.9
Patent ductus arteriosus	19	13	6	0.5001584186874132	19	68.4
Cyst	19	5	14	-0.20223905270450554	19	26.3
Blood cholesterol abnormal	19	3	16	-0.7565615328258787	19	15.8
Bradypnoea	19	13	6	0.2137586245666531	19	68.4
Ulcer haemorrhage	19	15	4	1.3127764603410015	19	78.9
Pancreatic carcinoma	19	10	9	0.03430900505463966	19	52.6
Cardiac tamponade	19	16	3	0.7847844013177315	19	84.2
Injection site mass	19	9	10	-0.14552805620146744	19	47.4
Hydrocephalus	19	14	5	0.37001931053063614	19	73.7
Renal cell carcinoma	19	17	2	0.8093549440863519	19	89.5
Cardiopulmonary failure	19	17	2	0.7487177488706471	19	89.5
Skin toxicity	19	15	4	0.457122703525005	19	78.9
Blood HIV RNA increased	19	19	0	1.3974120586487608	19	100.0
Viral upper respiratory tract infection	19	6	13	-0.27162899088990167	19	31.6
Sedation complication	19	6	13	0.07984160951341171	19	31.6
Abnormal weight gain	19	17	2	1.442220962289107	19	89.5
Odynophagia	19	4	15	-0.47897976679492926	19	21.1
Obsessive-compulsive disorder	19	6	13	-0.6213259735194722	19	31.6
Disturbance in social behaviour	19	15	4	1.3571758004961147	19	78.9
Injection site urticaria	19	2	17	-0.6615180722760353	19	10.5
Onychomycosis	19	9	10	0.3318688658347173	19	47.4
Venoocclusive disease	19	17	2	0.719236234298269	19	89.5
Histiocytosis haematophagic	19	18	1	0.8741027822726011	19	94.7
Fine motor skill dysfunction	19	6	13	-0.2847440990832795	19	31.6
Substance-induced psychotic disorder	19	14	5	0.3579528683878268	19	73.7
Appetite disorder	19	15	4	0.4098902794186459	19	78.9
Depressive symptom	19	7	12	-0.5352582350171149	19	36.8
Intracranial pressure increased	18	2	16	-0.556792237093387	18	11.1
Scleroderma	18	2	16	-1.022632870172503	18	11.1
Epstein-Barr viraemia	18	16	2	0.5577452395379242	18	88.9
Cardiac operation	18	8	10	0.001257486656023315	18	44.4
Ventricular septal defect	18	11	7	0.3140632769350649	18	61.1
Cystitis haemorrhagic	18	13	5	0.39581264566214774	18	72.2
Tuberculosis	18	7	11	-0.28034350797930835	18	38.9
Congestive cardiomyopathy	18	17	1	0.8599710373207686	18	94.4
Respiratory tract congestion	18	13	5	0.7890694701295996	18	72.2
Joint effusion	18	10	8	0.2136729361087577	18	55.6
Dermatitis exfoliative generalised	18	12	6	0.3712020773001235	18	66.7
Total lung capacity decreased	18	14	4	0.7142884607799805	18	77.8
Herpes simplex	18	9	9	-0.10558333348004584	18	50.0
Cytomegalovirus chorioretinitis	18	16	2	0.8260858823298581	18	88.9
Skin infection	18	4	14	-0.4284565369762559	18	22.2
Small for dates baby	18	8	10	-0.0797280170018196	18	44.4
Hypertonia	18	10	8	0.04805447067138648	18	55.6
Visual field defect	18	4	14	-0.4755967872252332	18	22.2
Tendon rupture	18	5	13	-0.41617268678302266	18	27.8
Nerve compression	18	5	13	-0.3990207044001676	18	27.8
Escherichia sepsis	18	12	6	0.2914816043918011	18	66.7
Onychoclasis	18	1	17	-1.4794989918581698	18	5.6
Tooth abscess	18	3	15	-0.617156064039582	18	16.7
Squamous cell carcinoma	18	9	9	-0.05953126799084983	18	50.0
Large intestine polyp	18	6	12	-0.18861671877236513	18	33.3
Cerebral disorder	18	3	15	-0.6455609294769649	18	16.7
Intestinal haemorrhage	18	9	9	0.013995300163321425	18	50.0
Hospice care	18	15	3	0.4808562984327659	18	83.3
Red blood cell sedimentation rate abnormal	18	2	16	-1.2542526665343479	18	11.1
Faecaloma	18	14	4	0.4963068925494796	18	77.8
Blood parathyroid hormone decreased	18	12	6	0.506803027529256	18	66.7
Colitis microscopic	18	3	15	-0.806026093255339	18	16.7
Blood disorder	18	14	4	0.5271596007627922	18	77.8
Gangrene	18	17	1	1.4782082126037936	18	94.4
Cachexia	18	14	4	0.5667598161217171	18	77.8
Trismus	18	2	16	-0.7451282449649916	18	11.1
Pulmonary tuberculosis	18	17	1	0.8056283557070757	18	94.4
Skin fissures	18	10	8	0.07911313460095497	18	55.6
Malignant melanoma	18	16	2	0.5961699971456654	18	88.9
Failure to thrive	18	16	2	0.5817015026666235	18	88.9
Vitamin B12 deficiency	18	4	14	-0.7010250747297387	18	22.2
Cushing's syndrome	18	4	14	-0.5641504362791605	18	22.2
Diastolic dysfunction	18	2	16	-0.9745790465164084	18	11.1
Neonatal respiratory distress syndrome	18	8	10	0.027824639997394138	18	44.4
Ligament sprain	18	5	13	-0.40704865870883483	18	27.8
SARS-CoV-2 test positive	18	2	16	-0.9809577409162138	18	11.1
Viraemia	18	18	0	1.036964872872953	18	100.0
Ear discomfort	18	2	16	-0.7015227941552995	18	11.1
Snoring	18	4	14	-0.4715495261723049	18	22.2
Autoimmune hepatitis	18	5	13	-0.451283365199205	18	27.8
Throat clearing	18	15	3	0.9747664164919981	18	83.3
Groin pain	17	8	9	-0.09233981610510078	17	47.1
Wrist fracture	17	5	12	-0.5078879081799765	17	29.4
Gastric cancer	17	13	4	0.4488250838391434	17	76.5
Prescription drug used without a prescription	17	6	11	-0.23380060718520745	17	35.3
Skin atrophy	17	9	8	-0.0008288479054339617	17	52.9
Product adhesion issue	17	1	16	-0.7983716091312274	17	5.9
Nasal discomfort	17	2	15	-1.1440019156561865	17	11.8
Abdominal abscess	17	7	10	-0.1187757486867073	17	41.2
Circumstance or information capable of leading to medication error	17	8	9	-0.05544516374021712	17	47.1
Transplant rejection	17	17	0	0.985625075657282	17	100.0
Frustration tolerance decreased	17	4	13	-0.43752711194505123	17	23.5
Epstein-Barr virus infection	17	10	7	0.2508084569385299	17	58.8
Nystagmus	17	6	11	-0.24982791349964248	17	35.3
Retinal haemorrhage	17	10	7	0.1965214664824709	17	58.8
Autoimmune haemolytic anaemia	17	13	4	0.5071207719214443	17	76.5
Sensitivity to weather change	17	1	16	-0.896258440948321	17	5.9
Clonus	17	11	6	0.40757523532231654	17	64.7
Persecutory delusion	17	10	7	0.17201910633187864	17	58.8
Foreign body sensation in eyes	17	1	16	-0.6014300299356939	17	5.9
Knee operation	17	2	15	-0.6317368401099862	17	11.8
Potentiating drug interaction	17	14	3	0.4795433803369278	17	82.4
Mycobacterium avium complex infection	17	7	10	-0.2500347195268452	17	41.2
Abortion spontaneous	17	0	17	-3.705510305833915	17	0.0
Rotator cuff syndrome	17	2	15	-0.5895179101280282	17	11.8
Internal haemorrhage	17	13	4	0.42211373363096216	17	76.5
Ischaemia	17	16	1	0.8280985267334948	17	94.1
Adenovirus infection	17	15	2	0.892537523329923	17	88.2
Energy increased	17	6	11	-0.20504813930452936	17	35.3
Endophthalmitis	17	5	12	-0.4398601577162486	17	29.4
Diverticulum	17	2	15	-0.595441991876909	17	11.8
Oral disorder	17	4	13	-0.6419836632721899	17	23.5
Non-Hodgkin's lymphoma	17	15	2	0.9444909225374557	17	88.2
Inflammatory marker increased	17	3	14	-0.6192741535722962	17	17.6
Bruxism	17	2	15	-0.9064754591414259	17	11.8
Hodgkin's disease	17	12	5	0.5575244841601974	17	70.6
Cholecystitis acute	17	8	9	-0.050338818452019526	17	47.1
Hyperphosphataemia	17	9	8	-0.374166875487329	17	52.9
Escherichia urinary tract infection	17	3	14	-0.5650885285119341	17	17.6
Pharyngitis streptococcal	17	0	17	-0.8477866308156727	17	0.0
Dyspnoea at rest	17	2	15	-0.6844092167045481	17	11.8
Alanine aminotransferase abnormal	17	1	16	-1.1671472189646603	17	5.9
Abnormal loss of weight	16	12	4	0.6389734512763676	16	75.0
Exposure via breast milk	16	3	13	-0.572782599742329	16	18.8
Immunosuppression	16	0	16	-0.7579164704159856	16	0.0
Thermal burn	16	5	11	-0.1996742100758592	16	31.2
Fistula	16	8	8	0.06883558605390097	16	50.0
Iron deficiency anaemia	16	6	10	-0.17787603764877352	16	37.5
Peripheral ischaemia	16	14	2	0.5851301158151959	16	87.5
Proctalgia	16	5	11	-0.3417800013775137	16	31.2
Acute myeloid leukaemia recurrent	16	9	7	0.08398402251450403	16	56.2
Enthesopathy	16	3	13	-0.7625597996986786	16	18.8
Sleep terror	16	10	6	0.16635064854706128	16	62.5
Neurological decompensation	16	12	4	0.45160276990868015	16	75.0
Herpes virus infection	16	0	16	-0.8124429660073749	16	0.0
Incorrect route of drug administration	16	1	15	-0.7101969804760572	16	6.2
Pigmentation disorder	16	7	9	-0.20034601829657994	16	43.8
Neutrophilia	16	14	2	0.913854105429728	16	87.5
Ventricular hypokinesia	16	6	10	-0.37699873120969024	16	37.5
Protein urine present	16	15	1	0.8246942414090168	16	93.8
Granuloma skin	16	10	6	0.370633644635136	16	62.5
Injection site warmth	16	0	16	-1.08720683663119	16	0.0
Lower gastrointestinal haemorrhage	16	14	2	0.6310528639115944	16	87.5
Blood immunoglobulin E increased	16	8	8	0.2199487954060906	16	50.0
Hepatic lesion	16	6	10	-0.3362067911797211	16	37.5
Body height decreased	16	6	10	-0.3044011196215398	16	37.5
Furuncle	16	5	11	-0.32980029376206477	16	31.2
Exposure during breast feeding	16	1	15	-1.1299570273687276	16	6.2
Polyarthritis	16	8	8	-0.04413687214033085	16	50.0
Product dose omission in error	16	1	15	-0.6632941270127755	16	6.2
Hypomania	16	7	9	0.3434208288342777	16	43.8
Formication	16	1	15	-0.6998050398983298	16	6.2
Poor quality product administered	16	5	11	-0.24534431282544045	16	31.2
Red blood cell sedimentation rate	16	2	14	-0.9950793119518048	16	12.5
Exposure during pregnancy	16	2	14	-1.0862355693908923	16	12.5
Defaecation urgency	16	5	11	-0.39162586669670735	16	31.2
Infarction	16	10	6	0.1514449450924533	16	62.5
Functional gastrointestinal disorder	16	6	10	-0.10930816310224417	16	37.5
Abdominal tenderness	16	8	8	-0.05874040048840229	16	50.0
Mycobacterial infection	16	6	10	-0.4167889257596236	16	37.5
Hand fracture	16	4	12	-0.43879629153716115	16	25.0
Crepitations	16	9	7	0.07659873892201165	16	56.2
Economic problem	16	16	0	0.90911007566753	16	100.0
Stress cardiomyopathy	16	4	12	-0.6104986483044997	16	25.0
Anti-cyclic citrullinated peptide antibody positive	16	12	4	0.27248472885604036	16	75.0
Vitamin D decreased	16	3	13	-0.8472847162417717	16	18.8
Spinal disorder	16	5	11	-0.2911055970709402	16	31.2
Panic reaction	16	0	16	-1.0009224787359452	16	0.0
Coeliac disease	16	4	12	-0.13914606754240688	16	25.0
Joint arthroplasty	16	0	16	-1.5427789051461342	16	0.0
Eye inflammation	16	3	13	-0.502008312227192	16	18.8
Cushingoid	15	8	7	-0.09162035548305496	15	53.3
Neutropenic colitis	15	11	4	0.47852487134028393	15	73.3
Muscle strain	15	2	13	-0.8075602326172657	15	13.3
Haemarthrosis	15	15	0	2.25428098652759	15	100.0
Hepatic fibrosis	15	2	13	-0.8978087453879051	15	13.3
Initial insomnia	15	4	11	-0.5046500098136917	15	26.7
Atrioventricular block first degree	15	9	6	0.15548782496324579	15	60.0
Osteolysis	15	8	7	-0.44843945429242865	15	53.3
Mouth swelling	15	1	14	-0.7908090699426211	15	6.7
Necrosis	15	11	4	0.3625906126434259	15	73.3
Anxiety disorder	15	2	13	-0.6347362399355129	15	13.3
Long QT syndrome	15	5	10	-0.2163210228664985	15	33.3
Pneumonia viral	15	6	9	0.09537830948461178	15	40.0
Tension	15	4	11	-0.4902511318010213	15	26.7
Hyperpyrexia	15	14	1	0.8928460614202667	15	93.3
Blood pressure diastolic increased	15	4	11	-0.41278405413444497	15	26.7
Infusion site pain	15	4	11	-0.35479126329521443	15	26.7
Bone loss	15	15	0	1.3747734390668207	15	100.0
Tension headache	15	0	15	-0.9072983210605172	15	0.0
Pulmonary function test decreased	15	3	12	-0.8672800492585504	15	20.0
Overweight	15	9	6	-0.0012610622757875205	15	60.0
Extrasystoles	15	1	14	-0.7297734810582962	15	6.7
Coronavirus infection	15	4	11	-0.4877240647649713	15	26.7
Haemoglobin abnormal	15	12	3	0.42918760273468226	15	80.0
Rash pustular	15	3	12	-0.5972091013328708	15	20.0
Polyomavirus viraemia	15	14	1	0.898206270148677	15	93.3
Hepatic enzyme abnormal	15	6	9	-0.27582142130948567	15	40.0
Lipodystrophy acquired	15	1	14	-1.080280927763208	15	6.7
Urinary tract disorder	15	7	8	-0.33688612974797505	15	46.7
Arthritis bacterial	15	7	8	-0.17976084066090034	15	46.7
Decreased interest	15	0	15	-0.8250281056181413	15	0.0
Application site pain	15	8	7	-0.03576758572254366	15	53.3
Leukoencephalopathy	15	10	5	0.3657957768771141	15	66.7
Granuloma	15	9	6	0.1981496951545168	15	60.0
Self-medication	15	8	7	0.11578642141221535	15	53.3
Trigeminal neuralgia	15	0	15	-0.9012765370481051	15	0.0
Hepatitis B	15	9	6	0.14913644242450175	15	60.0
Increased bronchial secretion	15	6	9	-0.15315160798047742	15	40.0
Stem cell transplant	15	13	2	0.5528956478062859	15	86.7
Muscle haemorrhage	15	15	0	1.3081961161520965	15	100.0
Concomitant disease aggravated	15	5	10	-0.3017943966422129	15	33.3
Acute lymphocytic leukaemia	15	12	3	0.5991620997473128	15	80.0
Escherichia bacteraemia	15	15	0	0.843441855555732	15	100.0
Joint lock	15	0	15	-1.5548705381257728	15	0.0
Leukaemia recurrent	15	14	1	0.8064236612106134	15	93.3
Colon cancer	15	12	3	0.46271932803031024	15	80.0
Hallucinations, mixed	15	14	1	1.0046126914759657	15	93.3
Concussion	15	4	11	-0.483344999439703	15	26.7
Apparent death	15	2	13	-2.9943253480448933	15	13.3
Nasal disorder	15	1	14	-0.9370321636770136	15	6.7
Obstruction	15	3	12	-0.920858744978562	15	20.0
Tearfulness	15	1	14	-1.3511838069030502	15	6.7
Device issue	15	4	11	-0.3802010543501415	15	26.7
Kaposi's sarcoma	15	13	2	0.8574007550931497	15	86.7
Orthopnoea	15	8	7	0.20518854641696516	15	53.3
Malabsorption	14	3	11	-0.5014535632251919	14	21.4
Metastases to peritoneum	14	6	8	-0.19152255863413545	14	42.9
Cerebral ischaemia	14	11	3	0.4245450306690805	14	78.6
Dizziness postural	14	6	8	0.09028642089868824	14	42.9
Pseudomonal sepsis	14	14	0	1.135108834321137	14	100.0
Hiccups	14	12	2	0.5438803984788891	14	85.7
Non-small cell lung cancer	14	11	3	0.3943085644385264	14	78.6
Catatonia	14	8	6	0.39730528873434434	14	57.1
Fusarium infection	14	11	3	0.7532149925081494	14	78.6
Rheumatoid factor positive	14	12	2	0.7940907551647133	14	85.7
Personality disorder	14	6	8	-0.048643063223517156	14	42.9
Gastrointestinal perforation	14	11	3	0.43869547512450363	14	78.6
Fungaemia	14	13	1	1.002734890721645	14	92.9
Caesarean section	14	1	13	-1.2965393781970158	14	7.1
Liver abscess	14	7	7	0.17379627936254322	14	50.0
Monocyte count increased	14	11	3	0.6840777333258081	14	78.6
Logorrhoea	14	5	9	-0.24857383580372355	14	35.7
Disseminated tuberculosis	14	11	3	0.4809888475868113	14	78.6
Seronegative arthritis	14	12	2	1.0972318738429654	14	85.7
Dermatomyositis	14	6	8	-0.20611522871711854	14	42.9
Metastatic neoplasm	14	10	4	0.3802326800517443	14	71.4
Type 1 diabetes mellitus	14	11	3	0.5749500802915014	14	78.6
B-cell lymphoma	14	8	6	0.14854674793145314	14	57.1
Blood pressure systolic decreased	14	11	3	0.5451162150554975	14	78.6
Device occlusion	14	8	6	0.1124011441349043	14	57.1
Gastrointestinal inflammation	14	3	11	-0.5246491484701817	14	21.4
Large intestinal ulcer	14	4	10	-0.38412070424891276	14	28.6
Activated partial thromboplastin time prolonged	14	6	8	-0.25823658009686584	14	42.9
Pulmonary function test abnormal	14	5	9	-0.7597365225715966	14	35.7
Product packaging quantity issue	14	7	7	-0.2415172219049949	14	50.0
Peroneal nerve palsy	14	0	14	-0.9695948613246436	14	0.0
Bacterial sepsis	14	14	0	1.087727298060945	14	100.0
Dysphoria	14	2	12	-0.5896750089124527	14	14.3
Deafness neurosensory	14	8	6	0.32522427665821524	14	57.1
Chronic myeloid leukaemia	14	13	1	0.7240285760424072	14	92.9
Growth retardation	14	11	3	0.6431161258038323	14	78.6
Urine abnormality	14	4	10	-0.19126271067005485	14	28.6
Incorrect product storage	14	4	10	-0.3051871664866784	14	28.6
Muscle disorder	14	6	8	-0.14511441958341628	14	42.9
Drug tolerance decreased	14	9	5	0.3439951838089758	14	64.3
Polyomavirus-associated nephropathy	14	11	3	0.6552919393511478	14	78.6
Cheilitis	14	5	9	-0.2836806743079669	14	35.7
Streptococcal infection	14	0	14	-0.9155849418273737	14	0.0
Meningitis cryptococcal	14	13	1	0.6860944351737979	14	92.9
Product container issue	14	2	12	-0.4690640598625992	14	14.3
Granulocytopenia	14	14	0	1.042822577580768	14	100.0
JC virus infection	14	6	8	-0.023947023894146633	14	42.9
Ototoxicity	14	10	4	0.36587238927069393	14	71.4
Scratch	14	4	10	-0.33928502088551377	14	28.6
Schizoaffective disorder	14	8	6	0.21575095336935673	14	57.1
Wound dehiscence	14	6	8	-0.16940986554270862	14	42.9
Coma scale abnormal	14	8	6	0.07718502567027419	14	57.1
Transplant dysfunction	14	9	5	0.9561730658918481	14	64.3
Psychomotor retardation	14	10	4	0.3629483277786502	14	71.4
Radiculopathy	13	8	5	0.6983707142906195	13	61.5
Obstructive sleep apnoea syndrome	13	3	10	-0.5298830430579144	13	23.1
Ear pruritus	13	3	10	-0.672244907990517	13	23.1
Multiple drug therapy	13	7	6	0.10515062420742931	13	53.8
Learning disability	13	11	2	0.3876939814958356	13	84.6
Papule	13	2	11	-0.44361256959408946	13	15.4
Drug specific antibody present	13	2	11	-1.4447718088106503	13	15.4
Stenotrophomonas infection	13	11	2	0.6894457943827578	13	84.6
Impulsive behaviour	13	10	3	0.43399974583493434	13	76.9
Hyperkeratosis	13	9	4	0.337440994035204	13	69.2
Adenocarcinoma of colon	13	10	3	0.3436807105967586	13	76.9
Arthritis infective	13	2	11	-0.5129827170530645	13	15.4
BK virus infection	13	10	3	0.5609186921213966	13	76.9
Fluid intake reduced	13	9	4	0.3415227652382865	13	69.2
Dysgraphia	13	0	13	-0.7980058759093271	13	0.0
Clumsiness	13	0	13	-0.8150208286446943	13	0.0
Tendon disorder	13	3	10	-0.6888381639863211	13	23.1
Brain abscess	13	12	1	0.7763997710377603	13	92.3
Recurrent cancer	13	3	10	-0.3951020902133484	13	23.1
Chronic lymphocytic leukaemia	13	11	2	0.4961060586138891	13	84.6
Mite allergy	13	1	12	-1.382996354697355	13	7.7
Pulse absent	13	9	4	0.2798138875582286	13	69.2
Haemodialysis	13	13	0	0.8731651249368746	13	100.0
Chondropathy	13	0	13	-1.5977891241857347	13	0.0
Sluggishness	13	5	8	-0.1332789277691946	13	38.5
Retinal detachment	13	5	8	-0.1306700515126928	13	38.5
Cholestatic liver injury	13	9	4	0.2840268113375133	13	69.2
Peripheral arterial occlusive disease	13	10	3	0.31003324467926086	13	76.9
Hidradenitis	13	2	11	-0.8177892117683542	13	15.4
Meningitis aseptic	13	2	11	-0.61725797853008	13	15.4
Meningitis	13	11	2	0.5633200816164463	13	84.6
Therapeutic product ineffective	13	1	12	-0.6349270818065824	13	7.7
Polydipsia	13	10	3	0.40356757817801847	13	76.9
Lung consolidation	13	9	4	0.16307056743953766	13	69.2
Cytomegalovirus colitis	13	11	2	0.5856789764648483	13	84.6
Gene mutation	13	10	3	0.7256991209638566	13	76.9
Angiopathy	13	6	7	-0.1682146763419629	13	46.2
Guillain-Barre syndrome	13	7	6	0.13742581979071503	13	53.8
Necrotising fasciitis	13	8	5	0.37588515426005525	13	61.5
Hypoventilation	13	7	6	0.13418138077358424	13	53.8
Diverticulum intestinal	13	8	5	0.25884043764361386	13	61.5
Cerebral atrophy	13	6	7	-0.025769128600218884	13	46.2
Periorbital oedema	13	3	10	-0.4185571991178545	13	23.1
Spinal fusion surgery	13	8	5	0.3040180673411258	13	61.5
Metastases to meninges	13	11	2	0.6027729460479617	13	84.6
Platelet count abnormal	13	6	7	0.009559582951811833	13	46.2
Dissociation	13	2	11	-0.8248634091022105	13	15.4
Petit mal epilepsy	13	8	5	0.2627904475021338	13	61.5
Clostridium test positive	13	6	7	-0.07080847363759564	13	46.2
Inguinal hernia	13	13	0	1.6764098874414848	13	100.0
Hypercapnia	13	11	2	0.603676628402401	13	84.6
Amylase increased	13	9	4	0.354255944789709	13	69.2
Cancer pain	13	10	3	0.3368288050336545	13	76.9
Capillary leak syndrome	13	13	0	0.7390385003626545	13	100.0
Autism spectrum disorder	13	12	1	0.8228133721781854	13	92.3
Aortic valve incompetence	13	5	8	-0.2007926943864572	13	38.5
Injection site induration	13	1	12	-0.6572083077519257	13	7.7
Product packaging issue	13	2	11	-0.38596737857499525	13	15.4
Raynaud's phenomenon	13	4	9	-0.6432724993039909	13	30.8
Postoperative wound infection	13	2	11	-0.581808229100804	13	15.4
Blood pressure diastolic decreased	13	7	6	0.059974554087473556	13	53.8
Gastrointestinal toxicity	13	11	2	0.5834865846891643	13	84.6
Transplant failure	12	8	4	0.29063459394773644	12	66.7
Vasoplegia syndrome	12	5	7	-0.2231806368544809	12	41.7
Systemic infection	12	10	2	0.7368674262429639	12	83.3
N-terminal prohormone brain natriuretic peptide increased	12	8	4	0.2002782562011668	12	66.7
Coronary artery stenosis	12	11	1	1.0771750697693456	12	91.7
Aortic arteriosclerosis	12	7	5	0.14052285677070725	12	58.3
Poor venous access	12	7	5	0.20538268154295022	12	58.3
Onychomadesis	12	6	6	0.40857816063309754	12	50.0
Immobile	12	4	8	-0.2623201144094404	12	33.3
Product administered at inappropriate site	12	4	8	-0.33458499273288766	12	33.3
Micturition disorder	12	6	6	0.11637847872750251	12	50.0
Iridocyclitis	12	6	6	-0.052541598005700824	12	50.0
Social avoidant behaviour	12	4	8	-0.28441529874978744	12	33.3
Thyroid cancer	12	2	10	-0.9667879377557068	12	16.7
Shoulder operation	12	0	12	-0.9864270918197308	12	0.0
Bone marrow disorder	12	8	4	0.5596653977522122	12	66.7
Product monitoring error	12	9	3	0.31423713295882855	12	75.0
Viral haemorrhagic cystitis	12	10	2	0.7951351482763879	12	83.3
Incoherent	12	8	4	0.16378084021869838	12	66.7
Hyperlactacidaemia	12	9	3	0.5043360489341372	12	75.0
Portal hypertension	12	9	3	0.44341062187244745	12	75.0
Jaundice cholestatic	12	9	3	0.643509348901994	12	75.0
Blood prolactin abnormal	12	12	0	1.347518542067048	12	100.0
Meniscus injury	12	0	12	-0.8192482009450829	12	0.0
Hypoxic-ischaemic encephalopathy	12	9	3	0.33949977567360273	12	75.0
Respiratory tract infection viral	12	3	9	-0.42687834372167766	12	25.0
Electrocardiogram ST segment elevation	12	9	3	0.4798699558155953	12	75.0
Imprisonment	12	12	0	0.8461998534589107	12	100.0
Meningioma	12	1	11	-1.3223367655292175	12	8.3
Fluid overload	12	7	5	0.3286177512890664	12	58.3
Metastases to spine	12	9	3	0.4490020695084822	12	75.0
Tachyphrenia	12	4	8	-0.31016617934580576	12	33.3
Inflammatory bowel disease	12	5	7	-0.2594153925645061	12	41.7
Non-Hodgkin's lymphoma recurrent	12	12	0	0.9947618932623762	12	100.0
Therapy change	12	3	9	-0.28263124905337417	12	25.0
Azotaemia	12	10	2	0.6329584047243608	12	83.3
Diffuse large B-cell lymphoma refractory	12	10	2	0.734069152507241	12	83.3
Subileus	12	9	3	0.4491004503113609	12	75.0
Drug dispensing error	12	8	4	0.34892604357599133	12	66.7
