drug_name	pt	ror_female	ror_male	log_ror_ratio	a_female	a_male
PERTUZUMAB	Carbohydrate antigen 15-3 increased	7.607168420304866	12219.66870647816	-7.38171110565101	11	10
ETONOGESTREL	Foetal exposure during pregnancy	0.2553047318332067	170.6221982296435	-6.504749165675264	31	40
HYDROXYPROGESTERONE CAPROATE	Abortion spontaneous	2.6102630016428665	1693.1654970760235	-6.474904147921193	104	12
CARBIDOPA\LEVODOPA	Embedded device	5.6409891808711885	3495.578248435031	-6.429194654367729	171	548
CARBIDOPA\LEVODOPA	Device expulsion	0.2312120591182074	140.4106331731722	-6.408991208303988	48	79
ETONOGESTREL	Premature baby	0.4572751792692617	262.57952042628773	-6.353023897595474	19	23
MINOXIDIL	Adverse drug reaction	0.1896089423854112	106.34393299735261	-6.32947001830277	22	8466
ETONOGESTREL	Injury associated with device	0.5496397497198581	290.4763402401609	-6.2700143438902485	42	15
ETHINYL ESTRADIOL\ETONOGESTREL	Medical device discomfort	25.723673544954714	9469.510068846816	-5.908420732255202	113	19
TRASTUZUMAB	Carbohydrate antigen 15-3 increased	6.69280065994207	2350.3857711361975	-5.861302331285491	21	10
HYDROXYPROGESTERONE CAPROATE	Stillbirth	20.347408798750962	5125.496459439759	-5.529029097425069	70	51
PERTUZUMAB	Incorrect dose administered	0.03999463806326	9.796832405072973	-5.501068991728246	10	68
HISTRELIN ACETATE	Device expulsion	6.731097106223123	1592.7252475247524	-5.466463672519766	21	11
PERTUZUMAB	Oligohydramnios	4.211871469870022	914.845392658126	-5.380848002645392	19	11
ETONOGESTREL	Accidental exposure to product	0.11992518035153708	24.45425444907489	-5.317691434606455	39	10
ETHINYL ESTRADIOL\LEVONORGESTREL	Foetal exposure during pregnancy	0.5121867913749176	103.38376868288577	-5.30751386733639	12	23
ETHINYL ESTRADIOL\LEVONORGESTREL	Maternal exposure during pregnancy	2.0909520009464897	413.69826502029383	-5.28751741453534	163	10
DROSPIRENONE\ETHINYL ESTRADIOL	Foetal exposure during pregnancy	0.3759715301309256	69.83727969362933	-5.224409816419222	10	13
TAMOXIFEN	Carbohydrate antigen 15-3 increased	64.52237888211612	11868.991596638656	-5.214672407009161	55	10
FOLATE SODIUM	Abortion spontaneous	9.067175972791691	1567.6624027072758	-5.152680016807321	60	12
LABETALOL\LABETALOL HYDROCHLORIDE	Abortion spontaneous	4.253402563105407	730.829797979798	-5.146461332430405	77	17
BIOTIN	Sensation of foreign body	0.9186083955826166	156.92500939739585	-5.140663411679158	11	88
DENOSUMAB	Peri-implantitis	16.556560460150084	2810.7672798216277	-5.13443035267045	13	14
DESOXIMETASONE	Onychoclasis	1.7261864636764055	258.78663667487194	-5.010089306486866	11	79
FEZOLINETANT	Intentional product use issue	1.7240547915131177	247.83795633615742	-4.968096177378	10	10
RIZATRIPTAN BENZOATE	Nightmare	1.5102938551002345	209.74432335339873	-4.933585043191527	15	264
DROSPIRENONE\ETHINYL ESTRADIOL	Atrial septal defect	3.7798368543730723	502.965830010165	-4.890841386925569	12	10
TADALAFIL	Blood cholesterol increased	0.12185530140381588	16.16760496821392	-4.887930539096812	14	788
ESTRIOL	Alopecia	9.07094970193036	1172.5743239897397	-4.861879920955309	187	123
RIZATRIPTAN BENZOATE	Sedation	1.959681445594883	243.5393078316876	-4.822496425685715	14	263
DIHYDROERGOTAMINE MESYLATE	Hyperhidrosis	3.7154164696984022	453.2891800581686	-4.804039511603023	13	201
BIOTIN	Plantar fasciitis	2.5268479325268096	293.33302771478685	-4.754335927403694	12	87
ESTRIOL	Migraine	19.541130140293923	2250.383419032445	-4.7463344069253806	182	129
BACLOFEN	Implant site scar	8.76371658137199	939.538851050173	-4.674769088646882	26	32
LEVONORGESTREL	Low birth weight baby	0.4179293525683004	43.968784893998205	-4.655922821659587	18	14
RISPERIDONE	Abnormal weight gain	13.632821677351856	1432.587028338256	-4.654756955612396	76	9361
FEZOLINETANT	Off label use	1.1017635646822521	113.47736492550709	-4.634691252457648	71	16
ETHINYL ESTRADIOL\ETONOGESTREL	Medical device site discomfort	204.3893522079595	19603.540618955514	-4.5634387086721215	159	14
FLIBANSERIN	Product use issue	1.270112415460528	121.7423478977941	-4.562801496381521	23	28
DEXAMETHASONE	Complication of device insertion	0.35244921894162584	30.708884995864565	-4.46740075311469	71	70
ABATACEPT	Apparent death	1.2148799351979975	104.78885875978698	-4.457302203549129	22	283
LOPINAVIR	Abortion spontaneous	29.193076678653316	2472.8555124223603	-4.439197258666888	25	11
ETANERCEPT	Breast feeding	0.5473647095339561	46.322208628079075	-4.43826146778256	13	11
DIMETHYL FUMARATE	Needle fatigue	3.6536918192258327	306.22274713988145	-4.428574655229938	10	70
HYDROXYPROGESTERONE CAPROATE	Premature baby	82.90454084927697	6748.187503970339	-4.399339394216273	722	808
BIOTIN	Obstructive airways disorder	0.7152991582972787	57.91840314942986	-4.3940895983448955	10	94
NITROFURANTOIN\NITROFURANTOIN MONOHYDRATE	Maternal exposure during pregnancy	0.8302768649842636	65.86358568275422	-4.373581781024235	29	12
DEXLANSOPRAZOLE	Device dislocation	0.18767766909119218	14.397833452283164	-4.340107054304883	13	74
BUDESONIDE	Mycotic allergy	9.65640701397423	735.1084501670272	-4.332396405263212	14	249
NITROFURANTOIN	Systemic lupus erythematosus	0.9924829309516716	75.5254825700526	-4.332015581395166	39	70
PERTUZUMAB	SARS-CoV-2 test positive	1.2409134182820982	94.33354857138401	-4.330989154561157	22	46
LEVONORGESTREL	Premature baby	0.38848921667283925	29.072331840524217	-4.315276791897592	44	26
ESTRADIOL	Premature baby	0.2588935104309415	19.36747507424151	-4.314933575002099	13	21
DOCETAXEL	Carbohydrate antigen 15-3 increased	6.841378802092055	508.0974081959425	-4.307683887040998	23	10
ESTRIOL	Facial pain	212.39973262032086	15590.38833208676	-4.295939840274143	160	126
ESTRIOL	Pericarditis	116.5732273727104	8428.674059139785	-4.280875113583432	158	130
LEVONORGESTREL	Foetal exposure during pregnancy	0.15969673202801615	11.434836041429222	-4.271143176226237	53	35
PROGESTERONE	Maternal exposure before pregnancy	6.0956307724483585	434.78364680707284	-4.2672762959745585	64	12
RISPERIDONE	Emotional disorder	1.7533528956193989	122.08280378877319	-4.243169638870754	69	5761
ALMOTRIPTAN MALATE	Hyperhidrosis	5.496891247486959	378.1612767683649	-4.231138058036892	20	199
ESTRADIOL	Foetal exposure during pregnancy	0.18412024756108866	12.316209382581064	-4.203082446247063	27	45
FESOTERODINE FUMARATE	Systemic lupus erythematosus	1.328586129183144	85.47817264528456	-4.164145736632831	19	68
ALENDRONATE SODIUM	Respiratory symptom	2.6670439116011178	170.35362482380677	-4.156905712707859	19	179
ESTRIOL	Cardiospasm	11525.648477263247	735955.1612903225	-4.156594340405718	158	130
BIOTIN	Obstructive sleep apnoea syndrome	6.309855018679907	401.1733966745843	-4.1522810446520895	10	77
CICLESONIDE	Dust allergy	32.72679221760965	2077.933682520909	-4.150935180755578	10	255
ZIDOVUDINE	Abortion spontaneous	7.119747368155347	449.56047982828983	-4.145398151184466	58	11
ESTRIOL	Pain of skin	60.25729988642269	3796.876156283675	-4.1433102185264685	161	123
ALBUTEROL	Mycotic allergy	4.8069032629267365	298.5686847260146	-4.128946941448242	15	235
MEDROXYPROGESTERONE ACETATE	Blood creatinine increased	0.4749549190600654	29.3370385719407	-4.123386219478999	12	28
CYANOCOBALAMIN	Abortion spontaneous	0.5180587790543751	31.575006292222813	-4.11003243759746	139	11
LEFLUNOMIDE	Apparent death	2.2056034993190834	134.41775108837828	-4.1099513286308875	27	298
CUPRIC OXIDE\FOLIC ACID\NIACIN\ZINC OXIDE	Fall	3.7332902560655135	220.98641009756852	-4.080811255843322	10	13
ESTRIOL	Anxiety	8.52460134986436	503.15459787556904	-4.077941214921262	179	136
PALBOCICLIB	Hydrocephalus	0.5900575594099831	34.774954486189635	-4.0764326175191705	10	22
MEDROXYPROGESTERONE ACETATE	Coma	0.5650140005040027	32.96103854614493	-4.066230982322846	13	20
CUPRIC OXIDE\FOLIC ACID\NIACIN\ZINC OXIDE	Dizziness	2.802801766457659	162.28041042643193	-4.058706219698683	11	13
COPPER	Dyspareunia	73.39955866331103	4223.712074157726	-4.052551735959944	657	31
GOLD SODIUM THIOMALATE	Pulmonary thrombosis	10.398549858920576	597.1447513723892	-4.050493188830294	22	155
GOLD SODIUM THIOMALATE	Apparent death	31.976968859346954	1830.0990455531453	-4.047109447094665	21	153
SODIUM FERRIC GLUCONATE COMPLEX	Constipation	1.0179130401638068	57.69345055686595	-4.037389166281256	11	195
ESTRIOL	Palpitations	20.793016745729755	1167.2057705614166	-4.027750744173943	196	128
CICLESONIDE	Mite allergy	81.88672249010808	4573.552390243903	-4.022708651047545	13	243
ESTRIOL	Feeling abnormal	9.49678427711951	528.2832209498343	-4.01867929904942	184	133
GOLD SODIUM THIOMALATE	Pulmonary embolism	1.520786514819852	83.98471338878277	-4.0114071538247895	22	160
HYDROXYCHLOROQUINE SULFATE	Apparent death	2.3506402802772066	129.3555143138938	-4.007876787939223	26	224
INFLUENZA A VIRUS A/CALIFORNIA/7/2009 (H1N1) LIVE(ATTENUATED) ANTIGEN\INFLUENZA A VIRUS A/TEXAS/50/2012 (H3N2) LIVE (ATTENUATED) ANTIGEN\INFLUENZA B VIRUS B/BRISBANE/60/2008 LIVE(ATTENUATED) ANTIGEN\INFLUENZA B VIRUS B/MASSACHUSETTS/2/2012 LIVE (ATTENUATED) ANTIGEN	Productive cough	30.86580040623651	1663.2310792893131	-3.9868686348131632	10	38
MEDROXYPROGESTERONE ACETATE	Mental status changes	1.1353580382260036	61.13379390405279	-3.98611675162777	13	22
BUDESONIDE	Mite allergy	13.297138754056766	714.1425780460188	-3.9835337507347153	11	245
