pt	n_drugs	n_signals	mean_bias	median_bias	n_strong	n_f_biased	n_m_biased	max_bias
5-hydroxyindolacetic acid increased	1	1	-0.8311260510803499	-0.8311260510803499	1	0	1	0.8311260510803499
ADAMTS13 activity abnormal	1	1	-0.5709980487266832	-0.5709980487266832	1	0	1	0.5709980487266832
Abasia	65	65	-0.2741432172820345	-0.5578486752777636	65	21	44	1.4805585082902715
Abdominal abscess	28	28	-0.03748167514836244	0.014635862213082995	28	14	14	1.3754989740261014
Abdominal adhesions	16	16	0.03635112910346945	0.562474008652676	16	9	7	1.3976425822746301
Abdominal cavity drainage	1	1	0.7756200095014504	0.7756200095014504	1	1	0	0.7756200095014504
Abdominal compartment syndrome	5	5	0.7573965915007298	0.7400376761019383	5	5	0	1.0245657388458367
Abdominal discomfort	327	327	0.32453567513357456	0.5458302983008704	327	182	145	4.31175359837928
Abdominal distension	250	250	-0.429181821131245	-0.6651993712878171	250	81	169	3.024733367552856
Abdominal hernia	37	37	0.24958378811582152	0.5929950291148472	37	26	11	1.8041764281623238
Abdominal infection	12	12	0.023972995815962	0.01177585318062907	12	6	6	0.9705778769116375
Abdominal lymphadenopathy	4	4	-0.0003547912083003424	0.08008898329896863	4	2	2	0.8815312426615634
Abdominal mass	27	27	-0.4709253730342142	-0.5826711324171574	27	7	20	1.391209378500629
Abdominal neoplasm	3	3	-0.9473502590875239	-0.9168748363547538	3	0	3	1.0823454513002757
Abdominal operation	2	2	-0.7507934734919066	-0.7507934734919066	2	0	2	0.8169630975186741
Abdominal pain	331	331	-0.015050059785566915	0.5139756277532362	331	170	161	3.0797930894673864
Abdominal pain lower	219	219	-0.8846717810715636	-0.8385909195132796	219	5	214	1.915949983508089
Abdominal pain upper	305	305	0.32560669050403396	0.6162324117046619	305	187	118	3.1217040898722415
Abdominal rigidity	12	12	-0.7069039142948293	-0.7187401795716128	12	1	11	1.3965035283414557
Abdominal sepsis	4	4	0.11193227593399471	0.015479452980097452	4	2	2	0.9718367194681576
Abdominal symptom	1	1	-0.985577874164558	-0.985577874164558	1	0	1	0.985577874164558
Abdominal tenderness	46	46	-0.07143958546777808	-0.5248655147526122	46	21	25	1.4561768121027139
Abdominal wall abscess	4	4	-0.3171782450438878	-0.6071533405424547	4	1	3	0.8690609766446312
Abdominal wall haematoma	17	17	0.27665223826104834	0.6056614541715611	17	12	5	1.0014212006302223
Abdominal wall haemorrhage	1	1	0.6407589623707683	0.6407589623707683	1	1	0	0.6407589623707683
Abnormal behaviour	107	107	0.4024043135466439	0.6076256327867052	107	79	28	2.438249935361262
Abnormal clotting factor	1	1	-0.5192072778980978	-0.5192072778980978	1	0	1	0.5192072778980978
Abnormal dreams	62	62	0.0984006103003912	0.5350053777923546	62	34	28	1.4391272088221532
Abnormal faeces	39	39	0.2547584252449706	0.5733433476324984	39	26	13	1.6210002036956679
Abnormal loss of weight	41	41	0.10701065602543565	0.5005891130344023	41	21	20	1.6163401540938405
Abnormal sensation in eye	10	10	-0.7855131476913002	-0.8870101426806489	10	1	9	1.4685987783939518
Abnormal sleep-related event	5	5	-0.9371243562609003	-0.9412461246319035	5	0	5	1.2673673297527794
Abnormal weight gain	58	58	2.062747384227539	2.179747155373885	58	57	1	4.654756955612396
Abortion spontaneous	17	17	-3.4814657701884193	-3.4332407738664723	17	0	17	6.474904147921193
Abscess	92	92	0.36032052681605087	0.6132021585169537	92	69	23	2.669792212338322
Abscess bacterial	1	1	-0.7848591543739396	-0.7848591543739396	1	0	1	0.7848591543739396
Abscess drainage	1	1	-0.5910515412010443	-0.5910515412010443	1	0	1	0.5910515412010443
Abscess intestinal	8	8	-0.36486436385082266	-0.5635340858941679	8	2	6	0.8816996307706472
Abscess jaw	6	6	-0.6717339325696011	-0.6249957664380461	6	0	6	0.8661247533612164
Abscess limb	32	32	0.3576833589584433	0.6665750597889446	32	23	9	1.3247007704482643
Abscess neck	1	1	1.6389508257590797	1.6389508257590797	1	1	0	1.6389508257590797
Abscess oral	12	12	-0.8846432045788982	-0.7825195889341858	12	0	12	1.3480622305094663
Abulia	9	9	-0.4421350704452603	-0.8345155397309592	9	2	7	1.1067433078331887
Acanthamoeba infection	1	1	0.6450860483716224	0.6450860483716224	1	1	0	0.6450860483716224
Acarodermatitis	2	2	0.5561573444772836	0.5561573444772836	2	2	0	0.5730353225804105
Accelerated hypertension	1	1	-0.6094882565716926	-0.6094882565716926	1	0	1	0.6094882565716926
Accident	63	63	-0.06573941954772512	-0.5065616395200692	63	31	32	1.8391664154090335
Accident at work	13	13	0.29491693689585896	0.6395257496216789	13	9	4	1.031949908582534
Accidental death	22	22	0.44947956476998246	0.6439105093958342	22	15	7	1.9108757813256723
Accidental exposure to product	92	92	-0.30745471195965435	-0.5610388784821665	92	30	62	5.317691434606455
Accidental exposure to product by child	19	19	0.3407394492301397	0.6624954013920722	19	12	7	3.1904926901259847
Accidental overdose	118	118	0.035254257216460444	0.5414703357132153	118	68	50	3.3507147745088504
Accidental poisoning	9	9	0.04867770622444708	0.6604505508492785	9	5	4	1.4291557879735992
Accidental underdose	14	14	-0.6635879505019424	-0.6382397198470904	14	0	14	0.9592394808211148
Accommodation disorder	2	2	-0.944903576796769	-0.944903576796769	2	0	2	1.1666902491092883
Acetabulum fracture	3	3	-1.2898268113237303	-1.4912747109501434	3	0	3	1.7161339803668116
Acetonaemia	1	1	0.7639623887295902	0.7639623887295902	1	1	0	0.7639623887295902
Acidosis	67	67	0.33263368696672563	0.5880865781859952	67	47	20	1.565294175890134
Acidosis hyperchloraemic	4	4	0.5795618229519262	0.8619342972263686	4	3	1	1.2114899424476604
Acinetobacter infection	12	12	1.0041580126986658	0.9961780888218057	12	12	0	1.5052016495699898
Acne	229	229	-0.7280472296118143	-0.7452989834747267	229	13	216	2.7532233443304803
Acne cystic	15	15	-1.340554543274977	-0.9343888541786938	15	0	15	3.4944119667378515
Acne pustular	4	4	-0.7111137749778441	-0.7297779811584705	4	0	4	0.7886031472862232
Acoustic neuroma	1	1	-0.6520553020198078	-0.6520553020198078	1	0	1	0.6520553020198078
Acquired aminoaciduria	1	1	1.7412778760700487	1.7412778760700487	1	1	0	1.7412778760700487
Acquired diaphragmatic eventration	1	1	1.005551882677961	1.005551882677961	1	1	0	1.005551882677961
Acquired gene mutation	14	14	0.01473371192060073	0.6707313642151769	14	9	5	2.3961720575972922
Acquired haemophilia	10	10	0.8725732083370665	0.8569890860349596	10	10	0	1.3301797006488425
Acquired oesophageal web	1	1	-0.7048641491664008	-0.7048641491664008	1	0	1	0.7048641491664008
Acrochordon	4	4	-0.37763752280044405	-0.6875330931601336	4	1	3	0.8617586228075423
Acromegaly	1	1	0.7265932241488475	0.7265932241488475	1	1	0	0.7265932241488475
Actinic keratosis	33	33	0.4716413163281392	0.7368669212196512	33	25	8	1.271375500022452
Actinomycosis	6	6	-0.6462917844657149	-0.6305901968979776	6	0	6	0.7926513503067403
Activated partial thromboplastin time prolonged	53	53	-0.36925196895459045	-0.6839532505694325	53	17	36	1.6856755563556163
Activation syndrome	3	3	-0.2763004212487256	-0.8725357392405076	3	1	2	1.2050339614504773
Activities of daily living impaired	48	48	-0.2421883935815351	-0.5835799663600456	48	18	30	1.3413923126196616
Acute abdomen	10	10	-0.20691548763945314	-0.6001891396329956	10	4	6	1.150918231898636
Acute chest syndrome	3	3	-0.7521278991869219	-0.7383096753708888	3	0	3	0.8050321717647546
Acute coronary syndrome	84	84	0.7612248953641244	0.772245606340193	84	79	5	1.7446419112284715
Acute disseminated encephalomyelitis	2	2	-0.5871409750740182	-0.5871409750740182	2	0	2	0.6238229441480357
Acute febrile neutrophilic dermatosis	12	12	0.3858156970321547	0.6345368394850548	12	9	3	1.8499351281241072
Acute generalised exanthematous pustulosis	55	55	0.24583675368454627	0.6433760892294688	55	35	20	2.1550600197955956
Acute graft versus host disease	38	38	0.8276377282082718	0.8731439279722646	38	35	3	1.7512220080536358
Acute graft versus host disease in intestine	11	11	0.5640398507722811	0.7095076178411897	11	9	2	1.2383827724868444
Acute graft versus host disease in liver	9	9	0.6535032780536105	0.5862602833101381	9	8	1	1.7095477411379638
Acute graft versus host disease in skin	22	22	0.6662372419958429	0.7677669787267245	22	21	1	1.4626360935813445
Acute hepatic failure	99	99	-0.04393991765402487	-0.5029482097218674	99	48	51	1.830197596462222
Acute hepatitis B	2	2	0.9186931108788639	0.9186931108788639	2	2	0	0.981100365963699
Acute hepatitis C	2	2	0.8874932986761153	0.8874932986761153	2	2	0	1.2586250230177867
Acute interstitial pneumonitis	1	1	0.7412697796207158	0.7412697796207158	1	1	0	0.7412697796207158
Acute kidney injury	459	459	0.4869555446806337	0.6253305121226539	459	375	84	2.0889837801236713
Acute left ventricular failure	6	6	0.7871175578218738	0.8038740619749419	6	6	0	0.9861617814360493
Acute leukaemia	2	2	0.7249037755387012	0.7249037755387012	2	2	0	0.762887775424907
Acute lung injury	13	13	-0.315547360363913	-0.6600518832770778	13	4	9	1.736172580860853
Acute lymphocytic leukaemia	27	27	0.4571639305948505	0.6489252128670261	27	21	6	1.5739772884390129
Acute lymphocytic leukaemia recurrent	27	27	0.6898154241939124	0.7722299115026928	27	24	3	1.5071167682067454
Acute lymphocytic leukaemia refractory	1	1	0.7363928842312611	0.7363928842312611	1	1	0	0.7363928842312611
Acute monocytic leukaemia	1	1	0.5605856877650952	0.5605856877650952	1	1	0	0.5605856877650952
Acute myeloid leukaemia	84	84	0.4896819868813881	0.6694538147074836	84	64	20	2.2974422145185898
Acute myeloid leukaemia recurrent	20	20	0.5154370590488607	0.7774051894725478	20	16	4	1.5425774368276426
Acute myeloid leukaemia refractory	2	2	0.8187839191322852	0.8187839191322852	2	2	0	1.0181790562155222
Acute myelomonocytic leukaemia	1	1	-0.5219751712045168	-0.5219751712045168	1	0	1	0.5219751712045168
Acute myocardial infarction	129	129	0.64269517659444	0.7413299642417299	129	112	17	1.9747648876686832
Acute phase reaction	1	1	-0.7946669605053205	-0.7946669605053205	1	0	1	0.7946669605053205
Acute phosphate nephropathy	1	1	-1.0058919077181563	-1.0058919077181563	1	0	1	1.0058919077181563
Acute prerenal failure	6	6	0.7847500250348105	0.7377171232953299	6	6	0	0.9657678100031022
Acute promyelocytic leukaemia	7	7	0.6510318968924407	0.9114584012708389	7	5	2	2.284248437538123
Acute promyelocytic leukaemia differentiation syndrome	2	2	-0.023511503387343702	-0.023511503387343702	2	1	1	0.8380402088128016
Acute psychosis	18	18	0.27575196385974166	0.7040094420658239	18	12	6	1.3843323635442424
Acute pulmonary oedema	47	47	-0.03155404261934561	-0.5060627225819853	47	23	24	1.7154648229148441
Acute respiratory distress syndrome	149	149	0.4817169534999907	0.6999684338244062	149	113	36	1.8021432858691635
Acute respiratory failure	143	143	0.4278590321322962	0.6406228892165766	143	112	31	1.5974699360719662
Acute sinusitis	11	11	-0.40187062648810196	-0.5820566763269375	11	2	9	0.9888998808478975
Addison's disease	20	20	-1.0534325049954805	-1.0357388852346014	20	0	20	1.8339234517226972
Adenocarcinoma	20	20	0.6251481759255703	0.7076168301057074	20	18	2	1.0902760362622261
Adenocarcinoma gastric	9	9	-0.20302324988782638	-0.5471140812209203	9	4	5	1.478436024386299
Adenocarcinoma of colon	26	26	0.3157851935198954	0.6145452081236373	26	19	7	1.1969407356324502
Adenocarcinoma pancreas	9	9	0.6964375934407274	0.5779772682764723	9	8	1	1.4650481647526
Adenoidal disorder	1	1	0.9787163057224295	0.9787163057224295	1	1	0	0.9787163057224295
Adenoidal hypertrophy	2	2	0.1307683197497988	0.1307683197497988	2	1	1	0.8605006063066385
Adenoma benign	6	6	0.29140052053620485	0.14794718824753506	6	3	3	1.8410062978348711
Adenoviral haemorrhagic cystitis	1	1	0.5741610685591083	0.5741610685591083	1	1	0	0.5741610685591083
Adenoviral hepatitis	3	3	0.9169654622289783	0.806891964223454	3	3	0	1.3987223854051885
Adenovirus infection	30	30	0.7071894541909031	0.8051695130392142	30	26	4	2.096586324305755
Adenovirus interstitial nephritis	1	1	2.2663229570655115	2.2663229570655115	1	1	0	2.2663229570655115
Adenovirus reactivation	5	5	1.7738122716285059	2.0814293314336934	5	5	0	2.745187271616023
Adhesion	5	5	-0.6193306750880302	-0.5754807466919047	5	0	5	0.7254964227212849
Adhesive tape use	1	1	-3.1253184942875456	-3.1253184942875456	1	0	1	3.1253184942875456
Adjustment disorder	21	21	-0.4967543427258084	-0.9819859685946376	21	7	14	2.5215976015757566
Adjustment disorder with depressed mood	7	7	0.19974392141257144	1.3054701880215034	7	4	3	3.0672252310010757
Administration site extravasation	5	5	0.17072789389825327	0.5963065359216692	5	3	2	0.7646966378068302
Administration site pain	2	2	-0.5899955852620327	-0.5899955852620327	2	0	2	0.6344488496342161
Administration site swelling	1	1	0.5572357876033175	0.5572357876033175	1	1	0	0.5572357876033175
Adrenal adenoma	2	2	-0.9555488711173574	-0.9555488711173574	2	0	2	1.1348014330473681
Adrenal disorder	8	8	0.44147919847031425	0.5820507275591426	8	7	1	0.6173840564198554
Adrenal gland cancer	1	1	-0.6207505327771214	-0.6207505327771214	1	0	1	0.6207505327771214
Adrenal insufficiency	109	109	0.6131259307346758	0.7069913530372475	109	85	24	2.9219520967636856
Adrenal mass	10	10	-0.6110912960557752	-0.7297481868203594	10	1	9	1.1417720988412532
Adrenal neoplasm	1	1	-0.8753547074284378	-0.8753547074284378	1	0	1	0.8753547074284378
Adrenal suppression	6	6	-0.2376316896033892	-0.9307008623835906	6	2	4	1.7434963894333955
Adrenocortical insufficiency acute	13	13	-0.43059253023258215	-0.810506031331203	13	3	10	1.113655063022299
Adrenocorticotropic hormone deficiency	5	5	0.4735637306209564	0.5555145096888874	5	4	1	0.9440673957748452
Adult T-cell lymphoma/leukaemia	2	2	0.8213215149622612	0.8213215149622612	2	2	0	1.1091057476808344
Adverse drug reaction	305	305	0.8266260898036197	0.8345878003325052	305	278	27	6.32947001830277
Adverse event	177	177	0.7868460529582852	0.9174049401596851	177	136	41	3.1578579561081925
Adverse food reaction	1	1	0.5765447474437891	0.5765447474437891	1	1	0	0.5765447474437891
Adverse reaction	97	97	-0.07559330495354259	-0.600146927996645	97	34	63	2.8759966076441645
Affect lability	54	54	0.1928955797352961	0.03169908763472723	54	27	27	2.426910328814978
Affective disorder	70	70	-0.3613199339749333	-0.6419054241409454	70	25	45	2.185943822677342
Age-related macular degeneration	6	6	-0.2629974468017671	-0.6906929137330872	6	2	4	1.515983397358989
Ageusia	71	71	0.022514375601744626	0.501042931873754	71	36	35	1.7550608409861457
Aggression	132	132	0.2945596304790526	0.6204906785645696	132	84	48	2.3362274965787755
Agitation	179	179	0.2864331712692714	0.5949915635289429	179	117	62	2.0387769518427747
Agitation neonatal	8	8	0.4792517981480503	0.7271732369915637	8	5	3	2.3200348090140555
Agonal respiration	1	1	0.8056993882631095	0.8056993882631095	1	1	0	0.8056993882631095
Agoraphobia	12	12	-0.95976243458394	-0.8503350832105754	12	0	12	1.588902862079656
Agranulocytosis	128	128	0.38361198479404157	0.6503428580798642	128	90	38	2.249016815092708
Agraphia	3	3	-0.9551444828898251	-1.088296280091661	3	0	3	1.1677336405211034
Airway peak pressure increased	3	3	-0.3448382668672025	-0.6507659787849908	3	1	2	0.9651744233914352
Airway remodelling	7	7	-0.9955011771897494	-1.2541466837821154	7	1	6	1.7993476058299835
Akathisia	42	42	-0.06694836888256447	0.5393009542478804	42	24	18	2.7844520535654596
Akinesia	17	17	-0.34959613366369846	-0.595801951968604	17	5	12	1.4372951975075716
Alanine aminotransferase abnormal	36	36	-0.6469660893126579	-0.7668665509168928	36	9	27	1.8235671032924625
Alanine aminotransferase decreased	2	2	-0.07501229557431394	-0.07501229557431394	2	1	1	0.7438889682955536
Alanine aminotransferase increased	225	225	0.46730056165576495	0.6469622612245379	225	175	50	2.108330836933674
Albumin urine present	1	1	-0.6089249235747541	-0.6089249235747541	1	0	1	0.6089249235747541
Albuminuria	1	1	1.041481764774459	1.041481764774459	1	1	0	1.041481764774459
Alcohol abuse	17	17	0.4031062911299766	0.6212777459396976	17	12	5	1.4325624102179428
Alcohol interaction	11	11	-0.03464515846161454	-0.8296405520355236	11	5	6	1.870349751407124
Alcohol poisoning	21	21	-0.5087483440565091	-0.9575467209035365	21	8	13	1.7701837819776889
Alcohol use	4	4	0.34324433952105593	0.5681305042890379	4	3	1	0.7768627842451291
Alcohol withdrawal syndrome	8	8	0.8934509048185745	0.9364447661177333	8	8	0	1.2336026957649115
Alcoholic liver disease	2	2	1.2107183908777448	1.2107183908777448	2	2	0	1.2163232231020895
Alcoholism	24	24	0.008900747107199805	0.5598081412116228	24	13	11	1.2889777060151917
Alkalosis	1	1	0.9066155810440684	0.9066155810440684	1	1	0	0.9066155810440684
Alkalosis hypochloraemic	1	1	0.5976749612949981	0.5976749612949981	1	1	0	0.5976749612949981
Allergic cough	1	1	-0.7603547658047057	-0.7603547658047057	1	0	1	0.7603547658047057
Allergic granulomatous angiitis	1	1	-0.7392719192649119	-0.7392719192649119	1	0	1	0.7392719192649119
Allergic reaction to excipient	4	4	-0.806803986052706	-0.7393693454373498	4	0	4	1.2393468020936351
Allergic sinusitis	2	2	0.09231553598021808	0.09231553598021808	2	1	1	0.9462204707016898
Allergy test negative	2	2	-0.6909965832283842	-0.6909965832283842	2	0	2	0.7492266375922979
Allergy test positive	1	1	-0.6972014662006977	-0.6972014662006977	1	0	1	0.6972014662006977
Allergy to animal	18	18	-1.0106486295681716	-0.8825188893031893	18	0	18	1.874217081663152
Allergy to chemicals	3	3	-0.9727551328862681	-0.8553815291803195	3	0	3	1.4008334101883466
Allodynia	10	10	-1.0449995370105887	-0.9612665573353165	10	0	10	1.9454971244020571
Allogenic stem cell transplantation	2	2	1.359408989544829	1.359408989544829	2	2	0	1.5145051888234997
Alopecia	303	303	-0.16767413353327698	-0.5570024242627333	303	127	176	4.861879920955309
Alopecia areata	7	7	-1.1808130084194732	-1.1765885384704464	7	0	7	1.7027635303125415
Alpha 1 foetoprotein increased	1	1	1.602623360352905	1.602623360352905	1	1	0	1.602623360352905
Alpha haemolytic streptococcal infection	12	12	0.501555226503957	0.7210934831784561	12	10	2	1.3034780460464652
Altered state of consciousness	141	141	0.46788119506529874	0.6461023626917938	141	113	28	1.6525574891184491
Alternaria infection	1	1	-0.9896767309930959	-0.9896767309930959	1	0	1	0.9896767309930959
Alveolar lung disease	1	1	-0.7117804082875329	-0.7117804082875329	1	0	1	0.7117804082875329
Alveolar osteitis	1	1	0.820624359855963	0.820624359855963	1	1	0	0.820624359855963
Alveolar proteinosis	6	6	-0.04067063062932234	-0.016176847485529555	6	3	3	1.081384162184414
Alveolitis	11	11	-0.19177666016449416	-0.7248404055363945	11	4	7	1.3204352743136536
Alveolitis allergic	2	2	0.03274965626648069	0.03274965626648069	2	1	1	0.7286596499681587
Amaurosis	1	1	0.6990641477372945	0.6990641477372945	1	1	0	0.6990641477372945
Amaurosis fugax	2	2	0.6125987918042008	0.6125987918042008	2	2	0	0.6359416550783663
American trypanosomiasis	2	2	-1.1293069746821356	-1.1293069746821356	2	0	2	1.2805379419363145
Amino acid level decreased	1	1	-1.0631027935842152	-1.0631027935842152	1	0	1	1.0631027935842152
Amino acid level increased	2	2	-0.7556326343198623	-0.7556326343198623	2	0	2	0.9700245495431331
Ammonia abnormal	2	2	0.7600016013368014	0.7600016013368014	2	2	0	0.7785639741962473
Ammonia increased	40	40	0.41860718888820436	0.6370968501317607	40	30	10	1.2659413301325715
Amnesia	174	174	0.5451115224034364	0.6649937996986846	174	123	51	3.732173029422478
Amnestic disorder	1	1	-1.2675155456066436	-1.2675155456066436	1	0	1	1.2675155456066436
Amoebiasis	1	1	-0.5122255672017852	-0.5122255672017852	1	0	1	0.5122255672017852
Amphetamines negative	1	1	-0.8187069051727001	-0.8187069051727001	1	0	1	0.8187069051727001
Amphetamines positive	6	6	0.11087515394355042	0.5377100458360925	6	4	2	1.1051807671410514
Amylase increased	33	33	0.504668622753468	0.6366217398872764	33	26	7	2.0776294427344424
Amyloid related imaging abnormalities	1	1	0.5058118962217878	0.5058118962217878	1	1	0	0.5058118962217878
Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits	5	5	-0.5876709344958988	-0.9449171023653694	5	1	4	1.0708978359267098
Amyloid related imaging abnormality-oedema/effusion	8	8	-0.7725259315331748	-0.6523215916178392	8	0	8	1.1456729121168419
Amyloidosis	12	12	0.44979816971007386	0.7232752198997239	12	9	3	1.2875506494493014
Amyotrophic lateral sclerosis	4	4	0.7930712563745483	0.6532487506845532	4	4	0	1.2615001829156314
Anaemia	366	366	0.22310044015394995	0.5912086956078104	366	243	123	2.5365514923550556
Anaemia macrocytic	18	18	-0.06747358422449137	0.5364529750886058	18	10	8	1.598615049451293
Anaemia megaloblastic	2	2	-0.26535506243201845	-0.26535506243201845	2	1	1	1.063488845058308
Anaemia of chronic disease	10	10	-0.4836930320159335	-0.646671756160851	10	3	7	1.565776343418324
Anaemia of malignant disease	2	2	-1.1175006878723948	-1.1175006878723948	2	0	2	1.7153038414281494
Anaemia postoperative	6	6	-0.9936004007905251	-1.4400596629338867	6	1	5	1.8532992880969477
Anaesthetic complication	6	6	-0.8935473911049923	-0.8431083626791829	6	0	6	1.143434830024129
Anaesthetic complication neurological	3	3	-0.9000624429023656	-0.9667913463112645	3	0	3	1.0113151205143995
Anal abscess	29	29	0.420197931188927	0.6958419525519951	29	22	7	1.3519674485423785
Anal cancer	2	2	0.017263020165377674	0.017263020165377674	2	1	1	0.6187219438363333
Anal fissure	35	35	-0.2628396725673209	-0.6151990829349178	35	12	23	1.7086450264570678
Anal fistula	23	23	0.018161593536853437	0.5185961589366941	23	12	11	1.3510422259117236
Anal fistula infection	1	1	-0.7090291947461529	-0.7090291947461529	1	0	1	0.7090291947461529
Anal haemorrhage	14	14	-0.5216646801051662	-0.6604781872057471	14	4	10	1.9225507193332432
Anal incontinence	72	72	-0.0001633121727229813	0.5275567100562306	72	40	32	3.28881782897442
Anal inflammation	2	2	-0.5860314331064498	-0.5860314331064498	2	0	2	0.5960282866617309
Anal pruritus	2	2	0.01173492545178606	0.01173492545178606	2	1	1	0.6003846650814038
Anal skin tags	1	1	-0.6127196128317013	-0.6127196128317013	1	0	1	0.6127196128317013
Anal stenosis	2	2	-0.6054137935840749	-0.6054137935840749	2	0	2	0.6099612070447086
Anal ulcer	2	2	0.6071851844834291	0.6071851844834291	2	2	0	0.6887587194353862
Analgesic drug level above therapeutic	1	1	0.9231573924703816	0.9231573924703816	1	1	0	0.9231573924703816
Analgesic drug level increased	5	5	-0.8174902202588097	-0.653748696498507	5	0	5	1.2861425235703825
Anaphylactic reaction	212	212	0.19558513988244997	0.5797595167222885	212	130	82	2.9756517820396238
Anaphylactic shock	97	97	-0.1587743601832907	-0.5511389995678889	97	42	55	2.2038831508199883
Anaphylactoid reaction	13	13	-0.42603061002855763	-0.6496591026219422	13	3	10	1.2316169964818064
Anaphylactoid shock	1	1	0.9585743721234306	0.9585743721234306	1	1	0	0.9585743721234306
Anastomotic complication	2	2	0.1661986935620079	0.1661986935620079	2	1	1	0.8712606205024381
Anastomotic haemorrhage	1	1	0.7113010953420317	0.7113010953420317	1	1	0	0.7113010953420317
Anastomotic leak	3	3	-0.15167989305051224	0.5634395675415769	3	2	1	1.6762345951893713
Anastomotic stenosis	2	2	0.7041688124042438	0.7041688124042438	2	2	0	0.7085649867455618
Anastomotic ulcer	1	1	-0.593245051532388	-0.593245051532388	1	0	1	0.593245051532388
Anastomotic ulcer haemorrhage	1	1	1.0998121351193022	1.0998121351193022	1	1	0	1.0998121351193022
Aneurysm	17	17	0.2437552842771603	0.5348630991176749	17	11	6	1.2451060813533952
Aneurysm ruptured	2	2	0.7130511625752112	0.7130511625752112	2	2	0	0.7987499214634606
Anger	78	78	-0.02881109569233191	-0.5296718357937098	78	37	41	2.531324747170398
Angina bullosa haemorrhagica	1	1	-0.6469489933550383	-0.6469489933550383	1	0	1	0.6469489933550383
Angina pectoris	153	153	0.6201076750407223	0.7537675957226091	153	122	31	2.7602770711488502
Angina unstable	45	45	0.5921616708612156	0.7287966345491402	45	39	6	1.4074409624559745
Angiocentric lymphoma	2	2	0.036316791483314126	0.036316791483314126	2	1	1	0.5857178303311681
Angiodysplasia	1	1	0.677827229187055	0.677827229187055	1	1	0	0.677827229187055
Angioedema	247	247	0.8741430796890052	0.859888111804699	247	234	13	3.1873549840560353
Angiogram	1	1	0.5742435054740717	0.5742435054740717	1	1	0	0.5742435054740717
Angioimmunoblastic T-cell lymphoma	4	4	0.04237235076785656	0.0943619245039854	4	2	2	1.0478530303116187
Angiomyolipoma	1	1	-0.5490644136710445	-0.5490644136710445	1	0	1	0.5490644136710445
Angiopathy	41	41	-0.021224849621322976	-0.5065268375717593	41	20	21	1.6622958630573512
Angioplasty	8	8	0.4078633684307359	0.641494065036897	8	6	2	1.24348878183099
Angiosarcoma	1	1	0.8800554727534273	0.8800554727534273	1	1	0	0.8800554727534273
Angle closure glaucoma	6	6	-0.7865105833181145	-0.7962420276803425	6	0	6	1.061355155097064
Angular cheilitis	2	2	-1.0971746107296678	-1.0971746107296678	2	0	2	1.239515956231224
Anhedonia	125	125	0.02837838009480448	0.5007296235414374	125	64	61	2.824273968125853
Animal bite	5	5	-0.6862243317008915	-0.663015419273033	5	0	5	0.8710223484206834
Animal scratch	6	6	0.19983004646356303	0.6980501532709537	6	4	2	1.1138882326766442
Anion gap	2	2	-0.6283570320202179	-0.6283570320202179	2	0	2	0.7167048066540694
Anion gap decreased	1	1	-0.6383147437654261	-0.6383147437654261	1	0	1	0.6383147437654261
Anion gap increased	7	7	0.2934228584643203	0.6511446865486462	7	5	2	0.929564210292056
Ankle deformity	6	6	-1.297543285896147	-1.523101299473426	6	1	5	2.48586174085196
Ankle fracture	77	77	-0.3774418406995082	-0.6380616417137736	77	25	52	3.7081114511792057
Ankle operation	4	4	-0.7749914324318073	-0.75006851080362	4	0	4	1.0566505966387545
Ankyloglossia congenital	1	1	-0.6761387965596658	-0.6761387965596658	1	0	1	0.6761387965596658
Ankylosing spondylitis	63	63	-0.14277763914848912	-0.527108081229725	63	26	37	2.178657452468784
Anogenital warts	3	3	-0.11650085369138923	-0.5280274184484989	3	1	2	0.7121991568088188
Anorectal discomfort	17	17	0.314348165966387	0.5304784791475293	17	12	5	1.1293244850737136
Anorectal disorder	7	7	0.3537440379017584	0.7611139749747837	7	5	2	0.7925996430773438
Anorectal swelling	1	1	-0.7267543392489264	-0.7267543392489264	1	0	1	0.7267543392489264
Anorgasmia	10	10	-0.4513075368643042	-0.571450891946953	10	2	8	0.9604009272628841
Anosmia	56	56	-0.08995282415479165	-0.5095361617446574	56	26	30	3.7853437479810177
Anosognosia	18	18	1.2188737908508611	1.1418467323554662	18	17	1	2.506002763022939
Anterior chamber cell	1	1	-0.9919353586912631	-0.9919353586912631	1	0	1	0.9919353586912631
Anterior chamber flare	1	1	0.5876585897734031	0.5876585897734031	1	1	0	0.5876585897734031
Anterior chamber inflammation	2	2	-0.023082966239331815	-0.023082966239331815	2	1	1	0.7835355492275798
Anterograde amnesia	2	2	-0.1546767246133035	-0.1546767246133035	2	1	1	0.900646027888653
Anti A antibody positive	1	1	0.9528521210811444	0.9528521210811444	1	1	0	0.9528521210811444
Anti factor VIII antibody positive	1	1	3.5686218476013	3.5686218476013	1	1	0	3.5686218476013
Anti-cyclic citrullinated peptide antibody positive	21	21	0.8195600494091951	1.275945719788338	21	17	4	3.9530518455040644
Anti-erythropoietin antibody negative	2	2	2.197804397181583	2.197804397181583	2	2	0	3.5721173581419614
Anti-erythropoietin antibody positive	1	1	0.9637805930059883	0.9637805930059883	1	1	0	0.9637805930059883
