pt	n_drugs	n_signals	mean_bias	median_bias	n_strong	n_f_biased	n_m_biased	max_bias
Peripheral ischaemia	30	30	0.6883667311920115	0.7927061011062067	30	26	4	1.5203244490155818
Peripheral motor neuropathy	14	14	0.9627843643075591	0.8009735921102232	14	14	0	1.6643664935703144
Peripheral nerve injury	3	3	-0.8610722825465822	-0.6805387370602143	3	0	3	1.3585877360466885
Peripheral nerve lesion	1	1	0.9714892887619073	0.9714892887619073	1	1	0	0.9714892887619073
Peripheral sensorimotor neuropathy	19	19	0.7651070950158301	0.8082153718161703	19	17	2	1.7661342343595983
Peripheral sensory neuropathy	47	47	0.22763439342993766	0.6011920398015611	47	30	17	1.3303398507285875
Peripheral swelling	280	280	0.4069054558297297	0.6668890808145292	280	182	98	3.7216780891068857
Peripheral vascular disorder	30	30	0.22946238549451248	0.5836232613934897	30	18	12	1.4964585544826319
Peripheral venous disease	66	66	-0.02332051169645084	-0.8661755111141595	66	24	42	3.7443907083004215
Periportal sinus dilatation	1	1	1.0282872062867872	1.0282872062867872	1	1	0	1.0282872062867872
Periprosthetic fracture	1	1	-1.73580559260723	-1.73580559260723	1	0	1	1.73580559260723
Perirectal abscess	13	13	0.3942508429650405	0.5535361867249766	13	10	3	1.4116379039023303
Peritoneal cloudy effluent	4	4	0.9015386407486377	0.8947781984226939	4	4	0	1.2051875989571688
Peritoneal dialysis	1	1	0.5984482160242183	0.5984482160242183	1	1	0	0.5984482160242183
Peritoneal dialysis complication	11	11	0.6412860552440013	0.7404735757164531	11	10	1	1.201538790655027
Peritoneal disorder	3	3	-0.19582806646042802	-0.5156503314984675	3	1	2	0.5950000805319169
Peritoneal effluent abnormal	2	2	0.9610751987712349	0.9610751987712349	2	2	0	1.1610888326267372
Peritoneal haemorrhage	4	4	-0.08374388605089528	-0.05383189426585305	4	2	2	0.8877064952370526
Peritoneal mesothelioma malignant	1	1	-0.644453754041572	-0.644453754041572	1	0	1	0.644453754041572
Peritoneal tuberculosis	1	1	-1.2983381520374766	-1.2983381520374766	1	0	1	1.2983381520374766
Peritonitis	125	125	0.7285281224060606	0.7415013568851407	125	117	8	2.08359511014319
Peritonitis bacterial	27	27	0.5809743318145794	0.5948538384783775	27	25	2	1.1090228793731143
Peroneal nerve palsy	38	38	-0.6515229332764957	-0.7555362812532058	38	5	33	1.4389584786295089
Persecutory delusion	21	21	0.05946557940365287	0.5295500865477987	21	12	9	1.3832304140137048
Persistent depressive disorder	3	3	-0.42676025838270615	-0.7029162255262413	3	1	2	1.1237314622185897
Personal relationship issue	5	5	-0.1622891156937849	-0.7526862981523941	5	2	3	1.0875138146064252
Personality change	44	44	0.9109324374279837	0.8816263092897616	44	34	10	3.296964793977655
Personality disorder	29	29	0.8255006065243916	0.8949195614648295	29	20	9	3.0005412026982916
Pertussis	4	4	-0.7894297964257976	-0.7365416232817334	4	0	4	1.1362271268075452
Petechiae	57	57	0.18432253505238422	0.5681736896685387	57	36	21	1.3749575661298499
Petit mal epilepsy	24	24	-0.023159670612483224	-0.5346111896623242	24	11	13	1.4102879149737568
Phaeochromocytoma	2	2	0.1497378133550341	0.1497378133550341	2	1	1	0.8678141781972241
Phaeohyphomycosis	3	3	0.7612890486009606	0.8189665049158114	3	3	0	0.9263320333673595
Phantom limb syndrome	1	1	0.9298308730699618	0.9298308730699618	1	1	0	0.9298308730699618
Pharmaceutical nomadism	2	2	-0.46972920906652516	-0.46972920906652516	2	1	1	1.9839963641564233
Pharyngeal abscess	1	1	0.5387926386937893	0.5387926386937893	1	1	0	0.5387926386937893
Pharyngeal disorder	11	11	-0.23293002014076272	-0.5917056062844411	11	4	7	1.0977346927254743
Pharyngeal erythema	11	11	-0.21344928547165268	-0.5997464066310739	11	4	7	0.9240944241479254
Pharyngeal haemorrhage	3	3	-0.33156244542209506	-0.7501517404197753	3	1	2	1.0952675694579055
Pharyngeal inflammation	3	3	0.902539143235853	1.0203186063101772	3	3	0	1.0772014569488444
Pharyngeal oedema	56	56	-0.3215543137090214	-0.5724659960490022	56	16	40	1.3637380263565155
Pharyngeal paraesthesia	11	11	-0.715288864607933	-0.7734096894240768	11	1	10	1.6362475260740847
Pharyngeal swelling	35	35	-0.3578631698745468	-0.5501672174372502	35	8	27	1.1748891172448668
Pharyngeal ulceration	1	1	0.7177921892442392	0.7177921892442392	1	1	0	0.7177921892442392
Pharyngitis	84	84	-0.07725177587707852	-0.5382844309235055	84	33	51	2.5963470830202824
Pharyngitis streptococcal	49	49	-0.321678069111433	-0.5682369650550971	49	14	35	1.6392552626818122
Philadelphia chromosome positive	5	5	0.863012605845771	0.8806941578460825	5	5	0	1.1521076933511396
Philadelphia positive acute lymphocytic leukaemia	1	1	1.6844170134345824	1.6844170134345824	1	1	0	1.6844170134345824
Philadelphia positive chronic myeloid leukaemia	2	2	0.0334389263004195	0.0334389263004195	2	1	1	0.8739040270916975
Phlebitis	34	34	0.0818624941837278	0.5570549348544213	34	19	15	1.2065146294954017
Phobia	4	4	-0.7973546328434243	-0.6917035656433415	4	0	4	1.271018495453006
Phonophobia	2	2	-1.2776234078587652	-1.2776234078587652	2	0	2	1.3981681354123727
Photodermatosis	1	1	-0.6661436855376366	-0.6661436855376366	1	0	1	0.6661436855376366
Photophobia	96	96	-0.20518625470954288	-0.5679474804397733	96	36	60	2.12490035619936
Photopsia	32	32	-0.35729291278283587	-0.6264468431765038	32	9	23	1.6247187869568327
Photosensitivity reaction	89	89	-0.2599788444637336	-0.5559634373124158	89	38	51	3.084354434589625
Phrenic nerve paralysis	1	1	1.6593029541238444	1.6593029541238444	1	1	0	1.6593029541238444
Physical assault	5	5	0.10646747300414287	0.5558213423958365	5	3	2	0.923009355176258
Physical deconditioning	16	16	0.2713868958180145	0.5475953884511201	16	11	5	1.2724955615027855
Physical disability	55	55	0.6631016063777931	0.6904618586982891	55	51	4	1.6925641006875796
Physical examination abnormal	1	1	0.5636652726701957	0.5636652726701957	1	1	0	0.5636652726701957
Physical product label issue	2	2	-0.7783257875070246	-0.7783257875070246	2	0	2	0.7898409598937977
Physiotherapy	2	2	-0.9510553526543255	-0.9510553526543255	2	0	2	1.0027479841841809
Pigmentary maculopathy	1	1	2.5792674229426527	2.5792674229426527	1	1	0	2.5792674229426527
Pigmentation disorder	37	37	-0.027428769319983847	0.5188445308302206	37	20	17	1.8809092891618977
Piloerection	2	2	-0.5434177731302317	-0.5434177731302317	2	0	2	0.5439600397984719
Pilonidal cyst	1	1	-0.5522360735355876	-0.5522360735355876	1	0	1	0.5522360735355876
Pituitary tumour	10	10	-0.3578469260802194	-0.6660418979166478	10	3	7	1.0568467956886218
