drug_name	n_aes	n_signals	mean_bias	n_strong	n_f_biased	n_m_biased	max_bias
ETESEVIMAB	8	8	-0.5116183213529558	8	1	7	0.8776003076576143
ETHACRYNIC ACID	3	3	-0.92947268936746	3	0	3	1.5228942306298434
ETHAMBUTOL HYDROCHLORIDE	86	86	0.3931595650985633	86	63	23	1.9187677073729335
ETHAMSYLATE	4	4	0.07399764637935446	4	2	2	1.0603077236945533
ETHINYL ESTRADIOL	1	1	0.5536440239715359	1	1	0	0.5536440239715359
ETHINYL ESTRADIOL\ETONOGESTREL	2	2	-5.235929720463662	2	0	2	5.908420732255202
ETHINYL ESTRADIOL\LEVONORGESTREL	2	2	-5.297515640935865	2	0	2	5.30751386733639
ETHIODIZED OIL	4	4	0.4287564351152924	4	3	1	1.029877063321114
ETHIONAMIDE	4	4	0.8949887931437265	4	4	0	1.5222848149910122
ETHOSUXIMIDE	12	12	-0.4774035752224173	12	3	9	1.2024496135224996
ETHYL LOFLAZEPATE	19	19	-0.9053692727832234	19	0	19	1.737031666935501
ETHYLENE GLYCOL	1	1	0.7034052374905757	1	1	0	0.7034052374905757
ETIFOXINE	5	5	-1.0875908066298123	5	0	5	1.8392731282050252
ETIZOLAM	58	58	0.4830404330602393	58	47	11	1.3167709639006215
ETODOLAC	26	26	-0.6739923403285298	26	1	25	1.7705040532736918
ETOMIDATE	11	11	0.7930159379727569	11	11	0	1.4181026726350283
ETONOGESTREL	5	5	-4.991975445081025	5	0	5	6.504749165675264
ETOPOSIDE	320	320	0.5599939313257579	320	259	61	2.106683203300417
ETOPOSIDE PHOSPHATE	9	9	1.012739783061483	9	9	0	1.5201439882349663
ETORICOXIB	73	73	-0.4090235561378828	73	21	52	1.8051534262394815
ETRASIMOD ARGININE	3	3	-0.7286578204624611	3	0	3	1.109092686524681
ETRAVIRINE	32	32	0.447514457155009	32	21	11	2.2326080604625225
EUCALYPTOL\MENTHOL\METHYL SALICYLATE\THYMOL	3	3	0.3966393226327893	3	2	1	1.1187534792604295
EVENING PRIMROSE OIL	1	1	-0.5290849014803954	1	0	1	0.5290849014803954
EVEROLIMUS	263	263	0.016001925045885143	263	132	131	1.7013144555793023
EVOLOCUMAB	136	136	-0.49545712999214	136	28	108	3.2250152415693534
EXAMIDE	2	2	-0.0011390629728993407	2	1	1	0.8723709695765678
EXEMESTANE	9	9	-1.5527246355514401	9	0	9	2.54882722197147
EXENATIDE	101	101	-0.1327824071302278	101	44	57	1.6584890668551355
EXTRA STRENGTH TYLENOL	1	1	-1.0254440323657845	1	0	1	1.0254440323657845
EZETIMIBE	288	288	0.256141574322508	288	183	105	2.4191894988974285
EZETIMIBE\ROSUVASTATIN	1	1	0.9403580741736547	1	1	0	0.9403580741736547
EZETIMIBE\SIMVASTATIN	65	65	0.4367507319470489	65	50	15	1.590803379504617
EZOGABINE	1	1	-1.6308769276948325	1	0	1	1.6308769276948325
FACTOR XIII CONCENTRATE (HUMAN)	1	1	-0.8841512448553022	1	0	1	0.8841512448553022
FAM-TRASTUZUMAB DERUXTECAN-NXKI	22	22	-0.6483877470516695	22	5	17	1.8466877626919815
FAMCICLOVIR	23	23	-0.05783990667499093	23	12	11	1.465349216774332
FAMOTIDINE	228	228	0.09336339358191141	228	131	97	1.6536939410064861
FAMOTIDINE, CALCIUM CARBONATE AND MAGNESIUM HYDROXIDE	2	2	0.7158758619603314	2	2	0	0.9044061014648351
FAMOTIDINE\IBUPROFEN	7	7	-0.4306529385831358	7	2	5	1.4395503031291583
FARICIMAB\FARICIMAB-SVOA	10	10	0.029596756117943747	10	5	5	0.9438805051017162
FAVIPIRAVIR	4	4	0.46936470444474065	4	3	1	1.1764395850861782
FEBUXOSTAT	179	179	0.7555611682806492	179	161	18	2.3648641776745634
FEDRATINIB HYDROCHLORIDE	2	2	0.12993157403386196	2	1	1	0.8815876829186887
