drug_name	n_aes	n_signals	mean_bias	n_strong	n_f_biased	n_m_biased	max_bias
.ALPHA.-LIPOIC ACID	20	20	-0.05838938575499739	20	9	11	0.9708181363244208
.ALPHA.-TOCOPHEROL	142	142	-0.37883419715679967	142	45	97	2.5610036166644807
.ALPHA.-TOCOPHEROL ACETATE	3	3	-0.3617219738305238	3	1	2	0.8338276704610639
.ALPHA.-TOCOPHEROL ACETATE, D-	3	3	-1.1514574271650126	3	0	3	1.7696162629321732
.ALPHA.-TOCOPHEROL ACETATE, DL-	2	2	-2.812461077208159	2	0	2	2.9386695800786184
.ALPHA.-TOCOPHEROL ACETATE, DL-\ASCORBIC ACID\CYANOCOBALAMIN\FLUORIDE ION\FOLIC ACID\NIACIN\PYRIDOXINE\RIBOFLAVIN\THIAMINE\VITAMIN A\VITAMIN D	12	12	-0.5412138895887767	12	2	10	1.062969696361922
.ALPHA.-TOCOPHEROL, D-	16	16	-0.9321821997580142	16	4	12	3.017220723471051
.ALPHA.1-PROTEINASE INHIBITOR HUMAN	30	30	-0.5560007704363185	30	3	27	1.0432808227811319
.BETA.-CAROTENE	1	1	-2.1710489396423536	1	0	1	2.1710489396423536
.DELTA.8-TETRAHYDROCANNABINOL\HERBALS	3	3	0.7545873193196512	3	3	0	1.0110354614977886
2	2	2	-0.8724791892426828	2	0	2	0.896471906326193
25-HYDROXYCHOLECALCIFEROL, 5-TRANS-	3	3	-0.661288690177123	3	0	3	0.7628732099948002
6-ACETYLMORPHINE	2	2	1.616566324157636	2	2	0	1.9480327709511471
7-AMINOCLONAZEPAM	1	1	2.0111191044851955	1	1	0	2.0111191044851955
ABACAVIR	65	65	0.8019939279982082	65	48	17	3.277482374288818
ABACAVIR SULFATE	30	30	0.6549389379502268	30	17	13	3.8062578676278633
ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE	54	54	0.6742957307045233	54	41	13	2.0970970258214576
ABACAVIR SULFATE\LAMIVUDINE	63	63	0.7113881854603553	63	42	21	3.2702233338293785
ABACAVIR SULFATE\LAMIVUDINE\ZIDOVUDINE	5	5	-0.38008095736330044	5	1	4	1.3391602170507955
ABACAVIR\LAMIVUDINE	10	10	0.8850037945126331	10	9	1	1.6287898104997192
ABALOPARATIDE	33	33	-0.7583289985902889	33	2	31	2.3018164669917125
ABATACEPT	377	377	-0.20432993723643694	377	158	219	4.457302203549129
ABCIXIMAB	2	2	1.2629481218048655	2	2	0	1.447286591118507
ABEMACICLIB	13	13	-0.8974188187862542	13	2	11	2.0884995865776115
ABIRATERONE ACETATE	2	2	2.3883854568304304	2	2	0	3.0764099179995537
ABOBOTULINUMTOXINA	20	20	-0.996764762940629	20	2	18	2.1317458910351004
ABROCITINIB	7	7	-0.7096357373476267	7	0	7	1.1018558788388237
ACALABRUTINIB	37	37	0.5419807532072802	37	32	5	1.591001283164321
ACAMPROSATE CALCIUM	2	2	0.6573200244423136	2	2	0	0.7475626437595421
ACARBOSE	54	54	0.40806897498388756	54	40	14	1.5123468449952462
ACEBUTOLOL	16	16	0.3980865562327096	16	10	6	2.0684961475428705
ACEBUTOLOL HYDROCHLORIDE	18	18	0.35992002225215536	18	8	10	3.534383681229832
ACECLOFENAC	4	4	-0.7037691647590809	4	0	4	0.9255050119861761
ACEMETACIN	3	3	-1.0145811813833856	3	0	3	1.2472625161153932
ACENOCOUMAROL	71	71	0.524103404273905	71	57	14	2.234129434051163
ACETAMINOPHEN	847	847	0.3052139008960802	847	550	297	3.8025230441982854
ACETAMINOPHEN / HYDROCODONE	1	1	0.7856728822120336	1	1	0	0.7856728822120336
ACETAMINOPHEN W/DIPHENHYDRAMINE	1	1	-1.262300969290199	1	0	1	1.262300969290199
ACETAMINOPHEN/CODEINE	1	1	-0.5611718609542329	1	0	1	0.5611718609542329
ACETAMINOPHEN\ASCORBIC ACID	1	1	-0.6059312102139636	1	0	1	0.6059312102139636
ACETAMINOPHEN\ASPIRIN\CAFFEINE	39	39	-0.6404950575084042	39	3	36	1.3088569935280896
ACETAMINOPHEN\ASPIRIN\CAFFEINE\SALICYLAMIDE	1	1	-0.5121907681156743	1	0	1	0.5121907681156743
ACETAMINOPHEN\BELLADONNA LEAF\CAFFEINE\OPIUM	5	5	-0.7409166091664079	5	0	5	0.9863442037039993
ACETAMINOPHEN\BUTALBITAL	10	10	-1.2688526020905722	10	0	10	2.3061642437954673
ACETAMINOPHEN\BUTALBITAL\CAFFEINE	19	19	-0.7410480991146895	19	1	18	1.3361759327019922
ACETAMINOPHEN\BUTALBITAL\CAFFEINE\CODEINE PHOSPHATE	4	4	-0.39846976236291753	4	1	3	0.8207486716279913
ACETAMINOPHEN\CAFFEINE	24	24	-0.39182297385682324	24	9	15	2.283936662575378
ACETAMINOPHEN\CAFFEINE\CARISOPRODOL\DICLOFENAC	2	2	-0.8133404089871901	2	0	2	1.0785848195003955
ACETAMINOPHEN\CAFFEINE\CARISOPRODOL\DICLOFENAC SODIUM	1	1	-0.7140521507085219	1	0	1	0.7140521507085219
ACETAMINOPHEN\CAFFEINE\CODEINE	1	1	-0.8321556365165812	1	0	1	0.8321556365165812
ACETAMINOPHEN\CAFFEINE\CODEINE PHOSPHATE	23	23	0.8475998089620933	23	16	7	2.506949793894224
ACETAMINOPHEN\CAFFEINE\DIHYDROCODEINE BITARTRATE	12	12	0.5103383366607548	12	10	2	1.3068339742185031
ACETAMINOPHEN\CAFFEINE\GUAIFENESIN	2	2	-1.4436766681887563	2	0	2	1.5079182671094393
ACETAMINOPHEN\CAFFEINE\OPIUM	4	4	-0.5015705445188692	4	1	3	1.3439265850191904
ACETAMINOPHEN\CAFFEINE\PROPYPHENAZONE	4	4	-0.13395177700541577	4	2	2	0.9677045665752911
ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE	3	3	-0.7029758117906842	3	0	3	0.9431797578678687
ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE\PHENYLEPHRINE HYDROCHLORIDE	1	1	-1.34221348026738	1	0	1	1.34221348026738
ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\DEXTROMETHORPHAN HYDROBROMIDE\PHENYLEPHRINE HYDROCHLORIDE OR ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE\PHENYLEPHRINE HYDROCHLORIDE OR HOMEOPATHICS	1	1	-0.6741342811970397	1	0	1	0.6741342811970397
ACETAMINOPHEN\CODEINE PHOSPHATE	347	347	0.6840052892033444	347	242	105	3.8514961349047194
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE	5	5	0.20900266598074174	5	3	2	0.9216492617102304
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE\PHENYLEPHRINE HYDROCHLORIDE	1	1	-0.746621437011075	1	0	1	0.746621437011075
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\GUAIFENESIN\PHENYLEPHRINE HYDROCHLORIDE	1	1	-0.5744762543898816	1	0	1	0.5744762543898816
ACETAMINOPHEN\DIHYDROCODEINE	21	21	-1.0166170159404266	21	1	20	1.813999799373913
ACETAMINOPHEN\DIPHENHYDRAMINE	17	17	-0.24985529672861137	17	5	12	1.2618411233130042
ACETAMINOPHEN\DIPHENHYDRAMINE CITRATE	1	1	-1.2093284991394229	1	0	1	1.2093284991394229
ACETAMINOPHEN\DIPHENHYDRAMINE HYDROCHLORIDE	19	19	-0.3069393446848024	19	6	13	1.5715565574930221
ACETAMINOPHEN\HYDROCODONE	90	90	-0.42419500052562364	90	20	70	1.534741904272738
ACETAMINOPHEN\HYDROCODONE BITARTRATE	429	429	0.5727754231009042	429	383	46	1.8583202530462648
ACETAMINOPHEN\IBUPROFEN	1	1	-0.745176811988971	1	0	1	0.745176811988971
ACETAMINOPHEN\METHOCARBAMOL	4	4	-0.7683018089642127	4	1	3	1.8283197007186778
ACETAMINOPHEN\OPIUM	6	6	0.5589534217340978	6	5	1	1.076670830042649
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE	466	466	0.8712860750090445	466	423	43	3.9338966008306424
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE\OXYCODONE TEREPHTHALATE	103	103	0.5793620000248406	103	83	20	1.625941607884199
ACETAMINOPHEN\PROPOXYPHENE HYDROCHLORIDE	14	14	0.16485746695947642	14	8	6	1.4546961895095538
ACETAMINOPHEN\PROPOXYPHENE NAPSYLATE	7	7	0.14933788981724236	7	4	3	1.0500895509977588
ACETAMINOPHEN\PSEUDOEPHEDRINE HYDROCHLORIDE\TRIPROLIDINE HYDROCHLORIDE	1	1	-0.8075615646839904	1	0	1	0.8075615646839904
ACETAMINOPHEN\TRAMADOL	83	83	0.16656728478249505	83	54	29	3.0573020053703015
ACETAMINOPHEN\TRAMADOL HYDROCHLORIDE	105	105	0.4295460911019265	105	82	23	2.7732844250614064
ACETAZOLAMIDE	52	52	-0.05437461372169473	52	26	26	1.8453893454152979
ACETYLCARNITINE	2	2	-0.8446907623410405	2	0	2	0.9246801861914268
ACETYLCYSTEINE	108	108	0.20296160046173423	108	70	38	1.939635811743293
ACETYLFENTANYL	1	1	0.6323743169937979	1	1	0	0.6323743169937979
ACETYLLEUCINE	2	2	-0.6754399259333095	2	0	2	0.7732117513211224
ACITRETIN	100	100	0.21453551449259986	100	58	42	2.730275543166973
ACLARUBICIN	1	1	0.5089214180886733	1	1	0	0.5089214180886733
ACLIDINIUM BROMIDE	103	103	0.30358450498763173	103	65	38	2.8133563964769177
ACLIDINIUM BROMIDE\FORMOTEROL FUMARATE	8	8	-0.4727820442353643	8	3	5	2.3076537390192193
ACRIVASTINE	11	11	-0.7768004405553021	11	2	9	1.863195444063537
ACTIVATED CHARCOAL	19	19	0.25975545493813623	19	12	7	1.27569177480357
ACYCLOVIR	431	431	0.5506130312542783	431	354	77	2.74106707802134
ACYCLOVIR SODIUM	16	16	0.8451331964679073	16	14	2	1.6533157963331202
AD26.COV2.S	14	14	-0.3495344727522496	14	4	10	1.3032360982816218
ADAGRASIB	1	1	0.6310781331237683	1	1	0	0.6310781331237683
ADALIMUMAB	827	827	-0.1035672590253483	827	321	506	5.155486557667793
ADALIMUMAB-ADAZ	104	104	0.5668069569725911	104	70	34	2.311725395718925
ADALIMUMAB-AFZB	13	13	0.29413814198715127	13	9	4	1.322731870159632
ADALIMUMAB-ATTO	1	1	-0.8048940365401168	1	0	1	0.8048940365401168
ADALIMUMAB-BWWD	5	5	-0.7176413120380021	5	0	5	0.9716210403929901
ADALIMUMAB-FKJP	2	2	-0.6022660660377125	2	0	2	0.6216637094448048
ADALIMUMAB-RYVK	7	7	-0.45682650952221415	7	1	6	0.7399695540185736
ADAPALENE	23	23	-0.41230257602563186	23	4	19	1.2066097882988387
ADAPALENE\BENZOYL PEROXIDE	3	3	-0.7851196044960967	3	0	3	1.1582946941320722
ADDERALL	2	2	-0.6396645281209545	2	0	2	0.7429789849433734
ADEFOVIR	1	1	-0.6086214382022164	1	0	1	0.6086214382022164
ADEFOVIR DIPIVOXIL	26	26	0.6412177852381623	26	21	5	1.7412778760700487
ADEMETIONINE	5	5	-0.8323953437083137	5	0	5	1.1221218029857583
ADENOSINE	8	8	-0.2863521220817935	8	2	6	0.637772622024975
ADO-TRASTUZUMAB EMTANSINE	18	18	-1.4808870928507785	18	1	17	3.852081171807916
ADUCANUMAB-AVWA	1	1	-0.5564509963044906	1	0	1	0.5564509963044906
ADULT MULTIVITAMIN	3	3	-0.5550321903573575	3	0	3	0.6541719090089065
ADVAIR	35	35	-0.05375494752613371	35	16	19	1.7250021750349742
ADVIL /00044201/	1	1	-1.088646949667082	1	0	1	1.088646949667082
ADVIL CONGESTION RELIEF	1	1	-0.5870365246557037	1	0	1	0.5870365246557037
AFATINIB	25	25	0.06559466628760426	25	14	11	0.8680400517029223
AFLIBERCEPT	42	42	-0.1295010195194985	42	17	25	2.194533078874984
AGALSIDASE ALFA	2	2	0.5509479564240137	2	2	0	0.589982372062695
AGALSIDASE BETA	39	39	-0.3894595321393526	39	11	28	2.1060832298349332
AGOMELATINE	29	29	-0.7093153363334468	29	3	26	1.416608089294436
ALBENDAZOLE	61	61	-1.0407526367591624	61	4	57	3.03244766808687
ALBIGLUTIDE	14	14	-0.38506416341544264	14	3	11	0.9931265768830998
ALBUMIN HUMAN	69	69	0.32459209223158586	69	50	19	1.4609897379069805
ALBUTEROL	510	510	0.06245058739702086	510	289	221	4.128946941448242
ALBUTEROL AER HFA	2	2	-0.7132312296745131	2	0	2	0.7391581322524972
ALBUTEROL SULFATE	448	448	-0.0935983883133896	448	209	239	2.526394380564594
ALBUTEROL SULFATE\BUDESONIDE	3	3	-0.5909726915261321	3	0	3	0.6341918309464792
ALBUTEROL SULFATE\IPRATROPIUM BROMIDE	130	130	-0.16173246200984226	130	56	74	1.841084426129573
ALBUTEROL\GUAIFENESIN	2	2	-1.38100158535915	2	0	2	1.5242564082448016
ALBUTEROL\IPRATROPIUM	36	36	0.39558323079369306	36	27	9	1.10940799018519
ALBUTEROL\IPRATROPIUM BROMIDE	7	7	0.2654233749498785	7	5	2	0.7359591738116646
ALCAFTADINE	2	2	-0.6068972844580902	2	0	2	0.6594065401474299
ALCOHOL	124	124	0.6985519013283805	124	107	17	2.742832970862062
ALDESLEUKIN	7	7	0.735343518416241	7	6	1	1.6340923504476443
ALECTINIB	11	11	0.1981212316829928	11	7	4	0.9217467851486213
ALECTINIB HYDROCHLORIDE	20	20	-0.008986299061504038	20	10	10	1.1180958078711005
ALEFACEPT	2	2	-0.06056751046347153	2	1	1	2.1094580113126487
ALEMTUZUMAB	205	205	0.44959751549127064	205	154	51	2.140834600373676
ALENDRONATE SODIUM	429	429	0.09575371169289584	429	222	207	4.156905712707859
ALENDRONATE SODIUM\CHOLECALCIFEROL	44	44	-0.4818482084535189	44	19	25	3.8667652562256563
ALENDRONIC ACID	171	171	0.4397779923253378	171	101	70	3.3270995391132434
ALEVE CAPLET	11	11	-0.8288819260181609	11	0	11	1.4496346272713114
ALEVE CAPLET/TABLET,MIDOL EXTENDED RELIEF CAPLET	7	7	-0.7095496267223861	7	0	7	1.075768568686781
ALEVE LIQUID GELS	1	1	-1.0234177681455918	1	0	1	1.0234177681455918
ALEVE LIQUID GELS 220MG	2	2	-0.7339851157355959	2	0	2	0.9633797355760958
ALFA 2 INTERFERON 2B	1	1	0.8389940646338536	1	1	0	0.8389940646338536
ALFACALCIDOL	108	108	0.4792904934534236	108	81	27	2.829025285573382
ALFENTANIL	4	4	0.2482401975984993	4	3	1	0.8924033535383584
ALFENTANIL HYDROCHLORIDE	1	1	-0.5436643009498024	1	0	1	0.5436643009498024
ALFUZOSIN	21	21	1.7543908123764624	21	21	0	3.7214163049547944
ALFUZOSIN HYDROCHLORIDE	3	3	0.95707575668541	3	3	0	1.4617363923782325
ALGINIC ACID	6	6	-1.023366957099755	6	0	6	1.3742789414469736
ALGLUCOSIDASE ALFA	19	19	-0.281004930358995	19	6	13	1.5931527202459959
ALIROCUMAB	56	56	-0.5468295071274509	56	11	45	2.557479675785626
ALISKIREN	33	33	0.5000688988814194	33	22	11	2.3827292124762827
ALISKIREN HEMIFUMARATE	24	24	0.3914395522108188	24	12	12	2.113471729229225
ALIZAPRIDE	4	4	-0.6490626656382051	4	0	4	0.7673470683786924
ALIZAPRIDE HYDROCHLORIDE	15	15	-0.04633976665818282	15	7	8	1.8045999138300775
ALLANTOIN	1	1	-0.524725704745786	1	0	1	0.524725704745786
ALLEGRA 24 HOUR	1	1	-0.862033096446385	1	0	1	0.862033096446385
ALLERGENIC EXTRACTS	3	3	-0.8921270433195351	3	0	3	1.226683317805662
ALLERGY RELIEF	1	1	-0.5683236590968298	1	0	1	0.5683236590968298
ALLOPURINOL	510	510	0.34070631776476407	510	351	159	2.3525836008566205
ALLOPURINOL SODIUM	2	2	0.755069166735776	2	2	0	0.8719271319430179
ALMOTRIPTAN	5	5	-3.070355509813924	5	0	5	3.758881800008179
ALMOTRIPTAN MALATE	4	4	-3.393410769165434	4	0	4	4.231138058036892
ALOE VERA LEAF	32	32	-1.68096086866706	32	1	31	3.1370391850592276
ALOGLIPTIN	12	12	0.2969947435014305	12	8	4	1.0997901705248279
ALOGLIPTIN BENZOATE	11	11	0.48509296758174736	11	9	2	1.0251752591480485
ALOGLIPTIN BENZOATE\METFORMIN HYDROCHLORIDE	1	1	-0.8388559254984218	1	0	1	0.8388559254984218
ALPELISIB	12	12	-0.037673126341953134	12	7	5	2.1217135011760244
ALPRAZOLAM	381	381	0.16691945389972498	381	240	141	2.409431298771197
ALPROSTADIL	24	24	1.327365804636792	24	23	1	2.5790033260467946
ALTEPLASE	72	72	0.49593034632032207	72	59	13	1.4611826255481677
ALTERNARIA ALTERNATA	1	1	-1.6592279461231547	1	0	1	1.6592279461231547
ALTHIAZIDE\SPIRONOLACTONE	2	2	0.23041715782818617	2	1	1	1.1744572119709311
ALUMINUM HYDROXIDE	16	16	-0.90575442964246	16	2	14	2.043492446492143
ALUMINUM HYDROXIDE\CALCIUM CARBONATE\DIMETHICONE\MAGNESIUM HYDROXIDE	1	1	-0.665610594865189	1	0	1	0.665610594865189
ALUMINUM HYDROXIDE\DIMETHICONE\MAGNESIUM HYDROXIDE	64	64	-0.653512885094171	64	16	48	2.78585984947094
ALUMINUM HYDROXIDE\MAGNESIUM CARBONATE	79	79	-0.41462471149669317	79	25	54	2.897716367111969
ALUMINUM HYDROXIDE\MAGNESIUM HYDROXIDE	21	21	-1.0628464983715171	21	2	19	1.9565133763941418
ALUMINUM SILICATE	1	1	0.6687408889711054	1	1	0	0.6687408889711054
ALVERINE CITRATE	1	1	-1.1022423975582498	1	0	1	1.1022423975582498
AMANTADINE	60	60	-0.04952468436929739	60	29	31	2.415338048772533
AMANTADINE HYDROCHLORIDE	65	65	-0.37466407994113576	65	17	48	2.192641466962515
AMBRISENTAN	152	152	-0.3522048306925322	152	43	109	1.865029753342515
AMBROSIA ARTEMISIIFOLIA POLLEN	2	2	-0.9617130270176715	2	0	2	1.1703078102027158
AMBROXOL	9	9	0.21927462821518237	9	6	3	1.2798285597524857
AMBROXOL HYDROCHLORIDE	55	55	0.4523011492947642	55	43	12	2.08440972206416
AMDINOCILLIN PIVOXIL	3	3	-0.964912539667513	3	0	3	1.0360641463761593
AMG-510	1	1	0.7254190087041668	1	1	0	0.7254190087041668
AMIFAMPRIDINE	1	1	-0.7372307207356805	1	0	1	0.7372307207356805
AMIFAMPRIDINE PHOSPHATE	6	6	0.0213222444679869	6	3	3	0.6533294928055177
AMIKACIN	91	91	0.16285356661802233	91	56	35	1.4987813604380174
AMIKACIN SULFATE	21	21	0.3255888623488193	21	15	6	1.1123243095063706
AMILORIDE	13	13	0.12207824294181788	13	8	5	1.3055195265742248
AMILORIDE HYDROCHLORIDE	5	5	-0.6882619623598684	5	1	4	1.358741781597118
AMILORIDE HYDROCHLORIDE\HYDROCHLOROTHIAZIDE	9	9	-0.1512133902790563	9	4	5	1.1419633116708143
AMINO ACIDS	6	6	0.23298098675821013	6	4	2	0.8617235159249739
AMINO ACIDS, SOURCE UNSPECIFIED	3	3	0.7750681018969515	3	3	0	0.9722463466612897
AMINO ACIDS\ANHYDROUS DEXTROSE\CALCIUM CHLORIDE\MAGNESIUM SULFATE HEPTAHYDRATE\POTASSIUM CHLORIDE\SODIUM ACETATE\SODIUM GLYCEROPHOSPHATE ANHYDROUS\SOYBEAN OIL	1	1	-0.9132370957730802	1	0	1	0.9132370957730802
AMINO ACIDS\CALCIUM CHLORIDE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE	1	1	0.9681874057845073	1	1	0	0.9681874057845073
AMINO ACIDS\CARBOHYDRATES\MINERALS\SOYBEAN OIL\VITAMINS	1	1	-0.7828820851967395	1	0	1	0.7828820851967395
AMINO ACIDS\DEXTROSE\ELECTROLYTES NOS	2	2	0.558995805728709	2	2	0	0.573943419100335
AMINO ACIDS\DEXTROSE\ELECTROLYTES NOS\SOYBEAN OIL	25	25	0.2830465733043599	25	17	8	1.6298016960310604
AMINO ACIDS\DEXTROSE\ELECTROLYTES NOS\SOYBEAN OIL\VITAMINS	21	21	0.06881219752237755	21	12	9	1.149559819398985
AMINO ACIDS\DEXTROSE\ELECTROLYTES NOS\VITAMINS	8	8	0.5851134201732948	8	7	1	1.3083061378850676
AMINO ACIDS\DEXTROSE\SOYBEAN OIL	1	1	-0.5830348039508897	1	0	1	0.5830348039508897
AMINOBENZOIC ACID	2	2	-1.2525807738099055	2	0	2	1.722179297111052
AMINOCAPROIC ACID	4	4	0.22636025232242202	4	3	1	1.2519155373101478
AMINOLEVULINIC ACID HYDROCHLORIDE	5	5	-0.3840246482727228	5	1	4	0.9419122445253415
AMINOPHYLLINE	20	20	0.1496361816650209	20	9	11	1.951741553888465
AMINOPHYLLINE\QUININE SULFATE	1	1	-0.6343281255509997	1	0	1	0.6343281255509997
AMINOSALICYLIC ACID	66	66	0.6714584491038837	66	48	18	3.2226928142071083
AMIODARONE	270	270	0.3924802411119372	270	195	75	3.24835245928064
AMIODARONE HYDROCHLORIDE	189	189	0.3284041347750722	189	131	58	3.3048714742503833
AMISULPRIDE	93	93	0.22768744060342297	93	58	35	2.2690784262364696
AMITRIPTYLINE	261	261	-0.07416980488188671	261	124	137	1.9649320418740757
AMITRIPTYLINE HYDROCHLORIDE	196	196	-0.13601940124692002	196	83	113	2.9966189550712787
AMIVANTAMAB	2	2	0.024354235376053024	2	1	1	0.6267688291693772
AMIVANTAMAB-VMJW	10	10	-0.3578668379176662	10	3	7	1.741709193422575
AMLODIPINE	13	13	0.06928810709017005	13	7	6	0.7948185444170907
AMLODIPINE BESYLATE	650	650	0.14254424763999288	650	385	265	4.021364717491083
AMLODIPINE BESYLATE TABLETS	1	1	-0.5996969407368536	1	0	1	0.5996969407368536
AMLODIPINE BESYLATE\ATORVASTATIN CALCIUM	15	15	-0.24133074623772632	15	5	10	0.9932772087602348
AMLODIPINE BESYLATE\BENAZEPRIL HYDROCHLORIDE	26	26	-0.30169140241737075	26	8	18	1.3382184915923974
AMLODIPINE BESYLATE\CANDESARTAN CILEXETIL	2	2	0.7881771026117776	2	2	0	0.9862673950713737
AMLODIPINE BESYLATE\HYDROCHLOROTHIAZIDE\OLMESARTAN MEDOXOMIL	3	3	0.36939421966734914	3	2	1	1.0564284416630234
AMLODIPINE BESYLATE\HYDROCHLOROTHIAZIDE\VALSARTAN	22	22	-0.10299806512466168	22	11	11	1.0867302909995298
AMLODIPINE BESYLATE\IRBESARTAN	2	2	0.5304518760423305	2	2	0	0.5399139525114025
AMLODIPINE BESYLATE\OLMESARTAN MEDOXOMIL	31	31	0.44229809083163224	31	23	8	1.3672562668191532
AMLODIPINE BESYLATE\PERINDOPRIL ARGININE	2	2	-0.5972500278626385	2	0	2	0.6164085183295737
AMLODIPINE BESYLATE\TELMISARTAN	9	9	0.21454355904946165	9	5	4	1.163909607219265
AMLODIPINE BESYLATE\VALSARTAN	52	52	0.2786679277070385	52	36	16	1.0882366877584495
AMLODIPINE MALEATE	5	5	-0.27652821240184056	5	2	3	1.660753967993845
AMLODIPINE MESYLATE	4	4	-0.5627115943248803	4	1	3	1.4444026279471474
AMLODIPINE\INDAPAMIDE\PERINDOPRIL	2	2	0.7184981461492669	2	2	0	0.8173456590391754
AMLODIPINE\PERINDOPRIL	32	32	0.6951352000938016	32	28	4	1.577465990855211
AMLODIPINE\TELMISARTAN	1	1	1.7649896990334333	1	1	0	1.7649896990334333
AMLODIPINE\VALSARTAN	12	12	0.42440387287112835	12	10	2	0.9347115545304412
AMMONIUM CHLORIDE	2	2	-0.0006315232014952321	2	1	1	0.7147871382214485
AMMONIUM CHLORIDE\DEXTROMETHORPHAN\SODIUM CITRATE	4	4	-0.7643190951793802	4	0	4	1.0954461266342224
AMMONIUM GLYCYRRHIZATE	1	1	0.7449032444068667	1	1	0	0.7449032444068667
AMMONIUM GLYCYRRHIZATE\GLYCINE\METHIONINE	2	2	0.7834119731457665	2	2	0	0.79834673173819
AMMONIUM LACTATE	8	8	-0.4803081464297918	8	1	7	0.9139411550829071
AMNESTEEM CAPSULES	6	6	-0.760954780886692	6	0	6	0.9197866522468413
AMOXICILLIN	343	343	-0.12855835683934963	343	144	199	2.1538061912055597
AMOXICILLIN SODIUM	2	2	-1.0634800372342632	2	0	2	1.37780258676735
AMOXICILLIN\CLARITHROMYCIN\ESOMEPRAZOLE	9	9	-0.931267371476436	9	0	9	1.564615859383851
AMOXICILLIN\CLARITHROMYCIN\LANSOPRAZOLE	2	2	0.6124228996710148	2	2	0	0.6353645506474118
AMOXICILLIN\CLAVULANATE POTASSIUM	234	234	-0.20402024463875187	234	103	131	3.396889373011993
AMOXICILLIN\CLAVULANIC ACID	126	126	0.14832038284398436	126	74	52	1.485204380081445
AMPHETAMINE	49	49	0.31284783389892296	49	34	15	1.92128701031446
AMPHETAMINE ASPARTATE\AMPHETAMINE SULFATE\DEXTROAMPHETAMINE SACCHARATE\DEXTROAMPHETAMINE SULFATE	133	133	-0.32984260964675083	133	38	95	1.5745320846832191
AMPHETAMINE SULFATE	5	5	0.7193645406118904	5	5	0	0.9416319100173909
AMPHETAMINE SULFATE\DEXTROAMPHETAMINE	2	2	-0.7521732090726377	2	0	2	0.7657967774994962
AMPHETAMINE\DEXTROAMPHETAMINE	1	1	-0.5647903883672238	1	0	1	0.5647903883672238
AMPHOTERICIN B	189	189	0.589775185501633	189	151	38	2.144211964210719
AMPHOTERICIN B\DIMYRISTOYLPHOSPHATIDYLCHOLINE, DL-\DIMYRISTOYLPHOSPHATIDYLGLYCEROL, DL-	1	1	-0.5410976574490531	1	0	1	0.5410976574490531
AMPICILLIN	57	57	0.001588536360229401	57	29	28	2.092436301917607
AMPICILLIN SODIUM	2	2	-0.44651903354836464	2	1	1	1.4289847241578393
AMPICILLIN SODIUM\SULBACTAM SODIUM	44	44	0.71572986308097	44	42	2	1.3771305040873798
AMPICILLIN TRIHYDRATE	2	2	-0.7973372582369473	2	0	2	0.8100639732054044
AMPYRA TABLET, 10MG	1	1	-0.9828410273971787	1	0	1	0.9828410273971787
AMRUBICIN	1	1	1.155638243225447	1	1	0	1.155638243225447
AMSACRINE	3	3	-0.014639981913347366	3	1	2	1.195990208912753
ANAGRELIDE	2	2	-0.8059130779610766	2	0	2	1.0755372674817574
ANAGRELIDE HYDROCHLORIDE	6	6	0.30939615562686856	6	4	2	1.1070397847170068
ANAKINRA	132	132	0.16860752709730778	132	80	52	3.363272838060229
ANASTROZOLE	69	69	-0.7193575983463283	69	19	50	3.4948428724086766
ANDEXANET ALFA	4	4	1.1330292347752988	4	4	0	1.765040871326512
ANETHOLTRITHION	5	5	-0.17566984415400153	5	2	3	0.8839630251141223
ANGIOTENSIN II	1	1	-1.0098724866637594	1	0	1	1.0098724866637594
ANHYDROUS CITRIC ACID\ASPIRIN\SODIUM BICARBONATE	9	9	-0.11700780750805283	9	3	6	1.4305770825317803
ANHYDROUS CITRIC ACID\MAGNESIUM OXIDE\SODIUM PICOSULFATE	13	13	-1.3800606042930086	13	0	13	2.7289668561574327
ANHYDROUS DEXTROSE\CALCIUM CHLORIDE\MAGNESIUM CHLORIDE\SODIUM BICARBONATE\SODIUM CHLORIDE\SODIUM LACTATE	1	1	1.0342538720808774	1	1	0	1.0342538720808774
ANHYDROUS DEXTROSE\CALCIUM CHLORIDE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE	2	2	0.7570882622898902	2	2	0	0.8547900176516574
