protein	propagated_score	direct_score	degree	n_drugs	gene_symbol
PROTEIN:ENSP00000402861	543.3333333333334	0.0	18	0	5334
PROTEIN:ENSP00000364709	529.7594339622641	523.0	106	3	2159
PROTEIN:ENSP00000228534	529.126923076923	493.0	130	5	51561
PROTEIN:ENSP00000380227	526.4411764705883	515.0	289	3	3676
PROTEIN:ENSP00000386029	520.804347826087	0.0	23	0	2570
PROTEIN:ENSP00000316244	520.0669014084507	437.0	142	3	3350
PROTEIN:ENSP00000343957	516.9906832298136	498.0	161	8	3455
PROTEIN:ENSP00000270139	516.6084337349398	499.0	249	9	3454
PROTEIN:ENSP00000270349	501.2720588235294	448.0	204	18	6531
PROTEIN:ENSP00000231948	492.196875	482.0	160	3	51185
PROTEIN:ENSP00000216225	490.6182380216383	482.0	647	3	9978
PROTEIN:ENSP00000364589	489.0609756097561	482.0	328	3	8451
PROTEIN:ENSP00000301764	488.817880794702	482.0	453	3	1642
PROTEIN:ENSP00000366506	463.4166666666667	427.0	24	4	3274
PROTEIN:ENSP00000219240	462.88194444444446	447.0	144	2	1.3.5.2
PROTEIN:ENSP00000347754	459.52659574468083	358.0	94	6	3359
PROTEIN:ENSP00000264220	451.8835616438356	434.0	146	3	2.4.2.14
PROTEIN:ENSP00000342637	446.06538461538463	355.0	130	7	5142
PROTEIN:ENSP00000411532	438.2742504409171	428.0	567	7	5.99.1.2
PROTEIN:ENSP00000269571	437.9447852760736	427.0	815	16	2064
PROTEIN:ENSP00000412673	428.10714285714283	0.0	28	0	2569
PROTEIN:ENSP00000366233	422.0745856353591	336.0	181	2	2550
PROTEIN:ENSP00000495332	421.56632653061223	415.0	98	3	6557
PROTEIN:ENSP00000345502	416.7831325301205	355.0	166	7	3.1.4.17
PROTEIN:ENSP00000343782	407.3802083333333	388.0	96	6	155
PROTEIN:ENSP00000305372	405.1311188811189	363.0	286	12	154
PROTEIN:ENSP00000349078	398.77884615384613	395.0	104	2	2.5.1.1
PROTEIN:ENSP00000430100	391.5833333333333	0.0	36	0	2568
PROTEIN:ENSP00000264246	381.8079399141631	364.0	466	2	941
PROTEIN:ENSP00000267082	381.23372781065086	374.0	169	2	3695
PROTEIN:ENSP00000311368	380.2912087912088	352.0	91	4	57804
PROTEIN:ENSP00000332049	379.061553030303	364.0	528	2	942
PROTEIN:ENSP00000219833	378.63291139240505	274.0	79	16	6530
PROTEIN:ENSP00000287936	378.4054441260745	364.0	349	5	1.1.1.34
PROTEIN:ENSP00000370078	377.55982905982904	355.0	117	7	3.1.4.17
PROTEIN:ENSP00000314649	376.7470588235294	365.0	170	3	1.2.1.24
PROTEIN:ENSP00000301218	372.77542372881356	200.0	118	1	2901
PROTEIN:ENSP00000263681	372.07462686567163	352.0	134	4	10714
PROTEIN:ENSP00000484105	368.27852348993287	352.0	149	4	5558
PROTEIN:ENSP00000265465	368.18283582089555	352.0	134	4	23649
PROTEIN:ENSP00000480186	367.8780487804878	352.0	164	4	5425
PROTEIN:ENSP00000322570	367.63775510204084	352.0	294	4	5426
PROTEIN:ENSP00000350491	366.44976076555025	352.0	209	4	5557
PROTEIN:ENSP00000216367	365.6314741035857	352.0	251	4	5427
PROTEIN:ENSP00000363286	365.55	352.0	190	4	54107
PROTEIN:ENSP00000368358	365.4320987654321	352.0	243	4	2.7.7.7
PROTEIN:ENSP00000472445	363.027950310559	352.0	322	4	5424
PROTEIN:ENSP00000347689	362.3475609756098	355.0	82	7	
PROTEIN:ENSP00000469696	360.98333333333335	355.0	30	7	3.1.4.17
PROTEIN:ENSP00000315011	360.25984251968504	337.0	127	4	1909
PROTEIN:ENSP00000369960	359.67721518987344	301.0	79	7	148
PROTEIN:ENSP00000303231	359.4642857142857	314.0	84	1	3592
PROTEIN:ENSP00000263923	358.7588454376164	346.0	537	9	2.7.10.1
PROTEIN:ENSP00000368766	352.86224489795916	300.0	98	6	146
PROTEIN:ENSP00000327943	349.51685393258424	320.0	89	4	6524
PROTEIN:ENSP00000363512	345.2	319.0	135	2	1.13.11.34
PROTEIN:ENSP00000366416	342.08992805755395	324.0	139	3	1910
PROTEIN:ENSP00000288135	341.2699836867863	326.0	613	10	3815
PROTEIN:ENSP00000362183	340.15546218487395	200.0	119	1	2899
PROTEIN:ENSP00000350815	337.99242424242425	286.0	132	5	4306
PROTEIN:ENSP00000481554	336.7536231884058	225.0	138	2	2892
PROTEIN:ENSP00000306662	336.68	300.0	75	6	147
PROTEIN:ENSP00000357461	331.96000000000004	200.0	75	2	1141
