drug	n_signals	n_ae	n_trials	signal_rate
DRUG:BUDESONIDE;FORMOTEROL	245	1212	0	0.20214521452145215
DRUG:METOPROLOL	244	1401	0	0.17416131334760884
DRUG:CETIRIZINE	244	961	0	0.25390218522372526
DRUG:RIVAROXABAN	243	1620	0	0.15
DRUG:VITAMIN D3	242	953	16	0.2539349422875131
DRUG:ALENDRONIC ACID	241	1764	0	0.13662131519274376
DRUG:LANSOPRAZOLE	240	1152	0	0.20833333333333334
DRUG:EVEROLIMUS	239	1284	0	0.18613707165109034
DRUG:OXALIPLATIN	239	1313	0	0.18202589489718202
DRUG:FLUOROURACIL	239	1310	0	0.18244274809160305
DRUG:NIVOLUMAB	238	1415	0	0.16819787985865725
DRUG:CITALOPRAM	237	1193	0	0.19865884325230512
DRUG:ALPRAZOLAM	237	1147	0	0.2066259808195292
DRUG:DENOSUMAB	234	1809	0	0.12935323383084577
DRUG:VEDOLIZUMAB	233	1448	0	0.16091160220994474
DRUG:AMIODARONE	228	887	0	0.2570462232243517
DRUG:DOXYCYCLINE	223	911	0	0.24478594950603733
DRUG:FLUTICASONE	221	1008	0	0.21924603174603174
DRUG:DIPHENHYDRAMINE	220	1038	0	0.2119460500963391
DRUG:WARFARIN	220	1057	0	0.20813623462630085
DRUG:CISPLATIN	219	1178	0	0.18590831918505943
DRUG:CALCIUM	219	859	0	0.2549476135040745
DRUG:VALSARTAN	219	1250	0	0.1752
DRUG:SOMATROPIN	218	936	0	0.2329059829059829
DRUG:ESCITALOPRAM	217	1187	0	0.18281381634372368
DRUG:CARBIDOPA;LEVODOPA	217	1263	0	0.17181314330958036
DRUG:ISOTRETINOIN	217	596	0	0.3640939597315436
DRUG:APREMILAST	214	987	0	0.21681864235055726
DRUG:AMOXICILLIN	212	1126	0	0.1882770870337478
DRUG:OCTREOTIDE	211	1288	0	0.1638198757763975
DRUG:ALLOPURINOL	210	1004	0	0.20916334661354583
DRUG:METRONIDAZOLE	209	1051	0	0.1988582302568982
DRUG:BORTEZOMIB	209	984	0	0.21239837398373984
DRUG:FLUOXETINE	204	1147	0	0.17785527462946818
DRUG:TOPIRAMATE	200	1133	0	0.176522506619594
DRUG:IRON	198	1006	1	0.19681908548707752
DRUG:CANDESARTAN	198	932	0	0.21244635193133046
DRUG:HYDROCODONE;PARACETAMOL	197	836	0	0.23564593301435408
