drug	n_signals	n_ae	n_trials	signal_rate
DRUG:CLADRIBINE	54	306	0	0.17647058823529413
DRUG:ALIROCUMAB	53	454	0	0.11674008810572688
DRUG:PERTUZUMAB	53	873	0	0.06071019473081329
DRUG:ABACAVIR;LAMIVUDINE	53	344	0	0.15406976744186046
DRUG:OSIMERTINIB	53	515	0	0.1029126213592233
DRUG:COBICISTAT;ELVITEGRAVIR;EMTRICITABINE;TENOFOVIR	53	305	0	0.1737704918032787
DRUG:SODIUM BICARBONATE	53	380	0	0.1394736842105263
DRUG:TRIMETHOPRIM	53	402	0	0.1318407960199005
DRUG:ACLIDINIUM	52	346	0	0.15028901734104047
DRUG:PANITUMUMAB	52	374	0	0.13903743315508021
DRUG:FAMOTIDINE	52	379	0	0.13720316622691292
DRUG:AMISULPRIDE	52	327	0	0.15902140672782875
DRUG:AVAPRITINIB	52	343	0	0.15160349854227406
DRUG:SOLIFENACIN	52	333	0	0.15615615615615616
DRUG:CYCLOSPORINE	52	388	0	0.13402061855670103
DRUG:VINORELBINE	52	371	0	0.14016172506738545
DRUG:MEBEVERINE	52	86	0	0.6046511627906976
DRUG:EFAVIRENZ	52	324	0	0.16049382716049382
DRUG:TAMSULOSIN	52	861	0	0.06039488966318235
DRUG:PSEUDOEPHEDRINE	51	410	0	0.12439024390243902
DRUG:DOXAZOSIN	51	432	0	0.11805555555555555
DRUG:ASPARAGINASE	51	285	0	0.17894736842105263
DRUG:OMBITASVIR;PARITAPREVIR;RITONAVIR	51	218	0	0.23394495412844038
DRUG:THIOTEPA	51	273	0	0.18681318681318682
DRUG:EDOXABAN	50	243	0	0.205761316872428
DRUG:DROXIDOPA	50	313	0	0.1597444089456869
DRUG:LACTULOSE	50	339	0	0.14749262536873156
DRUG:OXYMORPHONE	50	255	0	0.19607843137254902
DRUG:PRASUGREL	50	261	0	0.19157088122605365
DRUG:QUETIAPINE FUMARATE	50	345	0	0.14492753623188406
DRUG:RANITIDINE HYDROCHLORIDE	50	267	0	0.18726591760299627
DRUG:BUSPIRONE	50	237	0	0.2109704641350211
DRUG:RIOCIGUAT	49	629	0	0.07790143084260731
DRUG:ROPINIROLE	49	282	0	0.17375886524822695
DRUG:SIPONIMOD	48	324	0	0.14814814814814814
DRUG:PETHIDINE	48	234	1	0.20512820512820512
DRUG:LORATADINE	48	487	0	0.09856262833675565
DRUG:ZUCLOPENTHIXOL	48	294	0	0.16326530612244897
DRUG:CEFALEXIN	48	406	0	0.11822660098522167
DRUG:BLINATUMOMAB	48	282	0	0.1702127659574468
DRUG:LATANOPROST	47	417	0	0.11270983213429256
DRUG:ROSIGLITAZONE	47	236	0	0.19915254237288135
DRUG:MIFEPRISTONE	47	216	0	0.2175925925925926
DRUG:ZIDOVUDINE	47	266	0	0.17669172932330826
DRUG:PYRAZINAMIDE	47	266	0	0.17669172932330826
DRUG:ASENAPINE	47	238	0	0.19747899159663865
DRUG:DASABUVIR;OMBITASVIR;PARITAPREVIR;RITONAVIR	47	287	0	0.16376306620209058
DRUG:BOCEPREVIR	47	306	0	0.15359477124183007
DRUG:CINACALCET	46	305	0	0.15081967213114755
DRUG:TESTOSTERONE	46	929	0	0.04951560818083961
DRUG:TISAGENLECLEUCEL	46	220	0	0.20909090909090908
DRUG:TRIPTORELIN	46	213	0	0.215962441314554
DRUG:DESVENLAFAXINE	46	391	0	0.11764705882352941
DRUG:PEGINTERFERON BETA-1A	46	398	0	0.11557788944723618
DRUG:ITRACONAZOLE	45	239	0	0.18828451882845187
DRUG:LOXAPINE	45	223	0	0.20179372197309417
DRUG:AMFETAMINE;DEXAMFETAMINE	45	477	0	0.09433962264150944
DRUG:HYDRALAZINE	45	308	0	0.1461038961038961
DRUG:RISEDRONIC ACID	45	697	0	0.06456241032998565
DRUG:GENTAMICIN	45	315	0	0.14285714285714285
DRUG:NITROFURANTOIN	45	473	0	0.09513742071881606
DRUG:SKIN CARE	45	361	1	0.12465373961218837
DRUG:ROTIGOTINE	44	314	0	0.14012738853503184
DRUG:PROMETHAZINE	44	384	0	0.11458333333333333
DRUG:RAVULIZUMAB	44	268	0	0.16417910447761194
DRUG:CANNABIS SPP	44	298	0	0.1476510067114094
DRUG:NEVIRAPINE	44	239	0	0.18410041841004185
DRUG:OLAPARIB	44	435	0	0.10114942528735632
DRUG:CORTICOTROPIN	43	511	0	0.08414872798434442
DRUG:ABACAVIR;DOLUTEGRAVIR;LAMIVUDINE	43	219	0	0.1963470319634703
DRUG:EFINACONAZOLE	43	142	0	0.3028169014084507
DRUG:BREXPIPRAZOLE	43	342	0	0.12573099415204678
DRUG:DOCUSATE	43	288	0	0.14930555555555555
DRUG:BIMATOPROST	43	247	0	0.17408906882591094
DRUG:CLOMIPRAMINE	43	249	0	0.17269076305220885
DRUG:LINAGLIPTIN	42	369	0	0.11382113821138211
DRUG:LEVODOPA	42	249	0	0.1686746987951807
DRUG:FEBUXOSTAT	42	244	0	0.1721311475409836
DRUG:DACARBAZINE	42	222	0	0.1891891891891892
DRUG:CLOFAZIMINE	42	247	0	0.1700404858299595
DRUG:SODIUM PHOSPHATE	42	161	0	0.2608695652173913
DRUG:CYAMEMAZINE	42	212	0	0.19811320754716982
DRUG:ALCOHOL	42	222	0	0.1891891891891892
DRUG:NUTRIENTS, UNSPECIFIED	42	363	0	0.11570247933884298
DRUG:REMDESIVIR	42	242	0	0.17355371900826447
DRUG:VITAMINS, UNSPECIFIED	42	328	0	0.12804878048780488
DRUG:HYALURONIDASE;IMMUNOGLOBULINS, UNSPECIFIED	42	367	0	0.11444141689373297
DRUG:ABACAVIR	42	240	0	0.175
DRUG:SILDENAFIL CITRATE	42	129	0	0.32558139534883723
DRUG:POLATUZUMAB VEDOTIN	41	244	0	0.1680327868852459
DRUG:CEFEPIME	41	223	0	0.18385650224215247
DRUG:RILPIVIRINE	41	195	0	0.21025641025641026
DRUG:DOXORUBICIN HYDROCHLORIDE	41	276	0	0.14855072463768115
DRUG:LANREOTIDE	41	432	0	0.09490740740740741
DRUG:CEFTAZIDIME	41	245	0	0.1673469387755102
DRUG:AGALSIDASE BETA	41	220	0	0.18636363636363637
DRUG:INDACATEROL	41	189	0	0.21693121693121692
DRUG:DIAMORPHINE	41	287	0	0.14285714285714285
DRUG:VINBLASTINE	40	224	0	0.17857142857142858
DRUG:VITAMIN B6	40	293	1	0.13651877133105803
DRUG:RAMUCIRUMAB	40	179	0	0.22346368715083798
DRUG:OFLOXACIN	40	226	0	0.17699115044247787
DRUG:GLYCOPYRRONIUM;INDACATEROL	40	213	0	0.18779342723004694
DRUG:AMINOSALICYLIC ACID	40	300	0	0.13333333333333333
DRUG:CALCITRIOL	40	260	0	0.15384615384615385
DRUG:LEVOMEPROMAZINE	40	229	0	0.17467248908296942
DRUG:IDARUBICIN	39	231	0	0.16883116883116883
DRUG:CLOBETASOL	39	267	0	0.14606741573033707
DRUG:ISOSORBIDE MONONITRATE	39	266	0	0.14661654135338345
DRUG:HYDROXYCARBAMIDE	39	239	0	0.16317991631799164
DRUG:BRIMONIDINE	39	275	0	0.14181818181818182
DRUG:TRAMADOL HYDROCHLORIDE	39	343	0	0.11370262390670553
DRUG:CARMUSTINE	39	175	0	0.22285714285714286
DRUG:CARIPRAZINE	39	215	0	0.1813953488372093
DRUG:PNEUMOCOCCAL VACCINE	39	182	0	0.21428571428571427
DRUG:ARTIFICIAL TEARS	39	234	0	0.16666666666666666
DRUG:TAPENTADOL	39	310	0	0.12580645161290321
DRUG:DEVICE, UNSPECIFIED	39	216	0	0.18055555555555555
DRUG:APOMORPHINE	39	237	0	0.16455696202531644
DRUG:PEGVISOMANT	39	199	0	0.19597989949748743
DRUG:FEXOFENADINE	39	367	0	0.10626702997275204
DRUG:CETIRIZINE HYDROCHLORIDE	38	293	0	0.1296928327645051
DRUG:PALIVIZUMAB	38	200	0	0.19
DRUG:NEBIVOLOL	38	332	0	0.1144578313253012
DRUG:FOSCARBIDOPA;FOSLEVODOPA	38	169	0	0.22485207100591717
DRUG:FACTOR VIII	38	441	0	0.08616780045351474
DRUG:EMTRICITABINE;RILPIVIRINE;TENOFOVIR	38	191	0	0.19895287958115182
DRUG:ASFOTASE ALFA	38	307	0	0.1237785016286645
DRUG:ALISKIREN	38	196	0	0.19387755102040816
DRUG:TOLVAPTAN	38	290	0	0.1310344827586207
DRUG:PALBOCICLIB	38	1466	0	0.02592087312414734
DRUG:GUSELKUMAB	38	346	0	0.10982658959537572
DRUG:CRIZOTINIB	38	306	0	0.12418300653594772
DRUG:GLIMEPIRIDE	38	294	0	0.1292517006802721
DRUG:DASABUVIR	37	191	0	0.193717277486911
DRUG:DEXTROMETHORPHAN	37	307	0	0.12052117263843648
DRUG:PEGVALIASE	37	100	0	0.37
DRUG:VASOPRESSIN	37	175	0	0.21142857142857144
DRUG:ALIMEMAZINE	37	164	0	0.22560975609756098
DRUG:EPLERENONE	37	304	0	0.12171052631578948
DRUG:CASPOFUNGIN	37	213	0	0.17370892018779344
DRUG:DACLATASVIR	37	186	0	0.1989247311827957
DRUG:FLUDARABINE PHOSPHATE	37	146	0	0.2534246575342466
DRUG:DOXEPIN	37	314	0	0.1178343949044586
DRUG:URSODEOXYCHOLIC ACID	36	271	1	0.13284132841328414
DRUG:AMFETAMINE	36	210	0	0.17142857142857143
DRUG:GOSERELIN	36	273	0	0.13186813186813187
DRUG:CHLORHEXIDINE	36	413	0	0.08716707021791767
DRUG:BARICITINIB	36	304	0	0.11842105263157894
DRUG:BENZYLPENICILLIN	36	258	0	0.13953488372093023
DRUG:AZTREONAM	36	243	0	0.14814814814814814
DRUG:RANOLAZINE	36	271	0	0.13284132841328414
DRUG:LEVOCETIRIZINE	36	350	0	0.10285714285714286
DRUG:GALCANEZUMAB	36	361	0	0.0997229916897507
DRUG:FLECAINIDE	36	211	0	0.17061611374407584
DRUG:OZANIMOD	35	212	0	0.1650943396226415
DRUG:OLODATEROL;TIOTROPIUM	35	186	0	0.1881720430107527
DRUG:ACETYLCYSTEINE	35	228	0	0.15350877192982457
DRUG:METAMFETAMINE	35	172	0	0.20348837209302326
DRUG:CAFFEINE	35	316	0	0.11075949367088607
DRUG:EPOETIN ALFA	35	291	0	0.12027491408934708
DRUG:TIPIRACIL;TRIFLURIDINE	35	226	0	0.15486725663716813
DRUG:MEMANTINE	35	260	0	0.1346153846153846
DRUG:TIZANIDINE	35	332	0	0.10542168674698796
DRUG:VITAMIN B2	34	295	0	0.1152542372881356
DRUG:AMANTADINE	34	238	0	0.14285714285714285
DRUG:ROMIPLOSTIM	34	231	0	0.1471861471861472
DRUG:CALCIUM;GLUCOSE;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	34	201	0	0.1691542288557214
DRUG:BINIMETINIB	34	170	0	0.2
DRUG:CABOTEGRAVIR	34	171	0	0.19883040935672514
DRUG:AMLODIPINE;VALSARTAN	34	297	0	0.11447811447811448
DRUG:VIGABATRIN	34	252	0	0.1349206349206349
DRUG:BOSUTINIB	34	263	0	0.12927756653992395
DRUG:GILTERITINIB	33	143	0	0.23076923076923078
DRUG:SUFENTANIL	33	207	0	0.15942028985507245
DRUG:TEPROTUMUMAB	33	182	0	0.1813186813186813
DRUG:ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE\OXYCODONE TEREPHTHALATE	33	207	0	0.15942028985507245
DRUG:BENRALIZUMAB	33	417	0	0.07913669064748201
DRUG:CANNABINOIDS	32	195	0	0.1641025641025641
DRUG:RIFAXIMIN	32	350	0	0.09142857142857143
DRUG:MITOXANTRONE	32	189	0	0.1693121693121693
DRUG:SOFOSBUVIR;VELPATASVIR	32	308	0	0.1038961038961039
DRUG:TRETINOIN	32	292	0	0.1095890410958904
DRUG:IVABRADINE	32	245	0	0.1306122448979592
DRUG:PLACEBO, TRIAL	32	248	0	0.12903225806451613
DRUG:BIPERIDEN	32	182	0	0.17582417582417584
DRUG:ACALABRUTINIB	31	252	0	0.12301587301587301
DRUG:VALBENAZINE	31	258	0	0.12015503875968993
DRUG:BEDAQUILINE	31	144	0	0.2152777777777778
DRUG:ABALOPARATIDE	31	532	0	0.05827067669172932
DRUG:CEFAZOLIN	31	255	0	0.12156862745098039
DRUG:METOPROLOL SUCCINATE	30	264	0	0.11363636363636363
DRUG:INGENOL	30	114	0	0.2631578947368421
DRUG:ACITRETIN	30	216	0	0.1388888888888889
DRUG:PROCARBAZINE	30	206	0	0.14563106796116504
DRUG:SALMETEROL	30	227	0	0.13215859030837004
DRUG:FLUVOXAMINE	30	180	0	0.16666666666666666
DRUG:SEVOFLURANE	30	183	0	0.16393442622950818
DRUG:CANDESARTAN;HYDROCHLOROTHIAZIDE	30	215	0	0.13953488372093023
DRUG:AMIODARONE HYDROCHLORIDE	30	149	0	0.20134228187919462
DRUG:ZONISAMIDE	30	228	0	0.13157894736842105
DRUG:FENTANYL CITRATE	29	154	0	0.18831168831168832
DRUG:SIMEPREVIR	29	167	0	0.17365269461077845
DRUG:ACYCLOVIR	29	251	0	0.11553784860557768
DRUG:ATAZANAVIR	29	238	0	0.12184873949579832
DRUG:GLECAPREVIR;PIBRENTASVIR	29	271	0	0.1070110701107011
DRUG:IDELALISIB	29	248	0	0.11693548387096774
DRUG:TIOGUANINE	29	155	0	0.1870967741935484
DRUG:LERCANIDIPINE	29	290	0	0.1
DRUG:METFORMIN;VILDAGLIPTIN	29	194	0	0.14948453608247422
DRUG:BENSERAZIDE;LEVODOPA	29	166	0	0.1746987951807229
DRUG:MESNA	29	203	0	0.14285714285714285
DRUG:SCOPOLAMINE	28	193	0	0.14507772020725387
DRUG:DOBUTAMINE	28	159	0	0.1761006289308176
DRUG:LITHIUM CARBONATE	28	165	0	0.1696969696969697
DRUG:FOSCARNET	28	133	0	0.21052631578947367
DRUG:DESLORATADINE	28	237	0	0.11814345991561181
DRUG:VOXELOTOR	28	216	0	0.12962962962962962
DRUG:MODAFINIL	28	225	0	0.12444444444444444
DRUG:ISATUXIMAB	28	149	0	0.18791946308724833
DRUG:PHENOXYMETHYLPENICILLIN	28	207	0	0.13526570048309178
DRUG:GADOBUTROL	28	190	0	0.14736842105263157
DRUG:ALECTINIB	28	246	0	0.11382113821138211
DRUG:KETOCONAZOLE	28	162	0	0.1728395061728395
DRUG:ELEXACAFTOR;IVACAFTOR;TEZACAFTOR	27	329	0	0.08206686930091185
DRUG:ESKETAMINE	27	256	0	0.10546875
DRUG:SODIUM CITRATE	27	211	0	0.12796208530805686
DRUG:NUSINERSEN	27	150	0	0.18
DRUG:FLUPENTIXOL	27	156	0	0.17307692307692307
DRUG:EPTINEZUMAB	27	160	0	0.16875
DRUG:METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA	27	198	0	0.13636363636363635
DRUG:DESMOPRESSIN	27	186	0	0.14516129032258066
DRUG:FENFLURAMINE	27	147	0	0.1836734693877551
DRUG:BRIVARACETAM	27	218	0	0.12385321100917432
DRUG:SOTROVIMAB	26	56	0	0.4642857142857143
DRUG:INCLISIRAN	26	215	0	0.12093023255813953
DRUG:OXYGEN	26	158	0	0.16455696202531644
DRUG:BICTEGRAVIR;EMTRICITABINE;TENOFOVIR	26	290	0	0.0896551724137931
DRUG:TIGECYCLINE	26	159	0	0.16352201257861634
DRUG:MONTELUKAST SODIUM	26	255	0	0.10196078431372549
DRUG:RASAGILINE	26	166	0	0.1566265060240964
DRUG:ROSUVASTATIN CALCIUM	26	219	0	0.1187214611872146
DRUG:VITAMIN A	26	281	1	0.09252669039145907
DRUG:BISOPROLOL FUMARATE	26	213	0	0.12206572769953052
DRUG:MACROGOL;POTASSIUM;SODIUM CHLORIDE;SODIUM SULFATE;VITAMIN C	26	175	0	0.14857142857142858
DRUG:CARBIDOPA;ENTACAPONE;LEVODOPA	26	172	0	0.1511627906976744
DRUG:BUMETANIDE	26	150	0	0.17333333333333334
DRUG:LORMETAZEPAM	25	184	0	0.1358695652173913
DRUG:PARICALCITOL	25	159	0	0.15723270440251572
DRUG:IMATINIB MESYLATE	25	205	0	0.12195121951219512
DRUG:STAVUDINE	25	128	0	0.1953125
DRUG:LINACLOTIDE	25	284	0	0.0880281690140845
DRUG:GLIBENCLAMIDE	25	172	1	0.14534883720930233
DRUG:ENCORAFENIB	25	215	0	0.11627906976744186
DRUG:VILDAGLIPTIN	25	146	0	0.17123287671232876
DRUG:PERAMPANEL	25	171	0	0.14619883040935672
DRUG:ZINC	25	328	2	0.07621951219512195
DRUG:DIROXIMEL FUMARATE	25	369	0	0.06775067750677506
DRUG:OXYMETAZOLINE	25	112	0	0.22321428571428573
DRUG:CALCIUM;VITAMIN D, UNSPECIFIED	25	229	0	0.1091703056768559
DRUG:FLUINDIONE	24	120	0	0.2
DRUG:IOPROMIDE	24	168	0	0.14285714285714285
DRUG:GALANTAMINE	24	105	0	0.22857142857142856
DRUG:HYDROCHLOROTHIAZIDE;LOSARTAN	24	230	0	0.10434782608695652
DRUG:HYDROCHLOROTHIAZIDE;LISINOPRIL	24	169	0	0.14201183431952663
DRUG:AFATINIB	24	249	0	0.0963855421686747
DRUG:TEMSIROLIMUS	24	93	0	0.25806451612903225
DRUG:CALCIUM CARBONATE	24	212	0	0.11320754716981132
DRUG:CANNABIDIOL	24	186	0	0.12903225806451613
DRUG:SOTALOL	24	153	0	0.1568627450980392
DRUG:SERTRALINE HYDROCHLORIDE	24	145	0	0.16551724137931034
DRUG:DORNASE ALFA	24	162	0	0.14814814814814814
DRUG:HERBALS, UNSPECIFIED	24	204	0	0.11764705882352941
DRUG:CHLORPHENAMINE	24	195	0	0.12307692307692308
DRUG:FONDAPARINUX	24	128	0	0.1875
DRUG:IVACAFTOR;LUMACAFTOR	24	148	0	0.16216216216216217
DRUG:COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	24	160	0	0.15
DRUG:METOPROLOL TARTRATE	24	197	0	0.1218274111675127
DRUG:CARISOPRODOL	23	136	0	0.16911764705882354
DRUG:HYDROXYCHLOROQUINE DIPHOSPHATE	23	194	0	0.11855670103092783
DRUG:ERTAPENEM	23	150	0	0.15333333333333332
DRUG:ALENDRONIC ACID;VITAMIN D3	23	683	0	0.03367496339677892
DRUG:LEVOFOLINIC ACID	23	148	0	0.1554054054054054
DRUG:FOSAPREPITANT	23	224	0	0.10267857142857142
DRUG:FREMANEZUMAB	23	314	0	0.0732484076433121
DRUG:PHENPROCOUMON	23	185	0	0.12432432432432433
DRUG:ILOPROST	23	290	0	0.07931034482758621
DRUG:PERFLUTREN	23	117	0	0.19658119658119658
DRUG:ENFORTUMAB VEDOTIN	23	238	0	0.09663865546218488
DRUG:WATER	23	167	0	0.1377245508982036
DRUG:BUDESONIDE;FORMOTEROL;GLYCOPYRRONIUM	23	219	0	0.1050228310502283
DRUG:GEMCITABINE HYDROCHLORIDE	23	187	0	0.12299465240641712
DRUG:LIOTHYRONINE	23	159	0	0.14465408805031446
DRUG:AMPICILLIN	23	199	0	0.11557788944723618
DRUG:CEFOTAXIME	23	160	0	0.14375
DRUG:BUPROPION;NALTREXONE	23	312	0	0.07371794871794872
DRUG:BAMLANIVIMAB	22	156	0	0.14102564102564102
DRUG:LABETALOL	22	185	0	0.11891891891891893
DRUG:EMTRICITABINE	22	152	0	0.14473684210526316
DRUG:BENDAMUSTINE HYDROCHLORIDE	22	130	0	0.16923076923076924
DRUG:VITAMIN B1	22	275	0	0.08
DRUG:DOFETILIDE	22	177	0	0.12429378531073447
DRUG:BIMEKIZUMAB	22	226	0	0.09734513274336283
DRUG:LEUCOVORIN	22	172	0	0.12790697674418605
DRUG:DACTINOMYCIN	22	125	0	0.176
DRUG:LUMATEPERONE	22	167	0	0.1317365269461078
DRUG:DIMENHYDRINATE	22	324	0	0.06790123456790123
DRUG:CHLORMETHINE	22	96	0	0.22916666666666666
DRUG:TRALOKINUMAB	22	99	0	0.2222222222222222
DRUG:BROLUCIZUMAB	22	121	0	0.18181818181818182
DRUG:PATIROMER	22	223	0	0.09865470852017937
DRUG:TAFAMIDIS	22	383	0	0.057441253263707574
DRUG:LORLATINIB	22	225	0	0.09777777777777778
DRUG:GADOTERIC ACID	22	164	0	0.13414634146341464
DRUG:REPAGLINIDE	22	139	0	0.15827338129496402
DRUG:BENZATROPINE	22	125	0	0.176
DRUG:EPCORITAMAB	22	97	0	0.2268041237113402
DRUG:ALBUMIN	22	150	0	0.14666666666666667
DRUG:CLOPIDOGREL BISULFATE	22	166	0	0.13253012048192772
DRUG:BCG VACCINE	22	167	0	0.1317365269461078
DRUG:PAROXETINE HYDROCHLORIDE	22	155	0	0.14193548387096774
DRUG:BELIMUMAB	22	747	0	0.029451137884872823
DRUG:ALPHA-1-ANTITRYPSIN	22	230	0	0.09565217391304348
DRUG:NITROGLYCERIN	22	131	0	0.16793893129770993
DRUG:VOCLOSPORIN	22	203	0	0.10837438423645321
DRUG:SODIUM PICOSULFATE	22	173	0	0.12716763005780346
DRUG:ENTECAVIR	21	173	0	0.12138728323699421
DRUG:ENTACAPONE	21	143	0	0.14685314685314685
DRUG:CILASTATIN;IMIPENEM	21	199	0	0.10552763819095477
DRUG:FESOTERODINE	21	188	0	0.11170212765957446
DRUG:IODIXANOL	21	75	0	0.28
DRUG:NALOXONE	21	171	0	0.12280701754385964
DRUG:PIROXICAM	21	266	0	0.07894736842105263
DRUG:PROCHLORPERAZINE	21	232	0	0.09051724137931035
DRUG:CETIRIZINE;PSEUDOEPHEDRINE	21	307	0	0.06840390879478828
DRUG:ROCURONIUM	21	187	0	0.11229946524064172
DRUG:TRANEXAMIC ACID	21	189	0	0.1111111111111111
DRUG:DEXTROMETHORPHAN;QUINIDINE	21	82	0	0.25609756097560976
DRUG:IOHEXOL	21	164	0	0.12804878048780488
DRUG:ISOSORBIDE DINITRATE	21	178	0	0.11797752808988764
DRUG:TREOSULFAN	21	93	0	0.22580645161290322
DRUG:FLUVASTATIN	21	192	0	0.109375
DRUG:CABOTEGRAVIR;RILPIVIRINE	21	107	0	0.19626168224299065
DRUG:TREMELIMUMAB	21	135	0	0.15555555555555556
DRUG:RUPATADINE	20	121	0	0.1652892561983471
DRUG:NYSTATIN	20	224	0	0.08928571428571429
DRUG:PHENYLEPHRINE	20	391	0	0.05115089514066496
DRUG:BELATACEPT	20	116	0	0.1724137931034483
DRUG:TENOFOVIR DISOPROXIL FUMARATE	20	117	0	0.17094017094017094
DRUG:POTASSIUM CHLORIDE	20	160	0	0.125
DRUG:METFORMIN;ROSIGLITAZONE	20	76	0	0.2631578947368421
DRUG:MACROGOL;POTASSIUM;SODIUM BICARBONATE;SODIUM CHLORIDE	20	308	0	0.06493506493506493
DRUG:LIFITEGRAST	20	281	0	0.0711743772241993
DRUG:INOTERSEN	20	112	0	0.17857142857142858
DRUG:LARONIDASE	20	137	0	0.145985401459854
DRUG:IVERMECTIN	20	142	0	0.14084507042253522
DRUG:ETORICOXIB	20	190	0	0.10526315789473684
DRUG:HYDROMORPHONE HYDROCHLORIDE	20	209	0	0.09569377990430622
DRUG:SAPROPTERIN	20	100	0	0.2
DRUG:ICATIBANT	20	314	0	0.06369426751592357
DRUG:TETRABENAZINE	20	170	0	0.11764705882352941
DRUG:INOTUZUMAB	20	102	0	0.19607843137254902
DRUG:BRIMONIDINE;TIMOLOL	20	89	0	0.2247191011235955
DRUG:GUAIFENESIN	20	237	0	0.08438818565400844
DRUG:CENEGERMIN	20	158	0	0.12658227848101267
DRUG:ERGOCALCIFEROL	20	235	0	0.0851063829787234
DRUG:VISMODEGIB	20	160	0	0.125
DRUG:ACETYLSALICYLIC ACID;CAFFEINE;PARACETAMOL	20	187	0	0.10695187165775401
DRUG:CAPTOPRIL	20	210	0	0.09523809523809523
DRUG:CASIRIVIMAB;IMDEMIVAB	20	95	0	0.21052631578947367
DRUG:WARFARIN SODIUM	20	230	0	0.08695652173913043
DRUG:TRASTUZUMAB DERUXTECAN	20	327	0	0.06116207951070336
DRUG:COBIMETINIB	20	149	0	0.1342281879194631
DRUG:ADAPALENE	20	169	0	0.11834319526627218
DRUG:ELOSULFASE ALFA	20	109	0	0.1834862385321101
DRUG:AVELUMAB	19	110	0	0.17272727272727273
DRUG:VITAMIN K	19	159	0	0.11949685534591195
DRUG:TOPOTECAN	19	155	0	0.12258064516129032
DRUG:DECITABINE	19	113	0	0.168141592920354
DRUG:NORDAZEPAM	19	130	0	0.14615384615384616
DRUG:HYDROCHLOROTHIAZIDE;OLMESARTAN	19	130	0	0.14615384615384616
DRUG:ATROPINE	19	240	0	0.07916666666666666
DRUG:ALUMINIUM;MAGNESIUM	19	173	0	0.10982658959537572
DRUG:MIANSERIN	19	196	0	0.09693877551020408
DRUG:IMIPENEM	19	115	0	0.16521739130434782
DRUG:SUCRALFATE	19	159	0	0.11949685534591195
DRUG:FOSFOMYCIN	19	109	0	0.1743119266055046
DRUG:GUANFACINE	19	168	0	0.1130952380952381
DRUG:SODIUM BICARBONATE;SODIUM CHLORIDE	19	130	0	0.14615384615384616
DRUG:ALENDRONATE SODIUM	19	720	0	0.02638888888888889
DRUG:RIPRETINIB	19	162	0	0.11728395061728394
DRUG:DAPSONE	19	189	0	0.10052910052910052
DRUG:ALGLUCOSIDASE ALFA	19	140	0	0.1357142857142857
DRUG:CLOFARABINE	18	111	0	0.16216216216216217
DRUG:REGADENOSON	18	112	0	0.16071428571428573
DRUG:SALICYLIC ACID	18	255	0	0.07058823529411765
DRUG:MIDOSTAURIN	18	109	0	0.1651376146788991
DRUG:DELAMANID	18	108	0	0.16666666666666666
DRUG:URAPIDIL	18	110	0	0.16363636363636364
DRUG:VITAMIN B7	18	150	0	0.12
DRUG:TEICOPLANIN	18	115	0	0.1565217391304348
DRUG:SAXAGLIPTIN	18	134	0	0.13432835820895522
DRUG:TELOTRISTAT	18	130	0	0.13846153846153847
DRUG:AMLODIPINE;HYDROCHLOROTHIAZIDE;VALSARTAN	18	162	0	0.1111111111111111
DRUG:SUVOREXANT	18	193	0	0.09326424870466321
DRUG:ADEFOVIR	18	107	0	0.16822429906542055
DRUG:IVACAFTOR	18	157	0	0.11464968152866242
DRUG:VALPROATE SODIUM	18	137	0	0.13138686131386862
DRUG:MICAFUNGIN	18	135	0	0.13333333333333333
DRUG:CLOTRIMAZOLE	18	146	0	0.1232876712328767
DRUG:ESTRADIOL	18	866	0	0.020785219399538105
DRUG:PROPYLENE GLYCOL	17	135	0	0.1259259259259259
DRUG:VILAZODONE	17	186	0	0.0913978494623656
DRUG:TRASTUZUMAB EMTANSINE	17	543	0	0.03130755064456722
DRUG:ROFLUMILAST	17	162	0	0.10493827160493827
DRUG:TRIHEXYPHENIDYL	17	169	0	0.10059171597633136
DRUG:MINERALS, UNSPECIFIED;VITAMINS, UNSPECIFIED	17	237	0	0.07172995780590717
DRUG:HEPARIN SODIUM	17	102	0	0.16666666666666666
DRUG:GLIPIZIDE	17	173	0	0.09826589595375723
DRUG:VELAGLUCERASE ALFA	17	96	0	0.17708333333333334
DRUG:DEXMETHYLPHENIDATE	17	108	0	0.1574074074074074
DRUG:NEFOPAM	17	174	0	0.09770114942528736
DRUG:LEVOTHYROXINE SODIUM	17	206	0	0.0825242718446602
DRUG:MOLNUPIRAVIR	17	98	0	0.17346938775510204
DRUG:DRONABINOL	17	124	0	0.13709677419354838
DRUG:LETROZOLE	17	1430	0	0.011888111888111888
DRUG:TROPATEPINE	17	103	0	0.1650485436893204
DRUG:CLORAZEPIC ACID	17	165	0	0.10303030303030303
DRUG:DEXTROPROPOXYPHENE	16	86	0	0.18604651162790697
DRUG:MENTHOL	16	103	0	0.1553398058252427
DRUG:ALBUTEROL SULFATE	16	119	0	0.13445378151260504
DRUG:DORZOLAMIDE;TIMOLOL	16	149	0	0.10738255033557047
DRUG:ARMODAFINIL	16	190	0	0.08421052631578947
